Orthogroup	Stichodactyla_haddoni_longest_pep	Heterodactyla_longest_pep
OG0000001	Shad_tr32124_c0_g1_i3.p1	Hetdac_DN17350_c0_g1_i5.p1
OG0000001	Shad_tr43722_c1_g1_i1.p1	Hetdac_DN74093_c0_g1_i1.p1
OG0000001	Shad_tr4501_c6_g1_i1.p1	Hetdac_DN29214_c0_g1_i1.p1, Hetdac_DN82643_c0_g1_i1.p1
OG0000001	Shad_tr65729_c0_g1_i1.p1	Hetdac_DN44700_c0_g1_i1.p1
OG0000001	Shad_tr37216_c0_g1_i1.p2	Hetdac_DN34063_c0_g1_i1.p1
OG0000001	Shad_tr35615_c0_g1_i2.p1	Hetdac_DN30938_c0_g1_i1.p1
OG0000001	Shad_tr68933_c0_g1_i1.p2	Hetdac_DN18657_c0_g1_i1.p1
OG0000001	Shad_tr37417_c0_g1_i1.p1	Hetdac_DN10253_c0_g1_i3.p1
OG0000001	Shad_tr9232_c0_g1_i4.p1	Hetdac_DN40126_c0_g1_i1.p1
OG0000001	Shad_tr13620_c0_g1_i13.p1, Shad_tr91562_c0_g1_i1.p1	Hetdac_DN46865_c0_g1_i1.p1
OG0000001	Shad_tr93128_c0_g1_i1.p2	Hetdac_DN72378_c0_g1_i1.p1
OG0000002	Shad_tr111782_c0_g1_i1.p2	Hetdac_DN49037_c0_g1_i4.p1, Hetdac_DN43175_c0_g1_i2.p1
OG0000002	Shad_tr26509_c1_g3_i1.p1	Hetdac_DN26315_c0_g1_i1.p1
OG0000002	Shad_tr8207_c0_g1_i3.p1	Hetdac_DN19747_c0_g1_i1.p1
OG0000002	Shad_tr37739_c0_g1_i1.p1	Hetdac_DN74061_c0_g1_i1.p1
OG0000002	Shad_tr5174_c1_g1_i1.p1, Shad_tr37065_c1_g1_i10.p1, Shad_tr33413_c0_g1_i1.p1	Hetdac_DN5221_c0_g1_i2.p1
OG0000002	Shad_tr11002_c0_g1_i1.p1	Hetdac_DN11607_c0_g1_i2.p1
OG0000002	Shad_tr47644_c0_g1_i1.p2	Hetdac_DN35629_c0_g1_i1.p1, Hetdac_DN65610_c0_g1_i1.p1, Hetdac_DN74017_c0_g1_i1.p1, Hetdac_DN28143_c0_g1_i1.p1
OG0000002	Shad_tr12224_c0_g1_i5.p1, Shad_tr17959_c1_g1_i7.p1	Hetdac_DN27557_c0_g1_i7.p1
OG0000002	Shad_tr4496_c1_g1_i1.p1	Hetdac_DN10584_c0_g1_i3.p1
OG0000002	Shad_tr16090_c0_g2_i1.p1	Hetdac_DN64690_c0_g1_i1.p1
OG0000002	Shad_tr47726_c0_g2_i1.p1	Hetdac_DN17913_c0_g1_i3.p1
OG0000002	Shad_tr95979_c0_g1_i1.p1	Hetdac_DN3865_c1_g1_i2.p1
OG0000002	Shad_tr50306_c0_g1_i2.p1	Hetdac_DN15167_c0_g1_i1.p1
OG0000002	Shad_tr20877_c0_g1_i2.p1	Hetdac_DN7105_c0_g1_i8.p1
OG0000002	Shad_tr12774_c0_g2_i2.p1	Hetdac_DN9103_c0_g1_i9.p1
OG0000002	Shad_tr72127_c0_g1_i1.p1	Hetdac_DN45118_c0_g1_i1.p1
OG0000002	Shad_tr5174_c0_g1_i1.p1	Hetdac_DN32161_c0_g1_i1.p1
OG0000002	Shad_tr19797_c0_g1_i13.p1	Hetdac_DN367_c0_g1_i1.p2
OG0000002	Shad_tr5653_c0_g1_i3.p1	Hetdac_DN28700_c0_g1_i1.p1
OG0000002	Shad_tr33251_c1_g1_i2.p1	Hetdac_DN30150_c0_g1_i1.p1, Hetdac_DN5750_c0_g1_i13.p1
OG0000002	Shad_tr16225_c0_g1_i1.p1	Hetdac_DN7425_c0_g1_i4.p1
OG0000002	Shad_tr34051_c0_g1_i3.p1	Hetdac_DN17923_c0_g1_i10.p1
OG0000002	Shad_tr25036_c0_g1_i5.p1	Hetdac_DN35248_c0_g1_i1.p1
OG0000002	Shad_tr50646_c2_g1_i1.p1	Hetdac_DN17889_c0_g1_i1.p1
OG0000002	Shad_tr30264_c1_g2_i6.p1	Hetdac_DN36108_c1_g1_i1.p1, Hetdac_DN24915_c1_g1_i1.p1
OG0000002	Shad_tr34248_c0_g2_i1.p1	Hetdac_DN13031_c0_g1_i4.p1
OG0000002	Shad_tr47022_c0_g1_i5.p1	Hetdac_DN688_c0_g1_i5.p1
OG0000002	Shad_tr50422_c0_g1_i2.p1	Hetdac_DN11097_c1_g1_i1.p1
OG0000002	Shad_tr51628_c1_g1_i1.p1, Shad_tr79701_c0_g1_i1.p1	Hetdac_DN36458_c0_g1_i1.p1
OG0000002	Shad_tr32976_c0_g1_i4.p1, Shad_tr2725_c1_g1_i2.p1	Hetdac_DN5409_c0_g2_i3.p1
OG0000002	Shad_tr34474_c1_g1_i2.p1	Hetdac_DN2392_c1_g1_i2.p1
OG0000002	Shad_tr32952_c2_g1_i3.p1, Shad_tr2617_c2_g1_i12.p1	Hetdac_DN12898_c1_g1_i1.p1
OG0000002	Shad_tr48112_c0_g1_i3.p1	Hetdac_DN7071_c0_g1_i4.p1
OG0000002	Shad_tr33095_c0_g1_i1.p1	Hetdac_DN21892_c0_g1_i1.p1
OG0000002	Shad_tr44395_c0_g1_i1.p1	Hetdac_DN19867_c0_g1_i2.p1, Hetdac_DN13232_c0_g1_i3.p1
OG0000002	Shad_tr33580_c0_g1_i5.p1, Shad_tr26509_c1_g2_i8.p1, Shad_tr58236_c0_g1_i1.p1	Hetdac_DN25736_c0_g1_i1.p1
OG0000002	Shad_tr35093_c0_g1_i1.p1, Shad_tr16001_c2_g1_i5.p1	Hetdac_DN22457_c0_g1_i1.p1
OG0000002	Shad_tr12312_c1_g1_i1.p1	Hetdac_DN4585_c0_g1_i2.p2
OG0000002	Shad_tr9740_c0_g2_i2.p1, Shad_tr16063_c0_g1_i12.p1, Shad_tr149_c1_g1_i1.p1	Hetdac_DN76926_c0_g1_i1.p1
OG0000002	Shad_tr9885_c1_g1_i1.p1	Hetdac_DN26315_c0_g2_i1.p1
OG0000003	Shad_tr22800_c0_g1_i2.p1	Hetdac_DN23055_c0_g1_i1.p1
OG0000003	Shad_tr8436_c2_g1_i2.p1	Hetdac_DN40753_c0_g1_i1.p1
OG0000003	Shad_tr16415_c2_g1_i2.p1	Hetdac_DN7100_c1_g1_i1.p1
OG0000003	Shad_tr8902_c1_g1_i4.p1	Hetdac_DN9666_c0_g1_i1.p1
OG0000003	Shad_tr3966_c0_g5_i2.p1	Hetdac_DN710_c0_g1_i16.p1
OG0000003	Shad_tr25371_c0_g1_i5.p1	Hetdac_DN5094_c0_g1_i1.p1
OG0000003	Shad_tr19223_c0_g1_i7.p1	Hetdac_DN18149_c0_g1_i2.p1
OG0000003	Shad_tr59766_c0_g1_i3.p1	Hetdac_DN37572_c0_g1_i1.p1
OG0000003	Shad_tr5763_c0_g1_i1.p1	Hetdac_DN4910_c0_g1_i2.p1
OG0000003	Shad_tr28801_c0_g1_i11.p1	Hetdac_DN42561_c0_g1_i1.p1
OG0000003	Shad_tr20771_c0_g2_i3.p1, Shad_tr33650_c0_g1_i3.p1	Hetdac_DN58382_c0_g1_i1.p1
OG0000003	Shad_tr6891_c0_g1_i6.p1	Hetdac_DN8828_c0_g1_i6.p1
OG0000003	Shad_tr83431_c0_g1_i1.p1	Hetdac_DN37606_c0_g1_i1.p1
OG0000003	Shad_tr45996_c0_g1_i3.p1	Hetdac_DN13864_c0_g1_i1.p1, Hetdac_DN13280_c0_g1_i2.p1
OG0000003	Shad_tr6906_c2_g1_i6.p1	Hetdac_DN25092_c0_g1_i3.p1
OG0000003	Shad_tr55304_c0_g1_i6.p1	Hetdac_DN13622_c0_g1_i2.p1
OG0000003	Shad_tr12109_c0_g1_i9.p1	Hetdac_DN14708_c0_g2_i3.p1
OG0000003	Shad_tr40464_c0_g1_i2.p1	Hetdac_DN58254_c0_g1_i1.p1
OG0000003	Shad_tr8779_c0_g1_i2.p1	Hetdac_DN86760_c0_g1_i1.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Hetdac_DN10718_c0_g1_i2.p1
OG0000003	Shad_tr1233_c10_g1_i4.p1	Hetdac_DN7584_c0_g1_i1.p1
OG0000003	Shad_tr3554_c0_g1_i19.p1	Hetdac_DN12587_c0_g1_i5.p1
OG0000004	Shad_tr12330_c2_g1_i14.p2	Hetdac_DN69830_c0_g1_i1.p1
OG0000004	Shad_tr52676_c0_g1_i1.p1	Hetdac_DN40782_c0_g1_i1.p1
OG0000004	Shad_tr103801_c0_g1_i1.p1, Shad_tr58881_c0_g1_i1.p1	Hetdac_DN40479_c0_g1_i1.p1
OG0000004	Shad_tr61488_c0_g1_i1.p1, Shad_tr8779_c1_g1_i6.p1, Shad_tr30202_c4_g1_i1.p1	Hetdac_DN28105_c0_g1_i1.p1
OG0000004	Shad_tr29184_c0_g1_i4.p1	Hetdac_DN30125_c0_g1_i1.p1
OG0000004	Shad_tr13145_c0_g1_i5.p1	Hetdac_DN25550_c0_g1_i2.p2
OG0000004	Shad_tr108642_c0_g1_i1.p1	Hetdac_DN71809_c0_g1_i1.p2
OG0000004	Shad_tr47398_c0_g1_i2.p1	Hetdac_DN22736_c0_g1_i2.p1
OG0000004	Shad_tr25680_c0_g1_i1.p1, Shad_tr84438_c0_g1_i1.p1, Shad_tr34042_c0_g1_i1.p1, Shad_tr39747_c0_g1_i1.p1	Hetdac_DN16498_c0_g1_i3.p1
OG0000004	Shad_tr30691_c2_g1_i1.p1	Hetdac_DN19639_c0_g1_i3.p1
OG0000004	Shad_tr5661_c3_g1_i1.p1	Hetdac_DN76226_c0_g1_i1.p1
OG0000004	Shad_tr27205_c1_g1_i1.p1, Shad_tr13166_c1_g1_i1.p1	Hetdac_DN23205_c0_g1_i1.p1
OG0000004	Shad_tr17085_c0_g1_i15.p1	Hetdac_DN31431_c0_g1_i1.p1, Hetdac_DN84204_c0_g1_i1.p1
OG0000004	Shad_tr13166_c0_g1_i13.p1	Hetdac_DN26622_c0_g1_i2.p1
OG0000004	Shad_tr21522_c2_g1_i1.p1	Hetdac_DN72767_c0_g1_i1.p1
OG0000004	Shad_tr14565_c0_g1_i2.p1, Shad_tr8698_c1_g1_i2.p1, Shad_tr5965_c3_g1_i1.p1, Shad_tr26822_c2_g1_i1.p1	Hetdac_DN48051_c0_g1_i2.p1
OG0000005	Shad_tr2801_c1_g1_i3.p1	Hetdac_DN15769_c0_g1_i1.p1
OG0000005	Shad_tr26927_c0_g1_i1.p1	Hetdac_DN78492_c0_g1_i1.p1
OG0000005	Shad_tr32859_c0_g1_i6.p1	Hetdac_DN49265_c0_g1_i1.p1
OG0000005	Shad_tr8718_c1_g1_i4.p1	Hetdac_DN30971_c0_g1_i1.p1
OG0000005	Shad_tr22240_c0_g2_i1.p1	Hetdac_DN587_c1_g2_i1.p1
OG0000005	Shad_tr10349_c0_g2_i7.p1, Shad_tr6063_c0_g1_i2.p1	Hetdac_DN8323_c0_g1_i10.p1
OG0000005	Shad_tr42495_c0_g1_i2.p1	Hetdac_DN37518_c0_g1_i1.p1
OG0000005	Shad_tr42032_c0_g1_i2.p1	Hetdac_DN41715_c0_g1_i1.p1
OG0000005	Shad_tr10187_c0_g1_i5.p1	Hetdac_DN67995_c0_g1_i1.p1
OG0000005	Shad_tr47378_c0_g1_i1.p1	Hetdac_DN76114_c0_g1_i1.p1
OG0000006	Shad_tr25557_c0_g2_i1.p1	Hetdac_DN8461_c0_g1_i8.p1
OG0000006	Shad_tr10663_c1_g2_i2.p1	Hetdac_DN15860_c1_g1_i2.p1
OG0000006	Shad_tr17447_c1_g1_i11.p1, Shad_tr2839_c3_g1_i1.p1	Hetdac_DN7927_c0_g2_i2.p1
OG0000006	Shad_tr29428_c1_g2_i1.p1, Shad_tr78176_c0_g1_i1.p1, Shad_tr70926_c0_g1_i1.p1	Hetdac_DN39287_c0_g1_i2.p1
OG0000006	Shad_tr40187_c1_g2_i2.p1, Shad_tr19094_c1_g4_i1.p1	Hetdac_DN45652_c0_g1_i1.p1
OG0000006	Shad_tr9360_c0_g2_i9.p1	Hetdac_DN11324_c0_g1_i1.p1
OG0000007	Shad_tr16025_c0_g1_i1.p1	Hetdac_DN27405_c0_g1_i1.p1
OG0000007	Shad_tr27395_c0_g1_i1.p1	Hetdac_DN51827_c0_g1_i1.p1
OG0000007	Shad_tr2749_c1_g1_i1.p1	Hetdac_DN89601_c0_g1_i1.p1, Hetdac_DN82351_c0_g1_i1.p1
OG0000007	Shad_tr35237_c0_g2_i1.p1	Hetdac_DN29606_c0_g1_i1.p1
OG0000007	Shad_tr87403_c0_g1_i1.p1	Hetdac_DN83345_c0_g1_i1.p1
OG0000007	Shad_tr8688_c0_g2_i3.p1	Hetdac_DN42266_c0_g1_i1.p1
OG0000007	Shad_tr28462_c2_g1_i1.p1	Hetdac_DN26495_c0_g1_i3.p1
OG0000007	Shad_tr100866_c0_g1_i1.p1	Hetdac_DN51877_c0_g1_i1.p1
OG0000007	Shad_tr18436_c0_g1_i2.p1	Hetdac_DN70984_c0_g1_i1.p1
OG0000007	Shad_tr36106_c0_g1_i2.p1, Shad_tr4677_c2_g1_i1.p1	Hetdac_DN9943_c1_g1_i1.p1
OG0000007	Shad_tr36106_c2_g1_i2.p1	Hetdac_DN35573_c0_g1_i1.p1
OG0000007	Shad_tr64130_c0_g1_i1.p1	Hetdac_DN685_c3_g1_i1.p1
OG0000007	Shad_tr15166_c2_g1_i2.p1	Hetdac_DN88530_c0_g1_i1.p1
OG0000007	Shad_tr87301_c0_g1_i1.p1	Hetdac_DN35220_c0_g1_i1.p1
OG0000007	Shad_tr38195_c0_g1_i1.p1	Hetdac_DN34160_c0_g1_i1.p1
OG0000008	Shad_tr15555_c0_g3_i2.p1	Hetdac_DN16857_c0_g1_i1.p1
OG0000008	Shad_tr15555_c0_g2_i1.p1	Hetdac_DN11423_c0_g4_i1.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Hetdac_DN11423_c0_g1_i1.p1
OG0000008	Shad_tr7219_c0_g1_i3.p1	Hetdac_DN11423_c0_g2_i1.p1
OG0000008	Shad_tr15555_c1_g3_i1.p1	Hetdac_DN14894_c0_g1_i1.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Hetdac_DN19312_c0_g1_i2.p1
OG0000008	Shad_tr8884_c0_g3_i3.p1	Hetdac_DN9707_c0_g1_i3.p1
OG0000008	Shad_tr19205_c0_g1_i2.p1	Hetdac_DN25590_c0_g1_i1.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Hetdac_DN6699_c0_g1_i1.p1
OG0000008	Shad_tr8884_c0_g2_i5.p1	Hetdac_DN10943_c0_g1_i1.p1
OG0000008	Shad_tr6342_c0_g1_i3.p1	Hetdac_DN19146_c0_g2_i2.p1
OG0000009	Shad_tr36816_c0_g1_i1.p1	Hetdac_DN90_c0_g1_i2.p1
OG0000009	Shad_tr19460_c1_g1_i4.p1	Hetdac_DN20517_c0_g1_i3.p1
OG0000009	Shad_tr15412_c2_g1_i1.p1	Hetdac_DN78632_c0_g1_i1.p1
OG0000009	Shad_tr27825_c0_g1_i1.p1	Hetdac_DN25158_c0_g1_i1.p1
OG0000009	Shad_tr42149_c0_g2_i2.p1	Hetdac_DN68962_c0_g1_i1.p1
OG0000009	Shad_tr42259_c0_g1_i1.p1	Hetdac_DN72016_c0_g1_i1.p1
OG0000010	Shad_tr54979_c0_g1_i1.p1	Hetdac_DN55510_c0_g1_i1.p1
OG0000010	Shad_tr2839_c0_g2_i2.p1	Hetdac_DN52785_c0_g1_i1.p1
OG0000010	Shad_tr23640_c0_g1_i1.p1	Hetdac_DN26664_c0_g1_i2.p1
OG0000010	Shad_tr15980_c0_g4_i1.p1	Hetdac_DN18634_c0_g1_i1.p1
OG0000010	Shad_tr8024_c0_g2_i6.p1	Hetdac_DN8299_c1_g1_i1.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Hetdac_DN12633_c0_g1_i1.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Hetdac_DN8759_c0_g1_i2.p1
OG0000010	Shad_tr31771_c0_g1_i3.p1	Hetdac_DN69361_c0_g1_i1.p1
OG0000010	Shad_tr1427_c5_g1_i2.p1	Hetdac_DN70261_c0_g1_i2.p1
OG0000010	Shad_tr51748_c0_g1_i1.p1	Hetdac_DN56687_c0_g1_i2.p1
OG0000010	Shad_tr22541_c3_g1_i3.p1	Hetdac_DN12539_c0_g1_i3.p1
OG0000010	Shad_tr69948_c0_g1_i1.p1	Hetdac_DN29930_c0_g1_i1.p1
OG0000010	Shad_tr10798_c4_g1_i7.p1	Hetdac_DN10750_c0_g1_i4.p1
OG0000010	Shad_tr29233_c0_g1_i2.p1	Hetdac_DN84822_c0_g1_i1.p1
OG0000010	Shad_tr73_c19_g1_i3.p1	Hetdac_DN60927_c0_g1_i1.p1
OG0000010	Shad_tr23864_c0_g1_i1.p1	Hetdac_DN61575_c0_g1_i1.p1
OG0000011	Shad_tr21291_c0_g1_i1.p1	Hetdac_DN73867_c0_g1_i1.p1
OG0000011	Shad_tr1132_c0_g1_i13.p1	Hetdac_DN16531_c0_g1_i1.p1
OG0000011	Shad_tr19076_c0_g2_i11.p1	Hetdac_DN21740_c0_g1_i1.p1
OG0000011	Shad_tr32278_c0_g1_i2.p1	Hetdac_DN8275_c0_g1_i2.p1
OG0000011	Shad_tr11490_c0_g1_i3.p1	Hetdac_DN7139_c0_g1_i1.p1
OG0000011	Shad_tr2056_c1_g1_i5.p1	Hetdac_DN33458_c0_g1_i2.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Hetdac_DN11599_c0_g1_i2.p1
OG0000011	Shad_tr2992_c1_g5_i1.p1	Hetdac_DN5904_c0_g1_i1.p1
OG0000011	Shad_tr6064_c1_g1_i1.p1	Hetdac_DN6903_c0_g1_i1.p1
OG0000011	Shad_tr3847_c0_g1_i2.p1	Hetdac_DN21956_c1_g1_i6.p1
OG0000011	Shad_tr12213_c0_g1_i1.p1	Hetdac_DN4986_c0_g1_i5.p1
OG0000011	Shad_tr11801_c0_g1_i5.p1	Hetdac_DN21956_c0_g1_i2.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1	Hetdac_DN6876_c0_g1_i3.p1
OG0000011	Shad_tr216_c0_g1_i7.p1	Hetdac_DN10812_c0_g1_i3.p1
OG0000012	Shad_tr30303_c5_g1_i1.p1	Hetdac_DN78697_c0_g1_i1.p1
OG0000012	Shad_tr34742_c0_g1_i2.p1, Shad_tr33830_c1_g1_i2.p2, Shad_tr41967_c2_g1_i1.p1	Hetdac_DN62031_c0_g1_i1.p1
OG0000012	Shad_tr22725_c0_g1_i1.p1	Hetdac_DN29239_c0_g1_i1.p1
OG0000012	Shad_tr8097_c0_g3_i1.p1, Shad_tr43858_c0_g1_i1.p1	Hetdac_DN23814_c0_g1_i1.p1
OG0000012	Shad_tr45250_c0_g1_i1.p2, Shad_tr5985_c6_g1_i1.p2, Shad_tr24898_c0_g1_i2.p1	Hetdac_DN12689_c0_g1_i2.p1
OG0000013	Shad_tr52378_c0_g1_i3.p1	Hetdac_DN82936_c0_g1_i1.p1, Hetdac_DN75635_c0_g1_i1.p1
OG0000013	Shad_tr19583_c0_g1_i2.p1	Hetdac_DN59494_c0_g1_i1.p1
OG0000013	Shad_tr8307_c0_g2_i6.p1	Hetdac_DN15940_c0_g3_i1.p1
OG0000013	Shad_tr20229_c0_g1_i1.p1	Hetdac_DN78438_c0_g1_i1.p1
OG0000013	Shad_tr8307_c0_g5_i1.p1, Shad_tr8307_c0_g4_i1.p1	Hetdac_DN39625_c0_g1_i1.p1, Hetdac_DN17907_c0_g1_i1.p1
OG0000013	Shad_tr18161_c0_g1_i1.p1	Hetdac_DN2761_c0_g1_i10.p1
OG0000013	Shad_tr32404_c1_g1_i3.p1	Hetdac_DN29736_c0_g1_i1.p1
OG0000013	Shad_tr44181_c0_g1_i1.p1	Hetdac_DN66711_c0_g1_i1.p1
OG0000013	Shad_tr1935_c0_g2_i1.p1	Hetdac_DN4682_c1_g1_i7.p1
OG0000013	Shad_tr1935_c0_g3_i1.p1, Shad_tr3753_c0_g3_i1.p1	Hetdac_DN11271_c0_g1_i2.p1
OG0000013	Shad_tr16577_c0_g1_i1.p1	Hetdac_DN4682_c0_g1_i1.p1
OG0000013	Shad_tr10327_c1_g1_i2.p1	Hetdac_DN4682_c0_g2_i1.p1
OG0000013	Shad_tr3753_c0_g1_i2.p1	Hetdac_DN22036_c0_g1_i1.p1
OG0000014	Shad_tr32849_c0_g2_i1.p1	Hetdac_DN21331_c0_g1_i2.p2
OG0000014	Shad_tr44809_c0_g1_i1.p1, Shad_tr38687_c0_g1_i3.p1	Hetdac_DN63245_c0_g1_i1.p1
OG0000014	Shad_tr57926_c0_g1_i1.p1	Hetdac_DN47651_c0_g1_i1.p1
OG0000015	Shad_tr2954_c8_g1_i1.p1	Hetdac_DN48787_c0_g1_i1.p1
OG0000015	Shad_tr38453_c0_g1_i1.p1	Hetdac_DN9110_c0_g1_i1.p1
OG0000015	Shad_tr44536_c0_g1_i4.p1	Hetdac_DN14565_c0_g1_i9.p1
OG0000015	Shad_tr20550_c0_g3_i2.p1	Hetdac_DN6788_c0_g1_i1.p1, Hetdac_DN13368_c0_g1_i1.p1
OG0000015	Shad_tr53130_c0_g1_i1.p1	Hetdac_DN31771_c0_g1_i1.p1
OG0000015	Shad_tr10919_c1_g1_i1.p1, Shad_tr84705_c0_g1_i1.p1	Hetdac_DN23808_c0_g1_i1.p1
OG0000015	Shad_tr23092_c0_g3_i2.p1	Hetdac_DN30435_c0_g1_i1.p1
OG0000015	Shad_tr68533_c0_g1_i1.p1	Hetdac_DN54264_c0_g1_i1.p1
OG0000015	Shad_tr91068_c0_g1_i1.p1	Hetdac_DN40809_c0_g1_i1.p1, Hetdac_DN28753_c0_g1_i1.p1
OG0000016	Shad_tr35173_c0_g2_i1.p1	Hetdac_DN2616_c0_g1_i1.p1
OG0000016	Shad_tr36090_c0_g1_i7.p1	Hetdac_DN25478_c0_g1_i1.p1
