Orthogroup	Stichodactyla_haddoni_longest_pep	Macrodactyla_doreensis_longest_pep
OG0000000	Shad_tr8439_c0_g1_i5.p1	Macdac_DN1211_c1_g1_i1.p1
OG0000000	Shad_tr9207_c0_g1_i10.p1	Macdac_DN18344_c0_g1_i1.p1
OG0000000	Shad_tr29519_c0_g2_i1.p1	Macdac_DN19165_c0_g1_i1.p2, Macdac_DN10527_c0_g1_i4.p1
OG0000000	Shad_tr11061_c0_g1_i2.p1	Macdac_DN35240_c0_g3_i1.p1
OG0000000	Shad_tr74833_c0_g1_i1.p1	Macdac_DN24993_c0_g2_i1.p1
OG0000000	Shad_tr8879_c1_g1_i4.p1	Macdac_DN18344_c0_g2_i3.p1
OG0000000	Shad_tr29962_c0_g2_i1.p1	Macdac_DN31575_c0_g2_i1.p1, Macdac_DN1180_c1_g1_i1.p1, Macdac_DN22533_c0_g5_i1.p1
OG0000000	Shad_tr27031_c0_g2_i4.p1	Macdac_DN34304_c0_g1_i1.p1
OG0000000	Shad_tr43628_c5_g1_i1.p1	Macdac_DN27874_c0_g2_i1.p1
OG0000000	Shad_tr8644_c2_g1_i1.p1, Shad_tr94573_c0_g1_i1.p1	Macdac_DN51551_c0_g1_i1.p1
OG0000001	Shad_tr96939_c0_g1_i1.p1, Shad_tr35115_c2_g1_i1.p1	Macdac_DN5751_c1_g1_i1.p1
OG0000001	Shad_tr37417_c0_g2_i1.p1	Macdac_DN24973_c0_g3_i1.p1
OG0000001	Shad_tr76627_c0_g1_i1.p1, Shad_tr84822_c0_g1_i1.p1, Shad_tr64127_c0_g1_i1.p1	Macdac_DN11857_c0_g2_i1.p1
OG0000001	Shad_tr105103_c0_g1_i1.p1	Macdac_DN37734_c0_g1_i2.p1
OG0000001	Shad_tr67018_c0_g1_i1.p1	Macdac_DN19587_c0_g6_i1.p1, Macdac_DN3167_c0_g1_i6.p1
OG0000001	Shad_tr14305_c0_g1_i11.p1	Macdac_DN38080_c0_g1_i1.p1, Macdac_DN3761_c0_g1_i1.p1
OG0000001	Shad_tr62708_c0_g1_i1.p1	Macdac_DN23344_c0_g1_i5.p1
OG0000001	Shad_tr42064_c0_g1_i1.p1	Macdac_DN1188_c2_g1_i1.p1
OG0000001	Shad_tr34383_c0_g1_i3.p1, Shad_tr34383_c0_g2_i1.p1	Macdac_DN12429_c1_g1_i6.p1, Macdac_DN5842_c0_g5_i1.p1
OG0000001	Shad_tr6850_c1_g1_i17.p1, Shad_tr3982_c0_g1_i4.p1	Macdac_DN25018_c0_g1_i1.p1
OG0000001	Shad_tr16600_c0_g1_i2.p1	Macdac_DN184_c2_g1_i5.p1
OG0000001	Shad_tr8639_c1_g1_i2.p1	Macdac_DN19006_c0_g1_i1.p1
OG0000001	Shad_tr46277_c0_g1_i1.p1	Macdac_DN8739_c0_g1_i2.p1, Macdac_DN5745_c0_g1_i2.p1
OG0000001	Shad_tr54231_c0_g1_i1.p1	Macdac_DN15627_c1_g1_i5.p1
OG0000001	Shad_tr4472_c1_g1_i3.p1	Macdac_DN23344_c0_g3_i1.p1
OG0000001	Shad_tr62603_c0_g1_i1.p1, Shad_tr108137_c0_g1_i1.p1	Macdac_DN21010_c0_g3_i1.p1
OG0000001	Shad_tr16900_c0_g2_i2.p1, Shad_tr45810_c0_g1_i1.p1	Macdac_DN23917_c0_g3_i1.p1
OG0000001	Shad_tr24245_c0_g1_i1.p1	Macdac_DN579_c0_g1_i7.p1
OG0000001	Shad_tr15042_c0_g1_i1.p1, Shad_tr34781_c0_g1_i1.p1	Macdac_DN1893_c1_g1_i1.p1
OG0000001	Shad_tr4501_c6_g1_i1.p1	Macdac_DN38142_c0_g3_i1.p1
OG0000001	Shad_tr30555_c0_g1_i1.p1, Shad_tr4709_c0_g1_i24.p1	Macdac_DN26693_c0_g2_i1.p1
OG0000001	Shad_tr35615_c0_g1_i2.p1	Macdac_DN19099_c0_g1_i1.p1
OG0000001	Shad_tr39187_c1_g2_i1.p1, Shad_tr47262_c0_g1_i2.p1	Macdac_DN30226_c0_g1_i1.p1
OG0000001	Shad_tr71816_c0_g1_i1.p1	Macdac_DN23160_c0_g1_i1.p1
OG0000001	Shad_tr68933_c0_g1_i1.p2	Macdac_DN2231_c1_g1_i4.p1
OG0000001	Shad_tr37417_c0_g1_i1.p1	Macdac_DN20944_c0_g1_i3.p1
OG0000001	Shad_tr9232_c0_g1_i4.p1	Macdac_DN1755_c1_g1_i2.p1
OG0000001	Shad_tr13620_c0_g1_i13.p1	Macdac_DN19006_c0_g2_i5.p1
OG0000001	Shad_tr93128_c0_g1_i1.p2	Macdac_DN27472_c0_g1_i1.p1
OG0000001	Shad_tr4222_c0_g1_i10.p1	Macdac_DN10533_c0_g1_i2.p1
OG0000001	Shad_tr115137_c0_g1_i1.p1	Macdac_DN24973_c0_g2_i1.p1
OG0000002	Shad_tr8207_c0_g1_i3.p1	Macdac_DN2747_c0_g1_i4.p1
OG0000002	Shad_tr44303_c0_g1_i1.p1, Shad_tr9985_c1_g1_i1.p1	Macdac_DN2709_c0_g1_i2.p1
OG0000002	Shad_tr5174_c1_g1_i1.p1	Macdac_DN37374_c0_g3_i1.p1
OG0000002	Shad_tr33413_c0_g1_i1.p1	Macdac_DN8810_c0_g2_i4.p1
OG0000002	Shad_tr16090_c0_g2_i1.p1	Macdac_DN35616_c0_g3_i1.p1
OG0000002	Shad_tr47726_c0_g2_i1.p1	Macdac_DN25070_c0_g3_i1.p1, Macdac_DN37356_c1_g2_i1.p1
OG0000002	Shad_tr12531_c1_g1_i2.p1	Macdac_DN40008_c0_g3_i1.p1, Macdac_DN8810_c0_g3_i1.p1
OG0000002	Shad_tr50306_c0_g1_i2.p1	Macdac_DN10437_c0_g3_i4.p1
OG0000002	Shad_tr12774_c0_g2_i2.p1	Macdac_DN25184_c0_g2_i2.p1
OG0000002	Shad_tr100500_c0_g1_i3.p1	Macdac_DN36044_c0_g1_i2.p1
OG0000002	Shad_tr53113_c1_g1_i1.p1, Shad_tr22233_c0_g1_i6.p1	Macdac_DN5470_c2_g2_i1.p1
OG0000002	Shad_tr19797_c0_g1_i13.p1	Macdac_DN4309_c0_g2_i2.p1
OG0000002	Shad_tr33251_c1_g1_i2.p1, Shad_tr9407_c0_g1_i12.p1, Shad_tr32353_c0_g1_i1.p1	Macdac_DN14058_c0_g1_i1.p1
OG0000002	Shad_tr17594_c1_g1_i1.p1, Shad_tr17594_c0_g1_i9.p1	Macdac_DN12974_c0_g2_i1.p1
OG0000002	Shad_tr16225_c0_g1_i1.p1	Macdac_DN1021_c0_g1_i1.p1
OG0000002	Shad_tr25036_c0_g1_i5.p1	Macdac_DN24240_c0_g1_i2.p1
OG0000002	Shad_tr3482_c0_g2_i5.p1	Macdac_DN7336_c1_g1_i3.p1
OG0000002	Shad_tr50646_c2_g2_i1.p1	Macdac_DN6972_c0_g1_i1.p1
OG0000002	Shad_tr30264_c1_g2_i6.p1	Macdac_DN32007_c0_g2_i2.p1, Macdac_DN29708_c0_g1_i1.p1, Macdac_DN12974_c0_g1_i1.p1
OG0000002	Shad_tr86016_c0_g1_i1.p1, Shad_tr47022_c0_g1_i5.p1, Shad_tr38889_c0_g1_i5.p1	Macdac_DN7566_c0_g1_i1.p1
OG0000002	Shad_tr94789_c0_g1_i1.p1, Shad_tr83401_c0_g1_i1.p1	Macdac_DN5470_c2_g1_i2.p1
OG0000002	Shad_tr47726_c0_g1_i1.p1	Macdac_DN26066_c0_g2_i1.p1
OG0000002	Shad_tr15359_c0_g2_i1.p1	Macdac_DN19424_c0_g4_i1.p1
OG0000002	Shad_tr34416_c2_g1_i1.p1	Macdac_DN7195_c0_g1_i7.p1
OG0000002	Shad_tr32952_c3_g1_i6.p1	Macdac_DN6317_c0_g1_i4.p1
OG0000002	Shad_tr7283_c0_g1_i12.p1, Shad_tr4412_c9_g1_i2.p1	Macdac_DN2550_c0_g1_i7.p1
OG0000002	Shad_tr38188_c0_g2_i2.p1	Macdac_DN10338_c0_g1_i3.p1
OG0000002	Shad_tr9740_c0_g2_i2.p1	Macdac_DN47097_c0_g1_i3.p1
OG0000002	Shad_tr16063_c0_g1_i12.p1	Macdac_DN19905_c0_g2_i1.p1
OG0000002	Shad_tr9885_c1_g1_i1.p1	Macdac_DN14453_c0_g2_i1.p1
OG0000003	Shad_tr8436_c2_g1_i2.p1	Macdac_DN25849_c0_g1_i1.p1
OG0000003	Shad_tr16415_c2_g1_i2.p1	Macdac_DN3527_c1_g1_i10.p1
OG0000003	Shad_tr1184_c0_g1_i5.p1, Shad_tr8902_c1_g1_i4.p1	Macdac_DN6876_c0_g1_i3.p1
OG0000003	Shad_tr31539_c0_g1_i4.p1, Shad_tr3966_c0_g5_i2.p1	Macdac_DN6096_c0_g2_i7.p1
OG0000003	Shad_tr25371_c0_g1_i5.p1	Macdac_DN30592_c0_g3_i3.p1
OG0000003	Shad_tr83431_c0_g1_i1.p1	Macdac_DN29884_c0_g2_i1.p1
OG0000003	Shad_tr9802_c0_g1_i7.p1	Macdac_DN4704_c0_g1_i5.p1
OG0000003	Shad_tr45996_c0_g1_i3.p1	Macdac_DN41954_c0_g2_i2.p1
OG0000003	Shad_tr6906_c2_g1_i6.p1	Macdac_DN25927_c0_g3_i1.p1
OG0000003	Shad_tr55304_c0_g1_i6.p1	Macdac_DN33245_c0_g1_i3.p1
OG0000003	Shad_tr8779_c0_g1_i2.p1	Macdac_DN34400_c0_g1_i1.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Macdac_DN7991_c4_g1_i1.p1
OG0000003	Shad_tr1233_c10_g1_i4.p1	Macdac_DN29773_c1_g3_i1.p1
OG0000003	Shad_tr3554_c0_g1_i19.p1	Macdac_DN1888_c0_g1_i5.p1
OG0000004	Shad_tr97815_c0_g1_i1.p1	Macdac_DN19014_c1_g1_i1.p1
OG0000004	Shad_tr35099_c0_g2_i1.p1, Shad_tr37267_c0_g1_i1.p1	Macdac_DN25996_c1_g2_i1.p1
OG0000004	Shad_tr29184_c0_g1_i4.p1	Macdac_DN37945_c1_g2_i1.p1
OG0000004	Shad_tr81197_c0_g1_i1.p1	Macdac_DN19014_c1_g2_i1.p1
OG0000004	Shad_tr48353_c0_g2_i1.p1	Macdac_DN36034_c0_g2_i1.p1
OG0000004	Shad_tr24789_c1_g1_i10.p1, Shad_tr13166_c0_g1_i13.p1, Shad_tr38415_c0_g1_i1.p1, Shad_tr21522_c2_g1_i1.p1, Shad_tr6562_c1_g2_i2.p1	Macdac_DN50829_c0_g2_i1.p1
OG0000004	Shad_tr26996_c0_g1_i1.p2, Shad_tr32172_c0_g1_i2.p1, Shad_tr45077_c0_g1_i1.p1	Macdac_DN34191_c0_g2_i1.p1
OG0000005	Shad_tr2801_c1_g1_i3.p1	Macdac_DN1727_c0_g1_i1.p1
OG0000005	Shad_tr26927_c0_g1_i1.p1	Macdac_DN30922_c0_g2_i2.p1
OG0000005	Shad_tr1418_c0_g1_i1.p1	Macdac_DN29263_c0_g1_i1.p1
OG0000005	Shad_tr54580_c0_g1_i1.p1	Macdac_DN1284_c1_g3_i1.p1
OG0000005	Shad_tr8716_c1_g1_i2.p1	Macdac_DN9633_c0_g3_i1.p1
OG0000005	Shad_tr22240_c0_g2_i1.p1	Macdac_DN22579_c0_g2_i1.p1
OG0000005	Shad_tr10349_c0_g2_i7.p1	Macdac_DN5245_c0_g5_i1.p1
OG0000005	Shad_tr42495_c0_g1_i2.p1	Macdac_DN4527_c0_g1_i2.p1
OG0000005	Shad_tr17588_c0_g1_i2.p1	Macdac_DN23345_c0_g2_i1.p1
OG0000005	Shad_tr42032_c0_g1_i2.p1	Macdac_DN21031_c0_g1_i1.p1
OG0000005	Shad_tr83698_c0_g1_i1.p1	Macdac_DN23599_c0_g2_i1.p1
OG0000006	Shad_tr2850_c1_g1_i1.p1, Shad_tr109586_c0_g1_i1.p1	Macdac_DN21666_c0_g1_i1.p1
OG0000006	Shad_tr25557_c0_g2_i1.p1	Macdac_DN780_c6_g1_i4.p1
OG0000006	Shad_tr25563_c0_g1_i5.p1, Shad_tr25563_c0_g2_i5.p1	Macdac_DN6083_c0_g1_i4.p1, Macdac_DN55_c0_g1_i8.p1, Macdac_DN16104_c0_g1_i4.p1
OG0000006	Shad_tr15712_c3_g1_i1.p1	Macdac_DN2049_c0_g1_i6.p1
OG0000006	Shad_tr13326_c1_g2_i7.p1	Macdac_DN8780_c0_g1_i3.p1
OG0000006	Shad_tr17447_c1_g1_i11.p1, Shad_tr2839_c3_g1_i1.p1	Macdac_DN2039_c3_g1_i2.p1
OG0000006	Shad_tr29428_c1_g2_i1.p1, Shad_tr78176_c0_g1_i1.p1, Shad_tr70926_c0_g1_i1.p1	Macdac_DN40344_c0_g3_i1.p1
OG0000006	Shad_tr39147_c0_g1_i1.p1	Macdac_DN36106_c2_g1_i1.p1
OG0000006	Shad_tr40187_c1_g2_i2.p1, Shad_tr19094_c1_g4_i1.p1	Macdac_DN45258_c0_g1_i1.p1
OG0000007	Shad_tr112002_c0_g1_i1.p1	Macdac_DN16593_c0_g1_i5.p1
OG0000007	Shad_tr9482_c0_g1_i10.p1	Macdac_DN1471_c3_g1_i1.p1
OG0000007	Shad_tr57168_c0_g1_i1.p1, Shad_tr86959_c0_g1_i1.p1	Macdac_DN10752_c0_g4_i1.p1
OG0000007	Shad_tr27395_c0_g1_i1.p1	Macdac_DN10752_c0_g1_i2.p1
OG0000007	Shad_tr2749_c1_g2_i1.p1	Macdac_DN10752_c0_g5_i1.p1
OG0000007	Shad_tr2749_c1_g1_i1.p1	Macdac_DN10752_c0_g3_i1.p1
OG0000007	Shad_tr35237_c0_g2_i1.p1	Macdac_DN10752_c0_g2_i1.p1
OG0000007	Shad_tr4677_c2_g1_i1.p1	Macdac_DN9167_c0_g2_i2.p1
OG0000007	Shad_tr9775_c0_g1_i1.p1	Macdac_DN21718_c0_g2_i2.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Macdac_DN11121_c0_g3_i1.p1, Macdac_DN7624_c0_g1_i1.p1
OG0000008	Shad_tr7219_c0_g1_i3.p1	Macdac_DN11614_c0_g2_i1.p1
OG0000008	Shad_tr15555_c1_g3_i1.p1	Macdac_DN9273_c0_g2_i1.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Macdac_DN24038_c1_g1_i1.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Macdac_DN21612_c0_g2_i1.p1
OG0000008	Shad_tr8884_c0_g2_i5.p1	Macdac_DN3444_c0_g1_i2.p1
OG0000008	Shad_tr46476_c0_g2_i1.p1	Macdac_DN23090_c0_g1_i2.p1
OG0000008	Shad_tr6342_c0_g1_i3.p1	Macdac_DN15299_c0_g1_i1.p1
OG0000009	Shad_tr27825_c0_g1_i1.p1	Macdac_DN24041_c0_g1_i1.p1
OG0000010	Shad_tr50345_c0_g1_i2.p1	Macdac_DN25813_c0_g1_i2.p1
OG0000010	Shad_tr2839_c0_g2_i2.p1	Macdac_DN1345_c0_g1_i4.p1
OG0000010	Shad_tr15980_c0_g4_i1.p1	Macdac_DN27130_c0_g2_i2.p1
OG0000010	Shad_tr8024_c0_g2_i6.p1	Macdac_DN14659_c0_g3_i1.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Macdac_DN26488_c0_g1_i1.p1
OG0000010	Shad_tr1427_c5_g1_i2.p1	Macdac_DN17826_c0_g2_i1.p2
OG0000010	Shad_tr51748_c0_g1_i1.p1	Macdac_DN1192_c3_g1_i1.p1
OG0000010	Shad_tr24708_c0_g3_i1.p1, Shad_tr22541_c3_g1_i3.p1, Shad_tr69948_c0_g1_i1.p1	Macdac_DN4200_c1_g1_i1.p1
OG0000010	Shad_tr10798_c4_g1_i7.p1	Macdac_DN18693_c0_g1_i2.p1
OG0000010	Shad_tr73_c19_g1_i3.p1	Macdac_DN166_c0_g1_i1.p1
OG0000011	Shad_tr21291_c0_g1_i1.p1	Macdac_DN2932_c0_g1_i15.p1
OG0000011	Shad_tr1132_c0_g1_i13.p1	Macdac_DN7375_c1_g1_i3.p1
OG0000011	Shad_tr32278_c0_g1_i2.p1	Macdac_DN10728_c0_g3_i1.p1
OG0000011	Shad_tr11490_c0_g1_i3.p1	Macdac_DN23956_c0_g1_i1.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Macdac_DN9783_c0_g1_i16.p1
OG0000011	Shad_tr40287_c0_g1_i1.p1	Macdac_DN45691_c0_g1_i1.p1
OG0000011	Shad_tr2992_c1_g5_i1.p1	Macdac_DN12252_c0_g1_i4.p1
OG0000011	Shad_tr6064_c1_g1_i1.p1	Macdac_DN17423_c0_g1_i1.p1
OG0000011	Shad_tr12213_c0_g1_i1.p1	Macdac_DN10255_c1_g1_i1.p1
OG0000011	Shad_tr11801_c0_g1_i5.p1	Macdac_DN27301_c0_g1_i1.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1	Macdac_DN11149_c1_g1_i1.p1
OG0000011	Shad_tr216_c0_g1_i7.p1	Macdac_DN86_c0_g1_i1.p1
OG0000011	Shad_tr6003_c0_g1_i16.p1, Shad_tr3827_c0_g1_i11.p1, Shad_tr28266_c0_g1_i1.p1	Macdac_DN14409_c0_g6_i1.p1, Macdac_DN14409_c0_g5_i1.p1
OG0000011	Shad_tr1481_c2_g1_i1.p1	Macdac_DN11149_c1_g2_i1.p1
OG0000012	Shad_tr31893_c5_g1_i1.p1	Macdac_DN19803_c1_g1_i1.p1
OG0000012	Shad_tr47541_c0_g1_i1.p1, Shad_tr2784_c0_g1_i2.p1	Macdac_DN7816_c0_g1_i4.p1
OG0000012	Shad_tr12515_c0_g1_i1.p1	Macdac_DN5538_c0_g2_i2.p1
OG0000012	Shad_tr22725_c0_g1_i1.p1	Macdac_DN1504_c0_g3_i1.p1
OG0000012	Shad_tr14545_c1_g1_i3.p1, Shad_tr5985_c0_g1_i7.p1	Macdac_DN2036_c1_g2_i5.p1
OG0000013	Shad_tr8307_c0_g2_i6.p1	Macdac_DN18298_c0_g1_i1.p1
OG0000013	Shad_tr8307_c0_g5_i1.p1, Shad_tr8307_c0_g4_i1.p1	Macdac_DN6754_c0_g1_i1.p1
OG0000013	Shad_tr6482_c0_g2_i4.p1, Shad_tr18161_c0_g1_i1.p1	Macdac_DN12563_c0_g1_i1.p1
OG0000013	Shad_tr8307_c0_g1_i1.p1, Shad_tr17051_c0_g2_i1.p1, Shad_tr17051_c0_g1_i3.p1, Shad_tr17051_c0_g3_i1.p1	Macdac_DN455_c1_g1_i4.p1
OG0000013	Shad_tr24875_c1_g1_i1.p1	Macdac_DN11528_c0_g3_i1.p1, Macdac_DN531_c0_g4_i1.p1
OG0000013	Shad_tr21099_c0_g1_i8.p1	Macdac_DN1515_c0_g1_i1.p1, Macdac_DN9977_c0_g2_i1.p1, Macdac_DN24289_c0_g1_i1.p1, Macdac_DN4776_c0_g1_i4.p1
OG0000013	Shad_tr1935_c0_g2_i1.p1	Macdac_DN531_c2_g1_i1.p1
OG0000013	Shad_tr1935_c0_g3_i1.p1, Shad_tr3753_c0_g3_i1.p1	Macdac_DN16388_c0_g1_i3.p1
OG0000014	Shad_tr34282_c1_g1_i2.p1	Macdac_DN28280_c0_g3_i1.p1
OG0000014	Shad_tr35511_c0_g1_i1.p1	Macdac_DN1414_c0_g3_i1.p1
OG0000014	Shad_tr30525_c0_g1_i1.p1	Macdac_DN10836_c0_g1_i5.p1
OG0000014	Shad_tr32849_c0_g2_i1.p1	Macdac_DN42470_c0_g1_i1.p1
OG0000014	Shad_tr44809_c0_g1_i1.p1	Macdac_DN26467_c0_g1_i2.p1
OG0000014	Shad_tr86159_c0_g1_i1.p1	Macdac_DN16717_c1_g2_i2.p1
OG0000015	Shad_tr31227_c0_g3_i1.p1	Macdac_DN9524_c0_g2_i1.p1
OG0000015	Shad_tr68533_c0_g1_i1.p1, Shad_tr97967_c0_g1_i1.p1	Macdac_DN29282_c0_g3_i1.p1
OG0000015	Shad_tr91068_c0_g1_i1.p1	Macdac_DN42353_c0_g2_i1.p1
OG0000016	Shad_tr35173_c0_g2_i1.p1	Macdac_DN32354_c0_g1_i1.p1, Macdac_DN32354_c0_g2_i1.p1
OG0000016	Shad_tr36090_c0_g1_i7.p1	Macdac_DN36568_c0_g1_i1.p1
OG0000016	Shad_tr104832_c0_g1_i1.p1	Macdac_DN8949_c0_g3_i1.p1
OG0000016	Shad_tr13915_c1_g1_i1.p3, Shad_tr13915_c1_g4_i2.p1	Macdac_DN8949_c0_g1_i2.p1
OG0000016	Shad_tr30195_c0_g1_i1.p1	Macdac_DN33448_c0_g1_i1.p1
OG0000016	Shad_tr20659_c0_g1_i29.p1	Macdac_DN46539_c0_g1_i1.p1, Macdac_DN22816_c0_g5_i1.p1, Macdac_DN22816_c0_g3_i1.p1, Macdac_DN22816_c0_g1_i3.p1
OG0000017	Shad_tr33974_c1_g2_i1.p1, Shad_tr30509_c0_g1_i1.p2, Shad_tr6984_c0_g3_i1.p2	Macdac_DN20569_c0_g1_i5.p2
OG0000018	Shad_tr22586_c2_g3_i1.p1	Macdac_DN49002_c0_g1_i2.p1
OG0000018	Shad_tr42991_c0_g1_i10.p1	Macdac_DN8864_c0_g2_i3.p1, Macdac_DN21731_c0_g1_i1.p1
OG0000018	Shad_tr28733_c0_g1_i2.p1	Macdac_DN14418_c0_g2_i1.p1
OG0000018	Shad_tr36296_c0_g1_i3.p1	Macdac_DN46411_c0_g1_i1.p1
OG0000018	Shad_tr34599_c0_g2_i1.p1	Macdac_DN22356_c0_g1_i1.p1
OG0000018	Shad_tr177_c0_g1_i2.p1	Macdac_DN24589_c0_g3_i1.p1
OG0000019	Shad_tr11442_c1_g1_i2.p1, Shad_tr15359_c0_g1_i2.p1	Macdac_DN7850_c0_g1_i9.p1
OG0000019	Shad_tr50567_c3_g1_i1.p1, Shad_tr28512_c2_g3_i1.p2	Macdac_DN34321_c0_g1_i1.p1
OG0000020	Shad_tr4487_c0_g1_i2.p1	Macdac_DN929_c0_g2_i14.p1
OG0000020	Shad_tr21849_c0_g1_i2.p1	Macdac_DN10953_c1_g2_i1.p1
OG0000020	Shad_tr17595_c0_g1_i1.p1	Macdac_DN3906_c0_g1_i10.p1
OG0000020	Shad_tr12863_c2_g1_i1.p1	Macdac_DN9933_c1_g1_i4.p1
OG0000020	Shad_tr30362_c0_g1_i7.p1	Macdac_DN19543_c0_g2_i2.p1
OG0000020	Shad_tr10844_c0_g1_i2.p1	Macdac_DN3587_c0_g1_i6.p1
OG0000020	Shad_tr44275_c0_g2_i3.p1	Macdac_DN1547_c1_g1_i1.p1
OG0000020	Shad_tr9299_c0_g1_i16.p1	Macdac_DN23736_c0_g1_i1.p1
OG0000020	Shad_tr16412_c1_g1_i1.p1	Macdac_DN16494_c0_g1_i2.p1
OG0000021	Shad_tr33278_c0_g3_i2.p1, Shad_tr16909_c0_g2_i3.p1, Shad_tr22117_c1_g1_i1.p1	Macdac_DN36472_c1_g1_i1.p1, Macdac_DN26365_c0_g2_i1.p2
OG0000021	Shad_tr9759_c3_g1_i1.p1	Macdac_DN24061_c0_g1_i1.p1
OG0000021	Shad_tr31633_c0_g1_i1.p1	Macdac_DN28837_c0_g1_i1.p1
OG0000021	Shad_tr19711_c1_g2_i10.p1	Macdac_DN34490_c0_g1_i1.p1
OG0000021	Shad_tr16944_c0_g1_i4.p1	Macdac_DN9643_c0_g1_i2.p2
OG0000021	Shad_tr23612_c0_g1_i1.p1, Shad_tr25904_c3_g1_i1.p1, Shad_tr20553_c1_g1_i1.p1, Shad_tr25904_c0_g1_i2.p1, Shad_tr43471_c0_g1_i1.p1	Macdac_DN36184_c0_g5_i1.p2
OG0000021	Shad_tr86260_c0_g1_i1.p1	Macdac_DN33058_c0_g1_i5.p1
OG0000021	Shad_tr33278_c0_g2_i1.p1	Macdac_DN29487_c0_g1_i1.p1
OG0000022	Shad_tr47011_c0_g1_i1.p1	Macdac_DN26012_c0_g2_i1.p1
OG0000022	Shad_tr57811_c0_g2_i1.p1	Macdac_DN46243_c0_g1_i1.p1
OG0000022	Shad_tr6315_c0_g1_i11.p1	Macdac_DN33876_c0_g5_i1.p1
OG0000022	Shad_tr16040_c0_g1_i2.p1	Macdac_DN906_c1_g2_i1.p1
OG0000022	Shad_tr33937_c0_g1_i2.p1	Macdac_DN16757_c0_g2_i1.p1
OG0000022	Shad_tr10152_c0_g1_i5.p1	Macdac_DN26246_c0_g1_i1.p1
OG0000022	Shad_tr51852_c1_g1_i1.p1	Macdac_DN23820_c0_g4_i1.p1
OG0000022	Shad_tr28775_c0_g1_i5.p1	Macdac_DN4962_c0_g4_i1.p1
OG0000023	Shad_tr7844_c3_g2_i6.p1, Shad_tr55330_c0_g1_i1.p1	Macdac_DN2988_c0_g1_i3.p1
OG0000023	Shad_tr30783_c0_g2_i1.p1, Shad_tr9054_c0_g1_i4.p1	Macdac_DN2531_c0_g1_i10.p1
OG0000023	Shad_tr6542_c0_g2_i5.p1	Macdac_DN8234_c1_g1_i18.p1
OG0000023	Shad_tr33176_c0_g1_i6.p1	Macdac_DN18919_c0_g1_i1.p2
OG0000023	Shad_tr10760_c0_g1_i6.p1	Macdac_DN22116_c0_g1_i1.p1
OG0000023	Shad_tr36512_c1_g2_i3.p1	Macdac_DN21019_c0_g2_i1.p1
OG0000023	Shad_tr13538_c2_g1_i2.p1	Macdac_DN56294_c0_g1_i1.p1, Macdac_DN21019_c0_g1_i5.p1
OG0000023	Shad_tr20068_c3_g1_i1.p1	Macdac_DN17978_c1_g2_i3.p1
OG0000023	Shad_tr81378_c0_g1_i1.p1	Macdac_DN34941_c0_g2_i1.p1
OG0000023	Shad_tr7480_c0_g1_i7.p1	Macdac_DN33856_c0_g1_i3.p1
OG0000023	Shad_tr11574_c0_g1_i3.p1	Macdac_DN11652_c0_g1_i2.p1
