Orthogroup	Stichodactyla_haddoni_longest_pep	Heteractis_aurelias_longest_pep
OG0000001	Shad_tr59851_c0_g1_i1.p1	Haur_tr96413_c0_g1_i1.p1
OG0000001	Shad_tr12332_c0_g1_i14.p1	Haur_tr12686_c0_g1_i1.p1
OG0000001	Shad_tr46277_c0_g1_i1.p1	Haur_tr9154_c0_g1_i10.p1
OG0000001	Shad_tr54231_c0_g1_i1.p1	Haur_tr9705_c0_g1_i6.p1
OG0000001	Shad_tr16900_c0_g2_i2.p1, Shad_tr45810_c0_g1_i1.p1	Haur_tr49544_c0_g1_i3.p1
OG0000001	Shad_tr15042_c0_g1_i1.p1, Shad_tr34781_c0_g1_i1.p1	Haur_tr19949_c0_g3_i1.p1
OG0000001	Shad_tr24298_c0_g1_i20.p1	Haur_tr29041_c1_g1_i1.p1
OG0000001	Shad_tr30555_c0_g1_i1.p1, Shad_tr4709_c0_g1_i24.p1	Haur_tr76881_c0_g1_i1.p1
OG0000001	Shad_tr35615_c0_g1_i2.p1	Haur_tr22088_c0_g1_i3.p1
OG0000001	Shad_tr68933_c0_g1_i1.p2	Haur_tr12383_c2_g1_i1.p1
OG0000001	Shad_tr37417_c0_g1_i1.p1	Haur_tr23003_c0_g1_i4.p1
OG0000001	Shad_tr9232_c0_g1_i4.p1	Haur_tr7520_c0_g2_i1.p1
OG0000001	Shad_tr4222_c0_g1_i10.p1	Haur_tr25608_c0_g2_i1.p1
OG0000001	Shad_tr87163_c0_g1_i1.p1	Haur_tr61359_c0_g1_i1.p1
OG0000001	Shad_tr115137_c0_g1_i1.p1	Haur_tr101507_c0_g1_i1.p1
OG0000002	Shad_tr111782_c0_g1_i1.p2	Haur_tr108084_c0_g1_i1.p1
OG0000002	Shad_tr8207_c0_g1_i3.p1	Haur_tr104841_c0_g1_i1.p1, Haur_tr46163_c0_g1_i1.p1, Haur_tr33776_c0_g1_i1.p1
OG0000002	Shad_tr37739_c0_g1_i1.p1	Haur_tr80312_c0_g1_i1.p1
OG0000002	Shad_tr41945_c0_g1_i3.p1	Haur_tr58450_c0_g1_i1.p1
OG0000002	Shad_tr12224_c1_g1_i3.p1	Haur_tr81312_c0_g1_i1.p1
OG0000002	Shad_tr44303_c0_g1_i1.p1	Haur_tr39359_c0_g1_i1.p1
OG0000002	Shad_tr5174_c1_g1_i1.p1, Shad_tr37065_c1_g1_i10.p1, Shad_tr33413_c0_g1_i1.p1	Haur_tr38725_c0_g1_i1.p1
OG0000002	Shad_tr47644_c0_g1_i1.p2	Haur_tr93568_c0_g1_i1.p1, Haur_tr32157_c0_g2_i2.p1
OG0000002	Shad_tr12084_c0_g1_i6.p1, Shad_tr12224_c0_g1_i5.p1, Shad_tr17959_c1_g1_i7.p1, Shad_tr4496_c1_g1_i1.p1, Shad_tr51893_c0_g1_i1.p1	Haur_tr41754_c0_g1_i1.p1
OG0000002	Shad_tr16090_c0_g2_i1.p1	Haur_tr85568_c0_g1_i1.p1
OG0000002	Shad_tr47726_c0_g2_i1.p1	Haur_tr24974_c0_g1_i5.p1, Haur_tr15940_c0_g1_i7.p1
OG0000002	Shad_tr12531_c1_g1_i2.p1	Haur_tr12560_c0_g1_i10.p1
OG0000002	Shad_tr8741_c0_g1_i2.p1	Haur_tr12865_c0_g1_i4.p1
OG0000002	Shad_tr95979_c0_g1_i1.p1	Haur_tr10014_c1_g1_i2.p1
OG0000002	Shad_tr3107_c0_g1_i15.p1	Haur_tr68285_c0_g1_i6.p1
OG0000002	Shad_tr50306_c0_g1_i2.p1	Haur_tr11818_c0_g1_i3.p1
OG0000002	Shad_tr12484_c0_g1_i21.p1, Shad_tr8304_c0_g1_i14.p1	Haur_tr12795_c0_g3_i11.p1
OG0000002	Shad_tr72127_c0_g1_i1.p1	Haur_tr94768_c0_g1_i1.p1
OG0000002	Shad_tr53113_c1_g1_i1.p1	Haur_tr25326_c0_g1_i2.p1
OG0000002	Shad_tr19797_c0_g1_i13.p1	Haur_tr25341_c0_g1_i1.p1
OG0000002	Shad_tr23414_c2_g2_i2.p1	Haur_tr9804_c1_g3_i1.p1
OG0000002	Shad_tr3482_c0_g2_i5.p1	Haur_tr3102_c0_g1_i5.p1
OG0000002	Shad_tr50646_c2_g1_i1.p1	Haur_tr19633_c0_g2_i1.p1
OG0000002	Shad_tr7064_c0_g1_i4.p1	Haur_tr39301_c0_g3_i1.p1
OG0000002	Shad_tr30264_c1_g2_i6.p1	Haur_tr95128_c0_g1_i1.p1
OG0000002	Shad_tr34416_c2_g1_i1.p1	Haur_tr16453_c2_g1_i2.p1
OG0000002	Shad_tr34474_c1_g1_i2.p1	Haur_tr24912_c0_g1_i11.p1
OG0000002	Shad_tr32952_c2_g1_i3.p1	Haur_tr68788_c0_g1_i1.p1
OG0000002	Shad_tr32952_c3_g1_i6.p1	Haur_tr6461_c0_g1_i7.p1
OG0000002	Shad_tr7283_c0_g1_i12.p1, Shad_tr4412_c9_g1_i2.p1	Haur_tr8362_c0_g1_i11.p1
OG0000002	Shad_tr70621_c0_g1_i1.p1, Shad_tr100096_c0_g1_i1.p1	Haur_tr36761_c0_g1_i5.p1
OG0000002	Shad_tr44395_c0_g1_i1.p1	Haur_tr20558_c0_g1_i2.p1
OG0000002	Shad_tr33580_c0_g1_i5.p1, Shad_tr26509_c1_g2_i8.p1, Shad_tr58236_c0_g1_i1.p1	Haur_tr66504_c0_g1_i1.p1
OG0000002	Shad_tr35093_c0_g1_i1.p1, Shad_tr16001_c2_g1_i5.p1	Haur_tr97148_c0_g1_i1.p1
OG0000002	Shad_tr12312_c1_g1_i1.p1	Haur_tr70035_c0_g1_i1.p1
OG0000002	Shad_tr20250_c0_g1_i1.p1, Shad_tr5681_c0_g1_i7.p1	Haur_tr61454_c0_g1_i1.p1, Haur_tr97710_c0_g1_i1.p1
OG0000002	Shad_tr9885_c1_g1_i1.p1	Haur_tr58450_c1_g1_i1.p1
OG0000003	Shad_tr8436_c2_g1_i2.p1	Haur_tr3199_c0_g1_i1.p1
OG0000003	Shad_tr16415_c2_g1_i2.p1	Haur_tr942_c2_g1_i1.p1
OG0000003	Shad_tr1184_c0_g1_i5.p1, Shad_tr8902_c1_g1_i4.p1	Haur_tr2577_c0_g1_i8.p1
OG0000003	Shad_tr31539_c0_g1_i4.p1, Shad_tr3966_c0_g5_i2.p1	Haur_tr9533_c0_g1_i7.p1
OG0000003	Shad_tr25371_c0_g1_i5.p1	Haur_tr16232_c0_g1_i6.p1
OG0000003	Shad_tr19223_c0_g1_i7.p1	Haur_tr66454_c0_g1_i1.p1
OG0000003	Shad_tr59766_c0_g1_i3.p1	Haur_tr21187_c1_g1_i1.p1
OG0000003	Shad_tr5763_c0_g1_i1.p1	Haur_tr1751_c1_g2_i1.p1
OG0000003	Shad_tr20771_c0_g2_i3.p1, Shad_tr33650_c0_g1_i3.p1	Haur_tr35454_c0_g1_i2.p1
OG0000003	Shad_tr83431_c0_g1_i1.p1	Haur_tr38661_c0_g1_i1.p1
OG0000003	Shad_tr9802_c0_g1_i7.p1	Haur_tr8157_c0_g2_i6.p1
OG0000003	Shad_tr6906_c2_g1_i6.p1	Haur_tr52827_c0_g2_i1.p1
OG0000003	Shad_tr55304_c0_g1_i6.p1	Haur_tr12745_c0_g1_i6.p1
OG0000003	Shad_tr40464_c0_g1_i2.p1	Haur_tr17064_c1_g1_i3.p1
OG0000003	Shad_tr8779_c0_g1_i2.p1	Haur_tr7981_c0_g2_i1.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Haur_tr16407_c0_g2_i2.p1
OG0000003	Shad_tr1233_c10_g1_i4.p1	Haur_tr16337_c0_g1_i3.p1
OG0000003	Shad_tr3554_c0_g1_i19.p1	Haur_tr10793_c0_g1_i2.p1
OG0000003	Shad_tr5139_c0_g1_i6.p1	Haur_tr8839_c0_g1_i11.p1
OG0000004	Shad_tr97815_c0_g1_i1.p1, Shad_tr110442_c0_g1_i1.p1, Shad_tr35099_c0_g2_i1.p1, Shad_tr37267_c0_g1_i1.p1, Shad_tr12330_c2_g1_i14.p2, Shad_tr41384_c1_g1_i1.p1	Haur_tr87332_c0_g1_i1.p1
OG0000004	Shad_tr100286_c0_g1_i1.p1	Haur_tr97294_c0_g1_i1.p1
OG0000004	Shad_tr29184_c0_g1_i4.p1	Haur_tr17772_c1_g1_i2.p1
OG0000004	Shad_tr108642_c0_g1_i1.p1	Haur_tr106639_c0_g1_i1.p1
OG0000004	Shad_tr25680_c0_g1_i1.p1, Shad_tr84438_c0_g1_i1.p1, Shad_tr34042_c0_g1_i1.p1	Haur_tr73980_c0_g1_i1.p1
OG0000004	Shad_tr39747_c0_g1_i1.p1	Haur_tr36289_c0_g1_i1.p1
OG0000004	Shad_tr30691_c2_g1_i1.p1, Shad_tr60448_c0_g1_i2.p1, Shad_tr33235_c0_g1_i1.p1, Shad_tr48353_c0_g2_i1.p1	Haur_tr55932_c0_g1_i1.p1
OG0000004	Shad_tr52239_c0_g1_i3.p1, Shad_tr27205_c1_g1_i1.p1, Shad_tr13166_c1_g1_i1.p1, Shad_tr17085_c0_g1_i15.p1	Haur_tr77299_c0_g1_i1.p1
OG0000004	Shad_tr13166_c0_g1_i13.p1	Haur_tr19399_c1_g1_i3.p1
OG0000004	Shad_tr21522_c2_g1_i1.p1	Haur_tr85364_c0_g1_i1.p1, Haur_tr12589_c4_g1_i1.p1
OG0000004	Shad_tr45077_c0_g1_i1.p1	Haur_tr83318_c0_g1_i1.p1
OG0000005	Shad_tr1418_c0_g1_i1.p1	Haur_tr12748_c0_g1_i5.p1
OG0000005	Shad_tr32859_c0_g1_i6.p1	Haur_tr80308_c0_g1_i1.p1
OG0000005	Shad_tr7756_c0_g2_i4.p1	Haur_tr105871_c0_g1_i1.p1
OG0000005	Shad_tr54580_c0_g1_i1.p1	Haur_tr34070_c0_g1_i5.p1, Haur_tr34070_c0_g3_i1.p1
OG0000005	Shad_tr22240_c0_g2_i1.p1	Haur_tr82954_c0_g1_i1.p1, Haur_tr14508_c0_g2_i1.p1
OG0000005	Shad_tr10349_c0_g2_i7.p1	Haur_tr11216_c0_g1_i4.p1
OG0000005	Shad_tr58663_c0_g2_i1.p1	Haur_tr14966_c0_g3_i1.p1
OG0000005	Shad_tr42495_c0_g1_i2.p1	Haur_tr67724_c0_g1_i1.p1
OG0000005	Shad_tr17588_c0_g1_i2.p1	Haur_tr13190_c2_g1_i1.p1
OG0000005	Shad_tr42032_c0_g1_i2.p1	Haur_tr8427_c2_g1_i1.p1
OG0000005	Shad_tr83698_c0_g1_i1.p1	Haur_tr107413_c0_g1_i1.p1
OG0000005	Shad_tr47378_c0_g1_i1.p1	Haur_tr26356_c3_g1_i1.p1
OG0000005	Shad_tr10187_c0_g2_i1.p1	Haur_tr102986_c0_g1_i1.p1, Haur_tr12748_c1_g1_i1.p1
OG0000006	Shad_tr25563_c0_g1_i5.p1, Shad_tr25563_c0_g2_i5.p1	Haur_tr1154_c1_g1_i5.p1
OG0000006	Shad_tr13578_c0_g1_i1.p1	Haur_tr48812_c0_g1_i1.p1
OG0000006	Shad_tr9525_c1_g1_i1.p1	Haur_tr14261_c0_g1_i3.p1
OG0000006	Shad_tr16953_c0_g1_i5.p1	Haur_tr20289_c0_g1_i6.p1, Haur_tr37143_c0_g1_i1.p1, Haur_tr105789_c0_g1_i1.p1
OG0000006	Shad_tr13326_c1_g2_i7.p1	Haur_tr24774_c0_g2_i5.p1, Haur_tr24774_c0_g3_i2.p1
OG0000006	Shad_tr23838_c0_g2_i3.p3, Shad_tr53512_c0_g1_i2.p1	Haur_tr2437_c1_g1_i11.p1
OG0000006	Shad_tr19094_c1_g4_i1.p1	Haur_tr82157_c0_g1_i1.p1
OG0000006	Shad_tr9360_c0_g2_i9.p1	Haur_tr32695_c0_g1_i2.p1
OG0000007	Shad_tr112002_c0_g1_i1.p1	Haur_tr6387_c3_g1_i1.p1
OG0000007	Shad_tr16025_c0_g1_i1.p1	Haur_tr23402_c0_g1_i1.p1
OG0000007	Shad_tr9482_c0_g1_i10.p1	Haur_tr11069_c0_g2_i10.p1
OG0000007	Shad_tr27395_c0_g1_i1.p1	Haur_tr23551_c0_g2_i1.p1
OG0000007	Shad_tr2749_c1_g2_i1.p1	Haur_tr31588_c2_g1_i1.p1
OG0000007	Shad_tr2749_c1_g1_i1.p1	Haur_tr23551_c0_g1_i2.p1
OG0000007	Shad_tr35237_c0_g2_i1.p1	Haur_tr1638_c0_g5_i1.p1
OG0000007	Shad_tr87403_c0_g1_i1.p1	Haur_tr10458_c0_g2_i1.p1
OG0000007	Shad_tr8688_c0_g2_i3.p1	Haur_tr10458_c0_g1_i1.p1
OG0000007	Shad_tr79679_c0_g1_i1.p1	Haur_tr50676_c0_g1_i1.p1
OG0000007	Shad_tr17542_c0_g1_i1.p1	Haur_tr11069_c0_g1_i1.p1
OG0000007	Shad_tr4677_c2_g1_i1.p1	Haur_tr4156_c1_g1_i8.p1
OG0000007	Shad_tr36106_c2_g1_i2.p1	Haur_tr41127_c1_g1_i1.p1, Haur_tr4156_c1_g3_i1.p1
OG0000007	Shad_tr36106_c0_g3_i1.p1, Shad_tr85359_c0_g1_i1.p1	Haur_tr103961_c0_g1_i1.p1
OG0000007	Shad_tr54756_c0_g1_i1.p1	Haur_tr1424_c1_g1_i2.p1
OG0000007	Shad_tr69242_c0_g1_i1.p1	Haur_tr104269_c0_g1_i1.p1
OG0000007	Shad_tr9775_c0_g1_i1.p1	Haur_tr12381_c0_g1_i3.p1
OG0000007	Shad_tr15166_c2_g1_i2.p1	Haur_tr23834_c0_g1_i1.p1
OG0000007	Shad_tr87301_c0_g1_i1.p1	Haur_tr17848_c0_g1_i5.p1
OG0000007	Shad_tr36595_c0_g1_i1.p1	Haur_tr81554_c0_g1_i1.p1
OG0000008	Shad_tr15555_c0_g3_i2.p1	Haur_tr10189_c0_g1_i5.p1
OG0000008	Shad_tr15555_c0_g2_i1.p1	Haur_tr17267_c0_g1_i2.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Haur_tr35297_c0_g1_i2.p1
OG0000008	Shad_tr7219_c0_g1_i3.p1	Haur_tr9690_c0_g1_i1.p1
OG0000008	Shad_tr15555_c1_g3_i1.p1	Haur_tr11300_c0_g1_i1.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Haur_tr21741_c0_g1_i2.p1
OG0000008	Shad_tr8884_c0_g3_i3.p1	Haur_tr46468_c0_g1_i1.p1
OG0000008	Shad_tr19205_c0_g1_i2.p1	Haur_tr34560_c0_g1_i1.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Haur_tr11281_c0_g2_i1.p1
OG0000008	Shad_tr8884_c0_g2_i5.p1	Haur_tr34862_c0_g1_i1.p1
OG0000008	Shad_tr6342_c0_g1_i3.p1	Haur_tr12153_c1_g1_i2.p1
OG0000009	Shad_tr18647_c0_g1_i1.p1	Haur_tr47449_c0_g1_i1.p2
OG0000009	Shad_tr43110_c0_g1_i1.p1	Haur_tr79979_c0_g1_i1.p1
OG0000009	Shad_tr39336_c0_g1_i1.p1	Haur_tr73141_c0_g1_i1.p1, Haur_tr60582_c0_g1_i1.p1
OG0000009	Shad_tr81732_c0_g1_i1.p1	Haur_tr61716_c0_g1_i1.p1
OG0000009	Shad_tr80732_c0_g1_i1.p1	Haur_tr78207_c0_g1_i1.p1
OG0000009	Shad_tr40574_c0_g2_i1.p1	Haur_tr60582_c0_g2_i1.p1
OG0000009	Shad_tr39651_c0_g1_i1.p1	Haur_tr62912_c0_g2_i1.p1
OG0000009	Shad_tr15412_c2_g1_i1.p1	Haur_tr22206_c0_g1_i3.p1
OG0000009	Shad_tr42149_c0_g2_i2.p1	Haur_tr82977_c0_g1_i1.p1
OG0000009	Shad_tr42259_c0_g1_i1.p1	Haur_tr20438_c0_g1_i7.p1
OG0000010	Shad_tr50345_c0_g1_i2.p1	Haur_tr14572_c0_g2_i5.p1
OG0000010	Shad_tr54979_c0_g1_i1.p1	Haur_tr3887_c1_g1_i1.p1
OG0000010	Shad_tr2839_c0_g2_i2.p1	Haur_tr1583_c1_g1_i2.p1
OG0000010	Shad_tr60004_c0_g1_i1.p1	Haur_tr8796_c0_g2_i1.p1
OG0000010	Shad_tr23640_c0_g1_i1.p1	Haur_tr3975_c0_g1_i3.p1
OG0000010	Shad_tr70551_c0_g1_i1.p1	Haur_tr28693_c0_g1_i1.p1
OG0000010	Shad_tr15980_c0_g4_i1.p1	Haur_tr40005_c0_g2_i1.p1
OG0000010	Shad_tr8024_c0_g2_i6.p1	Haur_tr9778_c0_g1_i2.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Haur_tr665_c0_g1_i3.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Haur_tr7384_c0_g2_i1.p1
OG0000010	Shad_tr31771_c0_g1_i3.p1	Haur_tr14237_c0_g1_i10.p1
OG0000010	Shad_tr51748_c0_g1_i1.p1	Haur_tr9886_c0_g1_i1.p1
OG0000010	Shad_tr24708_c0_g3_i1.p1, Shad_tr22541_c3_g1_i3.p1, Shad_tr69948_c0_g1_i1.p1	Haur_tr8357_c4_g1_i1.p1
OG0000010	Shad_tr10798_c4_g1_i7.p1	Haur_tr21367_c0_g1_i4.p1
OG0000010	Shad_tr29233_c0_g1_i2.p1	Haur_tr28401_c0_g1_i1.p1
OG0000010	Shad_tr91861_c0_g1_i1.p1	Haur_tr3966_c2_g1_i2.p1
OG0000010	Shad_tr73_c19_g1_i3.p1	Haur_tr25088_c2_g1_i1.p1
OG0000010	Shad_tr23864_c0_g1_i1.p1	Haur_tr22577_c0_g1_i2.p1
OG0000011	Shad_tr21291_c0_g1_i1.p1	Haur_tr7093_c0_g1_i3.p1
OG0000011	Shad_tr1132_c0_g1_i13.p1	Haur_tr17388_c0_g2_i7.p1
OG0000011	Shad_tr19076_c0_g2_i11.p1	Haur_tr2416_c0_g1_i6.p1
OG0000011	Shad_tr32278_c0_g1_i2.p1	Haur_tr20850_c0_g1_i2.p1
OG0000011	Shad_tr11490_c0_g1_i3.p1	Haur_tr17573_c0_g1_i2.p1
OG0000011	Shad_tr2056_c1_g1_i5.p1	Haur_tr38628_c0_g1_i1.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Haur_tr1274_c0_g2_i1.p1
OG0000011	Shad_tr40287_c0_g1_i1.p1	Haur_tr8637_c4_g1_i2.p1
OG0000011	Shad_tr2992_c1_g5_i1.p1	Haur_tr938_c0_g1_i2.p1
OG0000011	Shad_tr6064_c1_g1_i1.p1	Haur_tr13689_c0_g1_i6.p1
OG0000011	Shad_tr3847_c0_g1_i2.p1	Haur_tr9609_c0_g1_i1.p1
OG0000011	Shad_tr12213_c0_g1_i1.p1	Haur_tr14759_c0_g3_i8.p1
OG0000011	Shad_tr11801_c0_g1_i5.p1	Haur_tr9527_c0_g1_i3.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1	Haur_tr25874_c0_g1_i6.p1
OG0000011	Shad_tr6003_c0_g1_i16.p1, Shad_tr3827_c0_g1_i11.p1, Shad_tr28266_c0_g1_i1.p1	Haur_tr25459_c0_g1_i3.p1, Haur_tr24224_c0_g2_i1.p1
OG0000012	Shad_tr31893_c5_g1_i1.p1	Haur_tr6142_c0_g2_i1.p1
OG0000012	Shad_tr39152_c0_g1_i2.p1, Shad_tr33005_c0_g1_i18.p1	Haur_tr65287_c0_g1_i1.p1
OG0000012	Shad_tr65971_c0_g1_i1.p1	Haur_tr3470_c0_g1_i3.p1
OG0000012	Shad_tr30303_c5_g1_i1.p1	Haur_tr18252_c1_g1_i1.p1
OG0000012	Shad_tr52014_c0_g1_i1.p1, Shad_tr20660_c2_g1_i11.p1	Haur_tr34087_c0_g1_i1.p1
OG0000012	Shad_tr34742_c0_g1_i2.p1, Shad_tr33830_c1_g1_i2.p2, Shad_tr41967_c2_g1_i1.p1	Haur_tr34921_c1_g1_i1.p1
OG0000012	Shad_tr22725_c0_g1_i1.p1	Haur_tr22960_c0_g3_i3.p1
OG0000012	Shad_tr14545_c1_g1_i3.p1, Shad_tr5985_c0_g1_i7.p1	Haur_tr2135_c0_g2_i1.p1
OG0000013	Shad_tr8347_c1_g1_i1.p1	Haur_tr4697_c0_g1_i1.p1, Haur_tr18010_c0_g2_i1.p1
OG0000013	Shad_tr8307_c0_g5_i1.p1, Shad_tr8307_c0_g4_i1.p1	Haur_tr4697_c1_g1_i1.p1
OG0000013	Shad_tr6482_c0_g2_i4.p1, Shad_tr18161_c0_g1_i1.p1	Haur_tr201_c0_g1_i1.p1, Haur_tr18010_c1_g1_i1.p1
OG0000013	Shad_tr8307_c0_g1_i1.p1, Shad_tr17051_c0_g2_i1.p1, Shad_tr17051_c0_g1_i3.p1, Shad_tr17051_c0_g3_i1.p1	Haur_tr18390_c0_g1_i1.p1
OG0000013	Shad_tr24875_c1_g1_i1.p1	Haur_tr6627_c0_g5_i1.p1, Haur_tr6627_c0_g1_i1.p1
OG0000013	Shad_tr21099_c0_g1_i8.p1	Haur_tr626_c0_g1_i6.p1, Haur_tr16506_c0_g1_i3.p1, Haur_tr11041_c0_g1_i4.p1, Haur_tr11041_c0_g2_i1.p1
OG0000013	Shad_tr1935_c0_g2_i1.p1	Haur_tr10081_c0_g1_i9.p1
OG0000014	Shad_tr30525_c0_g1_i1.p1	Haur_tr21687_c0_g2_i1.p1, Haur_tr30581_c0_g2_i3.p1
OG0000014	Shad_tr32849_c0_g2_i1.p1	Haur_tr2613_c0_g1_i1.p1
OG0000014	Shad_tr44809_c0_g1_i1.p1, Shad_tr38687_c0_g1_i3.p1	Haur_tr65802_c0_g1_i1.p1
OG0000014	Shad_tr57926_c0_g1_i1.p1	Haur_tr30581_c0_g4_i1.p1, Haur_tr39260_c0_g1_i1.p1
OG0000014	Shad_tr86159_c0_g1_i1.p1	Haur_tr20080_c0_g1_i1.p1
OG0000015	Shad_tr53095_c0_g1_i1.p1	Haur_tr62917_c0_g1_i1.p1
OG0000015	Shad_tr58531_c0_g1_i1.p1	Haur_tr105677_c0_g1_i1.p1
OG0000015	Shad_tr38453_c0_g1_i1.p1	Haur_tr11678_c0_g1_i2.p1
OG0000015	Shad_tr44536_c0_g1_i4.p1	Haur_tr62018_c0_g1_i2.p1
OG0000015	Shad_tr20550_c0_g3_i2.p1	Haur_tr23538_c0_g2_i1.p1
OG0000015	Shad_tr47450_c0_g1_i1.p1	Haur_tr11780_c0_g2_i3.p1
OG0000015	Shad_tr91068_c0_g1_i1.p1	Haur_tr62338_c0_g1_i1.p1, Haur_tr71901_c0_g1_i1.p1, Haur_tr2172_c0_g1_i5.p1
OG0000016	Shad_tr24544_c0_g1_i2.p1	Haur_tr15315_c0_g1_i2.p1
OG0000016	Shad_tr35173_c0_g2_i1.p1	Haur_tr47197_c0_g1_i1.p1
OG0000016	Shad_tr36090_c0_g1_i7.p1	Haur_tr14589_c0_g1_i5.p1
OG0000016	Shad_tr104832_c0_g1_i1.p1	Haur_tr64766_c0_g1_i3.p1
OG0000016	Shad_tr30195_c0_g1_i1.p1	Haur_tr51690_c0_g1_i1.p1
OG0000016	Shad_tr20659_c0_g1_i29.p1	Haur_tr10197_c0_g1_i9.p1
OG0000016	Shad_tr56139_c0_g1_i5.p1	Haur_tr58206_c0_g1_i2.p1
OG0000018	Shad_tr33408_c0_g1_i1.p1, Shad_tr4944_c1_g1_i16.p1	Haur_tr10102_c0_g2_i5.p1
OG0000018	Shad_tr22586_c2_g3_i1.p1	Haur_tr21320_c0_g4_i1.p1
OG0000018	Shad_tr42991_c0_g1_i10.p1	Haur_tr12345_c0_g1_i2.p1, Haur_tr21320_c0_g1_i8.p1
OG0000018	Shad_tr28733_c0_g3_i3.p1	Haur_tr68921_c0_g1_i1.p1, Haur_tr81281_c0_g1_i1.p1
OG0000018	Shad_tr36296_c0_g1_i3.p1	Haur_tr31406_c1_g1_i1.p1
OG0000018	Shad_tr37725_c0_g2_i1.p1	Haur_tr1292_c0_g1_i1.p1
OG0000018	Shad_tr21895_c0_g1_i19.p1, Shad_tr4352_c1_g1_i6.p1	Haur_tr11947_c0_g1_i1.p1
