Orthogroup	Stichodactyla_haddoni_longest_pep	Galaxea_fascicularis_longest_pep
OG0000001	Shad_tr16600_c0_g1_i2.p1	Gafa_DN33908_c0_g2_i2.p1, Gafa_DN38874_c0_g1_i8.p1, Gafa_DN6688_c0_g1_i3.p1, Gafa_DN5676_c1_g1_i8.p1
OG0000001	Shad_tr8639_c1_g1_i2.p1	Gafa_DN31610_c0_g2_i1.p1, Gafa_DN35572_c0_g1_i1.p1
OG0000001	Shad_tr91148_c0_g1_i1.p1, Shad_tr93625_c0_g1_i1.p1	Gafa_DN143236_c0_g1_i1.p1
OG0000001	Shad_tr66985_c0_g1_i1.p1	Gafa_DN116820_c0_g1_i1.p1
OG0000001	Shad_tr59851_c0_g1_i1.p1	Gafa_DN60642_c0_g2_i1.p1, Gafa_DN33908_c0_g3_i1.p1
OG0000001	Shad_tr3453_c0_g1_i10.p1	Gafa_DN40033_c0_g1_i8.p2, Gafa_DN72160_c0_g3_i1.p1
OG0000001	Shad_tr98115_c0_g1_i1.p1	Gafa_DN107707_c0_g3_i1.p1
OG0000001	Shad_tr46277_c0_g1_i1.p1	Gafa_DN43287_c0_g1_i1.p1
OG0000001	Shad_tr54231_c0_g1_i1.p1	Gafa_DN100626_c0_g1_i1.p1
OG0000001	Shad_tr4472_c1_g1_i3.p1	Gafa_DN9107_c0_g1_i11.p1
OG0000001	Shad_tr42064_c0_g2_i1.p1	Gafa_DN40683_c0_g1_i1.p1, Gafa_DN11282_c0_g2_i13.p1
OG0000001	Shad_tr6848_c1_g1_i1.p1, Shad_tr89240_c0_g1_i1.p1	Gafa_DN44961_c0_g1_i2.p1, Gafa_DN2503_c0_g1_i2.p1
OG0000001	Shad_tr34781_c0_g1_i1.p1	Gafa_DN5952_c0_g1_i9.p1, Gafa_DN28220_c0_g1_i2.p1, Gafa_DN10112_c0_g1_i7.p1
OG0000001	Shad_tr7344_c0_g1_i12.p1, Shad_tr3076_c0_g1_i7.p1, Shad_tr32124_c0_g1_i3.p1	Gafa_DN58586_c0_g1_i2.p1
OG0000001	Shad_tr43722_c1_g1_i1.p1	Gafa_DN79660_c0_g1_i1.p1
OG0000001	Shad_tr4501_c6_g1_i1.p1	Gafa_DN69424_c0_g1_i3.p1
OG0000001	Shad_tr65729_c0_g1_i1.p1	Gafa_DN91046_c0_g1_i1.p1
OG0000001	Shad_tr37216_c0_g1_i1.p2	Gafa_DN65271_c0_g1_i2.p1
OG0000001	Shad_tr35615_c0_g1_i2.p1	Gafa_DN14329_c0_g1_i8.p1
OG0000001	Shad_tr37417_c0_g1_i1.p1	Gafa_DN31610_c0_g3_i1.p1
OG0000001	Shad_tr4222_c0_g1_i10.p1	Gafa_DN11165_c2_g1_i2.p1
OG0000002	Shad_tr111782_c0_g1_i1.p2	Gafa_DN130625_c0_g1_i1.p1, Gafa_DN56175_c0_g1_i1.p1, Gafa_DN46460_c0_g1_i1.p1, Gafa_DN88750_c0_g1_i1.p1
OG0000002	Shad_tr8207_c0_g1_i3.p1	Gafa_DN77049_c0_g1_i3.p1, Gafa_DN13576_c0_g1_i1.p1
OG0000002	Shad_tr86756_c0_g1_i1.p1, Shad_tr41945_c0_g1_i3.p1	Gafa_DN136154_c0_g1_i1.p1
OG0000002	Shad_tr12224_c1_g1_i3.p1	Gafa_DN98120_c0_g1_i1.p1
OG0000002	Shad_tr44303_c0_g1_i1.p1, Shad_tr9985_c1_g1_i1.p1, Shad_tr5174_c1_g1_i1.p1, Shad_tr37065_c1_g1_i10.p1, Shad_tr33413_c0_g1_i1.p1	Gafa_DN10917_c0_g1_i4.p1
OG0000002	Shad_tr11002_c0_g1_i1.p1	Gafa_DN31293_c0_g1_i7.p1
OG0000002	Shad_tr47644_c0_g1_i1.p2	Gafa_DN45166_c0_g3_i1.p1
OG0000002	Shad_tr12084_c0_g1_i6.p1, Shad_tr12224_c0_g1_i5.p1, Shad_tr17959_c1_g1_i7.p1, Shad_tr4496_c1_g1_i1.p1, Shad_tr51893_c0_g1_i1.p1	Gafa_DN12237_c0_g1_i2.p1
OG0000002	Shad_tr2816_c2_g1_i12.p1	Gafa_DN69294_c0_g2_i1.p1
OG0000002	Shad_tr8741_c0_g1_i2.p1	Gafa_DN74469_c0_g1_i1.p1
OG0000002	Shad_tr95979_c0_g1_i1.p1, Shad_tr3107_c0_g1_i15.p1	Gafa_DN26736_c0_g1_i1.p1
OG0000002	Shad_tr50306_c0_g1_i2.p1, Shad_tr20877_c0_g1_i2.p1	Gafa_DN27935_c0_g1_i2.p1
OG0000002	Shad_tr12484_c0_g1_i21.p1, Shad_tr8304_c0_g1_i14.p1	Gafa_DN9891_c0_g2_i8.p1
OG0000002	Shad_tr53113_c1_g1_i1.p1	Gafa_DN25317_c0_g4_i1.p1, Gafa_DN13695_c0_g2_i2.p2
OG0000002	Shad_tr22233_c0_g1_i6.p1	Gafa_DN8034_c0_g2_i2.p1
OG0000002	Shad_tr20065_c0_g1_i14.p1	Gafa_DN10886_c1_g1_i8.p1
OG0000002	Shad_tr19797_c0_g1_i13.p1	Gafa_DN28994_c0_g1_i9.p1
OG0000002	Shad_tr5653_c0_g1_i3.p1	Gafa_DN5376_c0_g1_i9.p1
OG0000002	Shad_tr9407_c0_g1_i12.p1	Gafa_DN20329_c0_g1_i10.p1
OG0000002	Shad_tr32353_c0_g1_i1.p1	Gafa_DN10046_c0_g1_i4.p1
OG0000002	Shad_tr25036_c0_g1_i5.p1	Gafa_DN71029_c1_g1_i1.p1
OG0000002	Shad_tr23414_c2_g2_i2.p1, Shad_tr23414_c2_g1_i2.p1	Gafa_DN55593_c0_g1_i2.p1, Gafa_DN95145_c0_g2_i1.p1
OG0000002	Shad_tr3482_c0_g2_i5.p1, Shad_tr50646_c2_g1_i1.p1	Gafa_DN9967_c0_g1_i8.p1
OG0000002	Shad_tr7064_c0_g1_i4.p1	Gafa_DN25830_c0_g1_i13.p1
OG0000002	Shad_tr51628_c1_g1_i1.p1, Shad_tr79701_c0_g1_i1.p1	Gafa_DN98215_c0_g1_i1.p1, Gafa_DN8178_c0_g1_i7.p1
OG0000002	Shad_tr34416_c2_g1_i1.p1	Gafa_DN16210_c0_g1_i4.p1
OG0000002	Shad_tr32976_c0_g1_i4.p1, Shad_tr2725_c1_g1_i2.p1	Gafa_DN16648_c0_g1_i8.p1
OG0000002	Shad_tr28069_c0_g1_i5.p1	Gafa_DN317_c0_g1_i8.p1
OG0000002	Shad_tr34474_c1_g1_i2.p1	Gafa_DN24349_c0_g2_i3.p1
OG0000002	Shad_tr70621_c0_g1_i1.p1, Shad_tr100096_c0_g1_i1.p1	Gafa_DN8593_c0_g1_i2.p1
OG0000002	Shad_tr44395_c0_g1_i1.p1	Gafa_DN58953_c0_g1_i1.p1
OG0000002	Shad_tr26509_c1_g2_i8.p1, Shad_tr58236_c0_g1_i1.p1	Gafa_DN3831_c0_g1_i1.p1
OG0000002	Shad_tr12312_c1_g1_i1.p1	Gafa_DN40079_c0_g1_i4.p1
OG0000002	Shad_tr9740_c0_g2_i2.p1, Shad_tr16063_c0_g1_i12.p1, Shad_tr149_c1_g1_i1.p1	Gafa_DN6072_c0_g1_i5.p1
OG0000002	Shad_tr9885_c1_g1_i1.p1	Gafa_DN113143_c0_g1_i1.p1
OG0000003	Shad_tr36243_c0_g1_i1.p1	Gafa_DN24204_c0_g1_i1.p1
OG0000003	Shad_tr16415_c2_g1_i2.p1	Gafa_DN1168_c2_g1_i1.p1
OG0000003	Shad_tr1184_c0_g1_i5.p1, Shad_tr8902_c1_g1_i4.p1, Shad_tr31539_c0_g1_i4.p1, Shad_tr3966_c0_g5_i2.p1, Shad_tr25371_c0_g1_i5.p1	Gafa_DN21061_c0_g1_i8.p1
OG0000003	Shad_tr19223_c0_g1_i7.p1, Shad_tr59766_c0_g1_i3.p1	Gafa_DN5517_c3_g1_i3.p1
OG0000003	Shad_tr5763_c0_g1_i1.p1	Gafa_DN1459_c0_g1_i2.p1
OG0000003	Shad_tr28801_c0_g1_i11.p1	Gafa_DN25964_c0_g1_i5.p1
OG0000003	Shad_tr83431_c0_g1_i1.p1	Gafa_DN41770_c0_g1_i3.p3
OG0000003	Shad_tr45996_c0_g1_i3.p1	Gafa_DN100115_c0_g3_i1.p1, Gafa_DN4460_c0_g1_i2.p1
OG0000003	Shad_tr55304_c0_g1_i6.p1, Shad_tr12109_c0_g1_i9.p1	Gafa_DN32978_c0_g1_i2.p1
OG0000003	Shad_tr40464_c0_g1_i2.p1	Gafa_DN11882_c0_g2_i1.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Gafa_DN22125_c0_g1_i13.p1
OG0000003	Shad_tr8734_c0_g1_i1.p1	Gafa_DN27018_c0_g1_i1.p1
OG0000004	Shad_tr12330_c2_g1_i14.p2	Gafa_DN81291_c0_g2_i1.p1
OG0000004	Shad_tr100286_c0_g1_i1.p1	Gafa_DN110441_c0_g1_i1.p1
OG0000004	Shad_tr29184_c0_g1_i4.p1	Gafa_DN18228_c1_g2_i1.p1
OG0000004	Shad_tr81197_c0_g1_i1.p1	Gafa_DN61324_c0_g1_i1.p1
OG0000004	Shad_tr25680_c0_g1_i1.p1, Shad_tr84438_c0_g1_i1.p1, Shad_tr34042_c0_g1_i1.p1	Gafa_DN109766_c0_g1_i1.p1, Gafa_DN72890_c0_g1_i1.p1
OG0000004	Shad_tr60448_c0_g1_i2.p1	Gafa_DN37160_c0_g2_i2.p1
OG0000004	Shad_tr33235_c0_g1_i1.p1, Shad_tr48353_c0_g2_i1.p1	Gafa_DN21383_c0_g2_i10.p1
OG0000004	Shad_tr27205_c1_g1_i1.p1	Gafa_DN72837_c0_g1_i1.p1
OG0000004	Shad_tr21522_c2_g1_i1.p1	Gafa_DN73748_c0_g1_i1.p1
OG0000004	Shad_tr32115_c0_g1_i1.p1, Shad_tr53272_c0_g1_i1.p1	Gafa_DN121511_c0_g1_i1.p1
OG0000004	Shad_tr26822_c2_g1_i1.p1	Gafa_DN58529_c0_g2_i1.p1
OG0000004	Shad_tr43473_c0_g1_i1.p1	Gafa_DN50921_c0_g1_i1.p1
OG0000004	Shad_tr32114_c1_g1_i7.p1	Gafa_DN108834_c0_g1_i1.p2
OG0000004	Shad_tr28510_c0_g1_i1.p1	Gafa_DN55559_c0_g2_i1.p1
OG0000005	Shad_tr2801_c1_g1_i3.p1, Shad_tr26927_c0_g1_i1.p1, Shad_tr1418_c0_g1_i1.p1, Shad_tr2801_c0_g1_i2.p1	Gafa_DN3103_c0_g1_i5.p1, Gafa_DN2767_c0_g1_i2.p1, Gafa_DN10072_c0_g1_i10.p1, Gafa_DN5432_c1_g1_i1.p1, Gafa_DN18155_c0_g1_i6.p1, Gafa_DN4918_c1_g2_i1.p1, Gafa_DN17889_c0_g1_i1.p1, Gafa_DN25753_c0_g2_i1.p1, Gafa_DN37207_c0_g2_i1.p1, Gafa_DN37207_c0_g1_i3.p1, Gafa_DN18155_c1_g1_i1.p1
OG0000005	Shad_tr7756_c0_g2_i4.p1	Gafa_DN28132_c0_g2_i1.p1, Gafa_DN28132_c0_g1_i1.p1, Gafa_DN5432_c1_g3_i1.p1, Gafa_DN13414_c0_g1_i1.p1
OG0000005	Shad_tr54580_c0_g1_i1.p1	Gafa_DN61466_c0_g1_i1.p1
OG0000005	Shad_tr25804_c0_g1_i5.p1, Shad_tr8716_c1_g1_i2.p1, Shad_tr8718_c1_g1_i4.p1, Shad_tr22240_c0_g2_i1.p1	Gafa_DN25202_c0_g1_i4.p1
OG0000005	Shad_tr10349_c0_g2_i7.p1, Shad_tr6063_c0_g1_i2.p1, Shad_tr58663_c0_g2_i1.p1, Shad_tr101198_c0_g1_i1.p1	Gafa_DN49591_c2_g1_i2.p1, Gafa_DN56424_c0_g1_i1.p1, Gafa_DN44242_c0_g1_i5.p1
OG0000005	Shad_tr83698_c0_g1_i1.p1	Gafa_DN33530_c0_g2_i1.p1, Gafa_DN40979_c0_g1_i1.p1, Gafa_DN33530_c0_g1_i1.p1
OG0000005	Shad_tr47378_c0_g1_i1.p1	Gafa_DN16566_c0_g1_i1.p1, Gafa_DN25202_c1_g1_i1.p1
OG0000005	Shad_tr10187_c0_g2_i1.p1	Gafa_DN7996_c0_g2_i1.p1
OG0000006	Shad_tr77124_c0_g1_i1.p1, Shad_tr18468_c0_g1_i1.p1	Gafa_DN85468_c0_g1_i1.p1
OG0000006	Shad_tr109586_c0_g1_i1.p1	Gafa_DN3004_c0_g2_i1.p1
OG0000006	Shad_tr39147_c1_g1_i1.p1	Gafa_DN9189_c0_g1_i3.p1
OG0000006	Shad_tr43877_c1_g1_i3.p1	Gafa_DN38492_c0_g2_i2.p1
OG0000006	Shad_tr25563_c0_g1_i5.p1, Shad_tr25563_c0_g2_i5.p1	Gafa_DN57605_c0_g2_i1.p1, Gafa_DN525_c3_g2_i1.p1
OG0000006	Shad_tr16953_c0_g1_i5.p1	Gafa_DN1681_c0_g2_i4.p1
OG0000006	Shad_tr6479_c0_g1_i4.p1, Shad_tr13326_c1_g2_i7.p1, Shad_tr17447_c1_g1_i11.p1, Shad_tr2839_c3_g1_i1.p1	Gafa_DN8193_c5_g1_i8.p1
OG0000006	Shad_tr49712_c1_g2_i1.p1, Shad_tr49712_c1_g1_i1.p1	Gafa_DN30502_c0_g1_i7.p1
OG0000006	Shad_tr27316_c0_g2_i5.p1	Gafa_DN17146_c0_g1_i1.p1
OG0000006	Shad_tr9360_c0_g2_i9.p1	Gafa_DN10809_c0_g1_i9.p1
OG0000006	Shad_tr20107_c1_g1_i9.p1	Gafa_DN15669_c1_g1_i6.p1
OG0000006	Shad_tr78274_c0_g1_i1.p1	Gafa_DN6649_c0_g1_i1.p1
OG0000007	Shad_tr16025_c0_g1_i1.p1	Gafa_DN19919_c0_g1_i4.p1
OG0000007	Shad_tr9482_c0_g1_i10.p1	Gafa_DN11096_c0_g1_i5.p1, Gafa_DN11096_c0_g3_i1.p1, Gafa_DN11096_c0_g2_i1.p1
OG0000007	Shad_tr17542_c0_g1_i1.p1	Gafa_DN68655_c0_g3_i1.p1, Gafa_DN23924_c0_g2_i1.p1
OG0000007	Shad_tr9775_c0_g1_i1.p1, Shad_tr64130_c0_g1_i1.p1	Gafa_DN62105_c0_g1_i5.p1
OG0000007	Shad_tr15166_c2_g1_i2.p1, Shad_tr87301_c0_g1_i1.p1	Gafa_DN39631_c0_g1_i1.p1
OG0000007	Shad_tr38195_c0_g1_i1.p1	Gafa_DN6191_c0_g1_i1.p1, Gafa_DN81656_c0_g1_i1.p1
OG0000007	Shad_tr36595_c0_g1_i1.p1, Shad_tr17402_c0_g1_i2.p1	Gafa_DN68655_c0_g2_i1.p1
OG0000008	Shad_tr15555_c0_g2_i1.p1	Gafa_DN25841_c0_g4_i1.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Gafa_DN8694_c0_g2_i5.p1
OG0000008	Shad_tr7219_c0_g1_i3.p1	Gafa_DN25841_c0_g1_i1.p1
OG0000008	Shad_tr15555_c1_g3_i1.p1	Gafa_DN8694_c0_g1_i4.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Gafa_DN10534_c0_g1_i1.p1
OG0000008	Shad_tr8884_c0_g3_i3.p1	Gafa_DN4011_c0_g1_i1.p1
OG0000008	Shad_tr19205_c0_g1_i2.p1	Gafa_DN25560_c0_g1_i6.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Gafa_DN3344_c0_g1_i2.p1
OG0000008	Shad_tr8884_c0_g2_i5.p1	Gafa_DN15892_c0_g1_i1.p1
OG0000008	Shad_tr6342_c0_g1_i3.p1	Gafa_DN9988_c0_g2_i5.p1, Gafa_DN78123_c0_g1_i1.p1
OG0000009	Shad_tr18647_c0_g1_i1.p1	Gafa_DN17454_c0_g2_i3.p1, Gafa_DN7832_c1_g4_i1.p1
OG0000009	Shad_tr39336_c0_g1_i1.p1	Gafa_DN70375_c0_g1_i1.p1
OG0000009	Shad_tr40574_c0_g1_i1.p1, Shad_tr81732_c0_g1_i1.p1, Shad_tr43110_c0_g3_i1.p1, Shad_tr80732_c0_g1_i1.p1	Gafa_DN104453_c0_g1_i1.p1, Gafa_DN148281_c0_g1_i1.p1
OG0000009	Shad_tr39651_c0_g2_i1.p1	Gafa_DN144363_c0_g1_i1.p1
OG0000009	Shad_tr43110_c0_g2_i1.p1	Gafa_DN137889_c0_g1_i1.p1
OG0000009	Shad_tr39651_c0_g1_i1.p1	Gafa_DN96204_c0_g1_i1.p1
OG0000009	Shad_tr36816_c0_g1_i1.p1, Shad_tr4005_c0_g1_i11.p1, Shad_tr57812_c0_g1_i1.p1, Shad_tr75205_c0_g1_i1.p1, Shad_tr46736_c0_g1_i1.p1, Shad_tr19460_c1_g1_i4.p1, Shad_tr15412_c2_g1_i1.p1, Shad_tr27825_c0_g2_i2.p1, Shad_tr27825_c0_g1_i1.p1, Shad_tr42149_c0_g2_i2.p1	Gafa_DN64501_c0_g1_i1.p1, Gafa_DN54928_c1_g1_i1.p1, Gafa_DN95308_c0_g1_i3.p1, Gafa_DN45816_c0_g1_i2.p1, Gafa_DN2391_c2_g1_i2.p1, Gafa_DN59969_c1_g2_i1.p1, Gafa_DN45440_c0_g1_i3.p1
OG0000010	Shad_tr30253_c0_g1_i1.p1, Shad_tr50345_c0_g1_i2.p1	Gafa_DN27795_c0_g1_i5.p1
OG0000010	Shad_tr54979_c0_g1_i1.p1	Gafa_DN20174_c0_g1_i2.p1
OG0000010	Shad_tr2839_c0_g2_i2.p1	Gafa_DN9205_c0_g1_i3.p1
OG0000010	Shad_tr75584_c0_g1_i1.p1, Shad_tr60004_c0_g1_i1.p1	Gafa_DN17640_c0_g1_i5.p1
OG0000010	Shad_tr23640_c0_g1_i1.p1	Gafa_DN72342_c0_g1_i1.p1, Gafa_DN86970_c0_g1_i1.p1
OG0000010	Shad_tr70551_c0_g1_i1.p1	Gafa_DN79286_c0_g1_i2.p1
OG0000010	Shad_tr15980_c0_g4_i1.p1	Gafa_DN39572_c0_g2_i2.p1
OG0000010	Shad_tr8024_c0_g2_i6.p1	Gafa_DN9379_c1_g3_i1.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Gafa_DN38153_c0_g2_i9.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Gafa_DN12584_c0_g1_i5.p1
OG0000010	Shad_tr24708_c0_g3_i1.p1, Shad_tr22541_c3_g1_i3.p1, Shad_tr69948_c0_g1_i1.p1	Gafa_DN340_c2_g2_i2.p1
OG0000010	Shad_tr29233_c0_g1_i2.p1	Gafa_DN2753_c0_g1_i3.p1
OG0000010	Shad_tr91861_c0_g1_i1.p1	Gafa_DN1867_c0_g2_i1.p1
OG0000010	Shad_tr73_c19_g1_i3.p1	Gafa_DN2748_c0_g4_i1.p2
OG0000011	Shad_tr21291_c0_g1_i1.p1	Gafa_DN10815_c0_g1_i1.p1
OG0000011	Shad_tr1132_c0_g1_i13.p1	Gafa_DN8045_c0_g1_i9.p1
OG0000011	Shad_tr19076_c0_g2_i11.p1	Gafa_DN14913_c0_g1_i4.p1
OG0000011	Shad_tr32278_c0_g1_i2.p1	Gafa_DN10851_c0_g2_i2.p1
OG0000011	Shad_tr11490_c0_g1_i3.p1	Gafa_DN2891_c0_g1_i2.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Gafa_DN12354_c0_g2_i7.p1
OG0000011	Shad_tr40287_c0_g1_i1.p1	Gafa_DN36668_c0_g1_i6.p1
OG0000011	Shad_tr2992_c1_g5_i1.p1	Gafa_DN5417_c0_g1_i7.p1
OG0000011	Shad_tr11801_c0_g1_i5.p1	Gafa_DN32159_c0_g1_i7.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1	Gafa_DN6303_c0_g1_i10.p1, Gafa_DN15172_c0_g2_i3.p1
OG0000011	Shad_tr216_c0_g1_i7.p1, Shad_tr6003_c0_g1_i16.p1, Shad_tr3827_c0_g1_i11.p1, Shad_tr28266_c0_g1_i1.p1	Gafa_DN8801_c0_g1_i2.p1
OG0000012	Shad_tr31893_c5_g1_i1.p1	Gafa_DN50273_c0_g1_i2.p1
OG0000012	Shad_tr30303_c5_g1_i1.p1	Gafa_DN52254_c0_g3_i1.p1
OG0000012	Shad_tr53256_c0_g1_i1.p1	Gafa_DN36236_c0_g1_i5.p1
OG0000012	Shad_tr56723_c0_g2_i3.p1	Gafa_DN27550_c0_g1_i2.p1
OG0000012	Shad_tr22725_c0_g1_i1.p1, Shad_tr23818_c0_g1_i1.p1, Shad_tr13752_c1_g2_i1.p1, Shad_tr14545_c1_g1_i3.p1, Shad_tr5985_c0_g1_i7.p1	Gafa_DN13112_c0_g1_i11.p1
OG0000012	Shad_tr33830_c2_g1_i1.p1, Shad_tr83831_c0_g1_i1.p1	Gafa_DN57872_c0_g1_i1.p1, Gafa_DN44441_c0_g1_i3.p1
