Orthogroup	Stichodactyla_haddoni_longest_pep	Chironex_fleckeri_longest_pep
OG0000012	Shad_tr65971_c0_g1_i1.p1	Chfl_DN14682_c0_g1_i1.p1
OG0000012	Shad_tr30303_c5_g1_i1.p1	Chfl_DN11734_c0_g1_i1.p1
OG0000014	Shad_tr86159_c0_g1_i1.p1	Chfl_DN6130_c0_g1_i1.p1
OG0000015	Shad_tr91068_c0_g1_i1.p1	Chfl_DN2236_c0_g1_i3.p1, Chfl_DN1287_c0_g2_i4.p1
OG0000016	Shad_tr104832_c0_g1_i1.p1	Chfl_DN19737_c0_g1_i1.p1
OG0000016	Shad_tr30195_c0_g1_i1.p1	Chfl_DN3196_c0_g1_i1.p1
OG0000016	Shad_tr20659_c0_g1_i29.p1, Shad_tr56139_c0_g1_i5.p1	Chfl_DN26298_c0_g1_i1.p1
OG0000016	Shad_tr63013_c0_g1_i1.p1	Chfl_DN13865_c0_g1_i1.p1
OG0000018	Shad_tr33408_c0_g1_i1.p1, Shad_tr4944_c1_g1_i16.p1, Shad_tr27589_c1_g1_i2.p1, Shad_tr27589_c0_g4_i1.p1, Shad_tr27589_c0_g1_i2.p1, Shad_tr22586_c2_g3_i1.p1, Shad_tr42991_c0_g1_i10.p1, Shad_tr28733_c0_g3_i3.p1, Shad_tr28733_c0_g1_i2.p1, Shad_tr41369_c0_g1_i3.p1, Shad_tr40675_c0_g1_i2.p1, Shad_tr40314_c0_g1_i1.p1, Shad_tr59276_c0_g1_i1.p1, Shad_tr36296_c0_g1_i3.p1, Shad_tr37725_c0_g2_i1.p1, Shad_tr21895_c0_g1_i19.p1, Shad_tr4352_c1_g1_i6.p1, Shad_tr108593_c0_g1_i1.p1, Shad_tr84814_c0_g1_i1.p1, Shad_tr34599_c1_g1_i2.p1, Shad_tr34599_c0_g1_i12.p1, Shad_tr97856_c0_g1_i1.p1, Shad_tr40347_c0_g1_i1.p1, Shad_tr44625_c0_g1_i1.p1, Shad_tr34599_c0_g2_i1.p1, Shad_tr177_c0_g1_i2.p1	Chfl_DN2920_c0_g2_i2.p1
OG0000020	Shad_tr19820_c0_g2_i5.p1, Shad_tr30362_c0_g1_i7.p1, Shad_tr10844_c0_g1_i2.p1	Chfl_DN12788_c0_g1_i1.p1
OG0000024	Shad_tr73847_c0_g1_i1.p1	Chfl_DN9901_c0_g2_i1.p1, Chfl_DN24187_c0_g1_i1.p1, Chfl_DN11543_c0_g2_i1.p1
OG0000024	Shad_tr57338_c0_g1_i1.p1	Chfl_DN25589_c0_g4_i1.p1
OG0000024	Shad_tr15840_c0_g1_i2.p1, Shad_tr21228_c0_g1_i1.p1	Chfl_DN13318_c0_g1_i1.p1
OG0000024	Shad_tr23702_c0_g1_i2.p1	Chfl_DN7680_c0_g2_i1.p1
OG0000024	Shad_tr86687_c0_g1_i1.p1, Shad_tr57496_c0_g2_i1.p1	Chfl_DN24775_c0_g1_i1.p1
OG0000024	Shad_tr51654_c0_g1_i1.p1	Chfl_DN1082_c0_g2_i1.p1
OG0000026	Shad_tr7105_c1_g1_i1.p1	Chfl_DN25301_c0_g1_i1.p1
OG0000027	Shad_tr44254_c1_g1_i1.p1	Chfl_DN976_c0_g1_i1.p1
OG0000027	Shad_tr7261_c0_g1_i8.p1	Chfl_DN2180_c0_g3_i1.p1
OG0000027	Shad_tr48438_c0_g1_i1.p1, Shad_tr28206_c0_g1_i1.p1, Shad_tr15440_c0_g2_i3.p1	Chfl_DN1836_c0_g2_i2.p1
OG0000027	Shad_tr103407_c0_g1_i1.p1	Chfl_DN5828_c0_g3_i1.p1, Chfl_DN295_c0_g1_i7.p1
OG0000027	Shad_tr46417_c0_g1_i3.p1, Shad_tr8439_c0_g3_i1.p1, Shad_tr80138_c0_g1_i1.p1, Shad_tr20774_c2_g1_i1.p1, Shad_tr21177_c0_g1_i1.p1	Chfl_DN25201_c0_g1_i1.p1
OG0000027	Shad_tr81309_c0_g1_i1.p1, Shad_tr19184_c0_g2_i7.p1	Chfl_DN2139_c0_g2_i1.p1
OG0000028	Shad_tr8272_c3_g3_i1.p1, Shad_tr99432_c0_g1_i1.p1, Shad_tr16010_c0_g1_i12.p1, Shad_tr2614_c1_g1_i5.p1, Shad_tr25188_c0_g2_i3.p1, Shad_tr29221_c1_g1_i2.p1, Shad_tr11953_c0_g1_i5.p1, Shad_tr9089_c2_g1_i26.p1, Shad_tr11744_c2_g1_i2.p1, Shad_tr4266_c0_g1_i5.p1, Shad_tr25353_c0_g1_i2.p1, Shad_tr55101_c0_g1_i2.p1, Shad_tr305_c2_g1_i2.p1, Shad_tr26942_c0_g1_i2.p1, Shad_tr16418_c0_g1_i5.p1	Chfl_DN5365_c0_g1_i2.p1
OG0000029	Shad_tr21574_c0_g1_i12.p1	Chfl_DN3191_c0_g1_i15.p1, Chfl_DN2925_c0_g1_i1.p1, Chfl_DN16891_c0_g1_i1.p1, Chfl_DN8746_c0_g2_i1.p1
OG0000029	Shad_tr52952_c0_g1_i1.p1	Chfl_DN10774_c0_g1_i1.p1
OG0000029	Shad_tr27699_c0_g1_i2.p1	Chfl_DN13670_c0_g2_i1.p1
OG0000029	Shad_tr74827_c0_g1_i1.p1, Shad_tr32353_c0_g3_i2.p1	Chfl_DN374_c0_g1_i3.p1
OG0000029	Shad_tr24561_c0_g1_i1.p1, Shad_tr15164_c0_g1_i1.p1	Chfl_DN5388_c0_g1_i4.p1, Chfl_DN17316_c0_g2_i2.p1, Chfl_DN3455_c0_g4_i1.p1, Chfl_DN5341_c1_g1_i5.p1, Chfl_DN2827_c1_g1_i4.p1, Chfl_DN26127_c0_g1_i1.p1
OG0000029	Shad_tr26827_c0_g2_i1.p1	Chfl_DN13834_c0_g1_i1.p1
OG0000029	Shad_tr21574_c1_g1_i3.p1	Chfl_DN416_c0_g1_i1.p1
OG0000029	Shad_tr31495_c0_g1_i2.p1	Chfl_DN27751_c0_g1_i1.p1, Chfl_DN4197_c1_g1_i2.p1, Chfl_DN15107_c0_g2_i1.p1, Chfl_DN6038_c0_g1_i1.p1
OG0000030	Shad_tr7909_c0_g1_i3.p1, Shad_tr19192_c0_g1_i1.p1, Shad_tr2911_c0_g1_i5.p1	Chfl_DN796_c1_g1_i11.p1
OG0000030	Shad_tr17926_c0_g2_i1.p1	Chfl_DN2957_c0_g2_i2.p1
OG0000030	Shad_tr40907_c0_g1_i4.p1	Chfl_DN16732_c0_g1_i3.p1
OG0000030	Shad_tr19344_c0_g1_i6.p1, Shad_tr3121_c0_g2_i1.p1, Shad_tr3121_c0_g1_i13.p1	Chfl_DN2859_c0_g1_i4.p1, Chfl_DN74_c1_g1_i2.p1
OG0000031	Shad_tr76797_c0_g1_i1.p1, Shad_tr19208_c0_g1_i1.p1, Shad_tr31074_c0_g1_i1.p1, Shad_tr99599_c0_g1_i1.p1	Chfl_DN17870_c0_g1_i1.p1
OG0000031	Shad_tr48816_c0_g1_i9.p1, Shad_tr67774_c0_g1_i1.p1, Shad_tr94731_c0_g1_i1.p1, Shad_tr91889_c0_g1_i1.p1, Shad_tr61595_c0_g1_i1.p1, Shad_tr28520_c0_g1_i5.p1	Chfl_DN20927_c0_g1_i1.p1
OG0000035	Shad_tr12310_c0_g1_i2.p1	Chfl_DN4741_c0_g3_i1.p1
OG0000035	Shad_tr47252_c0_g3_i1.p1, Shad_tr6848_c1_g3_i1.p1	Chfl_DN1837_c0_g5_i1.p1
OG0000035	Shad_tr56743_c0_g1_i2.p1, Shad_tr8585_c3_g1_i1.p1	Chfl_DN3419_c0_g3_i1.p1
OG0000036	Shad_tr67703_c0_g1_i1.p1	Chfl_DN799_c0_g1_i2.p1
OG0000036	Shad_tr48893_c0_g1_i1.p1, Shad_tr5679_c0_g1_i1.p1, Shad_tr27877_c0_g3_i1.p1	Chfl_DN26907_c0_g1_i1.p1, Chfl_DN13600_c0_g1_i1.p1
OG0000038	Shad_tr7481_c0_g1_i1.p1	Chfl_DN3427_c0_g1_i1.p1, Chfl_DN6911_c0_g1_i1.p1
OG0000038	Shad_tr31301_c1_g1_i2.p1	Chfl_DN2235_c0_g2_i1.p1
OG0000039	Shad_tr10153_c0_g1_i7.p1, Shad_tr38518_c0_g1_i1.p1, Shad_tr10065_c0_g3_i1.p1, Shad_tr37785_c0_g1_i1.p1	Chfl_DN2453_c0_g1_i3.p1
OG0000041	Shad_tr36754_c1_g1_i2.p1, Shad_tr100484_c0_g1_i1.p1, Shad_tr60302_c0_g1_i1.p1, Shad_tr36754_c0_g1_i4.p1, Shad_tr4898_c1_g1_i2.p2, Shad_tr46489_c0_g1_i1.p1, Shad_tr8700_c0_g1_i11.p2, Shad_tr47334_c0_g1_i3.p1, Shad_tr30451_c0_g1_i18.p1, Shad_tr51340_c0_g1_i6.p1, Shad_tr23808_c1_g1_i9.p1, Shad_tr20497_c0_g1_i1.p1, Shad_tr517_c4_g1_i1.p2, Shad_tr21446_c0_g1_i1.p1, Shad_tr45126_c0_g1_i1.p1, Shad_tr36987_c0_g2_i1.p1, Shad_tr32090_c1_g1_i1.p2, Shad_tr28519_c0_g1_i14.p1, Shad_tr17412_c2_g1_i3.p1, Shad_tr9788_c3_g1_i3.p1, Shad_tr36987_c0_g1_i1.p1, Shad_tr28212_c2_g1_i2.p1, Shad_tr53712_c0_g1_i1.p2, Shad_tr32834_c0_g1_i1.p1, Shad_tr24598_c1_g1_i1.p1, Shad_tr46928_c0_g1_i1.p1, Shad_tr26114_c0_g1_i5.p1	Chfl_DN2130_c0_g1_i1.p1, Chfl_DN1174_c0_g1_i2.p1
OG0000045	Shad_tr20172_c0_g1_i1.p1	Chfl_DN21674_c0_g4_i1.p1
OG0000045	Shad_tr44010_c1_g2_i1.p1, Shad_tr46214_c0_g1_i7.p1, Shad_tr15464_c1_g1_i1.p1	Chfl_DN1348_c0_g1_i4.p1
OG0000045	Shad_tr6864_c4_g1_i2.p1	Chfl_DN21674_c0_g5_i1.p1
OG0000047	Shad_tr13437_c3_g1_i2.p1, Shad_tr9464_c0_g4_i1.p1	Chfl_DN18488_c0_g1_i1.p1
OG0000047	Shad_tr13437_c2_g1_i14.p1	Chfl_DN4376_c0_g2_i3.p1
OG0000047	Shad_tr37210_c0_g1_i1.p1	Chfl_DN2462_c1_g2_i1.p1, Chfl_DN5910_c0_g1_i1.p1, Chfl_DN15541_c0_g1_i2.p1
OG0000047	Shad_tr14771_c0_g4_i2.p1	Chfl_DN2991_c0_g2_i1.p1
OG0000048	Shad_tr102617_c0_g1_i1.p1	Chfl_DN10274_c0_g1_i1.p1
OG0000048	Shad_tr105247_c0_g1_i1.p1, Shad_tr23991_c1_g1_i2.p1, Shad_tr50288_c0_g1_i1.p1, Shad_tr72497_c0_g1_i1.p1, Shad_tr18778_c0_g1_i3.p1	Chfl_DN25914_c0_g1_i1.p1, Chfl_DN6931_c1_g2_i1.p1
OG0000048	Shad_tr11241_c0_g2_i1.p1	Chfl_DN10091_c0_g1_i1.p1
OG0000048	Shad_tr50242_c0_g1_i2.p4, Shad_tr18345_c0_g1_i3.p1	Chfl_DN12263_c0_g1_i2.p1, Chfl_DN9994_c0_g1_i1.p1
OG0000052	Shad_tr40016_c0_g3_i1.p1	Chfl_DN5543_c0_g2_i1.p1
OG0000055	Shad_tr26368_c0_g3_i1.p1	Chfl_DN17494_c0_g1_i1.p1
OG0000055	Shad_tr21564_c1_g1_i4.p1	Chfl_DN8237_c0_g2_i7.p1
OG0000055	Shad_tr5823_c0_g1_i8.p1, Shad_tr6903_c0_g2_i1.p1	Chfl_DN3016_c0_g3_i3.p1, Chfl_DN11634_c0_g1_i1.p1, Chfl_DN10955_c0_g3_i2.p1
OG0000058	Shad_tr8257_c5_g1_i6.p1, Shad_tr12149_c0_g1_i2.p1, Shad_tr47506_c0_g1_i1.p1, Shad_tr2175_c25_g1_i1.p1, Shad_tr17295_c0_g1_i7.p1, Shad_tr12557_c0_g1_i7.p1, Shad_tr19778_c0_g1_i7.p1, Shad_tr6092_c0_g1_i13.p1, Shad_tr47071_c0_g1_i1.p1, Shad_tr8257_c0_g1_i6.p1, Shad_tr22293_c0_g1_i3.p1, Shad_tr2175_c1_g1_i25.p1, Shad_tr8257_c2_g1_i1.p1, Shad_tr2175_c5_g1_i25.p1, Shad_tr56141_c0_g1_i1.p1, Shad_tr13754_c0_g1_i4.p1, Shad_tr12000_c0_g1_i1.p1, Shad_tr12000_c0_g3_i1.p1, Shad_tr36854_c0_g1_i3.p1, Shad_tr23136_c0_g1_i1.p1, Shad_tr56141_c1_g1_i1.p1, Shad_tr9659_c0_g1_i5.p1, Shad_tr2602_c0_g1_i16.p1, Shad_tr28109_c0_g1_i1.p1, Shad_tr47369_c0_g1_i3.p1, Shad_tr20471_c0_g1_i4.p1, Shad_tr12000_c0_g2_i2.p1	Chfl_DN5371_c0_g1_i1.p1
OG0000059	Shad_tr12314_c0_g1_i1.p1, Shad_tr1473_c0_g3_i2.p1	Chfl_DN1124_c0_g1_i1.p1
OG0000059	Shad_tr11544_c0_g1_i7.p1	Chfl_DN541_c0_g1_i1.p1
OG0000059	Shad_tr80838_c0_g1_i1.p1	Chfl_DN9839_c0_g1_i1.p1
OG0000061	Shad_tr45066_c0_g1_i1.p1	Chfl_DN2346_c0_g1_i3.p1
OG0000061	Shad_tr9083_c0_g1_i1.p1	Chfl_DN3419_c0_g5_i1.p1
OG0000061	Shad_tr50725_c0_g1_i1.p1	Chfl_DN4741_c0_g2_i1.p1
OG0000068	Shad_tr22306_c0_g1_i13.p1	Chfl_DN13663_c0_g1_i1.p1
OG0000071	Shad_tr67428_c0_g1_i1.p1, Shad_tr76521_c0_g1_i1.p1, Shad_tr105623_c0_g1_i1.p1, Shad_tr112699_c0_g1_i1.p1, Shad_tr15476_c1_g2_i1.p1, Shad_tr75103_c0_g1_i1.p1, Shad_tr35979_c0_g2_i2.p1, Shad_tr44137_c0_g3_i1.p1, Shad_tr19143_c0_g1_i6.p1, Shad_tr23568_c2_g1_i1.p1, Shad_tr18787_c1_g3_i1.p1, Shad_tr52273_c0_g1_i1.p1, Shad_tr54514_c0_g1_i2.p1	Chfl_DN10247_c0_g2_i1.p1
OG0000072	Shad_tr56213_c0_g3_i4.p1, Shad_tr7543_c0_g1_i8.p1, Shad_tr7543_c0_g4_i1.p1	Chfl_DN2794_c0_g1_i1.p1
OG0000072	Shad_tr3797_c1_g1_i2.p1	Chfl_DN6354_c0_g2_i1.p1, Chfl_DN9145_c0_g1_i2.p1, Chfl_DN3126_c0_g1_i3.p1
OG0000075	Shad_tr889_c1_g1_i1.p1, Shad_tr17559_c0_g1_i3.p1, Shad_tr11587_c0_g1_i6.p1, Shad_tr25754_c0_g1_i6.p1, Shad_tr25754_c0_g2_i1.p1, Shad_tr9269_c4_g1_i1.p1, Shad_tr42853_c0_g1_i1.p1	Chfl_DN8134_c0_g1_i1.p1
OG0000076	Shad_tr20542_c0_g1_i5.p1	Chfl_DN13423_c0_g2_i1.p1, Chfl_DN13423_c0_g1_i1.p1
OG0000076	Shad_tr13616_c0_g1_i9.p1	Chfl_DN4088_c0_g1_i2.p1
OG0000076	Shad_tr40036_c1_g1_i2.p1, Shad_tr90637_c0_g1_i1.p1	Chfl_DN7710_c0_g3_i1.p1
OG0000078	Shad_tr48869_c0_g1_i1.p1	Chfl_DN23712_c0_g1_i1.p1, Chfl_DN5546_c0_g2_i1.p1
OG0000080	Shad_tr43662_c0_g2_i1.p1, Shad_tr11109_c0_g1_i1.p1, Shad_tr10910_c1_g2_i2.p1, Shad_tr16109_c3_g1_i1.p1, Shad_tr6780_c3_g1_i1.p1, Shad_tr47931_c0_g1_i1.p1, Shad_tr64098_c0_g1_i1.p1, Shad_tr22621_c5_g1_i5.p1, Shad_tr9680_c0_g1_i1.p1, Shad_tr50095_c1_g1_i1.p1	Chfl_DN19423_c0_g1_i1.p1
OG0000083	Shad_tr12994_c1_g2_i6.p1, Shad_tr33094_c1_g1_i1.p1, Shad_tr53547_c0_g1_i1.p1, Shad_tr96594_c0_g1_i1.p1, Shad_tr43871_c0_g1_i1.p1, Shad_tr104114_c0_g1_i1.p1, Shad_tr16482_c7_g1_i1.p1	Chfl_DN5749_c0_g1_i1.p1
OG0000086	Shad_tr36911_c0_g1_i1.p1, Shad_tr77425_c0_g1_i1.p1, Shad_tr22397_c0_g1_i8.p1, Shad_tr58445_c0_g1_i1.p1, Shad_tr100204_c0_g1_i1.p1, Shad_tr16733_c0_g1_i4.p1, Shad_tr1443_c3_g1_i1.p1, Shad_tr91195_c0_g1_i1.p1, Shad_tr29896_c1_g2_i1.p1	Chfl_DN3073_c0_g4_i1.p1
OG0000087	Shad_tr91217_c0_g1_i1.p1	Chfl_DN1816_c0_g1_i1.p1, Chfl_DN2932_c0_g1_i2.p1, Chfl_DN14644_c0_g1_i1.p1
OG0000087	Shad_tr36807_c0_g2_i1.p1, Shad_tr99366_c0_g1_i1.p1, Shad_tr3984_c0_g2_i4.p1, Shad_tr8966_c1_g3_i1.p1, Shad_tr9142_c0_g1_i4.p1, Shad_tr53768_c0_g1_i5.p1, Shad_tr13703_c1_g1_i1.p1, Shad_tr38834_c1_g1_i1.p1	Chfl_DN2257_c0_g1_i4.p1
OG0000089	Shad_tr8598_c2_g1_i2.p1	Chfl_DN910_c0_g6_i1.p1
OG0000089	Shad_tr1453_c0_g1_i9.p1, Shad_tr32217_c0_g2_i1.p1, Shad_tr6460_c0_g1_i4.p1, Shad_tr6460_c0_g2_i5.p1	Chfl_DN22_c0_g1_i5.p1
OG0000092	Shad_tr462_c1_g2_i1.p1, Shad_tr2759_c1_g1_i3.p1, Shad_tr187_c17_g2_i1.p1, Shad_tr1757_c0_g2_i1.p1	Chfl_DN357_c0_g4_i1.p1, Chfl_DN31_c0_g1_i2.p1
OG0000097	Shad_tr39031_c0_g1_i5.p1, Shad_tr5691_c1_g1_i9.p1, Shad_tr1040_c1_g1_i8.p1, Shad_tr48260_c0_g1_i1.p1, Shad_tr25967_c0_g1_i6.p1, Shad_tr41634_c0_g1_i1.p1, Shad_tr28406_c0_g1_i1.p1	Chfl_DN5411_c0_g1_i1.p1
OG0000099	Shad_tr20098_c0_g1_i5.p1, Shad_tr865_c3_g1_i10.p1, Shad_tr865_c3_g2_i1.p1, Shad_tr16764_c0_g1_i5.p1, Shad_tr46932_c2_g1_i1.p1	Chfl_DN6981_c0_g1_i1.p1
OG0000099	Shad_tr7051_c1_g1_i1.p1, Shad_tr22211_c9_g1_i1.p1	Chfl_DN6633_c0_g1_i1.p1
OG0000102	Shad_tr47252_c0_g1_i1.p1	Chfl_DN13656_c0_g1_i1.p1
OG0000102	Shad_tr15070_c0_g1_i7.p1	Chfl_DN3419_c0_g2_i1.p1
OG0000102	Shad_tr49806_c0_g1_i1.p1, Shad_tr84247_c0_g1_i1.p1, Shad_tr63841_c0_g1_i1.p1, Shad_tr57362_c0_g1_i3.p1, Shad_tr50650_c0_g1_i1.p1	Chfl_DN25119_c0_g1_i1.p1
OG0000104	Shad_tr75005_c0_g1_i1.p1	Chfl_DN365_c0_g1_i1.p1
OG0000105	Shad_tr113509_c0_g1_i1.p1	Chfl_DN20656_c0_g1_i1.p1
OG0000107	Shad_tr8733_c0_g1_i1.p1	Chfl_DN911_c0_g4_i1.p1
OG0000107	Shad_tr7565_c0_g1_i2.p1	Chfl_DN3804_c1_g1_i1.p1, Chfl_DN745_c0_g3_i1.p1
OG0000107	Shad_tr24038_c1_g1_i2.p1	Chfl_DN17098_c0_g1_i1.p1
OG0000107	Shad_tr10291_c0_g1_i1.p1	Chfl_DN7018_c0_g2_i1.p1
OG0000108	Shad_tr59589_c0_g2_i1.p1, Shad_tr62904_c0_g1_i1.p1, Shad_tr101890_c0_g1_i1.p1	Chfl_DN9978_c0_g2_i2.p1
OG0000108	Shad_tr17788_c0_g4_i1.p1	Chfl_DN4296_c0_g1_i1.p1
OG0000110	Shad_tr244_c10_g1_i1.p1	Chfl_DN1903_c0_g1_i1.p1
OG0000110	Shad_tr94407_c0_g1_i1.p1	Chfl_DN8654_c0_g1_i1.p1
OG0000110	Shad_tr4272_c0_g1_i1.p1	Chfl_DN2030_c0_g1_i1.p1
OG0000110	Shad_tr7210_c1_g5_i1.p1	Chfl_DN9760_c0_g1_i1.p1
OG0000110	Shad_tr51845_c0_g1_i1.p1, Shad_tr69465_c0_g1_i1.p1	Chfl_DN27590_c0_g1_i1.p1
OG0000114	Shad_tr84365_c0_g1_i1.p1, Shad_tr47226_c0_g2_i1.p1, Shad_tr111327_c0_g1_i1.p1, Shad_tr32717_c0_g1_i1.p1	Chfl_DN21116_c0_g1_i1.p1
OG0000114	Shad_tr42009_c0_g1_i1.p1, Shad_tr6148_c2_g1_i10.p1	Chfl_DN7526_c0_g1_i1.p1
OG0000115	Shad_tr17073_c1_g1_i1.p1, Shad_tr17073_c0_g1_i1.p1, Shad_tr40158_c0_g1_i1.p1, Shad_tr35077_c0_g2_i1.p1, Shad_tr68650_c0_g1_i2.p1, Shad_tr20709_c0_g1_i6.p1, Shad_tr28015_c0_g1_i2.p1	Chfl_DN6995_c0_g2_i2.p1
OG0000116	Shad_tr19520_c4_g1_i4.p1, Shad_tr1348_c0_g1_i1.p1, Shad_tr27814_c0_g1_i1.p1, Shad_tr19520_c1_g2_i1.p1, Shad_tr15127_c4_g1_i1.p1, Shad_tr15243_c0_g1_i1.p1, Shad_tr15243_c0_g2_i2.p1, Shad_tr32231_c4_g1_i1.p1, Shad_tr36296_c2_g2_i1.p1, Shad_tr22556_c0_g1_i2.p1, Shad_tr209_c0_g1_i18.p1, Shad_tr57328_c0_g1_i1.p1, Shad_tr44805_c0_g1_i1.p1, Shad_tr15311_c0_g1_i1.p1, Shad_tr39993_c0_g1_i1.p1, Shad_tr8585_c0_g1_i6.p1	Chfl_DN24251_c0_g1_i1.p1, Chfl_DN27942_c0_g1_i1.p1, Chfl_DN24126_c0_g1_i1.p1
OG0000125	Shad_tr3940_c3_g1_i1.p1, Shad_tr44636_c0_g2_i3.p1	Chfl_DN641_c0_g1_i1.p1
OG0000125	Shad_tr13427_c0_g1_i1.p1, Shad_tr13262_c0_g1_i2.p1, Shad_tr11762_c1_g3_i1.p1	Chfl_DN930_c0_g1_i4.p1
OG0000126	Shad_tr13847_c0_g2_i1.p1	Chfl_DN11526_c0_g1_i1.p1
OG0000128	Shad_tr10919_c0_g2_i1.p1	Chfl_DN5391_c0_g1_i1.p1
