Orthogroup	Stichodactyla_haddoni_longest_pep	Anthopleura_dowii_longest_pep
OG0000011	Shad_tr216_c0_g1_i7.p1	Ando_DN6053_c0_g1_i2.p1
OG0000011	Shad_tr6003_c0_g1_i16.p1, Shad_tr3827_c0_g1_i11.p1, Shad_tr28266_c0_g1_i1.p1	Ando_DN1721_c1_g1_i1.p1
OG0000011	Shad_tr1481_c2_g1_i1.p1	Ando_DN7103_c0_g1_i1.p1
OG0000013	Shad_tr8347_c1_g1_i1.p1	Ando_DN39_c0_g1_i7.p1
OG0000013	Shad_tr8307_c0_g2_i6.p1	Ando_DN5603_c0_g1_i1.p1
OG0000013	Shad_tr8307_c0_g1_i1.p1, Shad_tr17051_c0_g2_i1.p1, Shad_tr17051_c0_g1_i3.p1, Shad_tr17051_c0_g3_i1.p1	Ando_DN1942_c0_g1_i1.p1
OG0000013	Shad_tr24875_c1_g1_i1.p1	Ando_DN17854_c0_g1_i1.p1
OG0000013	Shad_tr21099_c0_g1_i8.p1	Ando_DN8606_c0_g2_i4.p1, Ando_DN879_c0_g1_i18.p1, Ando_DN13637_c0_g1_i5.p1, Ando_DN8606_c0_g1_i1.p1, Ando_DN8606_c0_g3_i1.p1, Ando_DN13637_c0_g2_i2.p1
OG0000013	Shad_tr32404_c1_g1_i3.p1	Ando_DN9892_c0_g1_i1.p1
OG0000013	Shad_tr1935_c0_g2_i1.p1	Ando_DN2844_c1_g1_i12.p1
OG0000014	Shad_tr34282_c1_g1_i2.p1	Ando_DN18783_c0_g1_i1.p1
OG0000014	Shad_tr35511_c0_g1_i1.p1	Ando_DN7170_c0_g1_i1.p1
OG0000014	Shad_tr86159_c0_g1_i1.p1	Ando_DN24404_c0_g1_i1.p1
OG0000015	Shad_tr44536_c0_g1_i4.p1	Ando_DN25893_c0_g1_i1.p1
OG0000015	Shad_tr53130_c0_g1_i1.p1, Shad_tr10919_c1_g1_i1.p1, Shad_tr84705_c0_g1_i1.p1, Shad_tr23092_c0_g3_i2.p1	Ando_DN19667_c0_g1_i2.p1
OG0000016	Shad_tr14091_c0_g1_i6.p1	Ando_DN6116_c0_g1_i12.p1
OG0000016	Shad_tr30195_c0_g1_i1.p1	Ando_DN9752_c0_g1_i1.p1
OG0000016	Shad_tr56139_c0_g1_i5.p1	Ando_DN12862_c0_g1_i1.p1
OG0000017	Shad_tr6984_c0_g2_i1.p1	Ando_DN18890_c1_g1_i1.p1
OG0000017	Shad_tr16830_c2_g1_i1.p1	Ando_DN12547_c0_g1_i2.p1
OG0000017	Shad_tr33974_c1_g2_i1.p1, Shad_tr30509_c0_g1_i1.p2, Shad_tr6984_c0_g3_i1.p2	Ando_DN24261_c0_g1_i1.p1, Ando_DN20162_c1_g1_i1.p1
OG0000018	Shad_tr33408_c0_g1_i1.p1, Shad_tr4944_c1_g1_i16.p1	Ando_DN7877_c0_g1_i1.p1
OG0000018	Shad_tr27589_c0_g4_i1.p1	Ando_DN7867_c0_g1_i1.p1
OG0000018	Shad_tr36296_c0_g1_i3.p1	Ando_DN700_c0_g1_i2.p1
OG0000018	Shad_tr21895_c0_g1_i19.p1, Shad_tr4352_c1_g1_i6.p1	Ando_DN2205_c0_g1_i4.p1
OG0000018	Shad_tr108593_c0_g1_i1.p1	Ando_DN2318_c0_g1_i1.p1, Ando_DN2318_c0_g3_i1.p1
OG0000018	Shad_tr84814_c0_g1_i1.p1, Shad_tr34599_c1_g1_i2.p1, Shad_tr34599_c0_g1_i12.p1, Shad_tr97856_c0_g1_i1.p1, Shad_tr40347_c0_g1_i1.p1, Shad_tr44625_c0_g1_i1.p1, Shad_tr34599_c0_g2_i1.p1	Ando_DN26553_c0_g1_i1.p1
OG0000018	Shad_tr177_c0_g1_i2.p1	Ando_DN108_c0_g1_i6.p1
OG0000019	Shad_tr6656_c1_g1_i4.p1, Shad_tr11011_c1_g1_i8.p1, Shad_tr29516_c3_g1_i10.p1, Shad_tr17123_c0_g1_i2.p1, Shad_tr13570_c1_g1_i4.p1, Shad_tr23413_c1_g1_i3.p1, Shad_tr25926_c0_g1_i1.p1, Shad_tr40870_c0_g2_i1.p1, Shad_tr12133_c0_g1_i13.p1, Shad_tr25764_c0_g2_i1.p1, Shad_tr6656_c0_g1_i6.p1, Shad_tr8766_c0_g1_i1.p1, Shad_tr76303_c0_g1_i1.p1, Shad_tr29485_c0_g2_i1.p1, Shad_tr67651_c0_g1_i1.p1, Shad_tr40870_c0_g1_i4.p2, Shad_tr82909_c0_g1_i1.p1, Shad_tr4304_c0_g1_i5.p1, Shad_tr96139_c0_g1_i1.p1, Shad_tr19126_c1_g1_i1.p1, Shad_tr32311_c4_g1_i2.p1, Shad_tr28098_c0_g2_i1.p1, Shad_tr11442_c1_g1_i2.p1, Shad_tr15359_c0_g1_i2.p1, Shad_tr19126_c0_g1_i3.p1, Shad_tr29485_c0_g1_i1.p1, Shad_tr6656_c0_g2_i1.p1	Ando_DN26215_c0_g1_i1.p1
OG0000019	Shad_tr50567_c3_g1_i1.p1, Shad_tr28512_c2_g3_i1.p2	Ando_DN9742_c0_g1_i1.p1
OG0000020	Shad_tr20558_c0_g1_i2.p1	Ando_DN12958_c0_g1_i1.p1
OG0000020	Shad_tr6108_c0_g1_i14.p1	Ando_DN5399_c0_g1_i3.p1
OG0000020	Shad_tr4487_c0_g2_i2.p1	Ando_DN8623_c0_g1_i1.p1
OG0000020	Shad_tr4487_c0_g1_i2.p1	Ando_DN2193_c0_g1_i2.p1
OG0000020	Shad_tr17595_c0_g1_i1.p1	Ando_DN9387_c0_g1_i1.p1
OG0000020	Shad_tr12863_c2_g1_i1.p1	Ando_DN17349_c0_g1_i1.p1
OG0000020	Shad_tr44275_c0_g2_i3.p1	Ando_DN7410_c0_g1_i1.p1
OG0000020	Shad_tr9299_c0_g1_i16.p1	Ando_DN13205_c0_g1_i2.p1
OG0000020	Shad_tr16412_c1_g1_i1.p1	Ando_DN14117_c0_g1_i1.p1
OG0000022	Shad_tr4965_c0_g1_i1.p1	Ando_DN20482_c0_g1_i1.p1
OG0000022	Shad_tr28775_c0_g1_i5.p1	Ando_DN13185_c0_g4_i1.p1, Ando_DN13185_c0_g2_i1.p1, Ando_DN13185_c0_g3_i1.p1
OG0000023	Shad_tr7844_c3_g2_i6.p1, Shad_tr55330_c0_g1_i1.p1	Ando_DN6491_c1_g1_i1.p1
OG0000023	Shad_tr30783_c0_g2_i1.p1, Shad_tr9054_c0_g1_i4.p1	Ando_DN1451_c0_g1_i11.p1
OG0000023	Shad_tr6542_c0_g2_i5.p1	Ando_DN11500_c0_g2_i1.p1
OG0000023	Shad_tr33176_c0_g1_i6.p1	Ando_DN13074_c0_g1_i5.p1
OG0000023	Shad_tr32011_c0_g1_i2.p1, Shad_tr923_c0_g1_i48.p1	Ando_DN12454_c0_g3_i1.p1
OG0000023	Shad_tr20249_c0_g2_i4.p1	Ando_DN18399_c0_g1_i1.p1
OG0000024	Shad_tr73847_c0_g1_i1.p1	Ando_DN15194_c0_g1_i1.p1
OG0000024	Shad_tr95185_c0_g1_i1.p1, Shad_tr114594_c0_g1_i1.p1	Ando_DN22566_c0_g2_i1.p1
OG0000024	Shad_tr86687_c0_g1_i1.p1	Ando_DN14730_c0_g1_i1.p1
OG0000024	Shad_tr57496_c0_g1_i1.p1	Ando_DN15538_c0_g2_i1.p1
OG0000024	Shad_tr51654_c0_g1_i1.p1	Ando_DN15194_c0_g2_i1.p1
OG0000024	Shad_tr58302_c0_g1_i1.p1, Shad_tr58302_c0_g2_i1.p1	Ando_DN11959_c0_g1_i1.p1, Ando_DN10677_c0_g1_i1.p1
OG0000025	Shad_tr32405_c1_g1_i3.p1	Ando_DN3907_c0_g1_i1.p1
OG0000026	Shad_tr53582_c0_g1_i1.p1	Ando_DN4994_c1_g1_i1.p1
OG0000026	Shad_tr56943_c0_g1_i1.p1	Ando_DN12474_c0_g1_i1.p1
OG0000026	Shad_tr39056_c1_g2_i1.p1, Shad_tr4413_c0_g2_i2.p1	Ando_DN4148_c0_g1_i2.p1
OG0000026	Shad_tr28250_c0_g1_i3.p1	Ando_DN5580_c0_g1_i1.p1
OG0000026	Shad_tr4067_c0_g1_i2.p1	Ando_DN10921_c0_g1_i1.p1
OG0000026	Shad_tr44288_c0_g1_i3.p1	Ando_DN7942_c0_g1_i1.p1
OG0000026	Shad_tr17855_c0_g1_i1.p1	Ando_DN5213_c0_g1_i2.p1
OG0000026	Shad_tr4067_c1_g1_i4.p1	Ando_DN4036_c0_g1_i1.p1
OG0000026	Shad_tr11094_c0_g2_i7.p1	Ando_DN19961_c0_g1_i1.p1
OG0000026	Shad_tr2382_c4_g1_i1.p1	Ando_DN24129_c0_g1_i1.p1, Ando_DN24316_c0_g1_i1.p1
OG0000026	Shad_tr12716_c0_g2_i3.p1	Ando_DN16956_c0_g1_i1.p1
OG0000028	Shad_tr8272_c3_g3_i1.p1	Ando_DN7353_c0_g1_i1.p1
OG0000028	Shad_tr99432_c0_g1_i1.p1, Shad_tr16010_c0_g1_i12.p1	Ando_DN18587_c0_g2_i1.p1
OG0000028	Shad_tr2614_c1_g1_i5.p1	Ando_DN18587_c0_g1_i1.p1, Ando_DN10945_c0_g2_i7.p1, Ando_DN10945_c0_g1_i2.p1
OG0000028	Shad_tr25188_c0_g2_i3.p1	Ando_DN114_c0_g2_i1.p1
OG0000028	Shad_tr11953_c0_g1_i5.p1	Ando_DN8492_c0_g1_i1.p1
OG0000028	Shad_tr9089_c2_g1_i26.p1	Ando_DN14532_c0_g1_i3.p1
OG0000028	Shad_tr26942_c0_g1_i2.p1	Ando_DN6192_c0_g1_i1.p1
OG0000028	Shad_tr16418_c0_g1_i5.p1	Ando_DN12576_c0_g4_i1.p1
OG0000030	Shad_tr19192_c0_g1_i1.p1	Ando_DN18069_c0_g3_i1.p1
OG0000030	Shad_tr2911_c0_g1_i5.p1	Ando_DN8393_c0_g1_i1.p1, Ando_DN8393_c0_g2_i1.p1
OG0000030	Shad_tr11571_c2_g1_i2.p1, Shad_tr42209_c1_g1_i1.p1	Ando_DN9194_c0_g1_i1.p1
OG0000030	Shad_tr1190_c0_g1_i33.p1	Ando_DN4372_c0_g2_i7.p1
OG0000030	Shad_tr3813_c0_g1_i25.p1	Ando_DN25531_c0_g1_i1.p1
OG0000030	Shad_tr790_c1_g1_i24.p1	Ando_DN2460_c0_g1_i1.p1
OG0000030	Shad_tr21741_c0_g1_i1.p1, Shad_tr2078_c0_g1_i11.p1	Ando_DN1665_c0_g1_i1.p1
OG0000030	Shad_tr17926_c0_g2_i1.p1	Ando_DN5932_c1_g1_i11.p1
OG0000030	Shad_tr40907_c0_g1_i4.p1	Ando_DN15655_c0_g1_i1.p1
OG0000030	Shad_tr19344_c0_g1_i6.p1	Ando_DN19313_c0_g1_i1.p1
OG0000030	Shad_tr3121_c0_g2_i1.p1	Ando_DN1030_c0_g1_i4.p1
OG0000031	Shad_tr19004_c0_g3_i1.p1	Ando_DN16372_c0_g1_i1.p1
OG0000031	Shad_tr48816_c0_g1_i9.p1	Ando_DN5444_c0_g2_i1.p1
OG0000031	Shad_tr28520_c0_g1_i5.p1	Ando_DN18126_c0_g1_i1.p1
OG0000031	Shad_tr20673_c0_g1_i4.p1	Ando_DN16055_c0_g1_i2.p1
OG0000031	Shad_tr6959_c0_g2_i2.p1	Ando_DN2690_c0_g1_i1.p1
OG0000032	Shad_tr43592_c0_g2_i1.p1	Ando_DN8851_c0_g1_i1.p1
OG0000034	Shad_tr5597_c0_g1_i34.p1	Ando_DN2037_c1_g1_i6.p1
OG0000034	Shad_tr472_c0_g3_i3.p1	Ando_DN1558_c0_g1_i2.p1
OG0000034	Shad_tr16321_c0_g1_i1.p1	Ando_DN20627_c0_g1_i1.p1
OG0000034	Shad_tr49991_c0_g1_i4.p1	Ando_DN10840_c0_g1_i1.p1
OG0000034	Shad_tr3880_c1_g1_i4.p1	Ando_DN5383_c0_g1_i4.p1
OG0000034	Shad_tr58980_c0_g1_i1.p1	Ando_DN24755_c0_g1_i1.p1
OG0000035	Shad_tr77693_c0_g1_i1.p1	Ando_DN25761_c0_g1_i1.p1
OG0000036	Shad_tr67703_c0_g1_i1.p1	Ando_DN306_c0_g1_i1.p1
OG0000036	Shad_tr6515_c0_g1_i1.p1	Ando_DN381_c0_g1_i2.p1
OG0000036	Shad_tr5679_c0_g1_i1.p1	Ando_DN12393_c0_g1_i1.p1
OG0000036	Shad_tr15962_c0_g1_i8.p1	Ando_DN1839_c1_g1_i1.p1
OG0000036	Shad_tr33512_c0_g1_i3.p1	Ando_DN6972_c0_g1_i3.p1
OG0000037	Shad_tr29004_c0_g1_i10.p1, Shad_tr52073_c0_g1_i1.p1, Shad_tr7981_c0_g1_i10.p1, Shad_tr7981_c0_g3_i1.p1	Ando_DN24440_c0_g1_i1.p1
OG0000037	Shad_tr60991_c0_g1_i1.p1	Ando_DN10666_c0_g2_i1.p1
OG0000038	Shad_tr7481_c0_g1_i1.p1	Ando_DN10949_c0_g1_i1.p1
OG0000038	Shad_tr48571_c0_g1_i2.p1	Ando_DN27403_c0_g1_i1.p1, Ando_DN26581_c0_g1_i1.p1
OG0000038	Shad_tr23754_c0_g1_i1.p1	Ando_DN22264_c0_g3_i1.p1
OG0000038	Shad_tr14612_c0_g1_i1.p1	Ando_DN16741_c0_g1_i1.p1
OG0000038	Shad_tr31301_c1_g1_i2.p1	Ando_DN19058_c0_g4_i1.p1
OG0000039	Shad_tr14777_c0_g1_i4.p1, Shad_tr10153_c0_g1_i7.p1, Shad_tr38518_c0_g1_i1.p1, Shad_tr10065_c0_g3_i1.p1, Shad_tr37785_c0_g1_i1.p1, Shad_tr8644_c0_g5_i1.p3, Shad_tr44150_c1_g2_i1.p1, Shad_tr72828_c0_g1_i1.p1, Shad_tr58118_c0_g1_i1.p1, Shad_tr104962_c0_g1_i1.p1, Shad_tr8644_c0_g1_i3.p1, Shad_tr14777_c0_g2_i1.p1	Ando_DN78_c4_g1_i1.p1
OG0000040	Shad_tr11080_c0_g1_i2.p1, Shad_tr3795_c5_g1_i2.p1, Shad_tr7799_c0_g1_i1.p1, Shad_tr6439_c0_g1_i8.p1, Shad_tr3795_c1_g1_i1.p1, Shad_tr16985_c0_g1_i2.p1, Shad_tr6494_c0_g1_i1.p1, Shad_tr1063_c0_g1_i5.p1, Shad_tr84_c0_g1_i16.p1	Ando_DN4530_c0_g1_i1.p1, Ando_DN1166_c0_g1_i5.p1
OG0000040	Shad_tr4608_c1_g1_i5.p1	Ando_DN5476_c0_g1_i14.p1, Ando_DN3068_c0_g2_i2.p1, Ando_DN3068_c0_g1_i4.p1, Ando_DN12031_c1_g1_i1.p1
OG0000042	Shad_tr27016_c1_g1_i1.p1	Ando_DN19203_c0_g1_i1.p1
OG0000042	Shad_tr10086_c0_g1_i13.p1	Ando_DN14312_c0_g2_i1.p1
OG0000042	Shad_tr14052_c0_g1_i1.p1	Ando_DN3039_c0_g2_i1.p1
OG0000042	Shad_tr1281_c0_g1_i3.p1	Ando_DN3039_c0_g1_i1.p1
OG0000042	Shad_tr93877_c0_g1_i1.p1	Ando_DN18833_c0_g1_i1.p1
OG0000043	Shad_tr21372_c0_g1_i10.p1	Ando_DN9071_c0_g1_i2.p1
OG0000043	Shad_tr55304_c1_g1_i1.p1, Shad_tr23370_c1_g1_i1.p1, Shad_tr23076_c0_g1_i5.p1, Shad_tr3171_c1_g1_i2.p1	Ando_DN3723_c0_g1_i5.p1
OG0000043	Shad_tr1605_c0_g2_i4.p1	Ando_DN9737_c0_g1_i10.p1
OG0000043	Shad_tr103_c9_g1_i1.p1	Ando_DN2755_c0_g2_i1.p1
OG0000043	Shad_tr8790_c0_g2_i2.p1	Ando_DN12141_c0_g1_i1.p1
OG0000044	Shad_tr14023_c0_g1_i1.p1	Ando_DN13203_c0_g3_i1.p1
OG0000044	Shad_tr23541_c0_g1_i17.p1	Ando_DN7923_c0_g1_i1.p1, Ando_DN7484_c0_g1_i4.p1, Ando_DN5140_c0_g1_i1.p1, Ando_DN2324_c0_g2_i1.p1
OG0000044	Shad_tr17117_c0_g1_i1.p1	Ando_DN21033_c0_g1_i1.p1, Ando_DN3705_c0_g1_i4.p1, Ando_DN8120_c0_g1_i1.p1
OG0000045	Shad_tr20172_c0_g1_i1.p1	Ando_DN2401_c0_g1_i2.p1
OG0000045	Shad_tr44010_c1_g2_i1.p1	Ando_DN4774_c0_g1_i7.p1
OG0000045	Shad_tr15464_c1_g1_i1.p1	Ando_DN8974_c0_g1_i1.p1
OG0000045	Shad_tr1830_c0_g1_i5.p1, Shad_tr5492_c2_g1_i2.p1	Ando_DN2974_c0_g1_i1.p1
OG0000045	Shad_tr89183_c0_g1_i1.p1, Shad_tr4735_c1_g1_i2.p1	Ando_DN11125_c0_g1_i3.p1
OG0000045	Shad_tr2168_c1_g2_i1.p1	Ando_DN21824_c0_g2_i1.p1
OG0000045	Shad_tr10409_c1_g1_i5.p1	Ando_DN4896_c0_g1_i4.p1
OG0000045	Shad_tr16855_c0_g3_i1.p1	Ando_DN22652_c0_g1_i1.p1
OG0000046	Shad_tr1688_c0_g2_i1.p1	Ando_DN9209_c0_g1_i3.p1
OG0000046	Shad_tr2621_c2_g1_i1.p1	Ando_DN7448_c0_g1_i1.p1
OG0000046	Shad_tr24787_c0_g1_i1.p1	Ando_DN19142_c0_g2_i1.p1, Ando_DN19142_c0_g4_i1.p1, Ando_DN3535_c1_g1_i2.p1, Ando_DN1025_c0_g4_i1.p1
OG0000047	Shad_tr7688_c2_g1_i6.p1, Shad_tr13437_c3_g1_i2.p1, Shad_tr9464_c0_g4_i1.p1, Shad_tr13437_c2_g1_i14.p1, Shad_tr37210_c0_g1_i1.p1, Shad_tr15057_c0_g1_i1.p1	Ando_DN8075_c0_g1_i2.p2
OG0000047	Shad_tr5061_c2_g1_i1.p1, Shad_tr55873_c0_g1_i1.p1, Shad_tr55484_c0_g1_i1.p1, Shad_tr14771_c0_g4_i2.p1	Ando_DN10686_c0_g1_i1.p1
OG0000048	Shad_tr72497_c0_g1_i1.p1	Ando_DN17664_c0_g1_i1.p1
OG0000048	Shad_tr11245_c0_g1_i8.p1	Ando_DN17917_c0_g1_i1.p1
OG0000049	Shad_tr13226_c0_g4_i1.p1	Ando_DN8530_c0_g1_i2.p1
OG0000049	Shad_tr16649_c0_g2_i1.p1, Shad_tr16649_c0_g1_i2.p1	Ando_DN1710_c0_g1_i4.p1
OG0000049	Shad_tr3486_c0_g1_i22.p1	Ando_DN4349_c0_g1_i1.p1, Ando_DN2239_c1_g1_i1.p1
OG0000049	Shad_tr41382_c0_g1_i1.p1	Ando_DN2239_c0_g1_i3.p1
OG0000050	Shad_tr92698_c0_g1_i2.p1	Ando_DN27398_c0_g1_i1.p1
OG0000050	Shad_tr13608_c0_g1_i8.p1	Ando_DN14430_c0_g1_i6.p1
OG0000051	Shad_tr37362_c1_g2_i1.p1	Ando_DN2538_c0_g1_i2.p1
OG0000051	Shad_tr4827_c7_g1_i1.p1	Ando_DN7990_c0_g1_i1.p1
OG0000051	Shad_tr80_c0_g1_i1.p1	Ando_DN5245_c0_g1_i1.p1
OG0000051	Shad_tr31011_c0_g3_i1.p1	Ando_DN5180_c0_g1_i2.p1
OG0000052	Shad_tr17707_c1_g1_i11.p1, Shad_tr35256_c2_g1_i1.p1, Shad_tr35256_c0_g2_i4.p1, Shad_tr29323_c1_g1_i2.p1, Shad_tr59391_c0_g1_i1.p1, Shad_tr37419_c0_g1_i4.p1, Shad_tr74663_c0_g1_i3.p1, Shad_tr35741_c0_g1_i1.p1, Shad_tr108522_c0_g1_i1.p1, Shad_tr92902_c0_g1_i1.p1, Shad_tr10665_c2_g1_i1.p1, Shad_tr63959_c0_g1_i2.p1, Shad_tr16707_c4_g1_i7.p1, Shad_tr111860_c0_g1_i1.p1, Shad_tr30493_c0_g1_i1.p1, Shad_tr4084_c0_g2_i20.p1, Shad_tr31593_c0_g2_i2.p1	Ando_DN26007_c0_g1_i1.p1
