Orthogroup	Stichodactyla_haddoni_longest_pep	Stichidactyla_gigantea_longest_pep
OG0000000	Shad_tr14213_c2_g2_i2.p1	Sgig_tr10048_c0_g1_i6.p1
OG0000000	Shad_tr50515_c0_g1_i7.p1	Sgig_tr3908_c3_g1_i1.p1
OG0000000	Shad_tr9580_c0_g2_i1.p1	Sgig_tr10352_c2_g1_i9.p1
OG0000000	Shad_tr14411_c0_g1_i2.p1	Sgig_tr1217_c0_g2_i2.p2
OG0000000	Shad_tr16568_c0_g2_i2.p1, Shad_tr28490_c1_g1_i4.p1	Sgig_tr4667_c7_g1_i1.p2, Sgig_tr6049_c1_g1_i2.p1
OG0000000	Shad_tr29962_c0_g2_i1.p1	Sgig_tr27453_c1_g1_i1.p1
OG0000000	Shad_tr43628_c5_g1_i1.p1	Sgig_tr49652_c0_g1_i1.p1
OG0000000	Shad_tr8644_c2_g1_i1.p1, Shad_tr94573_c0_g1_i1.p1	Sgig_tr1091_c7_g1_i8.p1
OG0000000	Shad_tr24579_c6_g1_i1.p1	Sgig_tr8977_c0_g1_i20.p1
OG0000001	Shad_tr96939_c0_g1_i1.p1, Shad_tr35115_c2_g1_i1.p1	Sgig_tr62229_c0_g1_i1.p1
OG0000001	Shad_tr40070_c0_g1_i3.p1	Sgig_tr4437_c1_g2_i2.p1
OG0000001	Shad_tr92094_c0_g1_i1.p1	Sgig_tr9167_c0_g1_i15.p1
OG0000001	Shad_tr35209_c0_g1_i19.p1	Sgig_tr6753_c0_g3_i1.p1
OG0000001	Shad_tr35209_c1_g1_i1.p1	Sgig_tr6753_c0_g1_i5.p1
OG0000001	Shad_tr19219_c0_g1_i3.p1	Sgig_tr1136_c2_g3_i1.p1, Sgig_tr3174_c3_g1_i3.p1
OG0000001	Shad_tr36534_c0_g3_i1.p1	Sgig_tr59768_c0_g1_i1.p1
OG0000001	Shad_tr20453_c0_g1_i2.p1	Sgig_tr28384_c0_g3_i1.p1
OG0000001	Shad_tr9780_c0_g1_i12.p1	Sgig_tr218_c3_g2_i1.p1
OG0000001	Shad_tr64127_c0_g1_i1.p1	Sgig_tr2474_c3_g1_i6.p1
OG0000001	Shad_tr49780_c0_g1_i1.p1	Sgig_tr21831_c0_g3_i1.p1
OG0000001	Shad_tr105103_c0_g1_i1.p1	Sgig_tr61028_c0_g1_i1.p1
OG0000001	Shad_tr42064_c0_g1_i1.p1	Sgig_tr90716_c0_g1_i1.p1
OG0000001	Shad_tr34383_c0_g1_i3.p1, Shad_tr34383_c0_g2_i1.p1	Sgig_tr12990_c0_g1_i1.p2
OG0000001	Shad_tr6850_c1_g1_i17.p1	Sgig_tr27130_c0_g2_i9.p1, Sgig_tr27130_c0_g1_i3.p1
OG0000001	Shad_tr59851_c0_g1_i1.p1	Sgig_tr46723_c0_g1_i1.p1
OG0000001	Shad_tr6848_c2_g2_i1.p1	Sgig_tr51892_c0_g1_i1.p1
OG0000001	Shad_tr16866_c2_g1_i16.p1	Sgig_tr4_c96_g1_i5.p1
OG0000001	Shad_tr40605_c0_g2_i1.p1	Sgig_tr94678_c0_g1_i1.p1, Sgig_tr70100_c0_g1_i1.p1
OG0000001	Shad_tr2154_c10_g1_i10.p1	Sgig_tr18710_c0_g1_i5.p1
OG0000001	Shad_tr46277_c0_g1_i1.p1	Sgig_tr1869_c0_g1_i31.p1, Sgig_tr5724_c0_g1_i7.p1
OG0000001	Shad_tr54231_c0_g1_i1.p1	Sgig_tr6395_c0_g1_i1.p1
OG0000001	Shad_tr4472_c1_g1_i3.p1	Sgig_tr17019_c0_g1_i2.p1
OG0000001	Shad_tr42064_c0_g2_i1.p1	Sgig_tr21831_c0_g2_i1.p1
OG0000001	Shad_tr727_c0_g1_i1.p1	Sgig_tr16000_c0_g3_i1.p1
OG0000001	Shad_tr62603_c0_g1_i1.p1, Shad_tr108137_c0_g1_i1.p1	Sgig_tr51892_c0_g2_i1.p1
OG0000001	Shad_tr17040_c1_g1_i3.p1	Sgig_tr96558_c0_g1_i1.p1
OG0000001	Shad_tr16900_c0_g2_i2.p1, Shad_tr45810_c0_g1_i1.p1	Sgig_tr62626_c0_g1_i1.p1
OG0000001	Shad_tr6848_c1_g1_i1.p1	Sgig_tr82391_c0_g1_i1.p2
OG0000001	Shad_tr41377_c0_g1_i1.p1	Sgig_tr31052_c0_g3_i1.p1
OG0000001	Shad_tr6481_c0_g1_i4.p1	Sgig_tr2518_c0_g1_i6.p1
OG0000001	Shad_tr20778_c0_g1_i3.p1	Sgig_tr22235_c0_g2_i1.p1
OG0000001	Shad_tr24298_c0_g1_i20.p1	Sgig_tr33242_c0_g1_i4.p1
OG0000001	Shad_tr86078_c0_g1_i1.p1, Shad_tr43722_c1_g1_i1.p1	Sgig_tr103032_c0_g1_i1.p1
OG0000001	Shad_tr37216_c0_g1_i1.p2	Sgig_tr50740_c0_g2_i1.p1
OG0000001	Shad_tr35615_c0_g1_i2.p1	Sgig_tr23577_c0_g2_i5.p1
OG0000001	Shad_tr68933_c0_g1_i1.p2	Sgig_tr9396_c0_g1_i14.p2
OG0000001	Shad_tr37417_c0_g1_i1.p1	Sgig_tr47841_c0_g1_i3.p1
OG0000001	Shad_tr13620_c0_g1_i13.p1	Sgig_tr62736_c0_g1_i1.p1
OG0000001	Shad_tr93128_c0_g1_i1.p2	Sgig_tr69856_c0_g1_i1.p1
OG0000001	Shad_tr4222_c0_g1_i10.p1	Sgig_tr10126_c0_g1_i2.p1
OG0000002	Shad_tr111782_c0_g1_i1.p2	Sgig_tr50948_c0_g1_i1.p1, Sgig_tr44731_c0_g1_i1.p1
OG0000002	Shad_tr86756_c0_g1_i1.p1, Shad_tr41945_c0_g1_i3.p1	Sgig_tr43096_c0_g1_i1.p1
OG0000002	Shad_tr12224_c1_g1_i3.p1	Sgig_tr4989_c1_g1_i1.p1
OG0000002	Shad_tr44303_c0_g1_i1.p1, Shad_tr9985_c1_g1_i1.p1	Sgig_tr4949_c3_g1_i8.p1
OG0000002	Shad_tr5174_c1_g1_i1.p1, Shad_tr37065_c1_g1_i10.p1, Shad_tr33413_c0_g1_i1.p1	Sgig_tr26092_c0_g1_i3.p1
OG0000002	Shad_tr107712_c0_g1_i1.p1	Sgig_tr44624_c0_g1_i1.p1
OG0000002	Shad_tr12084_c0_g1_i6.p1	Sgig_tr9067_c0_g1_i5.p1, Sgig_tr4814_c0_g1_i22.p1
OG0000002	Shad_tr12224_c0_g1_i5.p1, Shad_tr17959_c1_g1_i7.p1	Sgig_tr6498_c0_g1_i7.p2
OG0000002	Shad_tr4496_c1_g1_i1.p1	Sgig_tr4989_c2_g1_i2.p1
OG0000002	Shad_tr77520_c0_g1_i1.p1, Shad_tr80294_c0_g1_i1.p1	Sgig_tr108326_c0_g1_i1.p1
OG0000002	Shad_tr16090_c0_g2_i1.p1	Sgig_tr92170_c0_g1_i1.p1
OG0000002	Shad_tr88468_c0_g1_i1.p1	Sgig_tr27361_c0_g3_i1.p1
OG0000002	Shad_tr8741_c0_g1_i2.p1	Sgig_tr16900_c0_g1_i7.p1
OG0000002	Shad_tr95979_c0_g1_i1.p1	Sgig_tr19848_c0_g2_i2.p1
OG0000002	Shad_tr3107_c0_g1_i15.p1	Sgig_tr36862_c0_g1_i3.p1
OG0000002	Shad_tr8304_c0_g1_i14.p1	Sgig_tr12575_c0_g1_i2.p1
OG0000002	Shad_tr12774_c0_g2_i2.p1	Sgig_tr15916_c0_g1_i2.p1
OG0000002	Shad_tr72127_c0_g1_i1.p1	Sgig_tr58065_c0_g1_i1.p1
OG0000002	Shad_tr39260_c0_g2_i1.p1	Sgig_tr55997_c0_g2_i2.p1
OG0000002	Shad_tr5174_c0_g1_i1.p1	Sgig_tr45338_c0_g1_i2.p2
OG0000002	Shad_tr100500_c0_g1_i3.p1	Sgig_tr53608_c0_g2_i1.p1
OG0000002	Shad_tr53113_c1_g1_i1.p1	Sgig_tr23547_c0_g2_i3.p1, Sgig_tr23547_c0_g1_i4.p1
OG0000002	Shad_tr20065_c0_g1_i14.p1	Sgig_tr14638_c0_g2_i6.p1, Sgig_tr35466_c0_g1_i1.p1
OG0000002	Shad_tr19797_c0_g1_i13.p1	Sgig_tr11346_c0_g1_i10.p1
OG0000002	Shad_tr5653_c0_g1_i3.p1	Sgig_tr35529_c1_g1_i1.p1
OG0000002	Shad_tr33251_c1_g1_i2.p1	Sgig_tr2617_c1_g1_i24.p2
OG0000002	Shad_tr17594_c1_g1_i1.p1, Shad_tr17594_c0_g1_i9.p1	Sgig_tr16162_c1_g1_i8.p1
OG0000002	Shad_tr34051_c0_g1_i3.p1	Sgig_tr37223_c0_g2_i1.p1
OG0000002	Shad_tr12274_c0_g2_i3.p1	Sgig_tr3691_c0_g1_i28.p1
OG0000002	Shad_tr23414_c2_g1_i2.p1	Sgig_tr30964_c2_g2_i1.p1
OG0000002	Shad_tr3482_c0_g2_i5.p1	Sgig_tr11752_c2_g1_i3.p1
OG0000002	Shad_tr50646_c2_g1_i1.p1	Sgig_tr362_c0_g2_i1.p1
OG0000002	Shad_tr7064_c0_g1_i4.p1	Sgig_tr91271_c0_g1_i1.p1, Sgig_tr14143_c1_g1_i3.p2
OG0000002	Shad_tr47022_c0_g1_i5.p1	Sgig_tr4587_c0_g1_i1.p1
OG0000002	Shad_tr50422_c0_g1_i2.p1	Sgig_tr28662_c0_g1_i2.p1
OG0000002	Shad_tr94789_c0_g1_i1.p1, Shad_tr83401_c0_g1_i1.p1	Sgig_tr47161_c0_g1_i1.p1
OG0000002	Shad_tr15359_c0_g2_i1.p1	Sgig_tr50163_c0_g1_i2.p1
OG0000002	Shad_tr32976_c0_g1_i4.p1, Shad_tr2725_c1_g1_i2.p1	Sgig_tr8999_c0_g1_i1.p1
OG0000002	Shad_tr28069_c0_g1_i5.p1	Sgig_tr8347_c0_g1_i1.p1
OG0000002	Shad_tr32952_c2_g1_i3.p1	Sgig_tr33244_c0_g1_i1.p1
OG0000002	Shad_tr2617_c2_g1_i12.p1	Sgig_tr33252_c0_g2_i1.p1
OG0000002	Shad_tr32952_c3_g1_i6.p1	Sgig_tr85381_c0_g1_i1.p1
OG0000002	Shad_tr20124_c0_g1_i3.p1	Sgig_tr2905_c0_g4_i2.p1
OG0000002	Shad_tr7283_c0_g1_i12.p1	Sgig_tr36624_c0_g1_i11.p2
OG0000002	Shad_tr4412_c9_g1_i2.p1	Sgig_tr2308_c0_g1_i12.p1
OG0000002	Shad_tr16243_c0_g1_i8.p1	Sgig_tr22703_c0_g3_i1.p1
OG0000002	Shad_tr38188_c0_g2_i2.p1	Sgig_tr9670_c0_g2_i5.p1
OG0000002	Shad_tr33095_c0_g1_i1.p1	Sgig_tr9430_c0_g2_i17.p1
OG0000002	Shad_tr33580_c0_g1_i5.p1	Sgig_tr7890_c0_g1_i3.p1
OG0000002	Shad_tr58236_c0_g1_i1.p1	Sgig_tr16715_c0_g1_i5.p1
OG0000002	Shad_tr35093_c0_g1_i1.p1, Shad_tr16001_c2_g1_i5.p1	Sgig_tr10041_c0_g1_i8.p1
OG0000002	Shad_tr9467_c0_g1_i14.p1	Sgig_tr7084_c0_g2_i1.p1
OG0000002	Shad_tr38884_c1_g1_i1.p1	Sgig_tr18755_c0_g2_i1.p1
OG0000002	Shad_tr12312_c1_g1_i1.p1	Sgig_tr7090_c0_g3_i8.p1
OG0000002	Shad_tr9740_c0_g2_i2.p1	Sgig_tr15413_c0_g1_i11.p1
OG0000002	Shad_tr16063_c0_g1_i12.p1	Sgig_tr28188_c1_g1_i9.p1
OG0000002	Shad_tr149_c1_g1_i1.p1	Sgig_tr5129_c3_g1_i2.p1, Sgig_tr24741_c0_g1_i5.p1
OG0000002	Shad_tr9885_c1_g1_i1.p1	Sgig_tr40584_c0_g1_i1.p1
OG0000003	Shad_tr22800_c0_g1_i2.p1	Sgig_tr15898_c0_g1_i5.p1
OG0000003	Shad_tr8436_c2_g1_i2.p1	Sgig_tr5618_c0_g1_i1.p1
OG0000003	Shad_tr16415_c2_g1_i2.p1	Sgig_tr4126_c3_g1_i3.p1
OG0000003	Shad_tr8902_c1_g1_i4.p1	Sgig_tr7544_c0_g1_i2.p1
OG0000003	Shad_tr3966_c0_g5_i2.p1	Sgig_tr5585_c0_g2_i2.p1
OG0000003	Shad_tr25371_c0_g1_i5.p1	Sgig_tr5585_c0_g1_i1.p1
OG0000003	Shad_tr19223_c0_g1_i7.p1	Sgig_tr10385_c0_g1_i1.p1
OG0000003	Shad_tr59766_c0_g1_i3.p1	Sgig_tr12735_c0_g1_i1.p1
OG0000003	Shad_tr5763_c0_g1_i1.p1	Sgig_tr39663_c0_g2_i2.p1
OG0000003	Shad_tr49878_c0_g1_i1.p1	Sgig_tr40667_c0_g1_i1.p1
OG0000003	Shad_tr83431_c0_g1_i1.p1	Sgig_tr80881_c0_g1_i1.p1
OG0000003	Shad_tr9802_c0_g1_i7.p1	Sgig_tr15665_c0_g1_i10.p1
OG0000003	Shad_tr45996_c0_g1_i3.p1	Sgig_tr83704_c0_g1_i1.p1
OG0000003	Shad_tr10811_c0_g1_i12.p1	Sgig_tr3025_c3_g1_i4.p1, Sgig_tr30238_c0_g2_i1.p1
OG0000003	Shad_tr6906_c2_g1_i6.p1	Sgig_tr18818_c0_g1_i2.p1
OG0000003	Shad_tr12109_c0_g1_i9.p1	Sgig_tr93340_c0_g1_i1.p1
OG0000003	Shad_tr40464_c0_g1_i2.p1	Sgig_tr78777_c0_g1_i1.p1
OG0000003	Shad_tr8779_c0_g1_i2.p1	Sgig_tr43794_c1_g1_i3.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Sgig_tr14397_c0_g2_i2.p1
OG0000003	Shad_tr1233_c10_g1_i4.p1	Sgig_tr242_c2_g1_i12.p1
OG0000003	Shad_tr3554_c0_g1_i19.p1	Sgig_tr1094_c0_g3_i1.p1
OG0000003	Shad_tr5139_c0_g1_i6.p1	Sgig_tr11938_c0_g1_i11.p1
OG0000004	Shad_tr97815_c0_g1_i1.p1	Sgig_tr76217_c0_g1_i1.p1
OG0000004	Shad_tr110442_c0_g1_i1.p1	Sgig_tr101432_c0_g1_i1.p1, Sgig_tr23606_c0_g2_i1.p1
OG0000004	Shad_tr35099_c0_g2_i1.p1, Shad_tr37267_c0_g1_i1.p1	Sgig_tr69919_c0_g1_i1.p1
OG0000004	Shad_tr12330_c2_g1_i14.p2	Sgig_tr25491_c0_g1_i10.p1
OG0000004	Shad_tr101840_c0_g1_i1.p2	Sgig_tr20181_c0_g2_i1.p1
OG0000004	Shad_tr3168_c6_g1_i8.p1	Sgig_tr30314_c2_g1_i1.p1
OG0000004	Shad_tr52676_c0_g1_i1.p1, Shad_tr95332_c0_g1_i1.p1	Sgig_tr23115_c0_g1_i3.p1
OG0000004	Shad_tr100286_c0_g1_i1.p1	Sgig_tr64696_c0_g1_i1.p1
OG0000004	Shad_tr42245_c0_g2_i1.p1	Sgig_tr20014_c0_g2_i2.p1
OG0000004	Shad_tr51188_c0_g1_i2.p1	Sgig_tr28845_c0_g1_i2.p1
OG0000004	Shad_tr61488_c0_g1_i1.p1, Shad_tr8779_c1_g1_i6.p1, Shad_tr30202_c4_g1_i1.p1	Sgig_tr60966_c0_g1_i1.p1
OG0000004	Shad_tr65099_c0_g1_i1.p1	Sgig_tr14880_c0_g1_i2.p1
OG0000004	Shad_tr29184_c0_g1_i4.p1	Sgig_tr9739_c0_g1_i9.p1
OG0000004	Shad_tr31569_c2_g1_i2.p1	Sgig_tr67283_c0_g1_i1.p1
OG0000004	Shad_tr5957_c5_g1_i1.p1	Sgig_tr94167_c0_g1_i1.p1
OG0000004	Shad_tr115020_c0_g1_i1.p1, Shad_tr108642_c0_g1_i1.p1, Shad_tr47398_c0_g1_i2.p1, Shad_tr14565_c0_g2_i2.p1	Sgig_tr22710_c1_g1_i1.p1
OG0000004	Shad_tr51462_c0_g1_i1.p1	Sgig_tr103419_c0_g1_i1.p1
OG0000004	Shad_tr81197_c0_g1_i1.p1	Sgig_tr49074_c0_g1_i2.p1
OG0000004	Shad_tr34042_c0_g1_i1.p1	Sgig_tr61365_c0_g1_i1.p1
OG0000004	Shad_tr39747_c0_g1_i1.p1	Sgig_tr45939_c0_g2_i1.p1
OG0000004	Shad_tr30691_c2_g1_i1.p1	Sgig_tr2988_c2_g1_i4.p1
OG0000004	Shad_tr33235_c0_g1_i1.p1	Sgig_tr29264_c0_g1_i3.p2
OG0000004	Shad_tr48353_c0_g2_i1.p1	Sgig_tr57282_c0_g1_i1.p1
OG0000004	Shad_tr5661_c3_g1_i1.p1	Sgig_tr26760_c0_g1_i1.p1
OG0000004	Shad_tr25380_c0_g1_i1.p1	Sgig_tr20904_c1_g1_i2.p1
OG0000004	Shad_tr27205_c1_g1_i1.p1, Shad_tr13166_c1_g1_i1.p1	Sgig_tr62523_c0_g1_i1.p1
OG0000004	Shad_tr17085_c0_g1_i15.p1	Sgig_tr5126_c0_g1_i16.p1
OG0000004	Shad_tr24789_c1_g1_i10.p1	Sgig_tr11890_c1_g1_i1.p1
OG0000004	Shad_tr13166_c0_g1_i13.p1	Sgig_tr21497_c0_g2_i2.p1
OG0000004	Shad_tr38415_c0_g1_i1.p1	Sgig_tr24025_c1_g1_i1.p1
OG0000004	Shad_tr6562_c1_g2_i2.p1	Sgig_tr66736_c0_g1_i1.p1
OG0000004	Shad_tr53272_c0_g1_i1.p1	Sgig_tr22990_c0_g1_i3.p1
OG0000004	Shad_tr26996_c0_g1_i1.p2	Sgig_tr57282_c0_g2_i1.p1
OG0000004	Shad_tr14565_c0_g1_i2.p1	Sgig_tr26516_c0_g1_i3.p1
OG0000004	Shad_tr43473_c0_g1_i1.p1	Sgig_tr67706_c0_g1_i1.p1
OG0000004	Shad_tr32114_c1_g1_i7.p1	Sgig_tr24582_c0_g1_i2.p1
OG0000004	Shad_tr28510_c0_g1_i1.p1	Sgig_tr33038_c0_g1_i1.p1
OG0000005	Shad_tr2801_c1_g1_i3.p1	Sgig_tr86314_c0_g1_i1.p1
OG0000005	Shad_tr26927_c0_g1_i1.p1	Sgig_tr43517_c1_g2_i2.p2
OG0000005	Shad_tr1418_c0_g1_i1.p1	Sgig_tr2028_c0_g1_i11.p1
OG0000005	Shad_tr32859_c0_g1_i6.p1	Sgig_tr50230_c0_g1_i1.p1
OG0000005	Shad_tr7756_c0_g2_i4.p1, Shad_tr54580_c0_g1_i1.p1	Sgig_tr22518_c1_g1_i1.p1
OG0000005	Shad_tr25804_c0_g1_i5.p1	Sgig_tr22518_c0_g3_i3.p1, Sgig_tr22518_c0_g1_i1.p1
OG0000005	Shad_tr8718_c1_g1_i4.p1	Sgig_tr22518_c0_g2_i1.p1
OG0000005	Shad_tr10349_c0_g2_i7.p1, Shad_tr6063_c0_g1_i2.p1	Sgig_tr7663_c1_g1_i10.p1
OG0000005	Shad_tr58663_c0_g2_i1.p1	Sgig_tr19138_c0_g1_i3.p1
OG0000005	Shad_tr42495_c0_g1_i2.p1	Sgig_tr15123_c0_g1_i10.p1
OG0000005	Shad_tr42032_c0_g1_i2.p1	Sgig_tr18423_c0_g1_i9.p1
OG0000005	Shad_tr10187_c0_g1_i5.p1	Sgig_tr7455_c0_g1_i4.p1
OG0000005	Shad_tr47378_c0_g1_i1.p1	Sgig_tr27768_c0_g1_i1.p1, Sgig_tr10647_c0_g2_i1.p1
OG0000006	Shad_tr31728_c0_g1_i2.p1	Sgig_tr23087_c0_g1_i2.p2, Sgig_tr14742_c5_g1_i1.p1
OG0000006	Shad_tr18468_c0_g1_i1.p1	Sgig_tr13496_c0_g3_i1.p1, Sgig_tr13496_c0_g1_i11.p1
OG0000006	Shad_tr2850_c1_g1_i1.p1	Sgig_tr3840_c0_g1_i3.p1
OG0000006	Shad_tr25557_c0_g2_i1.p1	Sgig_tr11436_c1_g1_i2.p1
OG0000006	Shad_tr10663_c1_g2_i2.p1	Sgig_tr10391_c0_g1_i7.p1, Sgig_tr10391_c0_g2_i1.p1
OG0000006	Shad_tr43877_c1_g1_i3.p1	Sgig_tr8038_c0_g1_i2.p1
OG0000006	Shad_tr25563_c0_g1_i5.p1, Shad_tr25563_c0_g2_i5.p1	Sgig_tr29816_c0_g1_i3.p1
OG0000006	Shad_tr13578_c0_g1_i1.p1	Sgig_tr16903_c0_g1_i11.p1
OG0000006	Shad_tr9525_c1_g1_i1.p1	Sgig_tr221_c4_g1_i1.p1
OG0000006	Shad_tr10117_c0_g1_i6.p1	Sgig_tr29892_c0_g1_i22.p1, Sgig_tr12040_c1_g1_i2.p1
OG0000006	Shad_tr6479_c0_g1_i4.p1	Sgig_tr17901_c0_g1_i4.p1
OG0000006	Shad_tr13326_c1_g2_i7.p1	Sgig_tr31654_c1_g1_i1.p1
OG0000006	Shad_tr17447_c1_g1_i11.p1, Shad_tr2839_c3_g1_i1.p1	Sgig_tr27571_c0_g1_i4.p1
OG0000006	Shad_tr31511_c0_g1_i1.p1	Sgig_tr46876_c0_g1_i1.p1
OG0000006	Shad_tr16990_c1_g1_i14.p1	Sgig_tr28603_c1_g1_i5.p1
OG0000006	Shad_tr29428_c1_g2_i1.p1, Shad_tr78176_c0_g1_i1.p1, Shad_tr70926_c0_g1_i1.p1	Sgig_tr34084_c1_g1_i5.p1
OG0000006	Shad_tr40187_c1_g2_i2.p1, Shad_tr19094_c1_g4_i1.p1	Sgig_tr64789_c0_g1_i1.p1, Sgig_tr3391_c6_g1_i2.p1
OG0000006	Shad_tr27316_c0_g2_i5.p1	Sgig_tr384_c22_g1_i1.p1
OG0000006	Shad_tr9360_c0_g2_i9.p1	Sgig_tr34084_c1_g2_i2.p1, Sgig_tr1227_c0_g1_i22.p1
OG0000006	Shad_tr20107_c1_g1_i9.p1	Sgig_tr25850_c0_g1_i2.p1, Sgig_tr3249_c1_g1_i2.p1, Sgig_tr41727_c0_g1_i1.p1, Sgig_tr28603_c1_g3_i1.p1, Sgig_tr54364_c0_g1_i1.p1, Sgig_tr26420_c0_g1_i1.p1
OG0000007	Shad_tr114196_c0_g1_i1.p1	Sgig_tr32084_c0_g1_i1.p1
OG0000007	Shad_tr112002_c0_g1_i1.p1	Sgig_tr91914_c0_g1_i1.p1
OG0000007	Shad_tr16025_c0_g1_i1.p1	Sgig_tr9251_c3_g1_i1.p1
OG0000007	Shad_tr27395_c0_g1_i1.p1	Sgig_tr46855_c1_g1_i2.p1
OG0000007	Shad_tr2749_c1_g2_i1.p1	Sgig_tr16682_c1_g2_i1.p1
OG0000007	Shad_tr2749_c1_g1_i1.p1	Sgig_tr16682_c1_g1_i2.p1
OG0000007	Shad_tr35237_c0_g2_i1.p1	Sgig_tr16682_c2_g1_i1.p1
OG0000007	Shad_tr87403_c0_g1_i1.p1	Sgig_tr17196_c2_g2_i1.p1
OG0000007	Shad_tr8688_c0_g2_i3.p1	Sgig_tr10407_c0_g1_i2.p1
OG0000007	Shad_tr51167_c0_g1_i1.p1	Sgig_tr35713_c0_g2_i1.p1
OG0000007	Shad_tr28462_c2_g1_i1.p1	Sgig_tr35713_c0_g1_i3.p1
OG0000007	Shad_tr11126_c0_g1_i4.p1	Sgig_tr25770_c0_g1_i2.p1, Sgig_tr25770_c1_g1_i1.p2, Sgig_tr2286_c2_g1_i1.p1
OG0000007	Shad_tr36106_c0_g2_i2.p1	Sgig_tr6706_c4_g1_i1.p1
OG0000007	Shad_tr18436_c0_g1_i2.p1	Sgig_tr39308_c0_g4_i1.p1
OG0000007	Shad_tr36106_c0_g1_i2.p1, Shad_tr4677_c2_g1_i1.p1	Sgig_tr17753_c1_g1_i1.p1
OG0000007	Shad_tr36106_c0_g3_i1.p1, Shad_tr85359_c0_g1_i1.p1	Sgig_tr17753_c1_g2_i1.p1
OG0000007	Shad_tr9775_c0_g1_i1.p1	Sgig_tr26378_c0_g1_i1.p1
OG0000007	Shad_tr15166_c2_g1_i2.p1	Sgig_tr86840_c0_g1_i1.p1
OG0000007	Shad_tr87301_c0_g1_i1.p1	Sgig_tr11818_c2_g1_i1.p1
OG0000007	Shad_tr38195_c0_g1_i1.p1	Sgig_tr109093_c0_g1_i1.p1
OG0000007	Shad_tr36595_c0_g1_i1.p1	Sgig_tr67505_c0_g1_i1.p1, Sgig_tr71659_c0_g1_i1.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Sgig_tr9193_c0_g3_i1.p1
OG0000008	Shad_tr7219_c0_g1_i3.p1	Sgig_tr39240_c0_g1_i2.p1
OG0000008	Shad_tr15555_c1_g3_i1.p1	Sgig_tr23410_c0_g1_i3.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Sgig_tr29368_c3_g1_i1.p1
OG0000008	Shad_tr8884_c0_g3_i3.p1	Sgig_tr15127_c0_g1_i2.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Sgig_tr48519_c0_g1_i2.p1, Sgig_tr65098_c0_g1_i1.p1
