Orthogroup	Stichodactyla_haddoni_longest_pep	Cyanea_capillata_longest_pep
OG0000008	Shad_tr19205_c0_g1_i2.p1	Cyca_DN21219_c0_g1_i1.p1
OG0000008	Shad_tr29203_c2_g1_i1.p2	Cyca_DN7955_c0_g3_i1.p1, Cyca_DN8068_c0_g1_i1.p1
OG0000008	Shad_tr49540_c1_g1_i1.p1	Cyca_DN23393_c1_g1_i1.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Cyca_DN22031_c1_g1_i1.p1, Cyca_DN19292_c0_g1_i1.p1, Cyca_DN14707_c0_g1_i1.p1
OG0000008	Shad_tr6342_c0_g1_i3.p1	Cyca_DN11208_c0_g1_i1.p1
OG0000009	Shad_tr18647_c0_g1_i1.p1	Cyca_DN16285_c0_g1_i1.p1, Cyca_DN9709_c0_g1_i1.p1
OG0000010	Shad_tr54979_c0_g1_i1.p1	Cyca_DN9032_c0_g1_i2.p1, Cyca_DN9032_c0_g2_i1.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Cyca_DN10891_c0_g2_i1.p1, Cyca_DN10891_c0_g1_i1.p1, Cyca_DN8174_c0_g1_i1.p1
OG0000010	Shad_tr23864_c0_g1_i1.p1	Cyca_DN9337_c0_g1_i1.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Cyca_DN15139_c0_g2_i4.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1, Shad_tr216_c0_g1_i7.p1, Shad_tr6003_c0_g1_i16.p1, Shad_tr3827_c0_g1_i11.p1, Shad_tr28266_c0_g1_i1.p1, Shad_tr1481_c2_g1_i1.p1	Cyca_DN8007_c0_g1_i1.p1, Cyca_DN7560_c0_g1_i3.p1, Cyca_DN26966_c0_g1_i2.p1
OG0000012	Shad_tr30303_c5_g1_i1.p1	Cyca_DN20551_c0_g2_i1.p1
OG0000014	Shad_tr35511_c0_g1_i1.p1	Cyca_DN24653_c0_g1_i1.p1
OG0000014	Shad_tr30525_c0_g1_i1.p1	Cyca_DN1811_c0_g2_i1.p1
OG0000014	Shad_tr4904_c3_g1_i1.p1	Cyca_DN16422_c0_g2_i1.p1
OG0000014	Shad_tr44809_c0_g1_i1.p1, Shad_tr38687_c0_g1_i3.p1	Cyca_DN5815_c0_g2_i1.p1
OG0000014	Shad_tr55866_c0_g2_i1.p1	Cyca_DN2472_c0_g3_i1.p1
OG0000015	Shad_tr91068_c0_g1_i1.p1	Cyca_DN27723_c0_g1_i1.p1
OG0000016	Shad_tr30195_c0_g1_i1.p1	Cyca_DN7298_c0_g1_i3.p1
OG0000016	Shad_tr63013_c0_g1_i1.p1	Cyca_DN4819_c0_g1_i1.p1
OG0000018	Shad_tr33408_c0_g1_i1.p1, Shad_tr4944_c1_g1_i16.p1, Shad_tr27589_c1_g1_i2.p1, Shad_tr27589_c0_g4_i1.p1, Shad_tr27589_c0_g1_i2.p1, Shad_tr22586_c2_g3_i1.p1, Shad_tr42991_c0_g1_i10.p1, Shad_tr28733_c0_g3_i3.p1, Shad_tr28733_c0_g1_i2.p1, Shad_tr41369_c0_g1_i3.p1, Shad_tr40675_c0_g1_i2.p1, Shad_tr40314_c0_g1_i1.p1, Shad_tr59276_c0_g1_i1.p1, Shad_tr36296_c0_g1_i3.p1, Shad_tr37725_c0_g2_i1.p1, Shad_tr21895_c0_g1_i19.p1, Shad_tr4352_c1_g1_i6.p1, Shad_tr108593_c0_g1_i1.p1, Shad_tr84814_c0_g1_i1.p1, Shad_tr34599_c1_g1_i2.p1, Shad_tr34599_c0_g1_i12.p1, Shad_tr97856_c0_g1_i1.p1, Shad_tr40347_c0_g1_i1.p1, Shad_tr44625_c0_g1_i1.p1, Shad_tr34599_c0_g2_i1.p1, Shad_tr177_c0_g1_i2.p1	Cyca_DN7355_c0_g1_i1.p1
OG0000019	Shad_tr6656_c0_g1_i6.p1, Shad_tr8766_c0_g1_i1.p1, Shad_tr76303_c0_g1_i1.p1, Shad_tr29485_c0_g2_i1.p1, Shad_tr67651_c0_g1_i1.p1, Shad_tr40870_c0_g1_i4.p2, Shad_tr82909_c0_g1_i1.p1, Shad_tr4304_c0_g1_i5.p1, Shad_tr96139_c0_g1_i1.p1, Shad_tr19126_c1_g1_i1.p1, Shad_tr32311_c4_g1_i2.p1, Shad_tr28098_c0_g2_i1.p1, Shad_tr11442_c1_g1_i2.p1, Shad_tr15359_c0_g1_i2.p1, Shad_tr19126_c0_g1_i3.p1	Cyca_DN8803_c0_g1_i1.p1
OG0000019	Shad_tr6656_c0_g2_i1.p1	Cyca_DN17140_c0_g1_i1.p1
OG0000019	Shad_tr10160_c0_g1_i7.p1	Cyca_DN19570_c0_g3_i1.p1
OG0000019	Shad_tr3269_c0_g1_i19.p1, Shad_tr13445_c0_g3_i4.p1	Cyca_DN18031_c0_g1_i1.p1
OG0000019	Shad_tr4304_c2_g1_i1.p1, Shad_tr96670_c0_g1_i1.p1, Shad_tr10666_c4_g1_i1.p1, Shad_tr37088_c0_g1_i2.p2, Shad_tr50567_c3_g1_i1.p1, Shad_tr28512_c2_g3_i1.p2	Cyca_DN16928_c0_g1_i2.p1, Cyca_DN19570_c0_g1_i1.p1
OG0000020	Shad_tr20558_c0_g1_i2.p1, Shad_tr6108_c0_g1_i14.p1, Shad_tr4487_c0_g2_i2.p1, Shad_tr4487_c0_g1_i2.p1, Shad_tr30308_c0_g1_i14.p1, Shad_tr21849_c0_g1_i2.p1	Cyca_DN4010_c0_g1_i2.p1
OG0000020	Shad_tr19820_c0_g2_i5.p1, Shad_tr30362_c0_g1_i7.p1, Shad_tr10844_c0_g1_i2.p1	Cyca_DN22032_c0_g1_i1.p1
OG0000022	Shad_tr16040_c0_g1_i2.p1, Shad_tr33937_c0_g1_i2.p1	Cyca_DN30747_c0_g1_i1.p1
OG0000024	Shad_tr73847_c0_g1_i1.p1	Cyca_DN12891_c0_g1_i2.p1
OG0000024	Shad_tr15840_c0_g1_i2.p1, Shad_tr21228_c0_g1_i1.p1	Cyca_DN4022_c0_g1_i1.p1
OG0000024	Shad_tr23702_c0_g1_i2.p1	Cyca_DN28687_c0_g1_i1.p1
OG0000024	Shad_tr51654_c0_g1_i1.p1	Cyca_DN22864_c0_g1_i1.p1
OG0000024	Shad_tr58302_c0_g1_i1.p1, Shad_tr58302_c0_g2_i1.p1	Cyca_DN19563_c0_g1_i1.p1
OG0000026	Shad_tr30931_c0_g1_i2.p1	Cyca_DN9216_c0_g3_i1.p1
OG0000026	Shad_tr7105_c1_g1_i1.p1	Cyca_DN22324_c0_g1_i1.p1
OG0000026	Shad_tr28250_c0_g1_i3.p1	Cyca_DN6941_c0_g1_i3.p1
OG0000027	Shad_tr35006_c0_g1_i1.p1, Shad_tr46417_c0_g1_i3.p1, Shad_tr8439_c0_g3_i1.p1, Shad_tr80138_c0_g1_i1.p1, Shad_tr20774_c2_g1_i1.p1, Shad_tr21177_c0_g1_i1.p1, Shad_tr81309_c0_g1_i1.p1, Shad_tr19184_c0_g2_i7.p1, Shad_tr111768_c0_g1_i1.p1, Shad_tr37538_c1_g1_i3.p1, Shad_tr44254_c0_g3_i2.p1	Cyca_DN4158_c0_g1_i18.p1
OG0000028	Shad_tr8272_c3_g3_i1.p1, Shad_tr99432_c0_g1_i1.p1, Shad_tr16010_c0_g1_i12.p1, Shad_tr2614_c1_g1_i5.p1, Shad_tr25188_c0_g2_i3.p1, Shad_tr29221_c1_g1_i2.p1, Shad_tr11953_c0_g1_i5.p1, Shad_tr9089_c2_g1_i26.p1, Shad_tr11744_c2_g1_i2.p1, Shad_tr4266_c0_g1_i5.p1, Shad_tr25353_c0_g1_i2.p1, Shad_tr55101_c0_g1_i2.p1, Shad_tr305_c2_g1_i2.p1, Shad_tr26942_c0_g1_i2.p1, Shad_tr16418_c0_g1_i5.p1	Cyca_DN3186_c0_g2_i1.p1, Cyca_DN1624_c0_g1_i2.p1, Cyca_DN3124_c0_g2_i1.p1
OG0000029	Shad_tr24561_c0_g1_i1.p1, Shad_tr15164_c0_g1_i1.p1, Shad_tr26827_c0_g2_i1.p1, Shad_tr21574_c1_g1_i3.p1, Shad_tr31495_c0_g1_i2.p1	Cyca_DN9654_c0_g1_i2.p1, Cyca_DN2770_c0_g1_i1.p1
OG0000030	Shad_tr19344_c0_g1_i6.p1, Shad_tr3121_c0_g2_i1.p1, Shad_tr3121_c0_g1_i13.p1	Cyca_DN8508_c0_g1_i1.p1
OG0000031	Shad_tr76797_c0_g1_i1.p1, Shad_tr19208_c0_g1_i1.p1, Shad_tr31074_c0_g1_i1.p1, Shad_tr99599_c0_g1_i1.p1	Cyca_DN13729_c0_g3_i2.p1
OG0000031	Shad_tr19004_c0_g3_i1.p1, Shad_tr37005_c0_g1_i1.p1, Shad_tr35947_c0_g2_i1.p1, Shad_tr83062_c0_g1_i1.p1, Shad_tr30945_c4_g1_i1.p1, Shad_tr83610_c0_g1_i1.p1, Shad_tr16187_c3_g1_i1.p1, Shad_tr55087_c0_g1_i1.p1	Cyca_DN13729_c0_g4_i1.p1
OG0000034	Shad_tr58980_c0_g1_i1.p1	Cyca_DN24980_c0_g2_i1.p1
OG0000035	Shad_tr77693_c0_g1_i1.p1	Cyca_DN20892_c0_g1_i1.p1
OG0000035	Shad_tr2204_c1_g1_i8.p1, Shad_tr10303_c0_g1_i15.p1, Shad_tr49684_c0_g1_i1.p1	Cyca_DN8396_c0_g1_i1.p2, Cyca_DN28505_c0_g1_i1.p1
OG0000035	Shad_tr36754_c0_g2_i1.p1	Cyca_DN33912_c0_g1_i1.p1
OG0000036	Shad_tr48893_c0_g1_i1.p1, Shad_tr5679_c0_g1_i1.p1, Shad_tr27877_c0_g3_i1.p1	Cyca_DN183_c0_g1_i7.p1, Cyca_DN183_c0_g2_i3.p1
OG0000037	Shad_tr29004_c0_g1_i10.p1, Shad_tr52073_c0_g1_i1.p1, Shad_tr7981_c0_g1_i10.p1, Shad_tr7981_c0_g3_i1.p1, Shad_tr78371_c0_g1_i1.p1	Cyca_DN3179_c0_g1_i4.p1
OG0000037	Shad_tr101116_c0_g1_i1.p1	Cyca_DN7256_c0_g1_i1.p1
OG0000037	Shad_tr67088_c0_g1_i1.p1	Cyca_DN33486_c0_g1_i1.p1
OG0000038	Shad_tr7481_c0_g1_i1.p1	Cyca_DN19527_c0_g1_i1.p1, Cyca_DN4594_c0_g2_i1.p1, Cyca_DN19666_c0_g1_i1.p1
OG0000038	Shad_tr14612_c0_g1_i1.p1, Shad_tr15939_c0_g1_i1.p1	Cyca_DN34378_c0_g1_i1.p1
OG0000042	Shad_tr93877_c0_g1_i1.p1	Cyca_DN23072_c0_g1_i1.p1
OG0000044	Shad_tr14023_c0_g1_i1.p1, Shad_tr6341_c0_g1_i1.p1, Shad_tr5810_c0_g1_i28.p1, Shad_tr1997_c5_g1_i1.p1, Shad_tr10802_c0_g1_i3.p1, Shad_tr12301_c0_g1_i1.p1, Shad_tr14023_c0_g2_i1.p1, Shad_tr23541_c0_g1_i17.p1, Shad_tr87651_c0_g1_i1.p1, Shad_tr35004_c0_g1_i1.p1, Shad_tr11428_c0_g1_i10.p1, Shad_tr8983_c0_g2_i1.p1, Shad_tr17117_c0_g1_i1.p1, Shad_tr4163_c0_g2_i3.p1, Shad_tr8983_c0_g1_i1.p1, Shad_tr7537_c0_g2_i2.p1, Shad_tr17329_c0_g1_i3.p1, Shad_tr8983_c0_g3_i5.p1, Shad_tr1000_c1_g2_i1.p1, Shad_tr1000_c1_g1_i1.p1, Shad_tr3135_c2_g1_i1.p1	Cyca_DN4419_c0_g2_i2.p1
OG0000045	Shad_tr20172_c0_g1_i1.p1	Cyca_DN16661_c0_g2_i1.p1, Cyca_DN8844_c0_g1_i1.p1
OG0000045	Shad_tr44010_c1_g2_i1.p1	Cyca_DN16661_c0_g1_i1.p1
OG0000047	Shad_tr13437_c2_g1_i14.p1, Shad_tr37210_c0_g1_i1.p1, Shad_tr15057_c0_g1_i1.p1	Cyca_DN21662_c0_g1_i5.p1
OG0000047	Shad_tr5061_c2_g1_i1.p1	Cyca_DN10154_c0_g1_i1.p1
OG0000047	Shad_tr14771_c0_g4_i2.p1	Cyca_DN29252_c0_g1_i2.p1
OG0000047	Shad_tr43758_c0_g1_i1.p1	Cyca_DN17841_c0_g1_i1.p1
OG0000048	Shad_tr45084_c0_g1_i1.p1, Shad_tr102617_c0_g1_i1.p1, Shad_tr105247_c0_g1_i1.p1, Shad_tr23991_c1_g1_i2.p1, Shad_tr50288_c0_g1_i1.p1, Shad_tr72497_c0_g1_i1.p1, Shad_tr18778_c0_g1_i3.p1	Cyca_DN19065_c0_g1_i1.p1
OG0000049	Shad_tr5640_c0_g1_i2.p1, Shad_tr13226_c0_g4_i1.p1, Shad_tr39593_c0_g1_i6.p1, Shad_tr111610_c0_g1_i1.p1, Shad_tr82597_c0_g1_i1.p1, Shad_tr16649_c0_g2_i1.p1, Shad_tr16649_c0_g1_i2.p1, Shad_tr49792_c0_g1_i1.p1, Shad_tr3486_c0_g1_i22.p1, Shad_tr41382_c0_g1_i1.p1	Cyca_DN18842_c0_g2_i2.p1
OG0000055	Shad_tr73876_c0_g1_i1.p1, Shad_tr17028_c0_g1_i2.p1	Cyca_DN9489_c0_g1_i3.p1
OG0000059	Shad_tr12314_c0_g1_i1.p1, Shad_tr1473_c0_g3_i2.p1	Cyca_DN33942_c0_g1_i1.p1, Cyca_DN18467_c0_g1_i2.p1
OG0000059	Shad_tr11544_c0_g1_i7.p1	Cyca_DN13283_c0_g1_i2.p1
OG0000060	Shad_tr37730_c0_g1_i3.p2	Cyca_DN23999_c0_g2_i1.p1
OG0000061	Shad_tr45066_c0_g1_i1.p1	Cyca_DN11982_c0_g2_i1.p1
OG0000061	Shad_tr57450_c0_g1_i1.p1, Shad_tr7307_c0_g1_i2.p1	Cyca_DN15675_c0_g2_i1.p1
OG0000061	Shad_tr8607_c0_g2_i2.p2	Cyca_DN31850_c0_g1_i1.p1
OG0000065	Shad_tr46194_c4_g1_i2.p1, Shad_tr57351_c0_g1_i1.p1, Shad_tr21742_c0_g2_i1.p1, Shad_tr36459_c0_g1_i1.p1, Shad_tr903_c1_g1_i3.p1, Shad_tr31379_c0_g2_i1.p1, Shad_tr2089_c0_g1_i7.p1, Shad_tr53791_c0_g1_i1.p1, Shad_tr33063_c0_g1_i1.p1, Shad_tr78673_c0_g1_i1.p1, Shad_tr33207_c0_g1_i1.p1, Shad_tr73089_c0_g1_i1.p1, Shad_tr23808_c0_g1_i5.p2, Shad_tr26780_c0_g1_i1.p1, Shad_tr30030_c0_g1_i1.p1	Cyca_DN5739_c0_g1_i1.p1
OG0000070	Shad_tr33327_c0_g1_i1.p1	Cyca_DN10926_c0_g2_i1.p1
OG0000072	Shad_tr56213_c0_g3_i4.p1, Shad_tr7543_c0_g1_i8.p1, Shad_tr7543_c0_g4_i1.p1	Cyca_DN3004_c0_g3_i4.p2
OG0000072	Shad_tr3797_c1_g1_i2.p1	Cyca_DN19142_c0_g1_i1.p1
OG0000076	Shad_tr20542_c0_g1_i5.p1	Cyca_DN7997_c0_g1_i7.p1
OG0000076	Shad_tr13616_c0_g1_i9.p1	Cyca_DN16535_c0_g1_i1.p1
OG0000076	Shad_tr40036_c1_g1_i2.p1, Shad_tr90637_c0_g1_i1.p1	Cyca_DN15904_c0_g1_i1.p1
OG0000079	Shad_tr11560_c1_g1_i7.p1, Shad_tr5126_c1_g1_i9.p1, Shad_tr24094_c0_g3_i4.p1, Shad_tr13926_c0_g1_i9.p1, Shad_tr11146_c0_g1_i3.p1, Shad_tr35773_c1_g1_i1.p1, Shad_tr33620_c0_g1_i1.p1, Shad_tr8144_c0_g1_i3.p1, Shad_tr13752_c1_g1_i2.p1, Shad_tr15678_c0_g3_i1.p1, Shad_tr12619_c1_g1_i1.p1, Shad_tr36776_c1_g1_i1.p1, Shad_tr80302_c0_g1_i1.p1, Shad_tr86642_c0_g1_i1.p1	Cyca_DN32657_c0_g2_i1.p1, Cyca_DN7543_c0_g1_i1.p1, Cyca_DN29129_c0_g1_i1.p1
OG0000079	Shad_tr9037_c1_g4_i1.p1, Shad_tr6419_c5_g1_i1.p1, Shad_tr28433_c0_g1_i1.p1	Cyca_DN1712_c0_g1_i6.p1, Cyca_DN30408_c0_g1_i2.p1
OG0000082	Shad_tr47902_c0_g1_i1.p1, Shad_tr16674_c0_g1_i10.p1, Shad_tr16674_c3_g1_i1.p1, Shad_tr43741_c1_g1_i2.p1, Shad_tr73492_c0_g1_i1.p1	Cyca_DN31330_c0_g1_i1.p1
OG0000083	Shad_tr44523_c1_g1_i4.p1	Cyca_DN3254_c0_g1_i1.p1
OG0000087	Shad_tr91217_c0_g1_i1.p1	Cyca_DN8526_c0_g2_i2.p1, Cyca_DN8526_c0_g1_i1.p1, Cyca_DN1781_c0_g1_i2.p1, Cyca_DN27012_c0_g1_i1.p1
OG0000087	Shad_tr36807_c0_g2_i1.p1, Shad_tr99366_c0_g1_i1.p1, Shad_tr3984_c0_g2_i4.p1, Shad_tr8966_c1_g3_i1.p1, Shad_tr9142_c0_g1_i4.p1, Shad_tr53768_c0_g1_i5.p1, Shad_tr13703_c1_g1_i1.p1, Shad_tr38834_c1_g1_i1.p1	Cyca_DN25166_c0_g3_i1.p1, Cyca_DN25166_c0_g1_i1.p1
OG0000089	Shad_tr8598_c2_g1_i2.p1	Cyca_DN18495_c0_g1_i1.p1
OG0000089	Shad_tr1453_c0_g1_i9.p1, Shad_tr32217_c0_g2_i1.p1, Shad_tr6460_c0_g1_i4.p1, Shad_tr6460_c0_g2_i5.p1	Cyca_DN2925_c0_g1_i11.p1
OG0000090	Shad_tr40907_c1_g1_i1.p1, Shad_tr28049_c0_g1_i2.p1, Shad_tr14877_c0_g1_i7.p1, Shad_tr35457_c3_g1_i1.p1, Shad_tr7844_c2_g1_i2.p1, Shad_tr35457_c1_g1_i1.p1, Shad_tr10354_c1_g3_i3.p1, Shad_tr7964_c0_g1_i2.p1, Shad_tr3852_c0_g1_i20.p1, Shad_tr28148_c0_g3_i1.p1, Shad_tr7964_c0_g2_i1.p1, Shad_tr1538_c2_g1_i2.p1, Shad_tr8761_c0_g2_i2.p1, Shad_tr32757_c0_g2_i2.p1, Shad_tr18509_c0_g1_i1.p1, Shad_tr8761_c0_g1_i6.p1, Shad_tr31061_c0_g3_i1.p1	Cyca_DN12194_c0_g1_i1.p1
OG0000092	Shad_tr462_c1_g2_i1.p1, Shad_tr2759_c1_g1_i3.p1, Shad_tr187_c17_g2_i1.p1, Shad_tr1757_c0_g2_i1.p1	Cyca_DN14731_c0_g1_i2.p1, Cyca_DN21015_c0_g1_i4.p1
OG0000093	Shad_tr47718_c0_g1_i1.p1, Shad_tr6782_c2_g1_i14.p1, Shad_tr47011_c0_g2_i1.p1, Shad_tr10765_c0_g1_i3.p1, Shad_tr26517_c0_g1_i10.p1, Shad_tr30209_c1_g2_i2.p1, Shad_tr20218_c0_g1_i19.p1, Shad_tr36739_c0_g2_i14.p1, Shad_tr18633_c0_g1_i11.p1, Shad_tr18633_c0_g2_i1.p1, Shad_tr59051_c0_g1_i1.p1, Shad_tr106957_c0_g1_i1.p1	Cyca_DN28738_c0_g1_i1.p1
OG0000094	Shad_tr63758_c0_g1_i1.p2, Shad_tr114894_c0_g1_i1.p1, Shad_tr47997_c1_g1_i1.p2	Cyca_DN22053_c0_g2_i1.p1
OG0000095	Shad_tr25571_c1_g1_i1.p1, Shad_tr68004_c0_g1_i3.p1, Shad_tr104091_c0_g1_i1.p1, Shad_tr40518_c3_g1_i1.p1, Shad_tr40518_c0_g1_i2.p1, Shad_tr1411_c3_g2_i1.p1, Shad_tr22648_c0_g1_i1.p1, Shad_tr22442_c0_g1_i1.p1, Shad_tr40518_c2_g1_i1.p1, Shad_tr78900_c0_g1_i1.p1, Shad_tr62877_c0_g1_i1.p1, Shad_tr57540_c0_g1_i1.p1, Shad_tr58678_c0_g1_i1.p1, Shad_tr40518_c0_g3_i1.p1, Shad_tr22937_c2_g1_i1.p1, Shad_tr49756_c0_g1_i1.p1, Shad_tr57540_c0_g2_i1.p1, Shad_tr40518_c0_g2_i4.p1, Shad_tr7585_c0_g1_i22.p1	Cyca_DN17282_c0_g3_i2.p1, Cyca_DN17282_c0_g1_i2.p1
OG0000098	Shad_tr24630_c0_g2_i5.p1	Cyca_DN32953_c0_g1_i1.p1, Cyca_DN31475_c0_g1_i1.p1, Cyca_DN16013_c0_g1_i1.p1
OG0000098	Shad_tr34365_c2_g1_i3.p1, Shad_tr103028_c0_g1_i1.p1, Shad_tr110268_c0_g1_i1.p1, Shad_tr71493_c0_g1_i1.p1, Shad_tr109878_c0_g1_i1.p1, Shad_tr29234_c0_g1_i2.p1, Shad_tr48524_c0_g1_i1.p1	Cyca_DN4971_c0_g4_i1.p1
OG0000099	Shad_tr22723_c0_g1_i8.p1, Shad_tr2579_c0_g3_i7.p1	Cyca_DN5482_c0_g1_i1.p1
OG0000102	Shad_tr47252_c0_g1_i1.p1	Cyca_DN34156_c0_g1_i1.p1
OG0000102	Shad_tr49806_c0_g1_i1.p1, Shad_tr84247_c0_g1_i1.p1, Shad_tr63841_c0_g1_i1.p1, Shad_tr57362_c0_g1_i3.p1, Shad_tr50650_c0_g1_i1.p1	Cyca_DN34011_c0_g1_i1.p1
OG0000105	Shad_tr113509_c0_g1_i1.p1	Cyca_DN19178_c0_g1_i1.p1
OG0000106	Shad_tr74010_c0_g1_i1.p1, Shad_tr10091_c4_g1_i1.p1, Shad_tr18414_c0_g1_i13.p1, Shad_tr45528_c0_g1_i1.p1, Shad_tr57229_c0_g1_i1.p1, Shad_tr1593_c1_g4_i1.p1, Shad_tr13333_c1_g1_i1.p3, Shad_tr75894_c0_g1_i1.p1, Shad_tr13333_c0_g1_i11.p1, Shad_tr114221_c0_g1_i1.p1, Shad_tr8398_c0_g1_i2.p1, Shad_tr13333_c0_g2_i1.p1, Shad_tr59005_c4_g1_i1.p1, Shad_tr1061_c0_g1_i2.p1	Cyca_DN22605_c0_g2_i1.p1
OG0000107	Shad_tr8733_c0_g1_i1.p1	Cyca_DN140_c0_g1_i3.p1
OG0000107	Shad_tr7565_c0_g1_i2.p1	Cyca_DN216_c0_g1_i3.p1
OG0000107	Shad_tr3560_c1_g1_i1.p1	Cyca_DN2445_c0_g1_i1.p1
OG0000107	Shad_tr24038_c1_g1_i2.p1	Cyca_DN260_c0_g2_i2.p1, Cyca_DN6040_c0_g1_i4.p1
OG0000107	Shad_tr10291_c0_g1_i1.p1	Cyca_DN269_c0_g1_i1.p1
OG0000108	Shad_tr30050_c0_g1_i1.p1, Shad_tr58105_c0_g1_i1.p1	Cyca_DN30891_c0_g1_i1.p1
OG0000110	Shad_tr244_c10_g1_i1.p1	Cyca_DN1754_c0_g1_i1.p1
OG0000110	Shad_tr94407_c0_g1_i1.p1	Cyca_DN1243_c0_g1_i1.p1
OG0000110	Shad_tr4272_c0_g1_i1.p1	Cyca_DN3188_c0_g1_i1.p1
OG0000110	Shad_tr7210_c1_g5_i1.p1	Cyca_DN1594_c0_g1_i3.p1
OG0000112	Shad_tr9252_c1_g1_i1.p1, Shad_tr81370_c0_g1_i1.p1, Shad_tr4848_c0_g1_i1.p1, Shad_tr3905_c3_g1_i3.p1, Shad_tr16870_c1_g1_i1.p1, Shad_tr44644_c0_g1_i1.p1, Shad_tr26400_c1_g2_i6.p1, Shad_tr101414_c0_g1_i1.p1, Shad_tr32450_c0_g1_i1.p1, Shad_tr84078_c0_g1_i1.p1, Shad_tr101592_c0_g1_i1.p1, Shad_tr107422_c0_g1_i1.p1, Shad_tr7264_c0_g1_i18.p1, Shad_tr13510_c1_g1_i4.p1, Shad_tr7032_c5_g1_i1.p1	Cyca_DN774_c0_g1_i3.p1
