Orthogroup	Stichodactyla_haddoni_longest_pep	Stichodactyla_mertensi_longest_pep
OG0000001	Shad_tr20453_c0_g1_i2.p1	Smer_tr97924_c0_g1_i1.p1, Smer_tr10923_c0_g1_i1.p1
OG0000001	Shad_tr9780_c0_g1_i12.p1	Smer_tr64719_c0_g1_i1.p1
OG0000001	Shad_tr38314_c0_g2_i3.p1	Smer_tr33452_c0_g1_i2.p1
OG0000001	Shad_tr23770_c0_g1_i2.p1	Smer_tr6568_c0_g1_i19.p1
OG0000001	Shad_tr24857_c0_g1_i2.p1	Smer_tr48691_c0_g1_i1.p1
OG0000001	Shad_tr100697_c0_g1_i1.p1	Smer_tr76577_c0_g1_i1.p1, Smer_tr32656_c0_g1_i1.p1
OG0000001	Shad_tr37417_c0_g2_i1.p1	Smer_tr84530_c0_g1_i1.p1
OG0000001	Shad_tr64127_c0_g1_i1.p1	Smer_tr21022_c0_g1_i1.p1
OG0000001	Shad_tr44734_c4_g1_i1.p1	Smer_tr30950_c0_g1_i1.p1
OG0000001	Shad_tr105103_c0_g1_i1.p1	Smer_tr67449_c0_g1_i1.p1
OG0000001	Shad_tr67018_c0_g1_i1.p1	Smer_tr60004_c0_g1_i1.p1
OG0000001	Shad_tr14305_c0_g1_i11.p1	Smer_tr22101_c0_g1_i2.p1
OG0000001	Shad_tr62708_c0_g1_i1.p1	Smer_tr23932_c1_g1_i1.p1
OG0000001	Shad_tr34383_c0_g1_i3.p1, Shad_tr34383_c0_g2_i1.p1	Smer_tr33800_c0_g1_i1.p1
OG0000001	Shad_tr6850_c1_g1_i17.p1	Smer_tr29013_c0_g1_i4.p1
OG0000001	Shad_tr4273_c0_g1_i6.p1	Smer_tr48037_c0_g1_i1.p1
OG0000001	Shad_tr8639_c1_g1_i2.p1	Smer_tr27620_c1_g1_i1.p1
OG0000001	Shad_tr91148_c0_g1_i1.p1, Shad_tr93625_c0_g1_i1.p1	Smer_tr21156_c0_g1_i1.p1
OG0000001	Shad_tr16866_c2_g1_i16.p1	Smer_tr96748_c0_g1_i1.p1
OG0000001	Shad_tr12332_c0_g1_i14.p1, Shad_tr27881_c0_g1_i1.p1, Shad_tr3453_c0_g1_i10.p1	Smer_tr87497_c0_g1_i1.p1
OG0000001	Shad_tr40605_c0_g2_i1.p1	Smer_tr48239_c0_g2_i1.p1
OG0000001	Shad_tr46277_c0_g1_i1.p1	Smer_tr8237_c0_g1_i1.p2
OG0000001	Shad_tr42064_c0_g2_i1.p1	Smer_tr17716_c0_g1_i5.p1
OG0000001	Shad_tr108137_c0_g1_i1.p1	Smer_tr89727_c0_g1_i1.p1
OG0000001	Shad_tr41377_c0_g1_i1.p1	Smer_tr86724_c0_g1_i1.p1
OG0000001	Shad_tr7344_c0_g1_i12.p1	Smer_tr12282_c0_g2_i3.p1
OG0000001	Shad_tr3076_c0_g1_i7.p1	Smer_tr83467_c0_g1_i1.p1
OG0000001	Shad_tr24298_c0_g1_i20.p1	Smer_tr24636_c2_g1_i3.p1
OG0000001	Shad_tr86078_c0_g1_i1.p1, Shad_tr43722_c1_g1_i1.p1	Smer_tr37212_c0_g1_i1.p1
OG0000001	Shad_tr4501_c6_g1_i1.p1	Smer_tr70068_c0_g1_i1.p1
OG0000001	Shad_tr37216_c0_g1_i1.p2	Smer_tr47920_c0_g1_i1.p1
OG0000001	Shad_tr30555_c0_g1_i1.p1, Shad_tr4709_c0_g1_i24.p1	Smer_tr18221_c0_g1_i4.p1
OG0000001	Shad_tr35615_c0_g1_i2.p1	Smer_tr12675_c3_g1_i3.p1
OG0000001	Shad_tr47262_c0_g1_i2.p1	Smer_tr82573_c0_g1_i1.p1
OG0000001	Shad_tr68933_c0_g1_i1.p2	Smer_tr29423_c0_g1_i2.p1
OG0000001	Shad_tr37417_c0_g1_i1.p1	Smer_tr15588_c3_g1_i1.p1
OG0000001	Shad_tr13620_c0_g1_i13.p1	Smer_tr27620_c0_g1_i1.p1
OG0000001	Shad_tr91562_c0_g1_i1.p1	Smer_tr30887_c0_g1_i4.p1
OG0000001	Shad_tr4222_c0_g1_i10.p1	Smer_tr36476_c0_g1_i1.p1
OG0000001	Shad_tr115137_c0_g1_i1.p1	Smer_tr52359_c0_g1_i1.p1
OG0000002	Shad_tr8207_c0_g1_i3.p1	Smer_tr12612_c0_g1_i5.p1
OG0000002	Shad_tr37739_c0_g1_i1.p1	Smer_tr2452_c0_g2_i2.p1
OG0000002	Shad_tr86756_c0_g1_i1.p1	Smer_tr92515_c0_g1_i1.p1, Smer_tr66552_c0_g1_i1.p1
OG0000002	Shad_tr41945_c0_g1_i3.p1	Smer_tr28265_c0_g1_i2.p1, Smer_tr92782_c0_g1_i1.p1
OG0000002	Shad_tr12224_c1_g1_i3.p1	Smer_tr68944_c0_g1_i1.p1
OG0000002	Shad_tr9985_c1_g1_i1.p1	Smer_tr8144_c0_g1_i1.p1, Smer_tr14293_c0_g2_i1.p1
OG0000002	Shad_tr37065_c1_g1_i10.p1, Shad_tr33413_c0_g1_i1.p1	Smer_tr20478_c0_g1_i10.p1
OG0000002	Shad_tr12224_c0_g1_i5.p1	Smer_tr12194_c0_g1_i10.p1
OG0000002	Shad_tr4496_c1_g1_i1.p1	Smer_tr7181_c0_g1_i12.p1
OG0000002	Shad_tr16090_c0_g2_i1.p1	Smer_tr65906_c0_g1_i1.p1
OG0000002	Shad_tr47726_c0_g2_i1.p1	Smer_tr38609_c2_g1_i1.p1
OG0000002	Shad_tr12531_c1_g1_i2.p1	Smer_tr34571_c0_g1_i8.p1
OG0000002	Shad_tr95979_c0_g1_i1.p1	Smer_tr18154_c1_g1_i2.p1
OG0000002	Shad_tr3107_c0_g1_i15.p1	Smer_tr11750_c0_g2_i2.p1
OG0000002	Shad_tr50306_c0_g1_i2.p1	Smer_tr11681_c1_g1_i4.p1, Smer_tr24515_c0_g1_i2.p1
OG0000002	Shad_tr20877_c0_g1_i2.p1	Smer_tr5867_c0_g2_i1.p1
OG0000002	Shad_tr12484_c0_g1_i21.p1	Smer_tr23608_c0_g2_i3.p1
OG0000002	Shad_tr12774_c0_g2_i2.p1	Smer_tr67108_c0_g1_i1.p1
OG0000002	Shad_tr39260_c0_g2_i1.p1	Smer_tr47054_c0_g1_i1.p1
OG0000002	Shad_tr5174_c0_g1_i1.p1	Smer_tr41817_c0_g1_i3.p1
OG0000002	Shad_tr100500_c0_g1_i3.p1	Smer_tr19260_c1_g4_i2.p1
OG0000002	Shad_tr19797_c0_g1_i13.p1	Smer_tr16903_c0_g1_i7.p2
OG0000002	Shad_tr34023_c0_g1_i1.p1	Smer_tr11289_c1_g1_i21.p1
OG0000002	Shad_tr33251_c1_g1_i2.p1, Shad_tr9407_c0_g1_i12.p1	Smer_tr16012_c0_g1_i4.p1
OG0000002	Shad_tr17594_c0_g1_i9.p1	Smer_tr16075_c0_g1_i3.p1
OG0000002	Shad_tr12274_c0_g2_i3.p1	Smer_tr15233_c0_g2_i3.p1
OG0000002	Shad_tr23414_c2_g2_i2.p1	Smer_tr4345_c0_g2_i1.p1
OG0000002	Shad_tr3482_c0_g2_i5.p1	Smer_tr53617_c0_g1_i1.p1
OG0000002	Shad_tr50646_c2_g1_i1.p1	Smer_tr64458_c0_g1_i1.p1
OG0000002	Shad_tr7064_c0_g1_i4.p1	Smer_tr62052_c0_g1_i1.p1
OG0000002	Shad_tr30264_c1_g2_i6.p1	Smer_tr66428_c0_g1_i1.p1, Smer_tr11228_c0_g1_i9.p1, Smer_tr35947_c0_g1_i1.p1
OG0000002	Shad_tr47022_c0_g1_i5.p1	Smer_tr91604_c0_g1_i1.p1
OG0000002	Shad_tr50422_c0_g1_i2.p1	Smer_tr31182_c0_g1_i1.p1
OG0000002	Shad_tr94789_c0_g1_i1.p1, Shad_tr83401_c0_g1_i1.p1	Smer_tr59641_c0_g1_i1.p1
OG0000002	Shad_tr15359_c0_g2_i1.p1	Smer_tr39032_c0_g2_i1.p1
OG0000002	Shad_tr79701_c0_g1_i1.p1	Smer_tr16525_c0_g1_i10.p1
OG0000002	Shad_tr34416_c2_g1_i1.p1	Smer_tr34022_c0_g1_i10.p1
OG0000002	Shad_tr24968_c2_g1_i4.p1, Shad_tr28069_c0_g1_i5.p1	Smer_tr12012_c0_g1_i2.p1
OG0000002	Shad_tr34474_c1_g1_i2.p1	Smer_tr3911_c5_g1_i9.p2
OG0000002	Shad_tr32952_c2_g1_i3.p1, Shad_tr2617_c2_g1_i12.p1	Smer_tr90917_c0_g1_i1.p1
OG0000002	Shad_tr32952_c3_g1_i6.p1	Smer_tr18683_c0_g1_i4.p2, Smer_tr9157_c1_g1_i7.p1
OG0000002	Shad_tr7283_c0_g1_i12.p1	Smer_tr19396_c0_g1_i2.p1
OG0000002	Shad_tr38188_c0_g2_i2.p1	Smer_tr33296_c1_g1_i2.p1
OG0000002	Shad_tr33095_c0_g1_i1.p1	Smer_tr30652_c1_g1_i3.p1
OG0000002	Shad_tr26509_c1_g2_i8.p1	Smer_tr23220_c0_g2_i7.p1
OG0000002	Shad_tr35093_c0_g1_i1.p1, Shad_tr16001_c2_g1_i5.p1	Smer_tr24599_c0_g1_i1.p1
OG0000002	Shad_tr9467_c0_g1_i14.p1	Smer_tr18058_c0_g1_i4.p1
OG0000002	Shad_tr38884_c1_g1_i1.p1	Smer_tr95807_c0_g1_i1.p1
OG0000002	Shad_tr12312_c1_g1_i1.p1	Smer_tr23100_c0_g1_i3.p1
OG0000002	Shad_tr9740_c0_g2_i2.p1, Shad_tr16063_c0_g1_i12.p1, Shad_tr149_c1_g1_i1.p1	Smer_tr58418_c0_g1_i1.p1
OG0000002	Shad_tr9885_c1_g1_i1.p1	Smer_tr81023_c0_g1_i1.p1, Smer_tr89092_c0_g1_i1.p1
OG0000003	Shad_tr22800_c0_g1_i2.p1	Smer_tr22359_c0_g2_i1.p1, Smer_tr22359_c0_g1_i3.p1
OG0000003	Shad_tr8436_c2_g1_i2.p1	Smer_tr27120_c0_g1_i3.p1
OG0000003	Shad_tr16415_c2_g1_i2.p1	Smer_tr29007_c0_g2_i3.p1
OG0000003	Shad_tr1184_c0_g1_i5.p1, Shad_tr8902_c1_g1_i4.p1	Smer_tr4444_c0_g3_i1.p1
OG0000003	Shad_tr31539_c0_g1_i4.p1	Smer_tr14577_c0_g1_i3.p1
OG0000003	Shad_tr25371_c0_g1_i5.p1	Smer_tr14577_c0_g3_i1.p1
OG0000003	Shad_tr19223_c0_g1_i7.p1	Smer_tr22247_c0_g1_i1.p1
OG0000003	Shad_tr59766_c0_g1_i3.p1	Smer_tr53803_c0_g1_i1.p1
OG0000003	Shad_tr5763_c0_g1_i1.p1	Smer_tr17409_c0_g1_i1.p1
OG0000003	Shad_tr49878_c0_g1_i1.p1	Smer_tr19021_c0_g1_i1.p1
OG0000003	Shad_tr18779_c1_g1_i1.p1	Smer_tr3295_c2_g1_i11.p1
OG0000003	Shad_tr33650_c0_g1_i3.p1	Smer_tr32317_c0_g1_i1.p1, Smer_tr88582_c0_g1_i1.p1
OG0000003	Shad_tr6891_c0_g1_i6.p1	Smer_tr15340_c0_g1_i2.p1
OG0000003	Shad_tr83431_c0_g1_i1.p1	Smer_tr88751_c0_g1_i1.p1
OG0000003	Shad_tr9802_c0_g1_i7.p1	Smer_tr1502_c1_g1_i13.p1
OG0000003	Shad_tr45996_c0_g1_i3.p1	Smer_tr26488_c0_g3_i1.p1
OG0000003	Shad_tr10811_c0_g1_i12.p1	Smer_tr26488_c0_g1_i4.p1
OG0000003	Shad_tr6906_c2_g1_i6.p1	Smer_tr24470_c2_g1_i1.p1
OG0000003	Shad_tr55304_c0_g1_i6.p1	Smer_tr10430_c0_g1_i3.p1
OG0000003	Shad_tr12109_c0_g1_i9.p1	Smer_tr29227_c0_g1_i1.p1
OG0000003	Shad_tr40464_c0_g1_i2.p1	Smer_tr56852_c0_g1_i1.p1
OG0000003	Shad_tr8779_c0_g1_i2.p1	Smer_tr28754_c1_g1_i1.p1, Smer_tr50672_c0_g1_i1.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Smer_tr27170_c0_g1_i1.p1
OG0000003	Shad_tr1233_c10_g1_i4.p1	Smer_tr4975_c0_g1_i4.p1
OG0000003	Shad_tr3554_c0_g1_i19.p1	Smer_tr8207_c6_g1_i1.p1
OG0000003	Shad_tr5139_c0_g1_i6.p1	Smer_tr8207_c2_g1_i2.p1
OG0000004	Shad_tr97815_c0_g1_i1.p1	Smer_tr88168_c0_g1_i1.p1
OG0000004	Shad_tr110442_c0_g1_i1.p1	Smer_tr63199_c0_g1_i1.p1
OG0000004	Shad_tr12330_c2_g1_i14.p2	Smer_tr36415_c0_g1_i1.p1
OG0000004	Shad_tr101840_c0_g1_i1.p2	Smer_tr36976_c0_g1_i1.p1
OG0000004	Shad_tr95332_c0_g1_i1.p1	Smer_tr42143_c0_g1_i1.p1
OG0000004	Shad_tr103801_c0_g1_i1.p1, Shad_tr58881_c0_g1_i1.p1	Smer_tr73280_c0_g1_i1.p1
OG0000004	Shad_tr42245_c0_g2_i1.p1	Smer_tr28422_c0_g1_i9.p1
OG0000004	Shad_tr51188_c0_g1_i2.p1	Smer_tr44059_c0_g1_i2.p1
OG0000004	Shad_tr61488_c0_g1_i1.p1	Smer_tr79819_c0_g1_i1.p1
OG0000004	Shad_tr65099_c0_g1_i1.p1	Smer_tr36083_c0_g1_i1.p1
OG0000004	Shad_tr31569_c2_g1_i2.p1	Smer_tr41947_c1_g1_i1.p1
OG0000004	Shad_tr81197_c0_g1_i1.p1	Smer_tr36114_c2_g1_i1.p1
OG0000004	Shad_tr25680_c0_g1_i1.p1, Shad_tr84438_c0_g1_i1.p1, Shad_tr34042_c0_g1_i1.p1, Shad_tr39747_c0_g1_i1.p1	Smer_tr42189_c0_g1_i20.p1
OG0000004	Shad_tr30691_c2_g1_i1.p1	Smer_tr21542_c1_g1_i1.p1, Smer_tr21542_c1_g2_i4.p1
OG0000004	Shad_tr5661_c3_g1_i1.p1	Smer_tr98752_c0_g1_i1.p1, Smer_tr44324_c0_g1_i1.p2, Smer_tr31614_c0_g1_i1.p1
OG0000004	Shad_tr25380_c0_g1_i1.p1	Smer_tr6527_c2_g1_i18.p1
OG0000004	Shad_tr27205_c1_g1_i1.p1, Shad_tr13166_c1_g1_i1.p1	Smer_tr39701_c0_g1_i1.p1
OG0000004	Shad_tr17085_c0_g1_i15.p1	Smer_tr79891_c0_g1_i1.p1
OG0000004	Shad_tr24789_c1_g1_i10.p1	Smer_tr17337_c0_g1_i4.p1, Smer_tr93720_c0_g1_i1.p1
OG0000004	Shad_tr13166_c0_g1_i13.p1	Smer_tr11272_c0_g1_i8.p1
OG0000004	Shad_tr21522_c2_g1_i1.p1	Smer_tr16380_c0_g4_i1.p1
OG0000004	Shad_tr6562_c1_g2_i2.p1	Smer_tr33721_c0_g1_i1.p1
OG0000004	Shad_tr32115_c0_g1_i1.p1, Shad_tr53272_c0_g1_i1.p1	Smer_tr61347_c0_g1_i1.p1
OG0000004	Shad_tr26996_c0_g1_i1.p2, Shad_tr32172_c0_g1_i2.p1	Smer_tr93343_c0_g1_i1.p1, Smer_tr70331_c0_g1_i1.p1
OG0000004	Shad_tr45077_c0_g1_i1.p1	Smer_tr27237_c0_g1_i2.p1
OG0000004	Shad_tr10828_c1_g1_i3.p1	Smer_tr64367_c0_g1_i1.p1
OG0000004	Shad_tr14565_c0_g1_i2.p1	Smer_tr11778_c2_g1_i1.p1, Smer_tr22187_c0_g1_i1.p1
OG0000004	Shad_tr5965_c3_g1_i1.p1	Smer_tr16164_c0_g1_i2.p1
OG0000004	Shad_tr28510_c0_g1_i1.p1	Smer_tr92689_c0_g1_i1.p1, Smer_tr85151_c0_g1_i1.p1
OG0000005	Shad_tr32859_c0_g1_i6.p1	Smer_tr90544_c0_g1_i1.p1
OG0000005	Shad_tr7756_c0_g2_i4.p1, Shad_tr54580_c0_g1_i1.p1	Smer_tr23040_c0_g2_i1.p1
OG0000005	Shad_tr8716_c1_g2_i2.p1	Smer_tr23182_c0_g1_i3.p1
OG0000005	Shad_tr8718_c1_g1_i4.p1	Smer_tr34403_c1_g1_i1.p1, Smer_tr34403_c1_g2_i1.p1, Smer_tr23040_c0_g1_i2.p1
OG0000005	Shad_tr22240_c0_g2_i1.p1	Smer_tr23040_c2_g1_i1.p1
OG0000005	Shad_tr58663_c0_g2_i1.p1	Smer_tr10377_c2_g1_i14.p1
OG0000005	Shad_tr101198_c0_g1_i1.p1	Smer_tr97201_c0_g1_i1.p1
OG0000005	Shad_tr42495_c0_g1_i2.p1	Smer_tr4311_c0_g1_i9.p1
OG0000005	Shad_tr17588_c0_g1_i2.p1	Smer_tr66716_c0_g1_i1.p1
OG0000005	Shad_tr10187_c0_g1_i5.p1	Smer_tr11977_c0_g1_i8.p1
OG0000005	Shad_tr10187_c0_g2_i1.p1	Smer_tr11977_c5_g1_i1.p1
OG0000006	Shad_tr77124_c0_g1_i1.p1	Smer_tr32850_c1_g3_i1.p1
OG0000006	Shad_tr2850_c1_g1_i1.p1	Smer_tr16346_c0_g3_i1.p1
OG0000006	Shad_tr109586_c0_g1_i1.p1	Smer_tr47693_c0_g1_i2.p1
OG0000006	Shad_tr25557_c0_g2_i1.p1	Smer_tr94351_c0_g1_i1.p1
OG0000006	Shad_tr39147_c1_g1_i1.p1	Smer_tr17798_c0_g2_i1.p1
OG0000006	Shad_tr10663_c1_g2_i2.p1	Smer_tr35724_c0_g1_i1.p1
OG0000006	Shad_tr43877_c1_g1_i3.p1	Smer_tr29986_c0_g1_i1.p1
OG0000006	Shad_tr25563_c0_g1_i5.p1, Shad_tr25563_c0_g2_i5.p1	Smer_tr29486_c0_g1_i1.p1
OG0000006	Shad_tr6479_c0_g1_i4.p1	Smer_tr20260_c0_g1_i1.p1
OG0000006	Shad_tr13326_c1_g2_i7.p1	Smer_tr32850_c1_g1_i1.p1
OG0000006	Shad_tr17842_c1_g2_i1.p1	Smer_tr358_c6_g1_i1.p1
OG0000006	Shad_tr31511_c0_g1_i1.p1	Smer_tr35594_c0_g1_i3.p1
OG0000006	Shad_tr16990_c1_g1_i14.p1	Smer_tr44832_c1_g1_i2.p1
OG0000006	Shad_tr29428_c1_g2_i1.p1, Shad_tr78176_c0_g1_i1.p1, Shad_tr70926_c0_g1_i1.p1	Smer_tr16346_c0_g4_i2.p2
OG0000006	Shad_tr40187_c1_g2_i2.p1, Shad_tr19094_c1_g4_i1.p1	Smer_tr23564_c0_g1_i1.p1
OG0000006	Shad_tr27316_c0_g2_i5.p1	Smer_tr12888_c0_g1_i10.p1
OG0000006	Shad_tr22895_c0_g1_i2.p1, Shad_tr9360_c0_g2_i9.p1, Shad_tr20107_c1_g1_i9.p1	Smer_tr5838_c2_g1_i2.p1
OG0000007	Shad_tr114196_c0_g1_i1.p1	Smer_tr20611_c1_g2_i1.p1, Smer_tr19477_c0_g3_i2.p1, Smer_tr93395_c0_g1_i1.p1
OG0000007	Shad_tr112002_c0_g1_i1.p1	Smer_tr97720_c0_g1_i1.p1
OG0000007	Shad_tr16025_c0_g1_i1.p1	Smer_tr25679_c0_g3_i1.p1
OG0000007	Shad_tr9482_c0_g1_i10.p1	Smer_tr13125_c0_g1_i2.p1
OG0000007	Shad_tr57168_c0_g1_i1.p1, Shad_tr86959_c0_g1_i1.p1	Smer_tr27007_c0_g1_i3.p1
OG0000007	Shad_tr27395_c0_g1_i1.p1	Smer_tr4689_c0_g1_i2.p1
OG0000007	Shad_tr2749_c1_g1_i1.p1	Smer_tr53649_c0_g1_i1.p1
OG0000007	Shad_tr87403_c0_g1_i1.p1	Smer_tr97977_c0_g1_i1.p1
OG0000007	Shad_tr8688_c0_g2_i3.p1	Smer_tr57763_c0_g1_i2.p1
OG0000007	Shad_tr11126_c0_g1_i4.p1	Smer_tr11984_c0_g1_i4.p1
OG0000007	Shad_tr100866_c0_g1_i1.p1	Smer_tr48658_c0_g1_i1.p1
OG0000007	Shad_tr17542_c0_g1_i1.p1	Smer_tr20611_c2_g1_i1.p1
OG0000007	Shad_tr18436_c0_g1_i2.p1	Smer_tr64725_c0_g1_i1.p1
OG0000007	Shad_tr36106_c0_g1_i2.p1, Shad_tr4677_c2_g1_i1.p1	Smer_tr9485_c0_g1_i12.p1
OG0000007	Shad_tr36106_c2_g1_i2.p1	Smer_tr9485_c0_g2_i1.p1
OG0000007	Shad_tr9775_c0_g1_i1.p1	Smer_tr20516_c0_g1_i1.p1
OG0000007	Shad_tr64130_c0_g1_i1.p1	Smer_tr90701_c0_g1_i1.p1
OG0000007	Shad_tr15166_c2_g1_i2.p1	Smer_tr15546_c0_g1_i11.p1
OG0000007	Shad_tr87301_c0_g1_i1.p1	Smer_tr77449_c0_g1_i1.p1
OG0000007	Shad_tr36595_c0_g1_i1.p1	Smer_tr99227_c0_g1_i1.p1, Smer_tr12545_c0_g1_i1.p1
OG0000008	Shad_tr15555_c0_g3_i2.p1	Smer_tr6917_c0_g1_i3.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Smer_tr5345_c2_g1_i8.p1
OG0000008	Shad_tr7219_c0_g1_i3.p1	Smer_tr22306_c0_g1_i3.p1
OG0000008	Shad_tr15555_c1_g3_i1.p1	Smer_tr7006_c2_g1_i2.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Smer_tr11794_c0_g1_i4.p1
OG0000008	Shad_tr8884_c0_g3_i3.p1	Smer_tr25870_c0_g2_i2.p1
OG0000008	Shad_tr19205_c0_g1_i2.p1	Smer_tr21781_c3_g1_i2.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Smer_tr5345_c1_g1_i1.p1
OG0000008	Shad_tr8884_c0_g2_i5.p1	Smer_tr25870_c0_g3_i2.p1
OG0000008	Shad_tr38797_c0_g1_i8.p1	Smer_tr6688_c1_g2_i4.p1
OG0000009	Shad_tr43110_c0_g1_i1.p1	Smer_tr90572_c0_g1_i1.p1
OG0000009	Shad_tr39336_c0_g1_i1.p1	Smer_tr93964_c0_g1_i1.p1
OG0000009	Shad_tr58337_c0_g2_i1.p1	Smer_tr67055_c0_g1_i1.p1
OG0000009	Shad_tr40574_c0_g1_i1.p1, Shad_tr81732_c0_g1_i1.p1, Shad_tr43110_c0_g3_i1.p1, Shad_tr80732_c0_g1_i1.p1	Smer_tr96802_c0_g1_i1.p1
OG0000009	Shad_tr36816_c0_g1_i1.p1, Shad_tr4005_c0_g1_i11.p1	Smer_tr4667_c0_g1_i2.p1
OG0000009	Shad_tr46736_c0_g1_i1.p1	Smer_tr33029_c5_g1_i1.p1
OG0000009	Shad_tr19460_c1_g1_i4.p1	Smer_tr60446_c0_g1_i1.p1
OG0000009	Shad_tr15412_c2_g1_i1.p1	Smer_tr76900_c0_g1_i1.p1
OG0000009	Shad_tr27825_c0_g2_i2.p1	Smer_tr169_c1_g1_i2.p1
OG0000009	Shad_tr27825_c0_g1_i1.p1	Smer_tr25892_c0_g1_i4.p1
OG0000009	Shad_tr42149_c0_g2_i2.p1	Smer_tr3817_c0_g2_i2.p1
OG0000010	Shad_tr50345_c0_g1_i2.p1	Smer_tr5212_c1_g3_i1.p1
OG0000010	Shad_tr54979_c0_g1_i1.p1	Smer_tr9145_c0_g1_i2.p1
OG0000010	Shad_tr2839_c0_g2_i2.p1	Smer_tr10200_c4_g1_i2.p1
OG0000010	Shad_tr60004_c0_g1_i1.p1	Smer_tr5087_c0_g1_i1.p1
OG0000010	Shad_tr23640_c0_g1_i1.p1	Smer_tr64965_c0_g1_i1.p1
OG0000010	Shad_tr70551_c0_g1_i1.p1	Smer_tr13283_c0_g1_i3.p1
OG0000010	Shad_tr15980_c0_g4_i1.p1	Smer_tr22759_c1_g2_i2.p1
OG0000010	Shad_tr8024_c0_g2_i6.p1	Smer_tr812_c4_g1_i2.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Smer_tr875_c0_g1_i8.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Smer_tr81_c3_g2_i2.p1
OG0000010	Shad_tr31771_c0_g1_i3.p1	Smer_tr1720_c4_g1_i1.p1
OG0000010	Shad_tr1427_c5_g1_i2.p1	Smer_tr11523_c1_g1_i1.p1
OG0000010	Shad_tr51748_c0_g1_i1.p1	Smer_tr21258_c1_g1_i1.p1
