Orthogroup	Stichodactyla_haddoni_longest_pep	Chrysaora_fuscescens_longest_pep
OG0000019	Shad_tr4304_c2_g1_i1.p1, Shad_tr96670_c0_g1_i1.p1, Shad_tr10666_c4_g1_i1.p1	Chfu_DN2374_c0_g2_i4.p1
OG0000020	Shad_tr20558_c0_g1_i2.p1, Shad_tr6108_c0_g1_i14.p1, Shad_tr4487_c0_g2_i2.p1, Shad_tr4487_c0_g1_i2.p1, Shad_tr30308_c0_g1_i14.p1, Shad_tr21849_c0_g1_i2.p1	Chfu_DN3051_c0_g2_i1.p1, Chfu_DN3051_c0_g1_i1.p1
OG0000020	Shad_tr11067_c1_g1_i1.p1	Chfu_DN11144_c0_g1_i1.p1
OG0000020	Shad_tr12863_c2_g1_i1.p1	Chfu_DN11270_c0_g1_i1.p1
OG0000022	Shad_tr6315_c0_g1_i11.p1	Chfu_DN7944_c0_g3_i1.p1
OG0000022	Shad_tr16040_c0_g1_i2.p1, Shad_tr33937_c0_g1_i2.p1	Chfu_DN2872_c0_g1_i1.p1
OG0000022	Shad_tr51852_c1_g1_i1.p1, Shad_tr28775_c0_g1_i5.p1	Chfu_DN821_c0_g1_i1.p1
OG0000024	Shad_tr57496_c0_g1_i1.p1	Chfu_DN7439_c0_g1_i1.p1
OG0000024	Shad_tr51654_c0_g1_i1.p1	Chfu_DN10101_c0_g2_i1.p1
OG0000024	Shad_tr58302_c0_g1_i1.p1, Shad_tr58302_c0_g2_i1.p1	Chfu_DN19761_c0_g1_i1.p1, Chfu_DN10101_c0_g1_i1.p1, Chfu_DN10073_c0_g2_i1.p1, Chfu_DN5145_c0_g1_i1.p1
OG0000026	Shad_tr30931_c0_g1_i2.p1	Chfu_DN18197_c0_g1_i1.p1
OG0000026	Shad_tr28250_c0_g1_i3.p1	Chfu_DN3540_c0_g2_i1.p1
OG0000026	Shad_tr44288_c0_g1_i3.p1, Shad_tr17855_c0_g1_i1.p1, Shad_tr4067_c1_g1_i4.p1, Shad_tr11094_c0_g2_i7.p1, Shad_tr2382_c4_g1_i1.p1, Shad_tr12716_c0_g2_i3.p1, Shad_tr1062_c7_g1_i1.p1, Shad_tr112_c31_g1_i1.p1, Shad_tr35328_c0_g1_i2.p1	Chfu_DN7014_c0_g1_i1.p1
OG0000027	Shad_tr20883_c0_g1_i4.p2	Chfu_DN15974_c0_g1_i1.p1
OG0000027	Shad_tr35006_c0_g1_i1.p1	Chfu_DN19051_c0_g1_i1.p1
OG0000028	Shad_tr8272_c3_g3_i1.p1, Shad_tr99432_c0_g1_i1.p1, Shad_tr16010_c0_g1_i12.p1, Shad_tr2614_c1_g1_i5.p1, Shad_tr25188_c0_g2_i3.p1, Shad_tr29221_c1_g1_i2.p1, Shad_tr11953_c0_g1_i5.p1, Shad_tr9089_c2_g1_i26.p1, Shad_tr11744_c2_g1_i2.p1, Shad_tr4266_c0_g1_i5.p1, Shad_tr25353_c0_g1_i2.p1, Shad_tr55101_c0_g1_i2.p1, Shad_tr305_c2_g1_i2.p1, Shad_tr26942_c0_g1_i2.p1, Shad_tr16418_c0_g1_i5.p1	Chfu_DN18332_c0_g1_i1.p1, Chfu_DN17989_c0_g1_i1.p1
OG0000030	Shad_tr7909_c0_g1_i3.p1, Shad_tr19192_c0_g1_i1.p1, Shad_tr2911_c0_g1_i5.p1	Chfu_DN8406_c0_g2_i1.p1
OG0000030	Shad_tr40907_c0_g1_i4.p1	Chfu_DN7246_c0_g1_i1.p1
OG0000030	Shad_tr19344_c0_g1_i6.p1, Shad_tr3121_c0_g2_i1.p1, Shad_tr3121_c0_g1_i13.p1	Chfu_DN841_c0_g1_i1.p1, Chfu_DN1347_c0_g1_i4.p1
OG0000031	Shad_tr48816_c0_g1_i9.p1, Shad_tr67774_c0_g1_i1.p1, Shad_tr94731_c0_g1_i1.p1, Shad_tr91889_c0_g1_i1.p1, Shad_tr61595_c0_g1_i1.p1, Shad_tr28520_c0_g1_i5.p1, Shad_tr20673_c0_g1_i4.p1, Shad_tr6959_c0_g2_i2.p1	Chfu_DN20108_c0_g1_i1.p1
OG0000035	Shad_tr25443_c1_g1_i1.p1	Chfu_DN8767_c0_g1_i1.p1
OG0000035	Shad_tr49684_c0_g1_i1.p1	Chfu_DN16941_c0_g1_i1.p1
OG0000036	Shad_tr67703_c0_g1_i1.p1	Chfu_DN4047_c0_g1_i1.p1
OG0000037	Shad_tr101116_c0_g1_i1.p1	Chfu_DN17592_c0_g1_i1.p1
OG0000037	Shad_tr23760_c1_g1_i2.p1, Shad_tr23760_c1_g2_i2.p2	Chfu_DN12248_c0_g1_i1.p1
OG0000037	Shad_tr60991_c0_g1_i1.p1, Shad_tr74773_c0_g1_i1.p1	Chfu_DN10788_c0_g1_i1.p1
OG0000037	Shad_tr48843_c0_g1_i3.p1	Chfu_DN3670_c0_g1_i1.p1, Chfu_DN4301_c0_g1_i1.p1
OG0000037	Shad_tr35021_c0_g1_i1.p1	Chfu_DN18163_c0_g1_i1.p1
OG0000037	Shad_tr67088_c0_g1_i1.p1	Chfu_DN1929_c0_g1_i2.p1
OG0000038	Shad_tr7481_c0_g1_i1.p1	Chfu_DN197_c0_g1_i1.p1
OG0000038	Shad_tr47243_c0_g2_i5.p1	Chfu_DN10650_c0_g2_i1.p1
OG0000038	Shad_tr31301_c1_g1_i2.p1	Chfu_DN3521_c0_g1_i1.p1, Chfu_DN3521_c0_g2_i1.p1
OG0000042	Shad_tr46031_c0_g1_i1.p1	Chfu_DN18536_c0_g1_i1.p1
OG0000042	Shad_tr93877_c0_g1_i1.p1	Chfu_DN4996_c0_g4_i1.p1
OG0000043	Shad_tr37890_c0_g1_i4.p1, Shad_tr18489_c1_g1_i5.p1, Shad_tr21372_c0_g1_i10.p1, Shad_tr55304_c1_g1_i1.p1, Shad_tr23370_c1_g1_i1.p1, Shad_tr23076_c0_g1_i5.p1, Shad_tr3171_c1_g1_i2.p1, Shad_tr27109_c0_g1_i2.p1, Shad_tr31847_c0_g1_i3.p1, Shad_tr18489_c0_g1_i1.p1, Shad_tr1605_c0_g2_i4.p1, Shad_tr103_c9_g1_i1.p1, Shad_tr33792_c1_g1_i1.p1, Shad_tr43878_c1_g1_i1.p1, Shad_tr8790_c0_g2_i2.p1	Chfu_DN15646_c0_g1_i1.p1
OG0000045	Shad_tr20172_c0_g1_i1.p1	Chfu_DN15829_c0_g1_i1.p1
OG0000045	Shad_tr44010_c1_g2_i1.p1, Shad_tr46214_c0_g1_i7.p1, Shad_tr15464_c1_g1_i1.p1	Chfu_DN15125_c0_g1_i1.p1, Chfu_DN2213_c0_g1_i1.p1, Chfu_DN5774_c0_g1_i1.p1, Chfu_DN437_c0_g1_i1.p1
OG0000045	Shad_tr6864_c4_g1_i2.p1	Chfu_DN16012_c0_g1_i1.p1
OG0000048	Shad_tr11241_c0_g2_i1.p1	Chfu_DN12258_c0_g1_i1.p1
OG0000049	Shad_tr5640_c0_g1_i2.p1, Shad_tr13226_c0_g4_i1.p1	Chfu_DN4925_c0_g1_i1.p1
OG0000050	Shad_tr31247_c0_g1_i2.p1	Chfu_DN1899_c0_g1_i2.p1
OG0000050	Shad_tr72683_c0_g1_i1.p1, Shad_tr33792_c2_g1_i2.p1	Chfu_DN10733_c0_g1_i1.p1
OG0000050	Shad_tr108086_c0_g1_i1.p1, Shad_tr9225_c1_g4_i1.p1	Chfu_DN9104_c0_g1_i1.p1
OG0000050	Shad_tr5253_c3_g1_i5.p1, Shad_tr15441_c0_g1_i4.p1	Chfu_DN11203_c0_g1_i1.p1, Chfu_DN17444_c0_g1_i1.p1, Chfu_DN1541_c0_g1_i4.p1
OG0000055	Shad_tr73876_c0_g1_i1.p1, Shad_tr17028_c0_g1_i2.p1	Chfu_DN15076_c0_g1_i1.p1
OG0000055	Shad_tr26368_c0_g3_i1.p1, Shad_tr95212_c0_g1_i1.p1	Chfu_DN2014_c0_g3_i1.p1, Chfu_DN3069_c0_g1_i1.p1
OG0000055	Shad_tr50356_c0_g1_i1.p1	Chfu_DN18140_c0_g1_i1.p1
OG0000055	Shad_tr5823_c0_g1_i8.p1, Shad_tr6903_c0_g2_i1.p1	Chfu_DN2647_c0_g1_i6.p1
OG0000059	Shad_tr12314_c0_g1_i1.p1, Shad_tr1473_c0_g3_i2.p1	Chfu_DN5819_c0_g1_i1.p1
OG0000059	Shad_tr93714_c0_g1_i1.p1	Chfu_DN1617_c0_g1_i2.p1
OG0000059	Shad_tr6778_c1_g1_i29.p1	Chfu_DN11219_c0_g2_i1.p1
OG0000059	Shad_tr11544_c0_g1_i7.p1	Chfu_DN1492_c0_g1_i1.p1
OG0000059	Shad_tr9768_c0_g1_i4.p1	Chfu_DN10571_c0_g1_i1.p1
OG0000059	Shad_tr10655_c3_g1_i2.p1	Chfu_DN1659_c0_g1_i3.p1
OG0000059	Shad_tr80838_c0_g1_i1.p1, Shad_tr3907_c5_g1_i1.p1	Chfu_DN10482_c0_g1_i1.p1
OG0000060	Shad_tr47276_c0_g2_i3.p1	Chfu_DN18637_c0_g1_i1.p1
OG0000061	Shad_tr57450_c0_g1_i1.p1, Shad_tr7307_c0_g1_i2.p1	Chfu_DN5424_c0_g1_i1.p1, Chfu_DN11213_c0_g1_i1.p1
OG0000065	Shad_tr46194_c4_g1_i2.p1, Shad_tr57351_c0_g1_i1.p1, Shad_tr21742_c0_g2_i1.p1, Shad_tr36459_c0_g1_i1.p1, Shad_tr903_c1_g1_i3.p1, Shad_tr31379_c0_g2_i1.p1, Shad_tr2089_c0_g1_i7.p1, Shad_tr53791_c0_g1_i1.p1, Shad_tr33063_c0_g1_i1.p1, Shad_tr78673_c0_g1_i1.p1, Shad_tr33207_c0_g1_i1.p1, Shad_tr73089_c0_g1_i1.p1, Shad_tr23808_c0_g1_i5.p2, Shad_tr26780_c0_g1_i1.p1, Shad_tr30030_c0_g1_i1.p1	Chfu_DN20043_c0_g1_i1.p1
OG0000068	Shad_tr22306_c0_g1_i13.p1	Chfu_DN8160_c0_g1_i5.p1
OG0000070	Shad_tr33327_c0_g1_i1.p1	Chfu_DN4604_c0_g1_i1.p1
OG0000070	Shad_tr59518_c0_g1_i1.p1	Chfu_DN4028_c0_g2_i1.p1
OG0000070	Shad_tr35767_c0_g1_i4.p1	Chfu_DN19843_c0_g1_i1.p1
OG0000070	Shad_tr12228_c0_g1_i29.p1	Chfu_DN10173_c0_g1_i1.p1
OG0000070	Shad_tr115178_c0_g1_i1.p1	Chfu_DN10768_c0_g1_i1.p1
OG0000071	Shad_tr67428_c0_g1_i1.p1, Shad_tr76521_c0_g1_i1.p1, Shad_tr105623_c0_g1_i1.p1, Shad_tr112699_c0_g1_i1.p1, Shad_tr15476_c1_g2_i1.p1, Shad_tr75103_c0_g1_i1.p1, Shad_tr35979_c0_g2_i2.p1, Shad_tr44137_c0_g3_i1.p1, Shad_tr19143_c0_g1_i6.p1, Shad_tr23568_c2_g1_i1.p1, Shad_tr18787_c1_g3_i1.p1, Shad_tr52273_c0_g1_i1.p1, Shad_tr54514_c0_g1_i2.p1	Chfu_DN9514_c0_g1_i1.p1
OG0000072	Shad_tr56213_c0_g3_i4.p1, Shad_tr7543_c0_g1_i8.p1, Shad_tr7543_c0_g4_i1.p1	Chfu_DN19936_c0_g1_i1.p1
OG0000072	Shad_tr3797_c1_g1_i2.p1	Chfu_DN17055_c0_g1_i1.p1, Chfu_DN17262_c0_g1_i1.p1
OG0000072	Shad_tr4564_c0_g1_i2.p1	Chfu_DN1278_c0_g1_i1.p1
OG0000072	Shad_tr50055_c0_g1_i8.p1	Chfu_DN3757_c0_g1_i3.p1
OG0000074	Shad_tr11680_c1_g1_i1.p1, Shad_tr31007_c1_g1_i2.p1, Shad_tr23120_c0_g1_i1.p1, Shad_tr13098_c0_g1_i5.p1, Shad_tr11680_c0_g1_i15.p1, Shad_tr7195_c0_g1_i55.p1, Shad_tr16521_c0_g1_i1.p1, Shad_tr1233_c5_g1_i6.p1, Shad_tr47720_c0_g1_i1.p1, Shad_tr11680_c0_g2_i2.p1, Shad_tr86485_c0_g1_i1.p1	Chfu_DN1298_c0_g1_i3.p1
OG0000075	Shad_tr14455_c0_g1_i1.p2	Chfu_DN1428_c0_g1_i1.p1
OG0000075	Shad_tr14455_c0_g3_i1.p1	Chfu_DN7715_c0_g2_i1.p1
OG0000078	Shad_tr48869_c0_g1_i1.p1	Chfu_DN1634_c0_g1_i1.p1
OG0000079	Shad_tr28433_c0_g1_i1.p1	Chfu_DN10308_c0_g1_i1.p1
OG0000082	Shad_tr47902_c0_g1_i1.p1, Shad_tr16674_c0_g1_i10.p1, Shad_tr16674_c3_g1_i1.p1, Shad_tr43741_c1_g1_i2.p1, Shad_tr73492_c0_g1_i1.p1	Chfu_DN18111_c0_g1_i1.p1
OG0000083	Shad_tr43871_c0_g1_i1.p1	Chfu_DN15491_c0_g1_i1.p1
OG0000083	Shad_tr22764_c0_g1_i6.p1	Chfu_DN3626_c0_g1_i1.p1
OG0000086	Shad_tr36911_c0_g1_i1.p1, Shad_tr77425_c0_g1_i1.p1, Shad_tr22397_c0_g1_i8.p1, Shad_tr58445_c0_g1_i1.p1, Shad_tr100204_c0_g1_i1.p1, Shad_tr16733_c0_g1_i4.p1, Shad_tr1443_c3_g1_i1.p1, Shad_tr91195_c0_g1_i1.p1, Shad_tr29896_c1_g2_i1.p1	Chfu_DN2547_c0_g1_i1.p1
OG0000087	Shad_tr91217_c0_g1_i1.p1	Chfu_DN10657_c0_g1_i8.p1, Chfu_DN15210_c0_g1_i1.p1, Chfu_DN7165_c0_g1_i1.p1
OG0000087	Shad_tr36807_c0_g2_i1.p1, Shad_tr99366_c0_g1_i1.p1, Shad_tr3984_c0_g2_i4.p1, Shad_tr8966_c1_g3_i1.p1, Shad_tr9142_c0_g1_i4.p1, Shad_tr53768_c0_g1_i5.p1, Shad_tr13703_c1_g1_i1.p1, Shad_tr38834_c1_g1_i1.p1	Chfu_DN501_c1_g1_i1.p1
OG0000089	Shad_tr8598_c2_g1_i2.p1	Chfu_DN1455_c0_g1_i2.p1
OG0000089	Shad_tr1453_c0_g1_i9.p1, Shad_tr32217_c0_g2_i1.p1, Shad_tr6460_c0_g1_i4.p1, Shad_tr6460_c0_g2_i5.p1	Chfu_DN3529_c0_g2_i1.p1, Chfu_DN1905_c0_g1_i2.p1, Chfu_DN12007_c0_g1_i1.p1
OG0000090	Shad_tr40907_c1_g1_i1.p1, Shad_tr28049_c0_g1_i2.p1, Shad_tr14877_c0_g1_i7.p1, Shad_tr35457_c3_g1_i1.p1, Shad_tr7844_c2_g1_i2.p1, Shad_tr35457_c1_g1_i1.p1, Shad_tr10354_c1_g3_i3.p1, Shad_tr7964_c0_g1_i2.p1, Shad_tr3852_c0_g1_i20.p1, Shad_tr28148_c0_g3_i1.p1, Shad_tr7964_c0_g2_i1.p1, Shad_tr1538_c2_g1_i2.p1, Shad_tr8761_c0_g2_i2.p1, Shad_tr32757_c0_g2_i2.p1, Shad_tr18509_c0_g1_i1.p1, Shad_tr8761_c0_g1_i6.p1, Shad_tr31061_c0_g3_i1.p1	Chfu_DN18864_c0_g1_i1.p1
OG0000092	Shad_tr462_c1_g2_i1.p1, Shad_tr2759_c1_g1_i3.p1, Shad_tr187_c17_g2_i1.p1, Shad_tr1757_c0_g2_i1.p1	Chfu_DN7612_c0_g2_i1.p1
OG0000092	Shad_tr580_c0_g2_i3.p1	Chfu_DN8653_c0_g1_i1.p1
OG0000094	Shad_tr63758_c0_g1_i1.p2, Shad_tr114894_c0_g1_i1.p1, Shad_tr47997_c1_g1_i1.p2	Chfu_DN6438_c0_g1_i1.p1
OG0000094	Shad_tr107999_c0_g1_i1.p1, Shad_tr27853_c0_g2_i1.p1	Chfu_DN3950_c0_g2_i1.p1
OG0000094	Shad_tr105986_c0_g1_i1.p1, Shad_tr38004_c0_g1_i1.p1, Shad_tr25736_c0_g1_i2.p1, Shad_tr82661_c0_g1_i1.p1	Chfu_DN6220_c0_g3_i1.p1
