Orthogroup	Stichodactyla_haddoni_longest_pep	Nematostella_vectensis_longest_pep
OG0000001	Shad_tr35615_c0_g1_i2.p1	Neva_DN9393_c0_g1_i8.p1
OG0000001	Shad_tr68933_c0_g1_i1.p2, Shad_tr37417_c0_g1_i1.p1, Shad_tr9232_c0_g1_i4.p1, Shad_tr13620_c0_g1_i13.p1, Shad_tr91562_c0_g1_i1.p1, Shad_tr93128_c0_g1_i1.p2, Shad_tr4222_c0_g1_i10.p1	Neva_DN6043_c0_g1_i4.p1
OG0000002	Shad_tr111782_c0_g1_i1.p2	Neva_DN39388_c0_g1_i1.p1
OG0000002	Shad_tr8207_c0_g1_i3.p1	Neva_DN88771_c0_g1_i1.p1, Neva_DN2008_c0_g1_i2.p1
OG0000002	Shad_tr11002_c0_g1_i1.p1	Neva_DN12590_c0_g1_i11.p1, Neva_DN2900_c6_g1_i7.p1
OG0000002	Shad_tr9027_c1_g2_i1.p1	Neva_DN56651_c0_g1_i11.p1
OG0000002	Shad_tr16090_c0_g2_i1.p1, Shad_tr2816_c2_g1_i12.p1	Neva_DN169250_c0_g1_i1.p1
OG0000002	Shad_tr12484_c0_g1_i21.p1, Shad_tr8304_c0_g1_i14.p1	Neva_DN144_c0_g1_i7.p1
OG0000002	Shad_tr100500_c0_g1_i3.p1	Neva_DN109869_c0_g1_i1.p1
OG0000002	Shad_tr17594_c1_g1_i1.p1, Shad_tr17594_c0_g1_i9.p1	Neva_DN1279_c0_g2_i1.p1
OG0000002	Shad_tr12274_c0_g2_i3.p1, Shad_tr25036_c0_g1_i5.p1, Shad_tr23414_c2_g2_i2.p1, Shad_tr23414_c2_g1_i2.p1, Shad_tr3482_c0_g2_i5.p1, Shad_tr50646_c2_g1_i1.p1, Shad_tr50646_c2_g2_i1.p1	Neva_DN34269_c0_g1_i3.p1
OG0000002	Shad_tr30264_c1_g2_i6.p1	Neva_DN43656_c0_g1_i1.p1, Neva_DN1809_c0_g1_i11.p1
OG0000002	Shad_tr47022_c0_g1_i5.p1	Neva_DN3113_c0_g1_i1.p1
OG0000002	Shad_tr38889_c0_g1_i5.p1	Neva_DN3113_c1_g2_i3.p1
OG0000002	Shad_tr15359_c0_g2_i1.p1	Neva_DN17306_c0_g1_i2.p1
OG0000002	Shad_tr28069_c0_g1_i5.p1	Neva_DN2287_c0_g1_i11.p1
OG0000002	Shad_tr34474_c1_g1_i2.p1	Neva_DN1253_c2_g1_i4.p1
OG0000002	Shad_tr32952_c2_g1_i3.p1, Shad_tr2617_c2_g1_i12.p1	Neva_DN1119_c0_g1_i2.p1, Neva_DN1119_c0_g2_i7.p1
OG0000002	Shad_tr7283_c0_g1_i12.p1, Shad_tr4412_c9_g1_i2.p1	Neva_DN6701_c0_g1_i12.p1
OG0000002	Shad_tr16243_c0_g1_i8.p1, Shad_tr38188_c0_g2_i2.p1, Shad_tr33095_c0_g1_i1.p1	Neva_DN2399_c3_g1_i4.p1
OG0000003	Shad_tr8436_c2_g1_i2.p1	Neva_DN6864_c0_g2_i4.p1
OG0000003	Shad_tr16415_c2_g1_i2.p1	Neva_DN997_c0_g1_i15.p1
OG0000003	Shad_tr1184_c0_g1_i5.p1, Shad_tr8902_c1_g1_i4.p1	Neva_DN7210_c1_g1_i1.p1
OG0000003	Shad_tr31539_c0_g1_i4.p1, Shad_tr3966_c0_g5_i2.p1	Neva_DN381_c0_g1_i19.p1
OG0000003	Shad_tr25371_c0_g1_i5.p1	Neva_DN997_c16_g2_i1.p1
OG0000003	Shad_tr19223_c0_g1_i7.p1	Neva_DN9146_c0_g1_i7.p1
OG0000003	Shad_tr5763_c0_g1_i1.p1	Neva_DN13520_c0_g1_i1.p1
OG0000003	Shad_tr49878_c0_g1_i1.p1, Shad_tr18779_c1_g1_i1.p1	Neva_DN18679_c0_g3_i1.p1, Neva_DN15095_c0_g1_i8.p1, Neva_DN38852_c0_g3_i2.p1, Neva_DN73880_c0_g2_i2.p1
OG0000003	Shad_tr45996_c0_g1_i3.p1	Neva_DN73880_c0_g1_i2.p1, Neva_DN997_c16_g1_i1.p1, Neva_DN144697_c0_g1_i1.p1, Neva_DN27254_c0_g1_i1.p1
OG0000003	Shad_tr40464_c0_g1_i2.p1	Neva_DN2925_c0_g2_i1.p1, Neva_DN2925_c0_g1_i2.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Neva_DN5785_c0_g1_i3.p1
OG0000003	Shad_tr1233_c10_g1_i4.p1	Neva_DN209_c0_g1_i1.p1
OG0000003	Shad_tr5139_c0_g1_i6.p1	Neva_DN3216_c0_g1_i7.p1
OG0000004	Shad_tr97815_c0_g1_i1.p1, Shad_tr110442_c0_g1_i1.p1, Shad_tr35099_c0_g2_i1.p1, Shad_tr37267_c0_g1_i1.p1, Shad_tr12330_c2_g1_i14.p2, Shad_tr41384_c1_g1_i1.p1	Neva_DN116501_c0_g1_i1.p1
OG0000004	Shad_tr42245_c0_g2_i1.p1	Neva_DN71214_c0_g1_i1.p1
OG0000004	Shad_tr115020_c0_g1_i1.p1	Neva_DN87234_c0_g3_i1.p1
OG0000004	Shad_tr25680_c0_g1_i1.p1, Shad_tr84438_c0_g1_i1.p1, Shad_tr34042_c0_g1_i1.p1, Shad_tr39747_c0_g1_i1.p1	Neva_DN28950_c0_g1_i3.p1
OG0000004	Shad_tr24789_c1_g1_i10.p1	Neva_DN108104_c0_g1_i1.p1
OG0000004	Shad_tr43473_c0_g1_i1.p1, Shad_tr32114_c1_g1_i7.p1	Neva_DN151791_c0_g2_i1.p1
OG0000005	Shad_tr2801_c1_g1_i3.p1, Shad_tr26927_c0_g1_i1.p1	Neva_DN11268_c1_g1_i3.p1
OG0000005	Shad_tr32859_c0_g1_i6.p1	Neva_DN11523_c0_g1_i21.p1
OG0000005	Shad_tr7756_c0_g2_i4.p1	Neva_DN84934_c0_g1_i1.p1
OG0000005	Shad_tr101198_c0_g1_i1.p1	Neva_DN30538_c0_g1_i1.p1
OG0000005	Shad_tr42495_c0_g1_i2.p1, Shad_tr17588_c0_g1_i2.p1, Shad_tr42032_c0_g1_i2.p1, Shad_tr10187_c0_g1_i5.p1	Neva_DN61793_c0_g1_i7.p1, Neva_DN69840_c0_g1_i1.p1
OG0000005	Shad_tr83698_c0_g1_i1.p1	Neva_DN11771_c0_g1_i2.p1, Neva_DN5171_c0_g1_i9.p1, Neva_DN3087_c0_g1_i3.p1
OG0000005	Shad_tr10187_c0_g2_i1.p1	Neva_DN62801_c0_g1_i1.p1
OG0000006	Shad_tr25563_c0_g1_i5.p1, Shad_tr25563_c0_g2_i5.p1	Neva_DN510_c2_g2_i1.p1
OG0000006	Shad_tr29428_c1_g2_i1.p1, Shad_tr78176_c0_g1_i1.p1, Shad_tr70926_c0_g1_i1.p1	Neva_DN36194_c0_g3_i1.p1
OG0000006	Shad_tr39147_c0_g1_i1.p1	Neva_DN10855_c0_g1_i13.p3
OG0000007	Shad_tr16025_c0_g1_i1.p1	Neva_DN14381_c0_g1_i6.p1
OG0000007	Shad_tr9482_c0_g1_i10.p1	Neva_DN6597_c0_g1_i1.p1, Neva_DN6597_c0_g2_i6.p1
OG0000007	Shad_tr57168_c0_g1_i1.p1, Shad_tr86959_c0_g1_i1.p1	Neva_DN89943_c0_g2_i2.p1
OG0000007	Shad_tr27395_c0_g1_i1.p1	Neva_DN4903_c0_g1_i3.p1
OG0000007	Shad_tr2749_c1_g2_i1.p1, Shad_tr2749_c1_g1_i1.p1	Neva_DN19270_c1_g1_i1.p1
OG0000007	Shad_tr35237_c0_g2_i1.p1	Neva_DN3129_c0_g2_i1.p1
OG0000007	Shad_tr87403_c0_g1_i1.p1, Shad_tr8688_c0_g2_i3.p1	Neva_DN13672_c0_g2_i1.p1
OG0000007	Shad_tr36106_c0_g2_i2.p1, Shad_tr36106_c5_g1_i1.p1, Shad_tr29986_c3_g1_i1.p1, Shad_tr100866_c0_g1_i1.p1	Neva_DN172817_c0_g1_i1.p1
OG0000007	Shad_tr17542_c0_g1_i1.p1	Neva_DN89901_c1_g1_i1.p1, Neva_DN105264_c0_g1_i2.p1, Neva_DN104379_c0_g1_i1.p1
OG0000007	Shad_tr69242_c0_g1_i1.p1	Neva_DN15169_c0_g1_i1.p1
OG0000007	Shad_tr64130_c0_g1_i1.p1	Neva_DN113018_c0_g1_i1.p1
OG0000007	Shad_tr15166_c2_g1_i2.p1	Neva_DN110144_c0_g1_i1.p1
OG0000007	Shad_tr87301_c0_g1_i1.p1	Neva_DN6452_c0_g1_i2.p1
OG0000007	Shad_tr36595_c0_g1_i1.p1	Neva_DN31798_c0_g1_i2.p1, Neva_DN4518_c0_g1_i3.p1
OG0000008	Shad_tr15555_c0_g3_i2.p1	Neva_DN1811_c0_g1_i16.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Neva_DN16184_c4_g1_i6.p1
OG0000008	Shad_tr15555_c1_g3_i1.p1	Neva_DN25_c0_g1_i7.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Neva_DN11757_c1_g1_i1.p1, Neva_DN10624_c0_g1_i3.p1
OG0000008	Shad_tr8884_c0_g3_i3.p1	Neva_DN11370_c0_g1_i2.p1
OG0000008	Shad_tr19205_c0_g1_i2.p1	Neva_DN1378_c0_g1_i1.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Neva_DN323_c42_g1_i1.p1
OG0000008	Shad_tr8884_c0_g2_i5.p1	Neva_DN323_c0_g1_i3.p1
OG0000009	Shad_tr18647_c0_g1_i1.p1	Neva_DN5185_c0_g1_i3.p1, Neva_DN96743_c0_g1_i1.p1
OG0000010	Shad_tr54979_c0_g1_i1.p1	Neva_DN1295_c0_g1_i3.p1
OG0000010	Shad_tr2839_c0_g2_i2.p1	Neva_DN2501_c0_g1_i2.p1
OG0000010	Shad_tr75584_c0_g1_i1.p1, Shad_tr60004_c0_g1_i1.p1	Neva_DN44038_c0_g1_i6.p1
OG0000010	Shad_tr23640_c0_g1_i1.p1	Neva_DN1772_c3_g1_i1.p1
OG0000010	Shad_tr15980_c0_g4_i1.p1	Neva_DN86501_c0_g1_i1.p1
OG0000010	Shad_tr8024_c0_g2_i6.p1	Neva_DN32951_c0_g1_i11.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Neva_DN1157_c1_g3_i1.p1
OG0000010	Shad_tr31771_c0_g1_i3.p1, Shad_tr1427_c5_g1_i2.p1	Neva_DN54429_c0_g1_i4.p1, Neva_DN70098_c0_g1_i1.p1
OG0000010	Shad_tr51748_c0_g1_i1.p1	Neva_DN24835_c0_g1_i1.p1
OG0000010	Shad_tr24708_c0_g3_i1.p1, Shad_tr22541_c3_g1_i3.p1, Shad_tr69948_c0_g1_i1.p1	Neva_DN3380_c0_g1_i4.p1
OG0000010	Shad_tr10798_c4_g1_i7.p1	Neva_DN143968_c0_g1_i2.p1
OG0000010	Shad_tr29233_c0_g1_i2.p1	Neva_DN2705_c0_g1_i3.p1
OG0000010	Shad_tr91861_c0_g1_i1.p1	Neva_DN17451_c0_g1_i3.p1
OG0000010	Shad_tr73_c19_g1_i3.p1	Neva_DN297_c0_g1_i1.p1
OG0000010	Shad_tr23864_c0_g1_i1.p1	Neva_DN79299_c0_g1_i2.p1
OG0000011	Shad_tr21291_c0_g1_i1.p1	Neva_DN5528_c0_g1_i10.p1
OG0000011	Shad_tr1132_c0_g1_i13.p1	Neva_DN1306_c0_g3_i2.p1
OG0000011	Shad_tr32278_c0_g1_i2.p1	Neva_DN10871_c0_g1_i1.p1
OG0000011	Shad_tr11490_c0_g1_i3.p1	Neva_DN713_c0_g1_i4.p1
OG0000011	Shad_tr2056_c1_g1_i5.p1	Neva_DN7134_c0_g1_i1.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Neva_DN1156_c0_g1_i1.p1
OG0000011	Shad_tr40287_c0_g1_i1.p1	Neva_DN8109_c0_g1_i1.p1
OG0000011	Shad_tr2992_c1_g5_i1.p1	Neva_DN353_c1_g1_i10.p1
OG0000011	Shad_tr6064_c1_g1_i1.p1	Neva_DN3289_c1_g1_i6.p1
OG0000011	Shad_tr3847_c0_g1_i2.p1	Neva_DN6722_c0_g1_i5.p1
OG0000011	Shad_tr12213_c0_g1_i1.p1	Neva_DN2866_c0_g1_i4.p1
OG0000011	Shad_tr11801_c0_g1_i5.p1	Neva_DN2840_c1_g1_i14.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1	Neva_DN975_c1_g1_i27.p1
OG0000011	Shad_tr216_c0_g1_i7.p1, Shad_tr6003_c0_g1_i16.p1, Shad_tr3827_c0_g1_i11.p1, Shad_tr28266_c0_g1_i1.p1	Neva_DN2061_c0_g1_i4.p1
OG0000014	Shad_tr30525_c0_g1_i1.p1	Neva_DN17121_c0_g2_i2.p1, Neva_DN42204_c0_g2_i1.p1
OG0000014	Shad_tr57926_c0_g1_i1.p1	Neva_DN16200_c0_g1_i1.p1, Neva_DN39836_c0_g2_i1.p1, Neva_DN39836_c0_g1_i1.p1
OG0000015	Shad_tr91068_c0_g1_i1.p1	Neva_DN38453_c0_g2_i1.p1
OG0000016	Shad_tr24544_c0_g1_i2.p1	Neva_DN24087_c0_g1_i1.p2
OG0000016	Shad_tr36090_c0_g1_i7.p1	Neva_DN3986_c0_g2_i2.p1
OG0000016	Shad_tr5656_c0_g1_i7.p1	Neva_DN1425_c0_g1_i1.p1
OG0000016	Shad_tr30195_c0_g1_i1.p1	Neva_DN7062_c0_g3_i1.p1
OG0000016	Shad_tr14208_c0_g2_i2.p1	Neva_DN11071_c0_g2_i3.p1
OG0000016	Shad_tr20659_c0_g1_i29.p1	Neva_DN19091_c0_g1_i5.p1
OG0000016	Shad_tr56139_c0_g1_i5.p1	Neva_DN3887_c0_g2_i2.p1
OG0000016	Shad_tr63013_c0_g1_i1.p1	Neva_DN16931_c0_g1_i5.p1, Neva_DN29138_c0_g1_i1.p1, Neva_DN7911_c0_g1_i3.p1
OG0000018	Shad_tr22586_c2_g3_i1.p1, Shad_tr42991_c0_g1_i10.p1	Neva_DN7051_c0_g1_i10.p1, Neva_DN4105_c1_g1_i2.p1, Neva_DN21446_c0_g1_i3.p1, Neva_DN16724_c0_g3_i1.p1
OG0000018	Shad_tr28733_c0_g3_i3.p1, Shad_tr28733_c0_g1_i2.p1, Shad_tr41369_c0_g1_i3.p1, Shad_tr40675_c0_g1_i2.p1, Shad_tr40314_c0_g1_i1.p1, Shad_tr59276_c0_g1_i1.p1	Neva_DN5733_c0_g2_i1.p1, Neva_DN37351_c0_g1_i1.p1, Neva_DN101_c1_g1_i15.p1, Neva_DN101_c1_g2_i5.p1, Neva_DN19573_c0_g1_i7.p1, Neva_DN1944_c1_g1_i2.p1, Neva_DN5733_c1_g1_i1.p1, Neva_DN5733_c0_g1_i3.p1
OG0000018	Shad_tr177_c0_g1_i2.p1	Neva_DN24076_c0_g1_i1.p2, Neva_DN485_c0_g1_i4.p1
OG0000019	Shad_tr40870_c0_g2_i1.p1, Shad_tr12133_c0_g1_i13.p1, Shad_tr25764_c0_g2_i1.p1	Neva_DN155597_c0_g2_i1.p1
OG0000019	Shad_tr76303_c0_g1_i1.p1	Neva_DN15454_c0_g1_i2.p1
OG0000019	Shad_tr4304_c0_g1_i5.p1, Shad_tr96139_c0_g1_i1.p1	Neva_DN26038_c0_g1_i4.p1
OG0000019	Shad_tr28098_c0_g2_i1.p1	Neva_DN37277_c0_g1_i3.p1
OG0000019	Shad_tr4304_c2_g1_i1.p1, Shad_tr96670_c0_g1_i1.p1, Shad_tr10666_c4_g1_i1.p1	Neva_DN56974_c0_g3_i1.p1
OG0000019	Shad_tr50567_c3_g1_i1.p1, Shad_tr28512_c2_g3_i1.p2	Neva_DN150456_c0_g1_i1.p1, Neva_DN20441_c0_g2_i2.p1, Neva_DN1300_c2_g1_i11.p1
OG0000020	Shad_tr20558_c0_g1_i2.p1	Neva_DN6100_c0_g1_i3.p1
OG0000020	Shad_tr6108_c0_g1_i14.p1	Neva_DN5601_c0_g1_i5.p1
OG0000020	Shad_tr4487_c0_g2_i2.p1	Neva_DN5446_c0_g1_i12.p1
OG0000020	Shad_tr4487_c0_g1_i2.p1	Neva_DN2483_c0_g1_i4.p1
OG0000020	Shad_tr30308_c0_g1_i14.p1	Neva_DN31208_c0_g1_i6.p1
OG0000020	Shad_tr11067_c1_g1_i1.p1	Neva_DN2195_c1_g1_i2.p1
OG0000020	Shad_tr17595_c0_g1_i1.p1	Neva_DN1591_c0_g1_i3.p1
OG0000020	Shad_tr12863_c2_g1_i1.p1	Neva_DN3941_c0_g1_i4.p1
OG0000020	Shad_tr19820_c0_g2_i5.p1	Neva_DN15473_c0_g1_i3.p1
OG0000020	Shad_tr30362_c0_g1_i7.p1	Neva_DN45813_c0_g1_i3.p1
OG0000020	Shad_tr10844_c0_g1_i2.p1	Neva_DN4174_c0_g1_i3.p1
OG0000020	Shad_tr44275_c0_g2_i3.p1	Neva_DN2352_c1_g2_i2.p1
OG0000020	Shad_tr9299_c0_g1_i16.p1	Neva_DN5165_c1_g1_i1.p1
OG0000020	Shad_tr16412_c1_g1_i1.p1	Neva_DN11329_c0_g1_i13.p1, Neva_DN1196_c0_g2_i4.p1
OG0000022	Shad_tr6315_c0_g1_i11.p1	Neva_DN41460_c0_g1_i13.p1
OG0000022	Shad_tr16040_c0_g1_i2.p1, Shad_tr33937_c0_g1_i2.p1	Neva_DN1871_c0_g1_i2.p1
OG0000022	Shad_tr10152_c0_g1_i5.p1	Neva_DN4685_c0_g1_i1.p1
OG0000022	Shad_tr51852_c1_g1_i1.p1	Neva_DN18833_c0_g1_i6.p1
OG0000022	Shad_tr28775_c0_g1_i5.p1	Neva_DN80965_c0_g1_i5.p1
OG0000022	Shad_tr56942_c0_g3_i1.p1	Neva_DN2249_c1_g1_i2.p1
OG0000023	Shad_tr30783_c0_g2_i1.p1, Shad_tr9054_c0_g1_i4.p1	Neva_DN44016_c0_g1_i2.p1
OG0000023	Shad_tr66131_c0_g1_i1.p1, Shad_tr33176_c0_g1_i6.p1	Neva_DN2844_c1_g1_i3.p1
OG0000023	Shad_tr16661_c0_g1_i2.p1, Shad_tr98935_c0_g1_i1.p1	Neva_DN1838_c0_g1_i20.p1, Neva_DN50771_c0_g1_i2.p1
OG0000024	Shad_tr23702_c0_g1_i2.p1	Neva_DN94070_c0_g1_i1.p1
OG0000025	Shad_tr114414_c0_g1_i1.p1	Neva_DN98576_c0_g1_i1.p1
OG0000025	Shad_tr56931_c0_g1_i1.p1, Shad_tr18197_c1_g1_i7.p1	Neva_DN8010_c0_g1_i10.p1
OG0000026	Shad_tr30931_c0_g1_i2.p1	Neva_DN28250_c0_g1_i1.p1
OG0000026	Shad_tr53582_c0_g1_i1.p1	Neva_DN54759_c0_g2_i2.p1
OG0000026	Shad_tr10368_c3_g1_i3.p1, Shad_tr29354_c0_g1_i1.p1, Shad_tr56943_c0_g1_i1.p1	Neva_DN54759_c0_g1_i2.p1
OG0000026	Shad_tr39056_c1_g2_i1.p1, Shad_tr4413_c0_g2_i2.p1	Neva_DN1731_c0_g1_i5.p1
OG0000026	Shad_tr28250_c0_g1_i3.p1	Neva_DN6538_c0_g1_i1.p1
OG0000026	Shad_tr4067_c0_g1_i2.p1	Neva_DN54339_c0_g1_i4.p1
OG0000026	Shad_tr44288_c0_g1_i3.p1	Neva_DN58514_c0_g1_i2.p1
OG0000026	Shad_tr17855_c0_g1_i1.p1	Neva_DN5205_c0_g3_i5.p1
OG0000026	Shad_tr11094_c0_g2_i7.p1	Neva_DN2756_c0_g1_i3.p1
OG0000026	Shad_tr2382_c4_g1_i1.p1	Neva_DN10785_c0_g1_i6.p1
OG0000026	Shad_tr12716_c0_g2_i3.p1	Neva_DN5361_c0_g1_i1.p1
OG0000026	Shad_tr1062_c7_g1_i1.p1	Neva_DN2252_c0_g1_i7.p1
OG0000026	Shad_tr112_c31_g1_i1.p1, Shad_tr35328_c0_g1_i2.p1	Neva_DN235_c0_g1_i2.p1, Neva_DN5148_c0_g3_i14.p1
OG0000027	Shad_tr44254_c1_g1_i1.p1	Neva_DN3016_c0_g1_i6.p1
OG0000027	Shad_tr80897_c0_g1_i1.p1	Neva_DN25354_c0_g1_i5.p1, Neva_DN732_c0_g1_i7.p1
OG0000027	Shad_tr16925_c0_g1_i1.p1	Neva_DN82699_c0_g1_i1.p1
OG0000028	Shad_tr8272_c3_g3_i1.p1	Neva_DN59442_c0_g1_i1.p1
OG0000028	Shad_tr99432_c0_g1_i1.p1, Shad_tr16010_c0_g1_i12.p1	Neva_DN17477_c0_g2_i2.p1, Neva_DN41314_c0_g1_i3.p1, Neva_DN1336_c0_g1_i1.p1
OG0000028	Shad_tr2614_c1_g1_i5.p1	Neva_DN536_c0_g1_i1.p1
OG0000028	Shad_tr25188_c0_g2_i3.p1	Neva_DN6675_c0_g1_i4.p1
OG0000028	Shad_tr29221_c1_g1_i2.p1	Neva_DN5533_c1_g2_i1.p1, Neva_DN60327_c0_g1_i1.p1, Neva_DN971_c5_g1_i10.p1
OG0000028	Shad_tr11953_c0_g1_i5.p1	Neva_DN3650_c0_g5_i1.p1
OG0000028	Shad_tr9089_c2_g1_i26.p1	Neva_DN15401_c0_g1_i3.p1
OG0000028	Shad_tr11744_c2_g1_i2.p1	Neva_DN13319_c2_g1_i3.p1
OG0000028	Shad_tr55101_c0_g1_i2.p1, Shad_tr305_c2_g1_i2.p1	Neva_DN599_c0_g1_i1.p1
OG0000028	Shad_tr26942_c0_g1_i2.p1	Neva_DN2244_c1_g1_i7.p1
OG0000028	Shad_tr16418_c0_g1_i5.p1	Neva_DN3080_c4_g1_i1.p1
OG0000029	Shad_tr20835_c0_g1_i2.p1	Neva_DN1804_c0_g1_i7.p1
OG0000029	Shad_tr21574_c0_g1_i12.p1	Neva_DN37144_c0_g2_i1.p1, Neva_DN5647_c0_g1_i10.p1
OG0000029	Shad_tr12312_c0_g2_i2.p1	Neva_DN4147_c1_g1_i1.p1
OG0000029	Shad_tr95537_c0_g1_i1.p1	Neva_DN10532_c0_g2_i2.p1
OG0000029	Shad_tr74827_c0_g1_i1.p1, Shad_tr32353_c0_g3_i2.p1	Neva_DN23101_c0_g1_i9.p1, Neva_DN5819_c0_g1_i3.p1
OG0000029	Shad_tr24561_c0_g1_i1.p1, Shad_tr15164_c0_g1_i1.p1	Neva_DN1429_c3_g1_i2.p1
OG0000029	Shad_tr26827_c0_g2_i1.p1	Neva_DN1879_c0_g1_i5.p1
OG0000030	Shad_tr2911_c0_g1_i5.p1	Neva_DN8006_c0_g1_i1.p1
OG0000030	Shad_tr11571_c2_g1_i2.p1, Shad_tr42209_c1_g1_i1.p1	Neva_DN9449_c0_g1_i5.p1
OG0000030	Shad_tr17926_c0_g2_i1.p1	Neva_DN1190_c7_g1_i1.p1
OG0000030	Shad_tr40907_c0_g1_i4.p1	Neva_DN374_c0_g2_i11.p1
OG0000030	Shad_tr19344_c0_g1_i6.p1	Neva_DN2203_c0_g1_i13.p1
OG0000030	Shad_tr3121_c0_g1_i13.p1	Neva_DN937_c0_g1_i3.p1
OG0000031	Shad_tr76797_c0_g1_i1.p1	Neva_DN148713_c0_g1_i1.p1
OG0000031	Shad_tr19208_c0_g1_i1.p1	Neva_DN80250_c1_g1_i1.p1
OG0000031	Shad_tr19004_c0_g3_i1.p1	Neva_DN63979_c1_g1_i1.p1
OG0000031	Shad_tr37005_c0_g1_i1.p1	Neva_DN121093_c0_g1_i1.p1
OG0000031	Shad_tr83610_c0_g1_i1.p1	Neva_DN19294_c0_g1_i1.p1
OG0000031	Shad_tr55087_c0_g1_i1.p1	Neva_DN136023_c0_g1_i1.p1
OG0000031	Shad_tr48816_c0_g1_i9.p1	Neva_DN478_c1_g1_i4.p1
