Orthogroup	Stichodactyla_haddoni_longest_pep	Oulactis_longest_pep
OG0000002	Shad_tr34023_c0_g1_i1.p1	Oula_DN12631_c0_g1_i8.p1
OG0000002	Shad_tr23414_c2_g2_i2.p1, Shad_tr23414_c2_g1_i2.p1	Oula_DN21167_c0_g1_i1.p1
OG0000002	Shad_tr50646_c2_g1_i1.p1	Oula_DN12664_c0_g1_i1.p1
OG0000002	Shad_tr32952_c3_g1_i6.p1	Oula_DN11819_c1_g1_i3.p1
OG0000002	Shad_tr33580_c0_g1_i5.p1, Shad_tr26509_c1_g2_i8.p1, Shad_tr58236_c0_g1_i1.p1	Oula_DN44175_c0_g3_i1.p1
OG0000003	Shad_tr8436_c2_g1_i2.p1	Oula_DN46029_c0_g1_i7.p1
OG0000003	Shad_tr16415_c2_g1_i2.p1	Oula_DN20588_c0_g1_i18.p1
OG0000003	Shad_tr8902_c1_g1_i4.p1	Oula_DN9425_c0_g1_i1.p1
OG0000003	Shad_tr31539_c0_g1_i4.p1, Shad_tr3966_c0_g5_i2.p1	Oula_DN3403_c1_g2_i1.p1
OG0000003	Shad_tr25371_c0_g1_i5.p1	Oula_DN1392_c0_g1_i6.p1
OG0000003	Shad_tr59766_c0_g1_i3.p1	Oula_DN14915_c0_g1_i16.p1
OG0000003	Shad_tr5763_c0_g1_i1.p1	Oula_DN11917_c0_g1_i5.p1
OG0000003	Shad_tr49878_c0_g1_i1.p1	Oula_DN9638_c0_g1_i1.p1
OG0000003	Shad_tr18779_c1_g1_i1.p1	Oula_DN18676_c0_g1_i8.p1
OG0000003	Shad_tr6891_c0_g1_i6.p1	Oula_DN17951_c0_g1_i18.p1
OG0000003	Shad_tr83431_c0_g1_i1.p1	Oula_DN27297_c0_g1_i2.p1
OG0000003	Shad_tr9802_c0_g1_i7.p1	Oula_DN13998_c1_g1_i5.p1
OG0000003	Shad_tr45996_c0_g1_i3.p1	Oula_DN18929_c0_g2_i2.p1, Oula_DN27297_c0_g3_i2.p1
OG0000003	Shad_tr6906_c2_g1_i6.p1	Oula_DN10978_c1_g1_i1.p1
OG0000003	Shad_tr55304_c0_g1_i6.p1	Oula_DN2756_c3_g1_i5.p1
OG0000003	Shad_tr40464_c0_g1_i2.p1	Oula_DN44731_c0_g1_i1.p1, Oula_DN30855_c0_g1_i1.p1
OG0000003	Shad_tr8779_c0_g1_i2.p1	Oula_DN1719_c1_g1_i1.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Oula_DN5879_c0_g2_i3.p1
OG0000003	Shad_tr1233_c10_g1_i4.p1	Oula_DN1183_c0_g1_i6.p1
OG0000003	Shad_tr3554_c0_g1_i19.p1	Oula_DN170_c0_g2_i3.p1
OG0000003	Shad_tr5139_c0_g1_i6.p1	Oula_DN6720_c0_g1_i2.p1
OG0000004	Shad_tr35099_c0_g2_i1.p1	Oula_DN38642_c0_g1_i1.p1
OG0000004	Shad_tr61488_c0_g1_i1.p1, Shad_tr8779_c1_g1_i6.p1, Shad_tr30202_c4_g1_i1.p1	Oula_DN46794_c0_g1_i1.p1
OG0000004	Shad_tr29184_c0_g1_i4.p1	Oula_DN29434_c0_g1_i1.p1
OG0000004	Shad_tr13145_c0_g1_i5.p1	Oula_DN42114_c0_g2_i1.p1
OG0000004	Shad_tr31569_c2_g1_i2.p1	Oula_DN42114_c0_g1_i1.p1
OG0000004	Shad_tr5957_c5_g1_i1.p1	Oula_DN24236_c0_g2_i1.p1
OG0000004	Shad_tr84438_c0_g1_i1.p1	Oula_DN34399_c0_g1_i1.p1
OG0000004	Shad_tr39747_c0_g1_i1.p1	Oula_DN48406_c0_g1_i1.p1
OG0000004	Shad_tr48353_c0_g2_i1.p1	Oula_DN33296_c0_g1_i1.p1
OG0000004	Shad_tr26996_c0_g1_i1.p2	Oula_DN45487_c0_g1_i1.p1
OG0000005	Shad_tr2801_c1_g1_i3.p1	Oula_DN10112_c0_g1_i1.p1
OG0000005	Shad_tr26927_c0_g1_i1.p1	Oula_DN16040_c0_g1_i4.p1
OG0000005	Shad_tr1418_c0_g1_i1.p1	Oula_DN4507_c0_g1_i6.p1
OG0000005	Shad_tr32859_c0_g1_i6.p1	Oula_DN27934_c0_g1_i1.p1
OG0000005	Shad_tr8716_c1_g1_i2.p1	Oula_DN26593_c0_g1_i2.p1
OG0000005	Shad_tr8718_c1_g1_i4.p1	Oula_DN31441_c0_g1_i1.p1
OG0000005	Shad_tr22240_c0_g2_i1.p1	Oula_DN14330_c0_g1_i4.p1, Oula_DN39265_c0_g1_i1.p1, Oula_DN35054_c0_g1_i1.p1
OG0000005	Shad_tr10349_c0_g2_i7.p1	Oula_DN28629_c0_g1_i1.p1
OG0000005	Shad_tr6063_c0_g1_i2.p1	Oula_DN9625_c1_g1_i1.p1
OG0000005	Shad_tr58663_c0_g2_i1.p1	Oula_DN9625_c0_g2_i2.p1
OG0000005	Shad_tr101198_c0_g1_i1.p1	Oula_DN34354_c0_g2_i1.p1
OG0000005	Shad_tr42495_c0_g1_i2.p1	Oula_DN40684_c0_g1_i1.p1
OG0000005	Shad_tr17588_c0_g1_i2.p1	Oula_DN36163_c0_g1_i5.p1
OG0000005	Shad_tr42032_c0_g1_i2.p1	Oula_DN3872_c5_g1_i1.p1
OG0000005	Shad_tr10187_c0_g1_i5.p1	Oula_DN17047_c0_g2_i1.p1
OG0000005	Shad_tr83698_c0_g1_i1.p1	Oula_DN21197_c0_g1_i1.p1
OG0000005	Shad_tr47378_c0_g1_i1.p1	Oula_DN30630_c0_g1_i7.p1, Oula_DN32144_c0_g1_i1.p1
OG0000006	Shad_tr25563_c0_g1_i5.p1, Shad_tr25563_c0_g2_i5.p1	Oula_DN5848_c0_g2_i1.p1
OG0000006	Shad_tr9525_c1_g1_i1.p1	Oula_DN1342_c0_g1_i4.p1
OG0000006	Shad_tr10117_c0_g1_i6.p1	Oula_DN20086_c1_g1_i3.p1
OG0000006	Shad_tr15712_c3_g1_i1.p1	Oula_DN6241_c0_g1_i4.p1
OG0000006	Shad_tr23838_c0_g2_i3.p3, Shad_tr53512_c0_g1_i2.p1, Shad_tr1209_c0_g4_i1.p1, Shad_tr33450_c0_g1_i11.p1, Shad_tr29428_c1_g2_i1.p1, Shad_tr78176_c0_g1_i1.p1, Shad_tr70926_c0_g1_i1.p1, Shad_tr39147_c0_g1_i1.p1, Shad_tr40187_c1_g2_i2.p1, Shad_tr19094_c1_g4_i1.p1, Shad_tr49712_c1_g2_i1.p1, Shad_tr49712_c1_g1_i1.p1, Shad_tr27316_c0_g2_i5.p1, Shad_tr22895_c0_g1_i2.p1, Shad_tr9360_c0_g2_i9.p1, Shad_tr20107_c1_g1_i9.p1, Shad_tr78274_c0_g1_i1.p1	Oula_DN14977_c0_g1_i3.p1
OG0000007	Shad_tr9482_c0_g1_i10.p1	Oula_DN26645_c1_g1_i2.p1
OG0000007	Shad_tr27395_c0_g1_i1.p1	Oula_DN25439_c0_g1_i1.p1
OG0000007	Shad_tr35237_c0_g2_i1.p1	Oula_DN16312_c1_g1_i6.p1
OG0000007	Shad_tr8688_c0_g2_i3.p1	Oula_DN6180_c0_g2_i5.p1
OG0000007	Shad_tr100866_c0_g1_i1.p1	Oula_DN41368_c0_g1_i1.p1
OG0000007	Shad_tr54756_c0_g1_i1.p1	Oula_DN26990_c0_g1_i1.p1
OG0000007	Shad_tr9775_c0_g1_i1.p1, Shad_tr64130_c0_g1_i1.p1	Oula_DN39633_c0_g1_i1.p1
OG0000007	Shad_tr15166_c2_g1_i2.p1	Oula_DN18436_c0_g2_i1.p1
OG0000007	Shad_tr17402_c0_g1_i2.p1	Oula_DN27334_c0_g1_i1.p1
OG0000008	Shad_tr15555_c0_g1_i3.p1, Shad_tr15555_c0_g3_i2.p1, Shad_tr15555_c0_g2_i1.p1	Oula_DN8490_c0_g1_i3.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Oula_DN3635_c0_g1_i1.p1
OG0000008	Shad_tr7219_c0_g1_i3.p1	Oula_DN6835_c0_g2_i4.p1
OG0000008	Shad_tr15555_c1_g3_i1.p1	Oula_DN8086_c0_g1_i6.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Oula_DN24579_c0_g1_i4.p1
OG0000008	Shad_tr19205_c0_g1_i2.p1	Oula_DN26761_c0_g1_i1.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Oula_DN7168_c0_g1_i10.p1, Oula_DN38043_c0_g2_i1.p1
OG0000008	Shad_tr8884_c0_g2_i5.p1	Oula_DN11793_c0_g1_i1.p1
OG0000008	Shad_tr6342_c0_g1_i3.p1	Oula_DN25667_c0_g1_i1.p1
OG0000009	Shad_tr40574_c0_g2_i1.p1	Oula_DN37662_c0_g1_i1.p1
OG0000009	Shad_tr46736_c0_g1_i1.p1	Oula_DN27383_c0_g1_i1.p1
OG0000009	Shad_tr15412_c2_g1_i1.p1	Oula_DN17738_c0_g1_i2.p1
OG0000009	Shad_tr27825_c0_g1_i1.p1	Oula_DN3949_c1_g1_i1.p1, Oula_DN35683_c0_g1_i4.p1
OG0000009	Shad_tr42259_c0_g1_i1.p1	Oula_DN43881_c0_g2_i2.p1
OG0000009	Shad_tr42149_c0_g1_i9.p1	Oula_DN6610_c0_g2_i1.p1
OG0000010	Shad_tr50345_c0_g1_i2.p1	Oula_DN42023_c0_g1_i1.p1
OG0000010	Shad_tr54979_c0_g1_i1.p1	Oula_DN14777_c0_g1_i5.p2
OG0000010	Shad_tr2839_c0_g2_i2.p1	Oula_DN1966_c0_g1_i1.p1
OG0000010	Shad_tr75584_c0_g1_i1.p1, Shad_tr60004_c0_g1_i1.p1	Oula_DN15005_c0_g1_i10.p1
OG0000010	Shad_tr23640_c0_g1_i1.p1	Oula_DN44017_c0_g2_i1.p1
OG0000010	Shad_tr8024_c0_g2_i6.p1	Oula_DN346_c1_g1_i3.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Oula_DN1151_c0_g1_i9.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Oula_DN14749_c0_g1_i1.p1
OG0000010	Shad_tr31771_c0_g1_i3.p1	Oula_DN14612_c0_g1_i6.p1
OG0000010	Shad_tr51748_c0_g1_i1.p1	Oula_DN13433_c0_g1_i3.p1
OG0000010	Shad_tr69948_c0_g1_i1.p1	Oula_DN24011_c0_g1_i1.p1
OG0000010	Shad_tr29233_c0_g1_i2.p1	Oula_DN48322_c0_g1_i1.p1
OG0000010	Shad_tr91861_c0_g1_i1.p1	Oula_DN11150_c0_g1_i2.p1
OG0000010	Shad_tr73_c19_g1_i3.p1	Oula_DN5117_c1_g1_i1.p1
OG0000010	Shad_tr23864_c0_g1_i1.p1	Oula_DN29015_c0_g2_i1.p1
OG0000011	Shad_tr21291_c0_g1_i1.p1	Oula_DN14303_c0_g1_i1.p1
OG0000011	Shad_tr1132_c0_g1_i13.p1	Oula_DN5035_c0_g1_i5.p1
OG0000011	Shad_tr11490_c0_g1_i3.p1	Oula_DN38563_c0_g2_i5.p1
OG0000011	Shad_tr2056_c1_g1_i5.p1	Oula_DN10019_c0_g1_i5.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Oula_DN1153_c0_g1_i3.p1
OG0000011	Shad_tr40287_c0_g1_i1.p1	Oula_DN21265_c0_g2_i1.p1
OG0000011	Shad_tr2992_c1_g5_i1.p1	Oula_DN2687_c0_g1_i3.p1
OG0000011	Shad_tr6064_c1_g1_i1.p1	Oula_DN3013_c0_g1_i5.p1
OG0000011	Shad_tr3847_c0_g1_i2.p1	Oula_DN632_c0_g1_i1.p1
OG0000011	Shad_tr12213_c0_g1_i1.p1	Oula_DN14321_c0_g1_i4.p1
OG0000011	Shad_tr11801_c0_g1_i5.p1	Oula_DN5739_c0_g2_i5.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1	Oula_DN4777_c0_g1_i9.p1
OG0000011	Shad_tr6003_c0_g1_i16.p1, Shad_tr3827_c0_g1_i11.p1, Shad_tr28266_c0_g1_i1.p1	Oula_DN9204_c0_g1_i1.p1
OG0000011	Shad_tr1481_c2_g1_i1.p1	Oula_DN558_c0_g2_i1.p1
OG0000013	Shad_tr8307_c0_g2_i6.p1	Oula_DN29573_c0_g1_i3.p1, Oula_DN8749_c0_g3_i4.p1
OG0000013	Shad_tr6482_c0_g2_i4.p1, Shad_tr18161_c0_g1_i1.p1	Oula_DN22861_c0_g1_i2.p1
OG0000013	Shad_tr8307_c0_g1_i1.p1, Shad_tr17051_c0_g2_i1.p1, Shad_tr17051_c0_g1_i3.p1, Shad_tr17051_c0_g3_i1.p1	Oula_DN3196_c0_g1_i6.p1, Oula_DN399_c0_g1_i4.p1
OG0000013	Shad_tr24875_c1_g1_i1.p1	Oula_DN14974_c0_g1_i4.p1
OG0000013	Shad_tr21099_c0_g1_i8.p1	Oula_DN1088_c0_g1_i6.p1, Oula_DN18210_c0_g1_i3.p1, Oula_DN8514_c0_g1_i10.p1, Oula_DN8514_c1_g1_i1.p1, Oula_DN20287_c0_g2_i1.p1
OG0000013	Shad_tr32404_c1_g1_i3.p1	Oula_DN600_c0_g2_i2.p1
OG0000013	Shad_tr56842_c0_g1_i1.p1	Oula_DN600_c0_g3_i1.p1, Oula_DN11496_c0_g1_i1.p1, Oula_DN30721_c0_g1_i1.p1
OG0000013	Shad_tr1935_c0_g2_i1.p1	Oula_DN21712_c0_g1_i14.p1
OG0000014	Shad_tr32849_c0_g2_i1.p1	Oula_DN27779_c0_g2_i1.p1, Oula_DN14926_c0_g1_i6.p1
OG0000014	Shad_tr57926_c0_g1_i1.p1	Oula_DN14164_c0_g1_i4.p1, Oula_DN20629_c0_g1_i9.p2
OG0000015	Shad_tr56067_c1_g1_i1.p1, Shad_tr38453_c0_g1_i1.p1	Oula_DN8254_c0_g2_i4.p1
OG0000015	Shad_tr44536_c0_g1_i4.p1, Shad_tr20550_c0_g3_i2.p1	Oula_DN27832_c0_g1_i2.p1
OG0000015	Shad_tr53130_c0_g1_i1.p1	Oula_DN11810_c0_g1_i1.p1
OG0000015	Shad_tr23092_c0_g3_i2.p1	Oula_DN16580_c0_g1_i2.p1
OG0000015	Shad_tr91068_c0_g1_i1.p1	Oula_DN10830_c0_g2_i1.p1
OG0000016	Shad_tr24544_c0_g1_i2.p1	Oula_DN28707_c0_g1_i1.p1, Oula_DN16895_c0_g1_i3.p1
OG0000016	Shad_tr35173_c0_g2_i1.p1	Oula_DN18710_c0_g2_i1.p1
OG0000016	Shad_tr30195_c0_g1_i1.p1	Oula_DN26666_c0_g1_i1.p1
OG0000016	Shad_tr20659_c0_g1_i29.p1	Oula_DN38481_c0_g1_i1.p1, Oula_DN41842_c0_g1_i1.p1, Oula_DN8262_c0_g1_i2.p1
OG0000016	Shad_tr63013_c0_g1_i1.p1	Oula_DN12926_c0_g1_i1.p2
OG0000017	Shad_tr15346_c0_g1_i1.p1	Oula_DN19517_c0_g1_i2.p1, Oula_DN41129_c2_g1_i1.p1
OG0000017	Shad_tr416_c0_g1_i4.p1	Oula_DN14431_c1_g1_i1.p2
OG0000017	Shad_tr2969_c0_g1_i1.p1, Shad_tr9561_c0_g1_i1.p1	Oula_DN18622_c0_g1_i8.p1
OG0000017	Shad_tr11364_c0_g1_i3.p2	Oula_DN13324_c0_g1_i1.p1
OG0000017	Shad_tr12711_c0_g1_i1.p2	Oula_DN25376_c0_g2_i1.p1
OG0000017	Shad_tr416_c1_g1_i8.p1, Shad_tr6710_c1_g1_i1.p1	Oula_DN12772_c0_g1_i4.p1
OG0000017	Shad_tr27028_c0_g1_i1.p1	Oula_DN30264_c0_g1_i2.p1
OG0000017	Shad_tr18443_c0_g1_i1.p1	Oula_DN28498_c0_g1_i6.p1
OG0000017	Shad_tr9313_c0_g4_i1.p1	Oula_DN11216_c0_g2_i1.p1, Oula_DN30093_c0_g1_i2.p1
OG0000017	Shad_tr30509_c0_g1_i1.p2	Oula_DN11216_c0_g3_i1.p1, Oula_DN20246_c0_g1_i1.p1
OG0000017	Shad_tr6984_c0_g3_i1.p2	Oula_DN23733_c0_g2_i1.p2
OG0000018	Shad_tr33408_c0_g1_i1.p1, Shad_tr4944_c1_g1_i16.p1	Oula_DN9109_c0_g1_i4.p1
OG0000018	Shad_tr22586_c2_g3_i1.p1	Oula_DN12691_c0_g3_i1.p1
OG0000018	Shad_tr42991_c0_g1_i10.p1	Oula_DN12691_c0_g2_i1.p1, Oula_DN12691_c0_g1_i4.p2
OG0000018	Shad_tr41369_c0_g1_i3.p1, Shad_tr40675_c0_g1_i2.p1	Oula_DN4854_c0_g1_i1.p1
OG0000018	Shad_tr36296_c0_g1_i3.p1	Oula_DN1989_c0_g1_i5.p1
OG0000018	Shad_tr21895_c0_g1_i19.p1, Shad_tr4352_c1_g1_i6.p1	Oula_DN5180_c0_g1_i1.p1
OG0000018	Shad_tr108593_c0_g1_i1.p1	Oula_DN26698_c0_g2_i3.p1
OG0000018	Shad_tr44625_c0_g1_i1.p1, Shad_tr34599_c0_g2_i1.p1	Oula_DN3753_c0_g1_i2.p1
OG0000018	Shad_tr177_c0_g1_i2.p1	Oula_DN4613_c0_g1_i1.p1
OG0000019	Shad_tr23296_c0_g1_i3.p1	Oula_DN26984_c0_g1_i4.p1
OG0000019	Shad_tr11011_c1_g1_i8.p1	Oula_DN9655_c0_g1_i1.p1
OG0000019	Shad_tr29516_c3_g1_i10.p1	Oula_DN11873_c0_g1_i3.p1
OG0000019	Shad_tr76303_c0_g1_i1.p1	Oula_DN43369_c0_g1_i1.p1
OG0000019	Shad_tr96139_c0_g1_i1.p1	Oula_DN31603_c0_g2_i1.p1
OG0000019	Shad_tr19126_c1_g1_i1.p1	Oula_DN41483_c0_g1_i1.p1
OG0000019	Shad_tr50567_c3_g1_i1.p1, Shad_tr28512_c2_g3_i1.p2	Oula_DN2363_c0_g3_i1.p1
OG0000020	Shad_tr20558_c0_g1_i2.p1	Oula_DN17828_c0_g1_i6.p1
OG0000020	Shad_tr6108_c0_g1_i14.p1	Oula_DN1679_c0_g1_i4.p1
OG0000020	Shad_tr4487_c0_g2_i2.p1	Oula_DN9055_c0_g1_i2.p1
OG0000020	Shad_tr4487_c0_g1_i2.p1	Oula_DN13455_c0_g1_i7.p1
OG0000020	Shad_tr30308_c0_g1_i14.p1	Oula_DN13998_c0_g1_i4.p1
OG0000020	Shad_tr21849_c0_g1_i2.p1	Oula_DN37011_c0_g1_i2.p1, Oula_DN14320_c0_g1_i2.p1
OG0000020	Shad_tr17595_c0_g1_i1.p1	Oula_DN14715_c0_g1_i2.p1
OG0000020	Shad_tr12863_c2_g1_i1.p1	Oula_DN32788_c0_g1_i1.p1
OG0000020	Shad_tr19820_c0_g2_i5.p1	Oula_DN21252_c0_g2_i1.p1
OG0000020	Shad_tr10844_c0_g1_i2.p1	Oula_DN24238_c0_g2_i3.p1
OG0000020	Shad_tr44275_c0_g2_i3.p1	Oula_DN18103_c0_g1_i4.p1
OG0000020	Shad_tr9299_c0_g1_i16.p1	Oula_DN12420_c0_g1_i6.p1
OG0000020	Shad_tr16412_c1_g1_i1.p1	Oula_DN4434_c0_g1_i12.p1
OG0000022	Shad_tr47011_c0_g1_i1.p1	Oula_DN33894_c0_g3_i1.p1
OG0000022	Shad_tr6315_c0_g1_i11.p1	Oula_DN41166_c0_g3_i1.p1
OG0000022	Shad_tr16040_c0_g1_i2.p1	Oula_DN39156_c0_g2_i1.p1
OG0000022	Shad_tr33937_c0_g1_i2.p1	Oula_DN44251_c0_g1_i1.p1
OG0000022	Shad_tr4965_c0_g1_i1.p1	Oula_DN11573_c0_g1_i2.p1
OG0000022	Shad_tr10152_c0_g1_i5.p1	Oula_DN11029_c0_g2_i2.p1
OG0000022	Shad_tr51852_c1_g1_i1.p1	Oula_DN6290_c0_g2_i1.p1
OG0000022	Shad_tr28775_c0_g1_i5.p1	Oula_DN6378_c0_g1_i2.p1
OG0000022	Shad_tr56942_c0_g3_i1.p1	Oula_DN33607_c0_g1_i1.p1
OG0000023	Shad_tr55330_c0_g1_i1.p1	Oula_DN13444_c2_g1_i1.p1
OG0000023	Shad_tr30783_c0_g2_i1.p1, Shad_tr9054_c0_g1_i4.p1	Oula_DN3653_c0_g1_i7.p1, Oula_DN9793_c0_g1_i1.p1
OG0000023	Shad_tr6542_c0_g2_i5.p1	Oula_DN14008_c0_g1_i5.p1
OG0000023	Shad_tr33176_c0_g1_i6.p1	Oula_DN2838_c0_g1_i7.p1
OG0000023	Shad_tr10760_c0_g1_i6.p1	Oula_DN34686_c0_g3_i1.p1
OG0000023	Shad_tr36512_c1_g2_i3.p1	Oula_DN17851_c0_g2_i1.p1
OG0000023	Shad_tr13538_c2_g1_i2.p1	Oula_DN17851_c1_g1_i9.p1
OG0000023	Shad_tr20068_c3_g1_i1.p1	Oula_DN36485_c0_g2_i1.p1
OG0000023	Shad_tr81378_c0_g1_i1.p1	Oula_DN19978_c0_g1_i1.p1
OG0000023	Shad_tr7480_c0_g1_i7.p1	Oula_DN7555_c2_g1_i6.p1
OG0000023	Shad_tr27564_c0_g1_i7.p1	Oula_DN5519_c0_g1_i12.p1
OG0000023	Shad_tr8246_c0_g1_i13.p1	Oula_DN14084_c0_g1_i3.p1, Oula_DN8941_c0_g3_i1.p1
OG0000023	Shad_tr32011_c0_g1_i2.p1, Shad_tr923_c0_g1_i48.p1	Oula_DN4890_c0_g1_i2.p1
OG0000023	Shad_tr20249_c0_g2_i4.p1	Oula_DN11563_c0_g1_i8.p1
OG0000023	Shad_tr16661_c0_g1_i2.p1	Oula_DN35663_c0_g2_i1.p1
OG0000023	Shad_tr16279_c1_g1_i5.p1	Oula_DN1628_c1_g1_i2.p1
OG0000024	Shad_tr95185_c0_g1_i1.p1, Shad_tr114594_c0_g1_i1.p1	Oula_DN38113_c0_g1_i1.p1
OG0000024	Shad_tr23702_c0_g1_i2.p1	Oula_DN12885_c0_g1_i1.p1
OG0000024	Shad_tr58302_c0_g1_i1.p1, Shad_tr58302_c0_g2_i1.p1	Oula_DN29817_c0_g2_i1.p1, Oula_DN27734_c0_g2_i1.p1
OG0000025	Shad_tr114414_c0_g1_i1.p1	Oula_DN24047_c0_g1_i1.p1, Oula_DN39259_c0_g1_i1.p1
OG0000025	Shad_tr18197_c1_g1_i7.p1	Oula_DN38194_c0_g1_i1.p1
