Orthogroup	Stichodactyla_haddoni_longest_pep	Heteractic_macgnifica_longest_pep
OG0000000	Shad_tr34516_c0_g1_i2.p1	Hmag_tr71969_c0_g1_i1.p1
OG0000000	Shad_tr110354_c0_g1_i1.p1	Hmag_tr85373_c0_g1_i1.p1
OG0000000	Shad_tr9207_c0_g1_i10.p1	Hmag_tr17203_c0_g1_i10.p1, Hmag_tr7616_c0_g2_i7.p1
OG0000000	Shad_tr3849_c0_g1_i12.p1	Hmag_tr4453_c3_g1_i5.p1
OG0000000	Shad_tr11002_c1_g3_i1.p1, Shad_tr15362_c3_g1_i1.p1, Shad_tr98077_c0_g1_i1.p1	Hmag_tr573_c8_g1_i10.p1
OG0000000	Shad_tr19238_c1_g1_i4.p1	Hmag_tr17252_c0_g1_i12.p2
OG0000000	Shad_tr11061_c0_g1_i2.p1	Hmag_tr58706_c0_g1_i1.p1, Hmag_tr26821_c1_g5_i1.p1
OG0000000	Shad_tr74833_c0_g1_i1.p1, Shad_tr80135_c0_g1_i1.p1	Hmag_tr26877_c0_g3_i2.p1
OG0000000	Shad_tr50515_c0_g1_i7.p1	Hmag_tr46316_c1_g1_i1.p1
OG0000000	Shad_tr29962_c0_g2_i1.p1	Hmag_tr77691_c0_g1_i1.p1, Hmag_tr150_c0_g3_i5.p1
OG0000000	Shad_tr27031_c0_g2_i4.p1	Hmag_tr104958_c0_g1_i1.p1
OG0000000	Shad_tr8644_c2_g1_i1.p1	Hmag_tr31911_c0_g1_i3.p1
OG0000000	Shad_tr94573_c0_g1_i1.p1	Hmag_tr74879_c0_g1_i1.p1
OG0000001	Shad_tr34745_c1_g1_i1.p1	Hmag_tr45096_c0_g1_i4.p1
OG0000001	Shad_tr40070_c0_g1_i3.p1	Hmag_tr3173_c0_g1_i6.p1
OG0000001	Shad_tr76209_c0_g1_i1.p1, Shad_tr35209_c0_g1_i19.p1, Shad_tr35209_c1_g1_i1.p1, Shad_tr56097_c0_g1_i1.p1	Hmag_tr78072_c0_g1_i1.p1
OG0000001	Shad_tr20453_c0_g2_i1.p1	Hmag_tr47230_c0_g2_i1.p1
OG0000001	Shad_tr20453_c0_g1_i2.p1	Hmag_tr47230_c0_g1_i1.p1
OG0000001	Shad_tr9780_c0_g1_i12.p1	Hmag_tr32972_c0_g1_i4.p1
OG0000001	Shad_tr37417_c0_g2_i1.p1	Hmag_tr66366_c0_g1_i1.p1, Hmag_tr62055_c0_g1_i1.p1
OG0000001	Shad_tr49780_c0_g1_i1.p1	Hmag_tr4818_c2_g1_i1.p1
OG0000001	Shad_tr80875_c0_g1_i1.p1	Hmag_tr15214_c1_g1_i3.p1
OG0000001	Shad_tr14305_c0_g1_i11.p1	Hmag_tr23156_c0_g1_i1.p1
OG0000001	Shad_tr62708_c0_g1_i1.p1	Hmag_tr85744_c0_g1_i1.p1
OG0000001	Shad_tr42064_c0_g1_i1.p1	Hmag_tr41372_c0_g3_i1.p1
OG0000001	Shad_tr34383_c0_g1_i3.p1, Shad_tr34383_c0_g2_i1.p1, Shad_tr6850_c1_g1_i17.p1, Shad_tr3982_c0_g1_i4.p1	Hmag_tr15309_c0_g1_i5.p1
OG0000001	Shad_tr16600_c0_g1_i2.p1	Hmag_tr647_c0_g1_i3.p1
OG0000001	Shad_tr4273_c0_g1_i6.p1	Hmag_tr53126_c0_g1_i1.p1
OG0000001	Shad_tr8639_c1_g1_i2.p1	Hmag_tr18865_c1_g2_i1.p1
OG0000001	Shad_tr12332_c0_g1_i14.p1	Hmag_tr74722_c0_g1_i1.p1
OG0000001	Shad_tr27881_c0_g1_i1.p1	Hmag_tr22046_c0_g1_i3.p1
OG0000001	Shad_tr3453_c0_g1_i10.p1	Hmag_tr10269_c1_g1_i1.p1
OG0000001	Shad_tr40605_c0_g2_i1.p1	Hmag_tr3299_c4_g1_i1.p1, Hmag_tr69267_c0_g1_i1.p1
OG0000001	Shad_tr98115_c0_g1_i1.p1	Hmag_tr69968_c0_g1_i1.p1
OG0000001	Shad_tr2154_c10_g1_i10.p1	Hmag_tr1459_c0_g2_i1.p1
OG0000001	Shad_tr46277_c0_g1_i1.p1	Hmag_tr12608_c0_g1_i1.p1, Hmag_tr7491_c0_g1_i12.p1
OG0000001	Shad_tr54231_c0_g1_i1.p1	Hmag_tr53929_c0_g1_i1.p1
OG0000001	Shad_tr4472_c1_g1_i3.p1	Hmag_tr27877_c0_g1_i1.p1
OG0000001	Shad_tr42064_c0_g2_i1.p1	Hmag_tr22276_c0_g1_i4.p1, Hmag_tr11132_c0_g1_i1.p1, Hmag_tr59698_c0_g1_i2.p1
OG0000001	Shad_tr62603_c0_g1_i1.p1, Shad_tr108137_c0_g1_i1.p1	Hmag_tr91018_c0_g1_i1.p1
OG0000001	Shad_tr41377_c0_g1_i1.p1	Hmag_tr2338_c1_g1_i1.p1
OG0000001	Shad_tr34781_c0_g1_i1.p1	Hmag_tr41238_c0_g1_i3.p1
OG0000001	Shad_tr76721_c0_g1_i1.p1	Hmag_tr34746_c0_g3_i1.p1
OG0000001	Shad_tr24298_c0_g1_i20.p1	Hmag_tr37519_c1_g3_i1.p1
OG0000001	Shad_tr86078_c0_g1_i1.p1, Shad_tr43722_c1_g1_i1.p1	Hmag_tr77894_c0_g1_i1.p1
OG0000001	Shad_tr65729_c0_g1_i1.p1	Hmag_tr50295_c0_g1_i1.p1
OG0000001	Shad_tr37216_c0_g1_i1.p2	Hmag_tr49119_c0_g1_i1.p1
OG0000001	Shad_tr30555_c0_g1_i1.p1, Shad_tr4709_c0_g1_i24.p1	Hmag_tr38410_c0_g1_i1.p1
OG0000001	Shad_tr68933_c0_g1_i1.p2	Hmag_tr65061_c0_g1_i1.p1, Hmag_tr39417_c0_g1_i2.p1, Hmag_tr25423_c0_g2_i2.p1
OG0000001	Shad_tr13620_c0_g1_i13.p1	Hmag_tr18865_c1_g1_i6.p1
OG0000001	Shad_tr91562_c0_g1_i1.p1	Hmag_tr4768_c0_g1_i11.p1
OG0000001	Shad_tr4222_c0_g1_i10.p1	Hmag_tr10802_c0_g2_i2.p1
OG0000001	Shad_tr87163_c0_g1_i1.p1	Hmag_tr40247_c0_g1_i1.p1
OG0000002	Shad_tr111782_c0_g1_i1.p2	Hmag_tr42370_c0_g1_i4.p1
OG0000002	Shad_tr12224_c1_g1_i3.p1	Hmag_tr6077_c0_g3_i1.p1
OG0000002	Shad_tr14609_c0_g4_i1.p1, Shad_tr23414_c0_g1_i5.p1	Hmag_tr1252_c3_g1_i1.p1
OG0000002	Shad_tr9985_c1_g1_i1.p1	Hmag_tr18418_c1_g2_i2.p1
OG0000002	Shad_tr37065_c1_g1_i10.p1, Shad_tr33413_c0_g1_i1.p1	Hmag_tr15128_c0_g1_i4.p1
OG0000002	Shad_tr47644_c0_g1_i1.p2	Hmag_tr33100_c0_g1_i1.p1
OG0000002	Shad_tr12224_c0_g1_i5.p1	Hmag_tr49954_c0_g2_i4.p1
OG0000002	Shad_tr17959_c1_g1_i7.p1	Hmag_tr44481_c0_g1_i1.p1
OG0000002	Shad_tr4496_c1_g1_i1.p1	Hmag_tr9744_c0_g1_i7.p1, Hmag_tr6077_c0_g1_i1.p1
OG0000002	Shad_tr9027_c1_g2_i1.p1	Hmag_tr104157_c0_g1_i1.p1
OG0000002	Shad_tr77520_c0_g1_i1.p1, Shad_tr80294_c0_g1_i1.p1	Hmag_tr34180_c1_g2_i1.p1
OG0000002	Shad_tr16090_c0_g2_i1.p1	Hmag_tr64659_c0_g1_i1.p1
OG0000002	Shad_tr12531_c1_g1_i2.p1	Hmag_tr6509_c0_g1_i1.p1
OG0000002	Shad_tr50306_c0_g1_i2.p1	Hmag_tr6639_c0_g1_i2.p1
OG0000002	Shad_tr20877_c0_g1_i2.p1	Hmag_tr790_c2_g1_i1.p2
OG0000002	Shad_tr12484_c0_g1_i21.p1	Hmag_tr37704_c1_g1_i1.p1
OG0000002	Shad_tr12774_c0_g2_i2.p1	Hmag_tr59298_c0_g1_i1.p1
OG0000002	Shad_tr72127_c0_g1_i1.p1	Hmag_tr32131_c0_g1_i1.p1, Hmag_tr86739_c0_g1_i1.p1
OG0000002	Shad_tr100500_c0_g1_i3.p1	Hmag_tr36374_c0_g2_i2.p1, Hmag_tr71045_c0_g1_i1.p1
OG0000002	Shad_tr53113_c1_g1_i1.p1	Hmag_tr8479_c2_g1_i1.p1
OG0000002	Shad_tr22233_c0_g1_i6.p1	Hmag_tr95949_c0_g1_i1.p1
OG0000002	Shad_tr20065_c0_g1_i14.p1	Hmag_tr31410_c0_g2_i2.p1
OG0000002	Shad_tr5653_c0_g1_i3.p1	Hmag_tr92237_c0_g1_i1.p1
OG0000002	Shad_tr34023_c0_g1_i1.p1	Hmag_tr21126_c0_g2_i1.p1
OG0000002	Shad_tr33251_c1_g1_i2.p1	Hmag_tr4252_c1_g1_i10.p1
OG0000002	Shad_tr9407_c0_g1_i12.p1	Hmag_tr16565_c0_g2_i1.p1
OG0000002	Shad_tr17594_c0_g1_i9.p1	Hmag_tr32318_c0_g2_i2.p1
OG0000002	Shad_tr16225_c0_g1_i1.p1	Hmag_tr2596_c0_g1_i16.p1
OG0000002	Shad_tr34051_c0_g1_i3.p1	Hmag_tr4083_c0_g1_i13.p1
OG0000002	Shad_tr12274_c0_g2_i3.p1	Hmag_tr33224_c0_g2_i1.p1
OG0000002	Shad_tr25036_c0_g1_i5.p1	Hmag_tr21687_c1_g1_i2.p1
OG0000002	Shad_tr23414_c2_g1_i2.p1	Hmag_tr22959_c0_g1_i3.p1
OG0000002	Shad_tr3482_c0_g2_i5.p1	Hmag_tr21406_c4_g1_i2.p1
OG0000002	Shad_tr50646_c2_g1_i1.p1	Hmag_tr640_c0_g2_i2.p1
OG0000002	Shad_tr7064_c0_g1_i4.p1	Hmag_tr37921_c0_g1_i12.p1
OG0000002	Shad_tr30264_c1_g2_i6.p1	Hmag_tr98597_c0_g1_i1.p1
OG0000002	Shad_tr34248_c0_g2_i1.p1	Hmag_tr1414_c2_g1_i1.p1
OG0000002	Shad_tr82702_c0_g1_i1.p1	Hmag_tr78185_c0_g1_i1.p1
OG0000002	Shad_tr47022_c0_g1_i5.p1	Hmag_tr30554_c0_g1_i3.p1
OG0000002	Shad_tr51628_c1_g1_i1.p1	Hmag_tr29933_c3_g2_i1.p1
OG0000002	Shad_tr24968_c2_g1_i4.p1	Hmag_tr23151_c0_g2_i4.p1
OG0000002	Shad_tr34474_c1_g1_i2.p1	Hmag_tr11843_c0_g1_i29.p1
OG0000002	Shad_tr20124_c0_g1_i3.p1	Hmag_tr10806_c0_g1_i1.p1
OG0000002	Shad_tr7283_c0_g1_i12.p1	Hmag_tr3010_c1_g1_i10.p1
OG0000002	Shad_tr4412_c9_g1_i2.p1	Hmag_tr39489_c0_g1_i1.p1
OG0000002	Shad_tr16243_c0_g1_i8.p1	Hmag_tr7528_c0_g1_i10.p1
OG0000002	Shad_tr38188_c0_g2_i2.p1	Hmag_tr4869_c1_g1_i4.p1
OG0000002	Shad_tr44395_c0_g1_i1.p1	Hmag_tr18109_c0_g1_i1.p1
OG0000002	Shad_tr33580_c0_g1_i5.p1	Hmag_tr14440_c2_g1_i1.p1
OG0000002	Shad_tr26509_c1_g2_i8.p1	Hmag_tr34052_c0_g1_i2.p1
OG0000002	Shad_tr58236_c0_g1_i1.p1	Hmag_tr93610_c0_g1_i1.p1
OG0000002	Shad_tr35093_c0_g1_i1.p1, Shad_tr16001_c2_g1_i5.p1	Hmag_tr9166_c0_g1_i4.p1
OG0000002	Shad_tr9740_c0_g2_i2.p1, Shad_tr16063_c0_g1_i12.p1, Shad_tr149_c1_g1_i1.p1	Hmag_tr43548_c0_g2_i1.p1
OG0000003	Shad_tr22800_c0_g1_i2.p1	Hmag_tr6993_c2_g1_i1.p1
OG0000003	Shad_tr8436_c2_g1_i2.p1	Hmag_tr7177_c0_g3_i2.p1
OG0000003	Shad_tr16415_c2_g1_i2.p1	Hmag_tr13443_c1_g1_i6.p1
OG0000003	Shad_tr8902_c1_g1_i4.p1	Hmag_tr26035_c0_g1_i3.p1
OG0000003	Shad_tr3966_c0_g5_i2.p1	Hmag_tr6993_c0_g1_i5.p1
OG0000003	Shad_tr25371_c0_g1_i5.p1	Hmag_tr12925_c0_g2_i3.p1
OG0000003	Shad_tr19223_c0_g1_i7.p1	Hmag_tr21061_c0_g3_i4.p1
OG0000003	Shad_tr59766_c0_g1_i3.p1	Hmag_tr23081_c0_g3_i1.p1
OG0000003	Shad_tr5763_c0_g1_i1.p1	Hmag_tr11864_c0_g1_i6.p1
OG0000003	Shad_tr28801_c0_g1_i11.p1	Hmag_tr26830_c0_g2_i1.p1
OG0000003	Shad_tr49878_c0_g1_i1.p1	Hmag_tr1238_c0_g1_i6.p1
OG0000003	Shad_tr18779_c1_g1_i1.p1	Hmag_tr1238_c0_g2_i1.p1
OG0000003	Shad_tr20771_c0_g2_i3.p1, Shad_tr33650_c0_g1_i3.p1	Hmag_tr7177_c0_g5_i1.p1
OG0000003	Shad_tr6891_c0_g1_i6.p1	Hmag_tr2202_c0_g1_i3.p1
OG0000003	Shad_tr83431_c0_g1_i1.p1	Hmag_tr1238_c1_g2_i1.p1
OG0000003	Shad_tr9802_c0_g1_i7.p1	Hmag_tr8125_c0_g1_i3.p1
OG0000003	Shad_tr45996_c0_g1_i3.p1	Hmag_tr20308_c0_g4_i3.p1
OG0000003	Shad_tr10811_c0_g1_i12.p1	Hmag_tr1238_c1_g1_i1.p1
OG0000003	Shad_tr6906_c2_g1_i6.p1	Hmag_tr1534_c1_g2_i3.p1
OG0000003	Shad_tr55304_c0_g1_i6.p1	Hmag_tr2902_c1_g1_i4.p1
OG0000003	Shad_tr12109_c0_g1_i9.p1	Hmag_tr15158_c0_g1_i3.p1
OG0000003	Shad_tr40464_c0_g1_i2.p1	Hmag_tr30261_c0_g1_i2.p1, Hmag_tr103638_c0_g1_i1.p1
OG0000003	Shad_tr8779_c0_g1_i2.p1	Hmag_tr17467_c1_g1_i2.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Hmag_tr10296_c0_g1_i3.p1
OG0000003	Shad_tr1233_c10_g1_i4.p1	Hmag_tr6742_c0_g1_i50.p1
OG0000003	Shad_tr3554_c0_g1_i19.p1	Hmag_tr8579_c2_g1_i1.p1
OG0000003	Shad_tr5139_c0_g1_i6.p1	Hmag_tr5674_c1_g1_i2.p1
OG0000004	Shad_tr97815_c0_g1_i1.p1	Hmag_tr47231_c0_g1_i1.p1
OG0000004	Shad_tr110442_c0_g1_i1.p1	Hmag_tr59511_c0_g1_i1.p1
OG0000004	Shad_tr35099_c0_g2_i1.p1	Hmag_tr43712_c0_g1_i1.p1
OG0000004	Shad_tr37267_c0_g1_i1.p1	Hmag_tr81533_c0_g1_i1.p1
OG0000004	Shad_tr12330_c2_g1_i14.p2	Hmag_tr19641_c2_g1_i1.p1, Hmag_tr26269_c1_g1_i1.p1
OG0000004	Shad_tr101840_c0_g1_i1.p2	Hmag_tr74735_c0_g1_i1.p1
OG0000004	Shad_tr52676_c0_g1_i1.p1, Shad_tr95332_c0_g1_i1.p1	Hmag_tr97513_c0_g1_i1.p1
OG0000004	Shad_tr103801_c0_g1_i1.p1, Shad_tr58881_c0_g1_i1.p1	Hmag_tr65273_c0_g1_i1.p1
OG0000004	Shad_tr100286_c0_g1_i1.p1	Hmag_tr41116_c0_g1_i1.p1, Hmag_tr53230_c0_g2_i1.p1
OG0000004	Shad_tr2118_c6_g1_i1.p1	Hmag_tr30241_c0_g1_i1.p1
OG0000004	Shad_tr42245_c0_g2_i1.p1	Hmag_tr42052_c0_g1_i1.p1
OG0000004	Shad_tr51188_c0_g1_i2.p1	Hmag_tr85185_c0_g1_i2.p1
OG0000004	Shad_tr16913_c2_g1_i1.p1	Hmag_tr36469_c0_g1_i14.p1
OG0000004	Shad_tr61488_c0_g1_i1.p1	Hmag_tr37137_c0_g1_i1.p1
OG0000004	Shad_tr8779_c1_g1_i6.p1, Shad_tr30202_c4_g1_i1.p1	Hmag_tr96903_c0_g1_i1.p1
OG0000004	Shad_tr65099_c0_g1_i1.p1	Hmag_tr86201_c0_g1_i1.p1
OG0000004	Shad_tr29184_c0_g1_i4.p1	Hmag_tr16356_c2_g2_i4.p1, Hmag_tr34450_c0_g1_i1.p1
OG0000004	Shad_tr13145_c0_g1_i5.p1	Hmag_tr63166_c0_g1_i1.p1, Hmag_tr33311_c0_g1_i1.p1
OG0000004	Shad_tr5957_c5_g1_i1.p1	Hmag_tr12441_c3_g1_i1.p1
OG0000004	Shad_tr115020_c0_g1_i1.p1, Shad_tr108642_c0_g1_i1.p1, Shad_tr47398_c0_g1_i2.p1	Hmag_tr65290_c0_g1_i1.p1
OG0000004	Shad_tr51462_c0_g1_i1.p1	Hmag_tr73270_c0_g1_i1.p1
OG0000004	Shad_tr25680_c0_g1_i1.p1	Hmag_tr75581_c0_g1_i1.p1
OG0000004	Shad_tr84438_c0_g1_i1.p1, Shad_tr34042_c0_g1_i1.p1	Hmag_tr40054_c1_g1_i3.p1
OG0000004	Shad_tr39747_c0_g1_i1.p1	Hmag_tr99479_c0_g1_i1.p1
OG0000004	Shad_tr30691_c2_g1_i1.p1, Shad_tr60448_c0_g1_i2.p1, Shad_tr33235_c0_g1_i1.p1, Shad_tr48353_c0_g2_i1.p1	Hmag_tr13743_c0_g1_i8.p1
OG0000004	Shad_tr5661_c3_g1_i1.p1	Hmag_tr32699_c0_g2_i1.p1
OG0000004	Shad_tr25380_c0_g1_i1.p1	Hmag_tr36010_c0_g1_i1.p1
OG0000004	Shad_tr27205_c1_g1_i1.p1	Hmag_tr97811_c0_g1_i1.p1, Hmag_tr27818_c0_g1_i1.p1
OG0000004	Shad_tr13166_c1_g1_i1.p1	Hmag_tr42092_c0_g3_i1.p1
OG0000004	Shad_tr17085_c0_g1_i15.p1	Hmag_tr7858_c0_g1_i11.p1
OG0000004	Shad_tr24789_c1_g1_i10.p1	Hmag_tr81490_c0_g1_i2.p1, Hmag_tr97292_c0_g1_i1.p1
OG0000004	Shad_tr13166_c0_g1_i13.p1	Hmag_tr42092_c0_g1_i1.p1
OG0000004	Shad_tr38415_c0_g1_i1.p1	Hmag_tr59087_c0_g1_i1.p1
OG0000004	Shad_tr21522_c2_g1_i1.p1	Hmag_tr52378_c0_g1_i1.p2, Hmag_tr90693_c0_g1_i1.p1
OG0000004	Shad_tr32115_c0_g1_i1.p1	Hmag_tr63322_c0_g1_i1.p1
OG0000004	Shad_tr53272_c0_g1_i1.p1	Hmag_tr69527_c0_g1_i1.p1
OG0000004	Shad_tr45077_c0_g1_i1.p1	Hmag_tr4727_c0_g1_i12.p1
OG0000004	Shad_tr14565_c0_g1_i2.p1, Shad_tr8698_c1_g1_i2.p1, Shad_tr5965_c3_g1_i1.p1, Shad_tr26822_c2_g1_i1.p1	Hmag_tr16568_c1_g1_i2.p1
OG0000004	Shad_tr43473_c0_g1_i1.p1	Hmag_tr74835_c0_g1_i1.p1
OG0000004	Shad_tr32114_c1_g1_i7.p1	Hmag_tr30751_c0_g1_i1.p1, Hmag_tr9354_c1_g1_i1.p1
OG0000004	Shad_tr28510_c0_g1_i1.p1	Hmag_tr94130_c0_g1_i1.p1
OG0000005	Shad_tr2801_c1_g1_i3.p1	Hmag_tr21460_c0_g2_i1.p1
OG0000005	Shad_tr26927_c0_g1_i1.p1	Hmag_tr51724_c0_g1_i1.p1
OG0000005	Shad_tr1418_c0_g1_i1.p1	Hmag_tr4094_c0_g1_i1.p1
OG0000005	Shad_tr54580_c0_g1_i1.p1	Hmag_tr96262_c0_g1_i1.p1
OG0000005	Shad_tr8718_c1_g1_i4.p1	Hmag_tr3360_c1_g1_i1.p1
OG0000005	Shad_tr22240_c0_g2_i1.p1	Hmag_tr21655_c0_g1_i5.p1, Hmag_tr33636_c1_g1_i1.p1
OG0000005	Shad_tr10349_c0_g2_i7.p1	Hmag_tr77183_c0_g1_i1.p1
OG0000005	Shad_tr58663_c0_g2_i1.p1	Hmag_tr11476_c0_g1_i11.p1
OG0000005	Shad_tr42495_c0_g1_i2.p1	Hmag_tr22451_c0_g1_i1.p1
OG0000005	Shad_tr17588_c0_g1_i2.p1	Hmag_tr19800_c0_g1_i3.p1
OG0000005	Shad_tr42032_c0_g1_i2.p1	Hmag_tr42551_c0_g1_i1.p1
OG0000006	Shad_tr31728_c0_g1_i2.p1	Hmag_tr68140_c0_g1_i1.p1
OG0000006	Shad_tr18468_c0_g1_i1.p1	Hmag_tr9073_c0_g1_i4.p1, Hmag_tr7792_c0_g1_i2.p1
OG0000006	Shad_tr2850_c1_g1_i1.p1	Hmag_tr50017_c1_g1_i5.p1, Hmag_tr485_c7_g1_i3.p1
OG0000006	Shad_tr25557_c0_g2_i1.p1	Hmag_tr31233_c0_g1_i1.p1
OG0000006	Shad_tr39147_c1_g1_i1.p1	Hmag_tr63218_c0_g1_i2.p1
OG0000006	Shad_tr10663_c1_g2_i2.p1	Hmag_tr21366_c1_g1_i3.p1
OG0000006	Shad_tr43877_c1_g1_i3.p1	Hmag_tr31417_c0_g1_i1.p1
OG0000006	Shad_tr13578_c0_g1_i1.p1	Hmag_tr15601_c0_g1_i5.p1
OG0000006	Shad_tr9525_c1_g1_i1.p1	Hmag_tr46880_c0_g1_i3.p1
OG0000006	Shad_tr16953_c0_g1_i5.p1	Hmag_tr314_c0_g1_i21.p1
OG0000006	Shad_tr13326_c1_g2_i7.p1	Hmag_tr31134_c0_g1_i4.p1
OG0000006	Shad_tr31511_c0_g1_i1.p1	Hmag_tr33505_c6_g1_i2.p2
OG0000006	Shad_tr23838_c0_g2_i3.p3, Shad_tr53512_c0_g1_i2.p1	Hmag_tr18122_c0_g2_i1.p1
OG0000006	Shad_tr29428_c1_g2_i1.p1, Shad_tr78176_c0_g1_i1.p1, Shad_tr70926_c0_g1_i1.p1	Hmag_tr73613_c0_g1_i1.p1
OG0000006	Shad_tr39147_c0_g1_i1.p1	Hmag_tr57148_c0_g1_i1.p3, Hmag_tr24020_c4_g1_i1.p1
OG0000006	Shad_tr40187_c1_g2_i2.p1, Shad_tr19094_c1_g4_i1.p1	Hmag_tr71852_c0_g1_i1.p1
OG0000006	Shad_tr49712_c1_g2_i1.p1, Shad_tr49712_c1_g1_i1.p1	Hmag_tr109_c4_g1_i3.p1
OG0000006	Shad_tr27316_c0_g2_i5.p1	Hmag_tr91057_c0_g1_i3.p1
OG0000006	Shad_tr22895_c0_g1_i2.p1	Hmag_tr11701_c0_g2_i6.p1
OG0000006	Shad_tr9360_c0_g2_i9.p1	Hmag_tr27877_c0_g2_i1.p1, Hmag_tr53630_c3_g1_i1.p1
OG0000006	Shad_tr20107_c1_g1_i9.p1	Hmag_tr22921_c0_g1_i5.p1, Hmag_tr93392_c0_g1_i1.p1, Hmag_tr41581_c0_g1_i1.p1, Hmag_tr35770_c0_g2_i4.p1
OG0000006	Shad_tr78274_c0_g1_i1.p1	Hmag_tr49206_c0_g1_i3.p1, Hmag_tr3360_c5_g1_i11.p1
OG0000007	Shad_tr114196_c0_g1_i1.p1	Hmag_tr13572_c2_g1_i2.p1, Hmag_tr49378_c0_g1_i1.p1
OG0000007	Shad_tr112002_c0_g1_i1.p1	Hmag_tr2862_c2_g1_i1.p1
OG0000007	Shad_tr16025_c0_g1_i1.p1	Hmag_tr93652_c0_g1_i1.p1
OG0000007	Shad_tr27395_c0_g1_i1.p1	Hmag_tr37796_c0_g1_i5.p1
OG0000007	Shad_tr2749_c1_g2_i1.p1	Hmag_tr27909_c0_g2_i2.p1
OG0000007	Shad_tr2749_c1_g1_i1.p1	Hmag_tr27909_c0_g3_i1.p1
OG0000007	Shad_tr35237_c0_g2_i1.p1	Hmag_tr21102_c1_g1_i3.p1
OG0000007	Shad_tr87403_c0_g1_i1.p1	Hmag_tr22654_c2_g2_i1.p1
OG0000007	Shad_tr8688_c0_g2_i3.p1	Hmag_tr14562_c0_g2_i1.p1
OG0000007	Shad_tr51167_c0_g1_i1.p1	Hmag_tr66188_c0_g1_i1.p1
OG0000007	Shad_tr11126_c0_g1_i4.p1	Hmag_tr13572_c0_g3_i2.p1
OG0000007	Shad_tr36106_c0_g2_i2.p1	Hmag_tr36676_c0_g2_i1.p1
OG0000007	Shad_tr36106_c5_g1_i1.p1, Shad_tr29986_c3_g1_i1.p1	Hmag_tr22177_c4_g1_i1.p1
OG0000007	Shad_tr17542_c0_g1_i1.p1	Hmag_tr12097_c0_g1_i13.p1
OG0000007	Shad_tr36106_c0_g1_i2.p1, Shad_tr4677_c2_g1_i1.p1	Hmag_tr37840_c0_g1_i1.p1
OG0000007	Shad_tr36106_c2_g1_i2.p1	Hmag_tr69069_c0_g1_i1.p1
OG0000007	Shad_tr36106_c0_g3_i1.p1	Hmag_tr31724_c0_g1_i1.p1, Hmag_tr31724_c0_g2_i1.p1
OG0000007	Shad_tr85359_c0_g1_i1.p1	Hmag_tr31724_c0_g3_i1.p1
OG0000007	Shad_tr9775_c0_g1_i1.p1	Hmag_tr27171_c0_g1_i3.p1
OG0000007	Shad_tr64130_c0_g1_i1.p1	Hmag_tr45507_c0_g1_i1.p1
OG0000007	Shad_tr15166_c2_g1_i2.p1	Hmag_tr11869_c1_g1_i1.p1
