Orthogroup	Stichodactyla_haddoni_longest_pep	Actinia_tenebrosa_longest_pep
OG0000001	Shad_tr41377_c0_g1_i1.p1, Shad_tr6481_c0_g1_i4.p1, Shad_tr20778_c0_g1_i3.p1	Acte_DN1379_c0_g1_i9.p1
OG0000001	Shad_tr24298_c0_g1_i20.p1	Acte_DN7671_c0_g1_i11.p1
OG0000001	Shad_tr4501_c6_g1_i1.p1	Acte_DN9225_c1_g3_i1.p2
OG0000001	Shad_tr35615_c0_g1_i2.p1, Shad_tr39187_c1_g2_i1.p1, Shad_tr47262_c0_g1_i2.p1, Shad_tr71816_c0_g1_i1.p1	Acte_DN18401_c0_g2_i2.p1
OG0000001	Shad_tr9232_c0_g1_i4.p1	Acte_DN14925_c0_g1_i2.p1
OG0000001	Shad_tr87163_c0_g1_i1.p1, Shad_tr115137_c0_g1_i1.p1	Acte_DN37732_c0_g1_i1.p1
OG0000002	Shad_tr8207_c0_g1_i3.p1	Acte_DN16883_c0_g1_i3.p1
OG0000002	Shad_tr86756_c0_g1_i1.p1, Shad_tr41945_c0_g1_i3.p1	Acte_DN19150_c0_g1_i1.p1
OG0000002	Shad_tr4496_c1_g1_i1.p1	Acte_DN1400_c1_g1_i2.p1
OG0000002	Shad_tr9027_c1_g2_i1.p1	Acte_DN16121_c0_g1_i1.p1
OG0000002	Shad_tr3107_c0_g1_i15.p1	Acte_DN4931_c0_g2_i1.p1
OG0000002	Shad_tr50306_c0_g1_i2.p1, Shad_tr20877_c0_g1_i2.p1	Acte_DN14207_c0_g1_i1.p1
OG0000002	Shad_tr5174_c0_g1_i1.p1	Acte_DN11322_c0_g2_i1.p1
OG0000002	Shad_tr22233_c0_g1_i6.p1	Acte_DN11139_c0_g1_i10.p1
OG0000002	Shad_tr20065_c0_g1_i14.p1	Acte_DN260_c0_g3_i2.p1
OG0000002	Shad_tr16225_c0_g1_i1.p1	Acte_DN14175_c0_g1_i2.p1
OG0000002	Shad_tr50646_c2_g1_i1.p1	Acte_DN8531_c0_g1_i3.p1
OG0000002	Shad_tr7064_c0_g1_i4.p1, Shad_tr30264_c1_g2_i6.p1	Acte_DN14227_c0_g1_i1.p1
OG0000002	Shad_tr34248_c0_g2_i1.p1	Acte_DN613_c0_g1_i2.p1
OG0000002	Shad_tr94789_c0_g1_i1.p1, Shad_tr83401_c0_g1_i1.p1	Acte_DN36653_c0_g1_i1.p1
OG0000002	Shad_tr34474_c1_g1_i2.p1	Acte_DN4812_c1_g2_i2.p1
OG0000002	Shad_tr32952_c3_g1_i6.p1	Acte_DN23043_c0_g1_i1.p1
OG0000002	Shad_tr20124_c0_g1_i3.p1	Acte_DN2223_c0_g1_i1.p1
OG0000002	Shad_tr7283_c0_g1_i12.p1, Shad_tr4412_c9_g1_i2.p1	Acte_DN6247_c0_g1_i4.p1
OG0000002	Shad_tr16243_c0_g1_i8.p1	Acte_DN10051_c0_g1_i3.p1
OG0000002	Shad_tr38188_c0_g2_i2.p1, Shad_tr33095_c0_g1_i1.p1	Acte_DN1254_c0_g3_i1.p1
OG0000002	Shad_tr9885_c1_g1_i1.p1	Acte_DN22604_c0_g1_i1.p1
OG0000003	Shad_tr8436_c2_g1_i2.p1	Acte_DN9914_c0_g1_i2.p1
OG0000003	Shad_tr16415_c2_g1_i2.p1	Acte_DN3734_c2_g1_i3.p1
OG0000003	Shad_tr8902_c1_g1_i4.p1	Acte_DN33087_c1_g1_i1.p1
OG0000003	Shad_tr31539_c0_g1_i4.p1, Shad_tr3966_c0_g5_i2.p1	Acte_DN3791_c0_g1_i2.p1
OG0000003	Shad_tr25371_c0_g1_i5.p1	Acte_DN3734_c0_g1_i1.p1
OG0000003	Shad_tr19223_c0_g1_i7.p1	Acte_DN2539_c0_g3_i1.p1
OG0000003	Shad_tr5763_c0_g1_i1.p1	Acte_DN11779_c1_g1_i2.p1
OG0000003	Shad_tr20771_c0_g2_i3.p1, Shad_tr33650_c0_g1_i3.p1	Acte_DN6983_c0_g1_i5.p1
OG0000003	Shad_tr83431_c0_g1_i1.p1	Acte_DN23287_c0_g1_i1.p1
OG0000003	Shad_tr45996_c0_g1_i3.p1	Acte_DN8161_c0_g3_i1.p1, Acte_DN8161_c0_g1_i1.p1, Acte_DN8161_c0_g2_i5.p1
OG0000003	Shad_tr6906_c2_g1_i6.p1	Acte_DN21281_c1_g1_i1.p1
OG0000003	Shad_tr55304_c0_g1_i6.p1	Acte_DN11951_c0_g4_i1.p1
OG0000003	Shad_tr40464_c0_g1_i2.p1	Acte_DN24055_c0_g1_i1.p1
OG0000003	Shad_tr8779_c0_g1_i2.p1	Acte_DN2563_c0_g1_i2.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Acte_DN20037_c2_g1_i1.p1
OG0000003	Shad_tr1233_c10_g1_i4.p1	Acte_DN1885_c0_g2_i1.p1
OG0000003	Shad_tr3554_c0_g1_i19.p1	Acte_DN17131_c0_g2_i2.p1
OG0000003	Shad_tr5139_c0_g1_i6.p1	Acte_DN1219_c0_g3_i4.p1
OG0000004	Shad_tr35099_c0_g2_i1.p1, Shad_tr37267_c0_g1_i1.p1	Acte_DN18371_c0_g1_i1.p1
OG0000004	Shad_tr2118_c6_g1_i1.p1	Acte_DN36739_c0_g1_i1.p1
OG0000004	Shad_tr51188_c0_g1_i2.p1	Acte_DN21021_c0_g1_i2.p1
OG0000004	Shad_tr29184_c0_g1_i4.p1	Acte_DN7400_c1_g2_i2.p1, Acte_DN676_c2_g1_i1.p1
OG0000004	Shad_tr115020_c0_g1_i1.p1, Shad_tr108642_c0_g1_i1.p1, Shad_tr47398_c0_g1_i2.p1, Shad_tr14565_c0_g2_i2.p1, Shad_tr51462_c0_g1_i1.p1, Shad_tr81197_c0_g1_i1.p1	Acte_DN18371_c0_g3_i1.p1
OG0000004	Shad_tr5965_c3_g1_i1.p1	Acte_DN9321_c0_g1_i14.p1
OG0000005	Shad_tr2801_c1_g1_i3.p1	Acte_DN2854_c1_g2_i2.p1
OG0000005	Shad_tr1418_c0_g1_i1.p1	Acte_DN2854_c0_g1_i5.p1
OG0000005	Shad_tr54580_c0_g1_i1.p1	Acte_DN30345_c1_g1_i1.p1
OG0000005	Shad_tr25804_c0_g1_i5.p1	Acte_DN5700_c0_g2_i1.p1
OG0000005	Shad_tr8716_c1_g1_i2.p1	Acte_DN5700_c0_g3_i2.p1
OG0000005	Shad_tr8718_c1_g1_i4.p1	Acte_DN12279_c0_g1_i1.p1
OG0000005	Shad_tr22240_c0_g2_i1.p1	Acte_DN5700_c0_g1_i1.p1
OG0000005	Shad_tr6063_c0_g1_i2.p1	Acte_DN15071_c0_g1_i4.p1
OG0000005	Shad_tr58663_c0_g2_i1.p1	Acte_DN1926_c0_g2_i2.p1
OG0000005	Shad_tr101198_c0_g1_i1.p1	Acte_DN32452_c0_g1_i1.p1
OG0000005	Shad_tr42495_c0_g1_i2.p1	Acte_DN2955_c0_g1_i6.p1
OG0000005	Shad_tr10187_c0_g1_i5.p1	Acte_DN11231_c0_g1_i3.p1
OG0000005	Shad_tr83698_c0_g1_i1.p1	Acte_DN3869_c1_g1_i3.p1
OG0000005	Shad_tr47378_c0_g1_i1.p1	Acte_DN6505_c1_g1_i1.p1, Acte_DN561_c1_g4_i2.p1
OG0000006	Shad_tr109586_c0_g1_i1.p1	Acte_DN462_c1_g1_i3.p1
OG0000006	Shad_tr10117_c0_g1_i6.p1	Acte_DN69_c1_g1_i3.p1, Acte_DN715_c0_g1_i11.p1
OG0000006	Shad_tr23838_c0_g2_i3.p3, Shad_tr53512_c0_g1_i2.p1, Shad_tr1209_c0_g4_i1.p1, Shad_tr33450_c0_g1_i11.p1, Shad_tr29428_c1_g2_i1.p1, Shad_tr78176_c0_g1_i1.p1, Shad_tr70926_c0_g1_i1.p1, Shad_tr39147_c0_g1_i1.p1	Acte_DN12749_c0_g1_i1.p1
OG0000006	Shad_tr20107_c1_g1_i9.p1	Acte_DN3758_c0_g1_i3.p1
OG0000007	Shad_tr114196_c0_g1_i1.p1	Acte_DN32293_c0_g2_i1.p1
OG0000007	Shad_tr112002_c0_g1_i1.p1	Acte_DN20433_c0_g1_i3.p1
OG0000007	Shad_tr16025_c0_g1_i1.p1	Acte_DN4083_c0_g1_i1.p1
OG0000007	Shad_tr9482_c0_g1_i10.p1	Acte_DN5138_c0_g1_i4.p1
OG0000007	Shad_tr57168_c0_g1_i1.p1, Shad_tr86959_c0_g1_i1.p1	Acte_DN21644_c0_g1_i2.p1
OG0000007	Shad_tr27395_c0_g1_i1.p1	Acte_DN20751_c0_g1_i2.p1
OG0000007	Shad_tr2749_c1_g2_i1.p1	Acte_DN5591_c0_g2_i1.p1
OG0000007	Shad_tr2749_c1_g1_i1.p1	Acte_DN5591_c0_g1_i1.p1
OG0000007	Shad_tr35237_c0_g2_i1.p1	Acte_DN5591_c0_g3_i1.p1
OG0000007	Shad_tr87403_c0_g1_i1.p1	Acte_DN3915_c0_g1_i2.p1
OG0000007	Shad_tr8688_c0_g2_i3.p1	Acte_DN38960_c0_g1_i1.p1
OG0000007	Shad_tr51167_c0_g1_i1.p1, Shad_tr28462_c2_g1_i1.p1	Acte_DN9066_c0_g1_i3.p1
OG0000007	Shad_tr36106_c0_g2_i2.p1, Shad_tr36106_c5_g1_i1.p1, Shad_tr29986_c3_g1_i1.p1	Acte_DN13344_c0_g1_i1.p1
OG0000007	Shad_tr17542_c0_g1_i1.p1	Acte_DN30372_c0_g1_i1.p1
OG0000007	Shad_tr18436_c0_g1_i2.p1	Acte_DN511_c3_g1_i1.p1
OG0000007	Shad_tr4677_c2_g1_i1.p1	Acte_DN7476_c0_g1_i10.p1
OG0000007	Shad_tr36106_c2_g1_i2.p1	Acte_DN7476_c0_g2_i1.p1
OG0000007	Shad_tr36106_c0_g3_i1.p1, Shad_tr85359_c0_g1_i1.p1	Acte_DN19738_c0_g1_i1.p1
OG0000007	Shad_tr54756_c0_g1_i1.p1	Acte_DN11144_c0_g1_i1.p1
OG0000007	Shad_tr69242_c0_g1_i1.p1	Acte_DN15188_c0_g1_i1.p1
OG0000007	Shad_tr9775_c0_g1_i1.p1	Acte_DN36922_c0_g1_i1.p1
OG0000007	Shad_tr15166_c2_g1_i2.p1	Acte_DN7509_c0_g1_i1.p1
OG0000007	Shad_tr87301_c0_g1_i1.p1	Acte_DN9973_c0_g1_i7.p1
OG0000008	Shad_tr15555_c0_g3_i2.p1	Acte_DN17576_c0_g1_i1.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Acte_DN1634_c0_g1_i7.p1
OG0000008	Shad_tr7219_c0_g1_i3.p1	Acte_DN22975_c0_g1_i2.p1
OG0000008	Shad_tr15555_c1_g3_i1.p1	Acte_DN22975_c0_g2_i1.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Acte_DN2630_c0_g1_i1.p1
OG0000008	Shad_tr8884_c0_g3_i3.p1	Acte_DN3200_c1_g1_i1.p1
OG0000008	Shad_tr19205_c0_g1_i2.p1	Acte_DN1189_c3_g1_i1.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Acte_DN7483_c0_g1_i2.p1
OG0000008	Shad_tr8884_c0_g2_i5.p1	Acte_DN24429_c0_g4_i1.p1
OG0000008	Shad_tr6342_c0_g1_i3.p1	Acte_DN2444_c0_g1_i1.p1
OG0000009	Shad_tr57812_c0_g1_i1.p1, Shad_tr75205_c0_g1_i1.p1	Acte_DN30407_c0_g1_i1.p1
OG0000009	Shad_tr27825_c0_g1_i1.p1	Acte_DN9816_c0_g1_i1.p1
OG0000009	Shad_tr42149_c0_g2_i2.p1	Acte_DN9869_c0_g1_i1.p1
OG0000009	Shad_tr42259_c0_g1_i1.p1	Acte_DN1170_c0_g2_i2.p1
OG0000009	Shad_tr42149_c3_g1_i1.p1	Acte_DN694_c4_g1_i1.p1
OG0000009	Shad_tr42149_c0_g1_i9.p1	Acte_DN694_c0_g2_i2.p1
OG0000010	Shad_tr30253_c0_g1_i1.p1	Acte_DN11231_c0_g3_i1.p1
OG0000010	Shad_tr50345_c0_g1_i2.p1	Acte_DN11231_c0_g2_i2.p1
OG0000010	Shad_tr2839_c0_g2_i2.p1	Acte_DN7708_c0_g4_i2.p1
OG0000010	Shad_tr75584_c0_g1_i1.p1, Shad_tr60004_c0_g1_i1.p1	Acte_DN29812_c0_g1_i1.p1
OG0000010	Shad_tr23640_c0_g1_i1.p1	Acte_DN4180_c1_g2_i1.p1
OG0000010	Shad_tr15980_c0_g4_i1.p1	Acte_DN23117_c0_g2_i1.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Acte_DN9419_c0_g2_i2.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Acte_DN1406_c0_g1_i2.p1
OG0000010	Shad_tr31771_c0_g1_i3.p1	Acte_DN15054_c0_g1_i1.p1
OG0000010	Shad_tr1427_c5_g1_i2.p1	Acte_DN6230_c1_g1_i7.p1
OG0000010	Shad_tr73_c19_g1_i3.p1	Acte_DN7560_c0_g1_i1.p1
OG0000010	Shad_tr23864_c0_g1_i1.p1	Acte_DN2763_c0_g2_i1.p1
OG0000011	Shad_tr21291_c0_g1_i1.p1	Acte_DN25393_c0_g1_i2.p1
OG0000011	Shad_tr1132_c0_g1_i13.p1	Acte_DN499_c0_g2_i2.p1
OG0000011	Shad_tr19076_c0_g2_i11.p1	Acte_DN39135_c0_g1_i1.p1
OG0000011	Shad_tr32278_c0_g1_i2.p1	Acte_DN3587_c1_g1_i1.p1
OG0000011	Shad_tr11490_c0_g1_i3.p1	Acte_DN4350_c1_g1_i2.p1
OG0000011	Shad_tr2056_c1_g1_i5.p1	Acte_DN29316_c0_g1_i1.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Acte_DN1689_c0_g1_i5.p1
OG0000011	Shad_tr40287_c0_g1_i1.p1	Acte_DN1019_c1_g1_i3.p1
OG0000011	Shad_tr2992_c1_g5_i1.p1	Acte_DN6596_c0_g1_i4.p1
OG0000011	Shad_tr6064_c1_g1_i1.p1	Acte_DN59_c3_g3_i2.p1
OG0000011	Shad_tr3847_c0_g1_i2.p1	Acte_DN849_c0_g1_i1.p1
OG0000011	Shad_tr12213_c0_g1_i1.p1	Acte_DN828_c0_g1_i4.p1
OG0000011	Shad_tr11801_c0_g1_i5.p1	Acte_DN7523_c0_g1_i6.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1	Acte_DN6596_c0_g2_i3.p1
OG0000011	Shad_tr216_c0_g1_i7.p1	Acte_DN9_c0_g1_i8.p1
OG0000011	Shad_tr6003_c0_g1_i16.p1, Shad_tr3827_c0_g1_i11.p1, Shad_tr28266_c0_g1_i1.p1	Acte_DN2085_c0_g1_i1.p1
OG0000012	Shad_tr30303_c5_g1_i1.p1	Acte_DN24436_c0_g1_i1.p1
OG0000013	Shad_tr52378_c0_g1_i3.p1, Shad_tr3753_c1_g1_i1.p1	Acte_DN12963_c0_g1_i1.p1
OG0000013	Shad_tr8307_c0_g2_i6.p1	Acte_DN2083_c0_g2_i1.p1, Acte_DN8041_c0_g1_i2.p1
OG0000013	Shad_tr6482_c0_g2_i4.p1, Shad_tr18161_c0_g1_i1.p1	Acte_DN11466_c0_g1_i1.p1
OG0000013	Shad_tr21099_c0_g1_i8.p1	Acte_DN13267_c0_g1_i1.p1
OG0000013	Shad_tr32404_c1_g1_i3.p1	Acte_DN1137_c0_g3_i4.p1
OG0000013	Shad_tr44181_c0_g1_i1.p1	Acte_DN6549_c1_g1_i1.p1
OG0000013	Shad_tr1935_c0_g2_i1.p1	Acte_DN2151_c0_g1_i10.p1
OG0000013	Shad_tr10327_c1_g1_i2.p1	Acte_DN2105_c0_g1_i9.p1
OG0000014	Shad_tr38687_c0_g1_i3.p1	Acte_DN16116_c0_g2_i1.p1
OG0000014	Shad_tr86159_c0_g1_i1.p1	Acte_DN18726_c0_g1_i2.p1, Acte_DN27725_c0_g1_i2.p1
OG0000015	Shad_tr56067_c1_g1_i1.p1, Shad_tr38453_c0_g1_i1.p1	Acte_DN14844_c0_g1_i6.p1
OG0000015	Shad_tr44536_c0_g1_i4.p1	Acte_DN6158_c0_g1_i1.p1
OG0000015	Shad_tr20550_c0_g3_i2.p1	Acte_DN5990_c0_g2_i3.p1, Acte_DN6427_c0_g1_i2.p1
OG0000015	Shad_tr31227_c0_g3_i1.p1	Acte_DN3729_c0_g2_i1.p1
OG0000015	Shad_tr91068_c0_g1_i1.p1	Acte_DN23667_c0_g2_i1.p1, Acte_DN38613_c0_g1_i1.p1, Acte_DN16839_c0_g1_i1.p1, Acte_DN11538_c0_g1_i1.p1
OG0000016	Shad_tr14091_c0_g1_i6.p1	Acte_DN314_c0_g1_i7.p1
OG0000016	Shad_tr36090_c0_g1_i7.p1	Acte_DN14952_c0_g2_i2.p1
OG0000016	Shad_tr13915_c1_g1_i1.p3, Shad_tr13915_c1_g4_i2.p1	Acte_DN7066_c0_g1_i8.p1
OG0000016	Shad_tr5656_c0_g1_i7.p1	Acte_DN5011_c0_g6_i1.p1
OG0000016	Shad_tr30195_c0_g1_i1.p1	Acte_DN782_c4_g1_i1.p2
OG0000016	Shad_tr20659_c0_g1_i29.p1	Acte_DN6352_c1_g3_i1.p1, Acte_DN6352_c1_g5_i1.p1, Acte_DN6352_c1_g1_i1.p1, Acte_DN6352_c1_g6_i1.p1, Acte_DN6352_c1_g7_i1.p1
OG0000017	Shad_tr15346_c0_g1_i1.p1	Acte_DN8741_c1_g1_i1.p2
OG0000017	Shad_tr416_c1_g1_i8.p1, Shad_tr6710_c1_g1_i1.p1	Acte_DN4598_c1_g1_i4.p1
OG0000017	Shad_tr16830_c0_g1_i3.p1	Acte_DN19945_c0_g1_i1.p1
OG0000017	Shad_tr108_c0_g1_i6.p1	Acte_DN11206_c0_g1_i8.p1
OG0000018	Shad_tr33408_c0_g1_i1.p1, Shad_tr4944_c1_g1_i16.p1	Acte_DN7545_c1_g1_i9.p1
OG0000018	Shad_tr42991_c0_g1_i10.p1	Acte_DN22971_c0_g1_i1.p1
OG0000018	Shad_tr28733_c0_g1_i2.p1	Acte_DN6991_c0_g1_i1.p1
OG0000018	Shad_tr41369_c0_g1_i3.p1, Shad_tr40675_c0_g1_i2.p1	Acte_DN5292_c2_g1_i2.p1
OG0000018	Shad_tr36296_c0_g1_i3.p1	Acte_DN2715_c0_g1_i3.p1
OG0000018	Shad_tr37725_c0_g2_i1.p1	Acte_DN15458_c1_g1_i1.p1
OG0000018	Shad_tr21895_c0_g1_i19.p1, Shad_tr4352_c1_g1_i6.p1	Acte_DN590_c0_g1_i10.p1
OG0000018	Shad_tr34599_c0_g2_i1.p1	Acte_DN7914_c0_g1_i1.p1
OG0000018	Shad_tr177_c0_g1_i2.p1	Acte_DN3378_c0_g1_i1.p1
OG0000019	Shad_tr12372_c2_g2_i2.p1, Shad_tr50013_c0_g1_i1.p1	Acte_DN313_c2_g2_i1.p1
OG0000019	Shad_tr23296_c0_g1_i3.p1	Acte_DN2619_c0_g2_i2.p1
OG0000019	Shad_tr13570_c1_g1_i4.p1, Shad_tr23413_c1_g1_i3.p1	Acte_DN15758_c0_g1_i1.p1
OG0000019	Shad_tr32311_c4_g1_i2.p1, Shad_tr28098_c0_g2_i1.p1, Shad_tr11442_c1_g1_i2.p1, Shad_tr15359_c0_g1_i2.p1	Acte_DN3452_c1_g1_i10.p1
OG0000019	Shad_tr10160_c0_g1_i7.p1	Acte_DN38116_c0_g1_i1.p1
OG0000020	Shad_tr20558_c0_g1_i2.p1	Acte_DN12687_c0_g1_i5.p1
OG0000020	Shad_tr4487_c0_g2_i2.p1	Acte_DN1524_c0_g3_i1.p1
OG0000020	Shad_tr4487_c0_g1_i2.p1	Acte_DN1524_c0_g1_i3.p1
OG0000020	Shad_tr30308_c0_g1_i14.p1	Acte_DN32913_c0_g1_i1.p1
OG0000020	Shad_tr21849_c0_g1_i2.p1	Acte_DN4515_c0_g1_i6.p1
OG0000020	Shad_tr11067_c1_g1_i1.p1	Acte_DN19469_c0_g1_i1.p1
OG0000020	Shad_tr17595_c0_g1_i1.p1	Acte_DN27333_c0_g1_i4.p1
OG0000020	Shad_tr12863_c2_g1_i1.p1	Acte_DN17427_c0_g1_i2.p1
OG0000020	Shad_tr19820_c0_g2_i5.p1	Acte_DN1131_c2_g1_i1.p1
OG0000020	Shad_tr10844_c0_g1_i2.p1	Acte_DN7046_c1_g1_i2.p1
OG0000020	Shad_tr44275_c0_g2_i3.p1	Acte_DN3558_c0_g1_i7.p1
OG0000020	Shad_tr9299_c0_g1_i16.p1	Acte_DN7543_c0_g1_i3.p1
OG0000020	Shad_tr16412_c1_g1_i1.p1	Acte_DN643_c2_g1_i4.p1
OG0000022	Shad_tr47011_c0_g1_i1.p1	Acte_DN27687_c0_g3_i1.p1
OG0000022	Shad_tr57811_c0_g2_i1.p1	Acte_DN25701_c0_g1_i1.p1
OG0000022	Shad_tr6315_c0_g1_i11.p1	Acte_DN26192_c0_g4_i1.p1, Acte_DN26192_c0_g2_i1.p1
OG0000022	Shad_tr33937_c0_g1_i2.p1	Acte_DN758_c1_g2_i1.p1
OG0000022	Shad_tr10152_c0_g1_i5.p1	Acte_DN33782_c0_g3_i1.p1
OG0000022	Shad_tr51852_c1_g1_i1.p1	Acte_DN23439_c0_g1_i1.p1
OG0000022	Shad_tr28775_c0_g1_i5.p1	Acte_DN19193_c0_g4_i1.p1
OG0000022	Shad_tr56942_c0_g3_i1.p1	Acte_DN30475_c0_g1_i1.p1
OG0000023	Shad_tr55330_c0_g1_i1.p1	Acte_DN25890_c0_g2_i1.p1
OG0000023	Shad_tr30783_c0_g2_i1.p1, Shad_tr9054_c0_g1_i4.p1	Acte_DN729_c0_g1_i15.p1
OG0000023	Shad_tr6542_c0_g2_i5.p1	Acte_DN32371_c0_g1_i1.p1
OG0000023	Shad_tr33176_c0_g1_i6.p1	Acte_DN24610_c0_g1_i2.p1
OG0000023	Shad_tr13538_c2_g1_i2.p1	Acte_DN14587_c0_g3_i1.p1
OG0000023	Shad_tr20068_c3_g1_i1.p1	Acte_DN17173_c0_g1_i1.p1
OG0000023	Shad_tr81378_c0_g1_i1.p1	Acte_DN4953_c0_g2_i1.p1
OG0000023	Shad_tr11574_c0_g1_i3.p1	Acte_DN18919_c2_g1_i1.p1
OG0000023	Shad_tr27564_c0_g1_i7.p1	Acte_DN11280_c0_g2_i1.p1
OG0000023	Shad_tr8246_c0_g1_i13.p1	Acte_DN15349_c0_g1_i3.p1
OG0000023	Shad_tr32011_c0_g1_i2.p1, Shad_tr923_c0_g1_i48.p1	Acte_DN6980_c0_g1_i6.p1, Acte_DN14708_c0_g1_i1.p1
OG0000023	Shad_tr20249_c0_g2_i4.p1	Acte_DN12731_c0_g1_i1.p1
OG0000023	Shad_tr16661_c0_g1_i2.p1	Acte_DN226_c0_g2_i2.p1
OG0000023	Shad_tr16279_c1_g1_i5.p1	Acte_DN22533_c0_g2_i4.p1
OG0000024	Shad_tr73847_c0_g1_i1.p1	Acte_DN38282_c0_g1_i1.p1
OG0000024	Shad_tr57338_c0_g1_i1.p1	Acte_DN17133_c0_g1_i1.p1
OG0000024	Shad_tr95185_c0_g1_i1.p1, Shad_tr114594_c0_g1_i1.p1	Acte_DN27827_c0_g4_i1.p2
OG0000024	Shad_tr15840_c0_g1_i2.p1, Shad_tr21228_c0_g1_i1.p1	Acte_DN8235_c0_g1_i1.p1
OG0000024	Shad_tr58302_c0_g2_i1.p1	Acte_DN34584_c0_g1_i1.p1
OG0000025	Shad_tr19746_c0_g1_i16.p1, Shad_tr99116_c0_g1_i1.p1	Acte_DN29365_c0_g2_i1.p1
OG0000025	Shad_tr19062_c0_g1_i1.p1	Acte_DN9640_c0_g1_i1.p1
OG0000025	Shad_tr18197_c1_g1_i7.p1	Acte_DN699_c0_g1_i5.p1, Acte_DN30311_c0_g1_i1.p1, Acte_DN19560_c0_g1_i3.p1
OG0000025	Shad_tr54035_c4_g1_i1.p1	Acte_DN4788_c1_g1_i9.p1
OG0000025	Shad_tr35152_c0_g1_i1.p1, Shad_tr72593_c0_g1_i1.p1	Acte_DN594_c0_g1_i13.p1
OG0000025	Shad_tr55_c11_g1_i1.p1	Acte_DN594_c0_g4_i1.p1
OG0000026	Shad_tr53582_c0_g1_i1.p1	Acte_DN12955_c0_g1_i3.p1
OG0000026	Shad_tr56943_c0_g1_i1.p1	Acte_DN3394_c0_g1_i3.p1
