Orthogroup	Stichodactyla_haddoni_longest_pep	Heteractis_crispa_longest_pep
OG0000004	Shad_tr115020_c0_g1_i1.p1	Hcri_tr68158_c0_g1_i1.p1
OG0000004	Shad_tr108642_c0_g1_i1.p1, Shad_tr47398_c0_g1_i2.p1	Hcri_tr69842_c0_g1_i1.p1
OG0000004	Shad_tr81197_c0_g1_i1.p1	Hcri_tr79218_c0_g1_i1.p2
OG0000004	Shad_tr84438_c0_g1_i1.p1	Hcri_tr86798_c0_g1_i1.p1
OG0000004	Shad_tr24789_c1_g1_i10.p1	Hcri_tr33796_c0_g1_i8.p1
OG0000004	Shad_tr38415_c0_g1_i1.p1	Hcri_tr24509_c0_g1_i2.p1
OG0000004	Shad_tr32172_c0_g1_i2.p1	Hcri_tr46992_c1_g1_i1.p1
OG0000004	Shad_tr28510_c0_g1_i1.p1	Hcri_tr50755_c0_g1_i1.p1
OG0000005	Shad_tr2801_c1_g1_i3.p1, Shad_tr26927_c0_g1_i1.p1	Hcri_tr25348_c0_g1_i1.p1
OG0000005	Shad_tr1418_c0_g1_i1.p1	Hcri_tr34197_c0_g1_i4.p1
OG0000005	Shad_tr32859_c0_g1_i6.p1	Hcri_tr60925_c0_g1_i1.p1
OG0000005	Shad_tr54580_c0_g1_i1.p1	Hcri_tr67751_c0_g1_i1.p1
OG0000005	Shad_tr8716_c1_g1_i2.p1	Hcri_tr18780_c0_g2_i1.p1
OG0000005	Shad_tr22240_c0_g2_i1.p1	Hcri_tr18780_c1_g2_i1.p1
OG0000005	Shad_tr101198_c0_g1_i1.p1	Hcri_tr78149_c0_g1_i1.p1
OG0000005	Shad_tr42495_c0_g1_i2.p1	Hcri_tr18051_c0_g1_i1.p1
OG0000005	Shad_tr17588_c0_g1_i2.p1	Hcri_tr20236_c0_g1_i3.p1
OG0000005	Shad_tr42032_c0_g1_i2.p1	Hcri_tr5886_c0_g2_i1.p1
OG0000005	Shad_tr47378_c0_g1_i1.p1	Hcri_tr18780_c1_g1_i1.p1
OG0000006	Shad_tr25563_c0_g1_i5.p1, Shad_tr25563_c0_g2_i5.p1	Hcri_tr21167_c2_g1_i2.p1, Hcri_tr10462_c0_g2_i1.p2, Hcri_tr62858_c0_g1_i1.p1
OG0000006	Shad_tr13578_c0_g1_i1.p1	Hcri_tr23531_c2_g1_i2.p1
OG0000006	Shad_tr9525_c1_g1_i1.p1	Hcri_tr22536_c0_g1_i4.p2, Hcri_tr61866_c0_g1_i1.p1, Hcri_tr568_c1_g1_i10.p1, Hcri_tr24152_c0_g1_i1.p1
OG0000006	Shad_tr16953_c0_g1_i5.p1	Hcri_tr24840_c0_g1_i1.p1
OG0000006	Shad_tr15712_c3_g1_i1.p1	Hcri_tr7403_c0_g1_i15.p1
OG0000006	Shad_tr13326_c1_g2_i7.p1	Hcri_tr31240_c2_g1_i1.p1
OG0000006	Shad_tr17447_c1_g1_i11.p1, Shad_tr2839_c3_g1_i1.p1	Hcri_tr30710_c0_g2_i1.p1
OG0000006	Shad_tr23838_c0_g2_i3.p3, Shad_tr53512_c0_g1_i2.p1	Hcri_tr85648_c0_g1_i1.p1
OG0000006	Shad_tr29428_c1_g2_i1.p1, Shad_tr78176_c0_g1_i1.p1, Shad_tr70926_c0_g1_i1.p1	Hcri_tr31240_c0_g2_i4.p2
OG0000006	Shad_tr39147_c0_g1_i1.p1	Hcri_tr84820_c0_g1_i1.p1
OG0000006	Shad_tr40187_c1_g2_i2.p1, Shad_tr19094_c1_g4_i1.p1	Hcri_tr62640_c0_g1_i1.p1
OG0000006	Shad_tr49712_c1_g2_i1.p1, Shad_tr49712_c1_g1_i1.p1	Hcri_tr11092_c0_g1_i1.p1
OG0000007	Shad_tr114196_c0_g1_i1.p1	Hcri_tr19787_c0_g1_i1.p1, Hcri_tr68867_c0_g1_i1.p1
OG0000007	Shad_tr112002_c0_g1_i1.p1	Hcri_tr7890_c0_g1_i1.p1
OG0000007	Shad_tr16025_c0_g1_i1.p1	Hcri_tr14069_c0_g1_i1.p2
OG0000007	Shad_tr9482_c0_g1_i10.p1	Hcri_tr9074_c0_g1_i1.p2
OG0000007	Shad_tr57168_c0_g1_i1.p1, Shad_tr86959_c0_g1_i1.p1	Hcri_tr2326_c0_g1_i1.p1
OG0000007	Shad_tr27395_c0_g1_i1.p1	Hcri_tr87514_c0_g1_i1.p1
OG0000007	Shad_tr2749_c1_g1_i1.p1	Hcri_tr8962_c0_g1_i10.p1
OG0000007	Shad_tr35237_c0_g2_i1.p1	Hcri_tr11057_c0_g1_i11.p1
OG0000007	Shad_tr87403_c0_g1_i1.p1	Hcri_tr38284_c0_g1_i1.p1
OG0000007	Shad_tr8688_c0_g2_i3.p1	Hcri_tr12152_c0_g1_i2.p1
OG0000007	Shad_tr100866_c0_g1_i1.p1	Hcri_tr68996_c0_g1_i1.p1, Hcri_tr66527_c0_g1_i1.p1
OG0000007	Shad_tr79679_c0_g1_i1.p1	Hcri_tr24281_c0_g2_i3.p1
OG0000007	Shad_tr17542_c0_g1_i1.p1	Hcri_tr72479_c0_g1_i1.p1
OG0000007	Shad_tr18436_c0_g1_i2.p1	Hcri_tr21568_c1_g1_i1.p1
OG0000007	Shad_tr9775_c0_g1_i1.p1	Hcri_tr15802_c0_g1_i2.p1
OG0000007	Shad_tr15166_c2_g1_i2.p1	Hcri_tr24652_c0_g2_i2.p1
OG0000007	Shad_tr36595_c0_g1_i1.p1	Hcri_tr40955_c0_g1_i1.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Hcri_tr12628_c0_g1_i5.p1
OG0000008	Shad_tr7219_c0_g1_i3.p1	Hcri_tr11700_c0_g1_i5.p1
OG0000008	Shad_tr15555_c1_g3_i1.p1	Hcri_tr37491_c0_g1_i1.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Hcri_tr13008_c0_g1_i3.p1
OG0000008	Shad_tr8884_c0_g3_i3.p1	Hcri_tr44670_c0_g1_i1.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Hcri_tr20155_c0_g1_i2.p1
OG0000008	Shad_tr8884_c0_g2_i5.p1	Hcri_tr17145_c0_g1_i3.p1
OG0000008	Shad_tr38797_c0_g1_i8.p1	Hcri_tr14591_c0_g1_i4.p1
OG0000008	Shad_tr6342_c0_g1_i3.p1	Hcri_tr25594_c0_g2_i1.p1
OG0000009	Shad_tr18647_c0_g1_i1.p1	Hcri_tr34557_c2_g1_i1.p1
OG0000009	Shad_tr43110_c0_g1_i1.p1	Hcri_tr39132_c0_g1_i1.p1
OG0000009	Shad_tr40574_c0_g1_i1.p1, Shad_tr81732_c0_g1_i1.p1, Shad_tr43110_c0_g3_i1.p1, Shad_tr80732_c0_g1_i1.p1	Hcri_tr86290_c0_g1_i1.p1
OG0000009	Shad_tr39651_c0_g2_i1.p1	Hcri_tr90459_c0_g1_i1.p1
OG0000009	Shad_tr39651_c0_g1_i1.p1	Hcri_tr69526_c0_g1_i1.p1
OG0000009	Shad_tr15412_c2_g1_i1.p1	Hcri_tr87322_c0_g1_i1.p1
OG0000009	Shad_tr42149_c0_g2_i2.p1	Hcri_tr41513_c0_g1_i1.p1
OG0000010	Shad_tr50345_c0_g1_i2.p1	Hcri_tr18551_c0_g1_i3.p1
OG0000010	Shad_tr54979_c0_g1_i1.p1	Hcri_tr5749_c1_g1_i8.p1
OG0000010	Shad_tr2839_c0_g2_i2.p1	Hcri_tr5303_c0_g1_i4.p1
OG0000010	Shad_tr60004_c0_g1_i1.p1	Hcri_tr30940_c3_g1_i1.p1
OG0000010	Shad_tr23640_c0_g1_i1.p1	Hcri_tr15120_c0_g1_i3.p1
OG0000010	Shad_tr15980_c0_g4_i1.p1	Hcri_tr37929_c0_g2_i1.p1
OG0000010	Shad_tr8024_c0_g2_i6.p1	Hcri_tr10700_c0_g1_i1.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Hcri_tr14480_c0_g1_i2.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Hcri_tr4191_c0_g1_i11.p1
OG0000010	Shad_tr31771_c0_g1_i3.p1	Hcri_tr16993_c1_g1_i2.p1
OG0000010	Shad_tr1427_c5_g1_i2.p1	Hcri_tr9624_c2_g2_i3.p1
OG0000010	Shad_tr51748_c0_g1_i1.p1	Hcri_tr1095_c0_g2_i4.p1
OG0000010	Shad_tr24708_c0_g3_i1.p1, Shad_tr22541_c3_g1_i3.p1, Shad_tr69948_c0_g1_i1.p1	Hcri_tr63706_c0_g1_i1.p1
OG0000010	Shad_tr10798_c4_g1_i7.p1	Hcri_tr38380_c0_g1_i1.p1
OG0000010	Shad_tr91861_c0_g1_i1.p1	Hcri_tr1793_c0_g2_i1.p1
OG0000010	Shad_tr73_c19_g1_i3.p1	Hcri_tr23164_c0_g1_i1.p1
OG0000010	Shad_tr23864_c0_g1_i1.p1	Hcri_tr22621_c0_g1_i1.p1
OG0000011	Shad_tr21291_c0_g1_i1.p1	Hcri_tr2177_c4_g1_i4.p1
OG0000011	Shad_tr1132_c0_g1_i13.p1	Hcri_tr13167_c1_g1_i1.p1
OG0000011	Shad_tr19076_c0_g2_i11.p1	Hcri_tr57302_c0_g1_i1.p1
OG0000011	Shad_tr32278_c0_g1_i2.p1	Hcri_tr7400_c0_g1_i17.p1
OG0000011	Shad_tr11490_c0_g1_i3.p1	Hcri_tr10489_c0_g1_i2.p1
OG0000011	Shad_tr2056_c1_g1_i5.p1	Hcri_tr44424_c0_g1_i1.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Hcri_tr10698_c0_g1_i14.p1
OG0000011	Shad_tr40287_c0_g1_i1.p1	Hcri_tr17836_c0_g1_i2.p1
OG0000011	Shad_tr2992_c1_g5_i1.p1	Hcri_tr1549_c0_g2_i8.p1
OG0000011	Shad_tr6064_c1_g1_i1.p1	Hcri_tr4060_c1_g1_i5.p1
OG0000011	Shad_tr3847_c0_g1_i2.p1	Hcri_tr11405_c0_g1_i3.p1
OG0000011	Shad_tr12213_c0_g1_i1.p1	Hcri_tr54482_c0_g1_i2.p1
OG0000011	Shad_tr11801_c0_g1_i5.p1	Hcri_tr16079_c0_g1_i2.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1	Hcri_tr9366_c0_g1_i2.p1
OG0000011	Shad_tr216_c0_g1_i7.p1	Hcri_tr811_c0_g1_i12.p1
OG0000011	Shad_tr6003_c0_g1_i16.p1, Shad_tr3827_c0_g1_i11.p1, Shad_tr28266_c0_g1_i1.p1	Hcri_tr43838_c0_g2_i2.p1
OG0000012	Shad_tr72031_c0_g1_i1.p1, Shad_tr31893_c5_g1_i1.p1	Hcri_tr29478_c1_g2_i2.p1, Hcri_tr2515_c9_g1_i5.p1
OG0000012	Shad_tr47541_c0_g1_i1.p1	Hcri_tr29452_c0_g1_i3.p1
OG0000012	Shad_tr47118_c0_g1_i1.p1	Hcri_tr32181_c1_g2_i3.p1
OG0000012	Shad_tr22725_c0_g1_i1.p1	Hcri_tr17338_c1_g1_i4.p1, Hcri_tr17338_c3_g1_i3.p1
OG0000012	Shad_tr23818_c0_g1_i1.p1	Hcri_tr8669_c1_g1_i1.p1
OG0000012	Shad_tr13752_c1_g2_i1.p1	Hcri_tr5488_c0_g1_i2.p1
OG0000012	Shad_tr45250_c0_g1_i1.p2	Hcri_tr29053_c0_g1_i7.p1
OG0000013	Shad_tr8347_c1_g1_i1.p1	Hcri_tr7007_c1_g1_i2.p1
OG0000013	Shad_tr8307_c0_g2_i6.p1	Hcri_tr11711_c0_g3_i2.p1
OG0000013	Shad_tr8307_c0_g5_i1.p1, Shad_tr8307_c0_g4_i1.p1	Hcri_tr4485_c0_g1_i16.p1
OG0000013	Shad_tr6482_c0_g2_i4.p1, Shad_tr18161_c0_g1_i1.p1	Hcri_tr7007_c0_g1_i1.p1
OG0000013	Shad_tr8307_c0_g1_i1.p1, Shad_tr17051_c0_g2_i1.p1, Shad_tr17051_c0_g1_i3.p1, Shad_tr17051_c0_g3_i1.p1	Hcri_tr11335_c0_g1_i4.p1
OG0000013	Shad_tr24875_c1_g1_i1.p1	Hcri_tr10281_c0_g1_i1.p1, Hcri_tr10281_c0_g2_i1.p1
OG0000013	Shad_tr21099_c0_g1_i8.p1	Hcri_tr5835_c0_g2_i1.p1, Hcri_tr5835_c0_g3_i1.p1, Hcri_tr5835_c0_g1_i3.p1, Hcri_tr45273_c0_g1_i1.p1, Hcri_tr19160_c0_g1_i1.p1, Hcri_tr19160_c1_g1_i4.p1
OG0000013	Shad_tr1935_c0_g2_i1.p1	Hcri_tr5064_c0_g1_i2.p1
OG0000014	Shad_tr44809_c0_g1_i1.p1, Shad_tr38687_c0_g1_i3.p1	Hcri_tr44845_c0_g1_i5.p1
OG0000014	Shad_tr57926_c0_g1_i1.p1	Hcri_tr28463_c0_g2_i1.p1
OG0000015	Shad_tr44377_c0_g2_i1.p1, Shad_tr58531_c0_g1_i1.p1	Hcri_tr59980_c0_g1_i1.p1
OG0000015	Shad_tr56067_c1_g1_i1.p1	Hcri_tr33775_c0_g1_i4.p1
