Orthogroup	Stichodactyla_haddoni_longest_pep	Sanderia_malayensis_longest_pep
OG0000010	Shad_tr75584_c0_g1_i1.p1, Shad_tr60004_c0_g1_i1.p1, Shad_tr23640_c0_g1_i1.p1	Sama_DN3535_c0_g2_i1.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Sama_DN508_c0_g1_i12.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Sama_DN1264_c0_g1_i1.p1, Sama_DN9515_c0_g1_i4.p1
OG0000010	Shad_tr31771_c0_g1_i3.p1, Shad_tr1427_c5_g1_i2.p1	Sama_DN9541_c0_g1_i2.p1, Sama_DN495_c0_g1_i1.p1
OG0000010	Shad_tr51748_c0_g1_i1.p1, Shad_tr24708_c0_g3_i1.p1, Shad_tr22541_c3_g1_i3.p1, Shad_tr69948_c0_g1_i1.p1, Shad_tr10798_c4_g1_i7.p1, Shad_tr29233_c0_g1_i2.p1, Shad_tr91861_c0_g1_i1.p1, Shad_tr73_c19_g1_i3.p1	Sama_DN685_c0_g6_i1.p1, Sama_DN5455_c0_g1_i1.p1, Sama_DN685_c0_g4_i1.p1
OG0000010	Shad_tr23864_c0_g1_i1.p1	Sama_DN2525_c0_g1_i2.p1, Sama_DN1401_c0_g1_i2.p1, Sama_DN1401_c0_g2_i1.p1
OG0000011	Shad_tr21291_c0_g1_i1.p1	Sama_DN3231_c0_g1_i1.p1
OG0000011	Shad_tr19076_c0_g2_i11.p1	Sama_DN1095_c0_g1_i2.p1
OG0000011	Shad_tr32278_c0_g1_i2.p1	Sama_DN734_c0_g1_i1.p1
OG0000011	Shad_tr11490_c0_g1_i3.p1	Sama_DN3048_c0_g2_i1.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Sama_DN979_c0_g1_i1.p1
OG0000011	Shad_tr40287_c0_g1_i1.p1, Shad_tr2992_c1_g5_i1.p1	Sama_DN909_c0_g1_i2.p1
OG0000011	Shad_tr6064_c1_g1_i1.p1, Shad_tr3847_c0_g1_i2.p1, Shad_tr12213_c0_g1_i1.p1, Shad_tr11801_c0_g1_i5.p1	Sama_DN2860_c0_g1_i2.p1
OG0000014	Shad_tr44809_c0_g1_i1.p1	Sama_DN9571_c0_g1_i1.p1, Sama_DN3332_c0_g1_i5.p1
OG0000014	Shad_tr86159_c0_g1_i1.p1	Sama_DN10118_c0_g1_i1.p1
OG0000015	Shad_tr91068_c0_g1_i1.p1	Sama_DN7624_c0_g1_i1.p1
OG0000016	Shad_tr36090_c0_g1_i7.p1	Sama_DN13346_c0_g1_i1.p2
OG0000016	Shad_tr30195_c0_g1_i1.p1	Sama_DN12969_c0_g1_i1.p1
OG0000016	Shad_tr20659_c0_g1_i29.p1, Shad_tr56139_c0_g1_i5.p1	Sama_DN77_c0_g1_i1.p1
OG0000018	Shad_tr33408_c0_g1_i1.p1, Shad_tr4944_c1_g1_i16.p1, Shad_tr27589_c1_g1_i2.p1, Shad_tr27589_c0_g4_i1.p1, Shad_tr27589_c0_g1_i2.p1, Shad_tr22586_c2_g3_i1.p1, Shad_tr42991_c0_g1_i10.p1, Shad_tr28733_c0_g3_i3.p1, Shad_tr28733_c0_g1_i2.p1, Shad_tr41369_c0_g1_i3.p1, Shad_tr40675_c0_g1_i2.p1, Shad_tr40314_c0_g1_i1.p1, Shad_tr59276_c0_g1_i1.p1, Shad_tr36296_c0_g1_i3.p1, Shad_tr37725_c0_g2_i1.p1, Shad_tr21895_c0_g1_i19.p1, Shad_tr4352_c1_g1_i6.p1, Shad_tr108593_c0_g1_i1.p1, Shad_tr84814_c0_g1_i1.p1, Shad_tr34599_c1_g1_i2.p1, Shad_tr34599_c0_g1_i12.p1, Shad_tr97856_c0_g1_i1.p1, Shad_tr40347_c0_g1_i1.p1, Shad_tr44625_c0_g1_i1.p1, Shad_tr34599_c0_g2_i1.p1, Shad_tr177_c0_g1_i2.p1	Sama_DN1189_c0_g2_i2.p1, Sama_DN5209_c0_g1_i4.p1, Sama_DN5209_c0_g2_i1.p1, Sama_DN6097_c0_g1_i2.p1, Sama_DN5907_c0_g2_i1.p1, Sama_DN4965_c1_g1_i1.p1
OG0000019	Shad_tr10160_c0_g1_i7.p1	Sama_DN8942_c0_g1_i1.p1
OG0000020	Shad_tr20558_c0_g1_i2.p1, Shad_tr6108_c0_g1_i14.p1, Shad_tr4487_c0_g2_i2.p1, Shad_tr4487_c0_g1_i2.p1, Shad_tr30308_c0_g1_i14.p1, Shad_tr21849_c0_g1_i2.p1	Sama_DN3674_c0_g1_i2.p1, Sama_DN9283_c0_g1_i1.p1
OG0000020	Shad_tr11067_c1_g1_i1.p1	Sama_DN5676_c0_g1_i2.p1
OG0000020	Shad_tr17595_c0_g1_i1.p1	Sama_DN9021_c0_g1_i1.p1
OG0000020	Shad_tr12863_c2_g1_i1.p1	Sama_DN9569_c0_g1_i1.p1
OG0000020	Shad_tr19820_c0_g2_i5.p1, Shad_tr30362_c0_g1_i7.p1, Shad_tr10844_c0_g1_i2.p1	Sama_DN6108_c0_g1_i1.p1
OG0000022	Shad_tr16040_c0_g1_i2.p1, Shad_tr33937_c0_g1_i2.p1	Sama_DN2427_c0_g1_i1.p1
OG0000022	Shad_tr51852_c1_g1_i1.p1, Shad_tr28775_c0_g1_i5.p1	Sama_DN5157_c0_g1_i2.p1
OG0000024	Shad_tr23702_c0_g1_i2.p1	Sama_DN12189_c0_g1_i1.p1
OG0000026	Shad_tr30931_c0_g1_i2.p1	Sama_DN3261_c0_g3_i6.p2
OG0000026	Shad_tr28250_c0_g1_i3.p1	Sama_DN388_c0_g1_i1.p1
OG0000026	Shad_tr44288_c0_g1_i3.p1, Shad_tr17855_c0_g1_i1.p1, Shad_tr4067_c1_g1_i4.p1, Shad_tr11094_c0_g2_i7.p1, Shad_tr2382_c4_g1_i1.p1, Shad_tr12716_c0_g2_i3.p1, Shad_tr1062_c7_g1_i1.p1, Shad_tr112_c31_g1_i1.p1, Shad_tr35328_c0_g1_i2.p1	Sama_DN1391_c0_g1_i1.p1
OG0000028	Shad_tr8272_c3_g3_i1.p1, Shad_tr99432_c0_g1_i1.p1, Shad_tr16010_c0_g1_i12.p1, Shad_tr2614_c1_g1_i5.p1, Shad_tr25188_c0_g2_i3.p1, Shad_tr29221_c1_g1_i2.p1, Shad_tr11953_c0_g1_i5.p1, Shad_tr9089_c2_g1_i26.p1, Shad_tr11744_c2_g1_i2.p1, Shad_tr4266_c0_g1_i5.p1, Shad_tr25353_c0_g1_i2.p1, Shad_tr55101_c0_g1_i2.p1, Shad_tr305_c2_g1_i2.p1, Shad_tr26942_c0_g1_i2.p1, Shad_tr16418_c0_g1_i5.p1	Sama_DN5372_c0_g3_i1.p1
OG0000030	Shad_tr7909_c0_g1_i3.p1, Shad_tr19192_c0_g1_i1.p1, Shad_tr2911_c0_g1_i5.p1	Sama_DN3529_c0_g1_i2.p1
OG0000030	Shad_tr40907_c0_g1_i4.p1	Sama_DN3390_c0_g1_i1.p1
OG0000030	Shad_tr19344_c0_g1_i6.p1, Shad_tr3121_c0_g2_i1.p1, Shad_tr3121_c0_g1_i13.p1	Sama_DN10336_c0_g1_i1.p1, Sama_DN2711_c0_g1_i3.p1, Sama_DN3527_c0_g1_i1.p1
OG0000031	Shad_tr76797_c0_g1_i1.p1, Shad_tr19208_c0_g1_i1.p1, Shad_tr31074_c0_g1_i1.p1, Shad_tr99599_c0_g1_i1.p1	Sama_DN10117_c0_g2_i1.p1
OG0000031	Shad_tr19004_c0_g3_i1.p1, Shad_tr37005_c0_g1_i1.p1, Shad_tr35947_c0_g2_i1.p1, Shad_tr83062_c0_g1_i1.p1, Shad_tr30945_c4_g1_i1.p1, Shad_tr83610_c0_g1_i1.p1, Shad_tr16187_c3_g1_i1.p1, Shad_tr55087_c0_g1_i1.p1	Sama_DN10117_c0_g1_i1.p1, Sama_DN3147_c0_g1_i1.p1
OG0000031	Shad_tr48816_c0_g1_i9.p1, Shad_tr67774_c0_g1_i1.p1, Shad_tr94731_c0_g1_i1.p1, Shad_tr91889_c0_g1_i1.p1, Shad_tr61595_c0_g1_i1.p1, Shad_tr28520_c0_g1_i5.p1, Shad_tr20673_c0_g1_i4.p1, Shad_tr6959_c0_g2_i2.p1	Sama_DN4689_c0_g1_i1.p1
OG0000035	Shad_tr25443_c1_g1_i1.p1	Sama_DN9195_c0_g1_i1.p1
OG0000036	Shad_tr67703_c0_g1_i1.p1	Sama_DN13534_c0_g1_i1.p1
OG0000036	Shad_tr48893_c0_g1_i1.p1, Shad_tr5679_c0_g1_i1.p1, Shad_tr27877_c0_g3_i1.p1	Sama_DN124_c0_g2_i1.p1, Sama_DN124_c0_g1_i2.p1, Sama_DN14003_c0_g1_i1.p1
OG0000038	Shad_tr7481_c0_g1_i1.p1	Sama_DN1629_c0_g1_i2.p1, Sama_DN946_c1_g2_i1.p1, Sama_DN946_c1_g1_i1.p1
OG0000038	Shad_tr47243_c0_g2_i5.p1	Sama_DN4117_c0_g1_i1.p1
OG0000038	Shad_tr23754_c0_g1_i1.p1, Shad_tr90896_c0_g1_i1.p1	Sama_DN6977_c0_g2_i1.p1
OG0000038	Shad_tr14612_c0_g1_i1.p1, Shad_tr15939_c0_g1_i1.p1	Sama_DN4195_c0_g1_i1.p1
OG0000038	Shad_tr51955_c0_g1_i1.p1, Shad_tr42232_c0_g1_i1.p1	Sama_DN2409_c0_g1_i2.p1
OG0000038	Shad_tr31301_c1_g1_i2.p1	Sama_DN2667_c0_g1_i2.p1
OG0000042	Shad_tr46031_c0_g1_i1.p1	Sama_DN12278_c0_g1_i1.p1
OG0000042	Shad_tr93877_c0_g1_i1.p1	Sama_DN1643_c0_g1_i1.p1
OG0000045	Shad_tr20172_c0_g1_i1.p1	Sama_DN10331_c0_g1_i1.p1
OG0000045	Shad_tr44010_c1_g2_i1.p1, Shad_tr46214_c0_g1_i7.p1, Shad_tr15464_c1_g1_i1.p1	Sama_DN1785_c0_g1_i1.p1, Sama_DN11191_c0_g1_i1.p1, Sama_DN1849_c0_g1_i1.p1, Sama_DN65_c0_g1_i2.p1
OG0000045	Shad_tr6864_c4_g1_i2.p1	Sama_DN1118_c0_g1_i1.p1
OG0000050	Shad_tr31247_c0_g1_i2.p1	Sama_DN1768_c0_g1_i1.p1
OG0000050	Shad_tr72683_c0_g1_i1.p1, Shad_tr33792_c2_g1_i2.p1	Sama_DN8006_c0_g1_i1.p1
OG0000050	Shad_tr108086_c0_g1_i1.p1, Shad_tr9225_c1_g4_i1.p1	Sama_DN5341_c0_g1_i3.p1
OG0000050	Shad_tr5253_c3_g1_i5.p1, Shad_tr15441_c0_g1_i4.p1	Sama_DN3358_c0_g1_i3.p1
OG0000050	Shad_tr38780_c0_g2_i1.p1, Shad_tr111177_c0_g1_i1.p1	Sama_DN4832_c0_g1_i2.p1
OG0000055	Shad_tr26368_c0_g3_i1.p1, Shad_tr95212_c0_g1_i1.p1	Sama_DN10140_c0_g2_i1.p1
OG0000055	Shad_tr47990_c0_g1_i1.p1	Sama_DN11822_c0_g1_i1.p1
OG0000055	Shad_tr32353_c2_g1_i1.p1	Sama_DN10140_c0_g3_i1.p1
OG0000056	Shad_tr15285_c0_g1_i1.p1, Shad_tr12463_c0_g2_i1.p1, Shad_tr5042_c0_g2_i12.p1	Sama_DN213_c0_g1_i6.p1, Sama_DN1334_c0_g1_i2.p1
OG0000059	Shad_tr12314_c0_g1_i1.p1, Shad_tr1473_c0_g3_i2.p1	Sama_DN1291_c0_g1_i1.p1
OG0000059	Shad_tr93714_c0_g1_i1.p1	Sama_DN12112_c0_g1_i1.p1
OG0000059	Shad_tr6778_c1_g1_i29.p1	Sama_DN11670_c0_g1_i1.p1
OG0000059	Shad_tr11544_c0_g1_i7.p1	Sama_DN624_c1_g1_i1.p1
OG0000059	Shad_tr9768_c0_g1_i4.p1	Sama_DN8781_c0_g2_i1.p1
OG0000059	Shad_tr10655_c3_g1_i2.p1	Sama_DN1249_c0_g1_i4.p1
OG0000059	Shad_tr80838_c0_g1_i1.p1, Shad_tr3907_c5_g1_i1.p1	Sama_DN11415_c0_g1_i1.p1
OG0000059	Shad_tr31128_c0_g1_i6.p1	Sama_DN9020_c0_g2_i1.p1
OG0000060	Shad_tr19539_c1_g1_i1.p2	Sama_DN14064_c0_g1_i1.p1
OG0000060	Shad_tr47276_c0_g2_i3.p1	Sama_DN12573_c0_g1_i1.p1
OG0000060	Shad_tr18832_c0_g1_i2.p1, Shad_tr19040_c1_g1_i2.p1, Shad_tr29830_c0_g1_i3.p1, Shad_tr71414_c0_g1_i1.p1, Shad_tr107802_c0_g1_i1.p1, Shad_tr37730_c0_g1_i3.p2, Shad_tr34747_c0_g1_i2.p1, Shad_tr107752_c0_g1_i1.p1, Shad_tr13170_c0_g1_i4.p1	Sama_DN11284_c0_g1_i1.p1
OG0000063	Shad_tr75897_c0_g1_i1.p1, Shad_tr62115_c0_g1_i1.p1, Shad_tr105177_c0_g1_i1.p1, Shad_tr102598_c0_g1_i1.p1, Shad_tr106060_c0_g1_i1.p1, Shad_tr49683_c1_g1_i1.p1, Shad_tr98149_c0_g1_i1.p1, Shad_tr39729_c0_g2_i4.p1, Shad_tr30482_c1_g1_i1.p1, Shad_tr48159_c0_g1_i1.p1, Shad_tr20967_c0_g1_i1.p1	Sama_DN7435_c0_g1_i1.p1
OG0000066	Shad_tr38427_c0_g5_i1.p2, Shad_tr38427_c0_g4_i1.p1, Shad_tr38427_c0_g2_i1.p1, Shad_tr29287_c0_g1_i1.p1, Shad_tr38427_c0_g1_i3.p1, Shad_tr29287_c1_g1_i1.p1, Shad_tr38427_c0_g3_i1.p1, Shad_tr16256_c0_g2_i1.p1, Shad_tr90326_c0_g1_i1.p1, Shad_tr87563_c0_g1_i2.p1, Shad_tr16256_c0_g3_i1.p1, Shad_tr11726_c0_g1_i4.p1, Shad_tr48792_c0_g1_i1.p1, Shad_tr21286_c0_g1_i6.p1, Shad_tr802_c1_g1_i30.p1, Shad_tr2647_c2_g1_i5.p1, Shad_tr19181_c1_g1_i1.p1, Shad_tr21528_c0_g1_i1.p1, Shad_tr65320_c0_g1_i1.p1, Shad_tr53649_c1_g1_i1.p1, Shad_tr29159_c0_g4_i1.p1, Shad_tr25822_c0_g1_i3.p1, Shad_tr19181_c0_g1_i1.p1, Shad_tr96623_c0_g1_i1.p1	Sama_DN5216_c0_g1_i1.p1
OG0000068	Shad_tr22306_c0_g1_i13.p1	Sama_DN4927_c0_g1_i1.p1
OG0000071	Shad_tr67428_c0_g1_i1.p1, Shad_tr76521_c0_g1_i1.p1, Shad_tr105623_c0_g1_i1.p1, Shad_tr112699_c0_g1_i1.p1, Shad_tr15476_c1_g2_i1.p1, Shad_tr75103_c0_g1_i1.p1, Shad_tr35979_c0_g2_i2.p1, Shad_tr44137_c0_g3_i1.p1, Shad_tr19143_c0_g1_i6.p1, Shad_tr23568_c2_g1_i1.p1, Shad_tr18787_c1_g3_i1.p1, Shad_tr52273_c0_g1_i1.p1, Shad_tr54514_c0_g1_i2.p1	Sama_DN8554_c0_g1_i1.p1, Sama_DN8277_c0_g1_i1.p1, Sama_DN10434_c0_g1_i1.p1
OG0000072	Shad_tr56213_c0_g3_i4.p1, Shad_tr7543_c0_g1_i8.p1, Shad_tr7543_c0_g4_i1.p1	Sama_DN13348_c0_g1_i1.p1
OG0000072	Shad_tr3797_c1_g1_i2.p1	Sama_DN5410_c0_g1_i1.p1, Sama_DN1027_c0_g1_i8.p1, Sama_DN4748_c0_g1_i1.p1, Sama_DN1027_c1_g1_i1.p1, Sama_DN1027_c0_g3_i1.p1, Sama_DN474_c0_g1_i2.p1
OG0000072	Shad_tr4564_c0_g1_i2.p1	Sama_DN879_c0_g1_i1.p1
OG0000072	Shad_tr50055_c0_g1_i8.p1	Sama_DN9710_c0_g1_i1.p1
OG0000074	Shad_tr11680_c1_g1_i1.p1, Shad_tr31007_c1_g1_i2.p1, Shad_tr23120_c0_g1_i1.p1, Shad_tr13098_c0_g1_i5.p1, Shad_tr11680_c0_g1_i15.p1, Shad_tr7195_c0_g1_i55.p1, Shad_tr16521_c0_g1_i1.p1, Shad_tr1233_c5_g1_i6.p1, Shad_tr47720_c0_g1_i1.p1, Shad_tr11680_c0_g2_i2.p1, Shad_tr86485_c0_g1_i1.p1	Sama_DN4276_c0_g1_i1.p1
OG0000075	Shad_tr889_c1_g1_i1.p1, Shad_tr17559_c0_g1_i3.p1, Shad_tr11587_c0_g1_i6.p1, Shad_tr25754_c0_g1_i6.p1, Shad_tr25754_c0_g2_i1.p1, Shad_tr9269_c4_g1_i1.p1, Shad_tr42853_c0_g1_i1.p1	Sama_DN5352_c0_g1_i1.p1
OG0000076	Shad_tr7014_c3_g1_i2.p1, Shad_tr7014_c0_g1_i2.p1, Shad_tr9299_c1_g2_i1.p1, Shad_tr9299_c1_g1_i1.p1	Sama_DN6106_c0_g1_i1.p1
OG0000077	Shad_tr21602_c3_g1_i1.p1, Shad_tr15615_c0_g1_i2.p1, Shad_tr71281_c0_g1_i1.p1, Shad_tr26900_c0_g1_i11.p1, Shad_tr17141_c1_g3_i1.p1, Shad_tr46145_c0_g1_i1.p1, Shad_tr28740_c0_g1_i6.p1, Shad_tr15610_c0_g1_i13.p1, Shad_tr17141_c0_g3_i1.p1, Shad_tr17141_c0_g1_i1.p1, Shad_tr17141_c0_g2_i1.p1, Shad_tr7229_c0_g1_i18.p1	Sama_DN6493_c0_g1_i1.p1
OG0000078	Shad_tr48869_c0_g1_i1.p1	Sama_DN2844_c0_g1_i1.p1, Sama_DN7650_c0_g1_i1.p1
OG0000079	Shad_tr11560_c1_g1_i7.p1, Shad_tr5126_c1_g1_i9.p1, Shad_tr24094_c0_g3_i4.p1, Shad_tr13926_c0_g1_i9.p1, Shad_tr11146_c0_g1_i3.p1, Shad_tr35773_c1_g1_i1.p1, Shad_tr33620_c0_g1_i1.p1, Shad_tr8144_c0_g1_i3.p1, Shad_tr13752_c1_g1_i2.p1, Shad_tr15678_c0_g3_i1.p1, Shad_tr12619_c1_g1_i1.p1, Shad_tr36776_c1_g1_i1.p1, Shad_tr80302_c0_g1_i1.p1, Shad_tr86642_c0_g1_i1.p1	Sama_DN13617_c0_g1_i1.p1
OG0000080	Shad_tr43662_c0_g2_i1.p1, Shad_tr11109_c0_g1_i1.p1, Shad_tr10910_c1_g2_i2.p1, Shad_tr16109_c3_g1_i1.p1, Shad_tr6780_c3_g1_i1.p1, Shad_tr47931_c0_g1_i1.p1, Shad_tr64098_c0_g1_i1.p1, Shad_tr22621_c5_g1_i5.p1, Shad_tr9680_c0_g1_i1.p1, Shad_tr50095_c1_g1_i1.p1	Sama_DN3494_c0_g1_i1.p1
OG0000080	Shad_tr50095_c0_g1_i1.p1, Shad_tr87258_c0_g1_i1.p1	Sama_DN3796_c0_g2_i1.p1
OG0000082	Shad_tr47902_c0_g1_i1.p1, Shad_tr16674_c0_g1_i10.p1, Shad_tr16674_c3_g1_i1.p1, Shad_tr43741_c1_g1_i2.p1, Shad_tr73492_c0_g1_i1.p1	Sama_DN6998_c0_g1_i1.p1
OG0000083	Shad_tr12994_c1_g2_i6.p1, Shad_tr33094_c1_g1_i1.p1, Shad_tr53547_c0_g1_i1.p1, Shad_tr96594_c0_g1_i1.p1, Shad_tr43871_c0_g1_i1.p1, Shad_tr104114_c0_g1_i1.p1, Shad_tr16482_c7_g1_i1.p1	Sama_DN2177_c0_g1_i1.p1
OG0000087	Shad_tr91217_c0_g1_i1.p1	Sama_DN175_c0_g1_i1.p1, Sama_DN1682_c0_g1_i1.p1, Sama_DN3812_c0_g1_i1.p1
OG0000087	Shad_tr36807_c0_g2_i1.p1, Shad_tr99366_c0_g1_i1.p1, Shad_tr3984_c0_g2_i4.p1, Shad_tr8966_c1_g3_i1.p1, Shad_tr9142_c0_g1_i4.p1, Shad_tr53768_c0_g1_i5.p1, Shad_tr13703_c1_g1_i1.p1, Shad_tr38834_c1_g1_i1.p1	Sama_DN2398_c0_g1_i1.p1
OG0000089	Shad_tr8598_c2_g1_i2.p1	Sama_DN1611_c0_g1_i2.p1
OG0000089	Shad_tr1453_c0_g1_i9.p1, Shad_tr32217_c0_g2_i1.p1, Shad_tr6460_c0_g1_i4.p1, Shad_tr6460_c0_g2_i5.p1	Sama_DN7623_c0_g2_i1.p1, Sama_DN11163_c0_g1_i1.p1, Sama_DN895_c0_g1_i1.p1
OG0000092	Shad_tr462_c1_g2_i1.p1, Shad_tr2759_c1_g1_i3.p1, Shad_tr187_c17_g2_i1.p1, Shad_tr1757_c0_g2_i1.p1	Sama_DN9779_c0_g1_i1.p1
OG0000094	Shad_tr105986_c0_g1_i1.p1, Shad_tr38004_c0_g1_i1.p1, Shad_tr25736_c0_g1_i2.p1, Shad_tr82661_c0_g1_i1.p1	Sama_DN6750_c0_g1_i1.p1
OG0000095	Shad_tr25571_c1_g1_i1.p1, Shad_tr68004_c0_g1_i3.p1, Shad_tr104091_c0_g1_i1.p1, Shad_tr40518_c3_g1_i1.p1, Shad_tr40518_c0_g1_i2.p1, Shad_tr1411_c3_g2_i1.p1, Shad_tr22648_c0_g1_i1.p1, Shad_tr22442_c0_g1_i1.p1, Shad_tr40518_c2_g1_i1.p1, Shad_tr78900_c0_g1_i1.p1, Shad_tr62877_c0_g1_i1.p1, Shad_tr57540_c0_g1_i1.p1, Shad_tr58678_c0_g1_i1.p1, Shad_tr40518_c0_g3_i1.p1, Shad_tr22937_c2_g1_i1.p1, Shad_tr49756_c0_g1_i1.p1, Shad_tr57540_c0_g2_i1.p1, Shad_tr40518_c0_g2_i4.p1, Shad_tr7585_c0_g1_i22.p1	Sama_DN3562_c0_g1_i1.p1
OG0000096	Shad_tr16043_c0_g1_i2.p1, Shad_tr14213_c2_g1_i4.p1, Shad_tr111617_c0_g1_i1.p1, Shad_tr53560_c0_g2_i1.p1	Sama_DN10727_c0_g1_i1.p1
OG0000099	Shad_tr22723_c0_g1_i8.p1, Shad_tr2579_c0_g3_i7.p1	Sama_DN2866_c2_g1_i1.p1, Sama_DN3310_c0_g3_i1.p1, Sama_DN10961_c0_g1_i1.p1
OG0000099	Shad_tr20098_c0_g1_i5.p1, Shad_tr865_c3_g1_i10.p1, Shad_tr865_c3_g2_i1.p1, Shad_tr16764_c0_g1_i5.p1, Shad_tr46932_c2_g1_i1.p1	Sama_DN13996_c0_g1_i1.p1, Sama_DN11791_c0_g1_i1.p1
OG0000099	Shad_tr20761_c0_g1_i16.p1	Sama_DN6198_c0_g1_i1.p1
OG0000102	Shad_tr47252_c0_g1_i1.p1	Sama_DN11798_c0_g1_i1.p1
OG0000102	Shad_tr49806_c0_g1_i1.p1, Shad_tr84247_c0_g1_i1.p1, Shad_tr63841_c0_g1_i1.p1, Shad_tr57362_c0_g1_i3.p1, Shad_tr50650_c0_g1_i1.p1, Shad_tr98550_c0_g1_i1.p1	Sama_DN11590_c0_g1_i1.p1
OG0000104	Shad_tr75005_c0_g1_i1.p1	Sama_DN4971_c0_g2_i1.p1, Sama_DN412_c0_g1_i1.p1, Sama_DN1477_c0_g2_i1.p1
OG0000105	Shad_tr113509_c0_g1_i1.p1	Sama_DN11734_c0_g1_i1.p1, Sama_DN2559_c0_g1_i3.p1, Sama_DN706_c0_g1_i1.p1, Sama_DN484_c0_g3_i1.p1, Sama_DN3487_c0_g2_i7.p1, Sama_DN3487_c0_g1_i2.p1, Sama_DN4285_c0_g3_i2.p1, Sama_DN5749_c0_g1_i1.p1, Sama_DN4921_c0_g1_i1.p1, Sama_DN4910_c0_g1_i3.p1
