Orthogroup	Stichodactyla_haddoni_longest_pep	Nemopilema_nomurai_longest_pep
OG0000007	Shad_tr114196_c0_g1_i1.p1, Shad_tr112002_c0_g1_i1.p1, Shad_tr16025_c0_g1_i1.p1, Shad_tr9482_c0_g1_i10.p1, Shad_tr57168_c0_g1_i1.p1, Shad_tr86959_c0_g1_i1.p1, Shad_tr27395_c0_g1_i1.p1, Shad_tr2749_c1_g2_i1.p1, Shad_tr2749_c1_g1_i1.p1, Shad_tr35237_c0_g2_i1.p1, Shad_tr87403_c0_g1_i1.p1, Shad_tr8688_c0_g2_i3.p1, Shad_tr51167_c0_g1_i1.p1, Shad_tr28462_c2_g1_i1.p1, Shad_tr11126_c0_g1_i4.p1, Shad_tr36106_c0_g2_i2.p1, Shad_tr36106_c5_g1_i1.p1, Shad_tr29986_c3_g1_i1.p1, Shad_tr100866_c0_g1_i1.p1, Shad_tr79679_c0_g1_i1.p1, Shad_tr17542_c0_g1_i1.p1, Shad_tr18436_c0_g1_i2.p1, Shad_tr36106_c0_g1_i2.p1, Shad_tr4677_c2_g1_i1.p1, Shad_tr36106_c2_g1_i2.p1, Shad_tr36106_c0_g3_i1.p1, Shad_tr85359_c0_g1_i1.p1, Shad_tr54756_c0_g1_i1.p1, Shad_tr69242_c0_g1_i1.p1, Shad_tr9775_c0_g1_i1.p1, Shad_tr64130_c0_g1_i1.p1, Shad_tr15166_c2_g1_i2.p1, Shad_tr87301_c0_g1_i1.p1, Shad_tr38195_c0_g1_i1.p1, Shad_tr36595_c0_g1_i1.p1, Shad_tr17402_c0_g1_i2.p1	Neno_DN11176_c0_g1_i1.p1
OG0000008	Shad_tr15555_c0_g3_i2.p1	Neno_DN4315_c0_g1_i3.p1
OG0000008	Shad_tr15555_c0_g2_i1.p1	Neno_DN9465_c0_g3_i2.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Neno_DN4315_c0_g2_i1.p1
OG0000008	Shad_tr7219_c0_g1_i3.p1	Neno_DN6478_c0_g1_i8.p1
OG0000008	Shad_tr15555_c1_g3_i1.p1	Neno_DN5475_c0_g1_i3.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Neno_DN5501_c0_g2_i5.p1
OG0000008	Shad_tr8884_c0_g3_i3.p1	Neno_DN7275_c0_g1_i3.p1
OG0000008	Shad_tr19205_c0_g1_i2.p1	Neno_DN12665_c0_g1_i3.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Neno_DN2491_c0_g1_i7.p1
OG0000008	Shad_tr8884_c0_g2_i5.p1	Neno_DN10679_c0_g1_i2.p1
OG0000008	Shad_tr6342_c0_g1_i3.p1	Neno_DN6351_c0_g1_i6.p1
OG0000010	Shad_tr54979_c0_g1_i1.p1	Neno_DN5022_c0_g1_i2.p1
OG0000010	Shad_tr2839_c0_g2_i2.p1	Neno_DN9831_c0_g1_i6.p1
OG0000010	Shad_tr75584_c0_g1_i1.p1, Shad_tr60004_c0_g1_i1.p1, Shad_tr23640_c0_g1_i1.p1	Neno_DN18204_c0_g1_i3.p1
OG0000010	Shad_tr70551_c0_g1_i1.p1	Neno_DN10775_c0_g2_i1.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Neno_DN10690_c0_g1_i1.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Neno_DN4450_c0_g1_i7.p1, Neno_DN14790_c0_g1_i1.p1
OG0000010	Shad_tr31771_c0_g1_i3.p1, Shad_tr1427_c5_g1_i2.p1	Neno_DN6742_c0_g1_i5.p1, Neno_DN8713_c0_g1_i2.p1
OG0000010	Shad_tr51748_c0_g1_i1.p1, Shad_tr24708_c0_g3_i1.p1, Shad_tr22541_c3_g1_i3.p1, Shad_tr69948_c0_g1_i1.p1, Shad_tr10798_c4_g1_i7.p1, Shad_tr29233_c0_g1_i2.p1, Shad_tr91861_c0_g1_i1.p1, Shad_tr73_c19_g1_i3.p1	Neno_DN12024_c0_g1_i2.p1, Neno_DN11743_c0_g1_i2.p1
OG0000010	Shad_tr23864_c0_g1_i1.p1	Neno_DN20640_c0_g1_i4.p1, Neno_DN10152_c0_g1_i1.p1
OG0000011	Shad_tr21291_c0_g1_i1.p1	Neno_DN5048_c0_g1_i2.p1
OG0000011	Shad_tr19076_c0_g2_i11.p1	Neno_DN3552_c0_g1_i8.p1
OG0000011	Shad_tr32278_c0_g1_i2.p1	Neno_DN5458_c0_g1_i3.p1
OG0000011	Shad_tr11490_c0_g1_i3.p1	Neno_DN4094_c0_g1_i3.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Neno_DN879_c0_g1_i2.p1
OG0000011	Shad_tr40287_c0_g1_i1.p1, Shad_tr2992_c1_g5_i1.p1	Neno_DN7114_c0_g1_i1.p1
OG0000011	Shad_tr6064_c1_g1_i1.p1, Shad_tr3847_c0_g1_i2.p1, Shad_tr12213_c0_g1_i1.p1, Shad_tr11801_c0_g1_i5.p1	Neno_DN324_c0_g1_i3.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1, Shad_tr216_c0_g1_i7.p1, Shad_tr6003_c0_g1_i16.p1, Shad_tr3827_c0_g1_i11.p1, Shad_tr28266_c0_g1_i1.p1, Shad_tr1481_c2_g1_i1.p1	Neno_DN602_c0_g1_i5.p1
OG0000014	Shad_tr34282_c1_g1_i2.p1	Neno_DN20210_c0_g1_i2.p1, Neno_DN17686_c0_g1_i1.p1
OG0000014	Shad_tr44809_c0_g1_i1.p1, Shad_tr38687_c0_g1_i3.p1	Neno_DN11285_c0_g2_i1.p1
OG0000014	Shad_tr86159_c0_g1_i1.p1	Neno_DN7128_c0_g1_i1.p1
OG0000015	Shad_tr91068_c0_g1_i1.p1	Neno_DN23199_c0_g3_i3.p1
OG0000016	Shad_tr35173_c0_g2_i1.p1	Neno_DN598_c0_g1_i2.p1
OG0000016	Shad_tr36090_c0_g1_i7.p1	Neno_DN7988_c0_g1_i1.p1
OG0000016	Shad_tr104832_c0_g1_i1.p1	Neno_DN8721_c0_g1_i2.p1
OG0000016	Shad_tr30195_c0_g1_i1.p1	Neno_DN4414_c0_g1_i1.p1, Neno_DN5557_c0_g1_i1.p1
OG0000016	Shad_tr20659_c0_g1_i29.p1, Shad_tr56139_c0_g1_i5.p1	Neno_DN16652_c0_g2_i1.p1
OG0000016	Shad_tr63013_c0_g1_i1.p1	Neno_DN516_c0_g1_i1.p1
OG0000018	Shad_tr33408_c0_g1_i1.p1, Shad_tr4944_c1_g1_i16.p1, Shad_tr27589_c1_g1_i2.p1, Shad_tr27589_c0_g4_i1.p1, Shad_tr27589_c0_g1_i2.p1, Shad_tr22586_c2_g3_i1.p1, Shad_tr42991_c0_g1_i10.p1, Shad_tr28733_c0_g3_i3.p1, Shad_tr28733_c0_g1_i2.p1, Shad_tr41369_c0_g1_i3.p1, Shad_tr40675_c0_g1_i2.p1, Shad_tr40314_c0_g1_i1.p1, Shad_tr59276_c0_g1_i1.p1, Shad_tr36296_c0_g1_i3.p1, Shad_tr37725_c0_g2_i1.p1, Shad_tr21895_c0_g1_i19.p1, Shad_tr4352_c1_g1_i6.p1, Shad_tr108593_c0_g1_i1.p1, Shad_tr84814_c0_g1_i1.p1, Shad_tr34599_c1_g1_i2.p1, Shad_tr34599_c0_g1_i12.p1, Shad_tr97856_c0_g1_i1.p1, Shad_tr40347_c0_g1_i1.p1, Shad_tr44625_c0_g1_i1.p1, Shad_tr34599_c0_g2_i1.p1, Shad_tr177_c0_g1_i2.p1	Neno_DN12101_c0_g1_i2.p1, Neno_DN6905_c0_g1_i1.p1, Neno_DN8126_c0_g1_i1.p1, Neno_DN21082_c0_g1_i4.p1, Neno_DN1602_c0_g1_i1.p1, Neno_DN1016_c0_g1_i3.p1
OG0000019	Shad_tr4304_c0_g1_i5.p1, Shad_tr96139_c0_g1_i1.p1	Neno_DN12603_c0_g4_i1.p1
OG0000019	Shad_tr10160_c0_g1_i7.p1, Shad_tr3269_c0_g1_i19.p1, Shad_tr13445_c0_g3_i4.p1, Shad_tr4304_c2_g1_i1.p1, Shad_tr96670_c0_g1_i1.p1, Shad_tr10666_c4_g1_i1.p1, Shad_tr37088_c0_g1_i2.p2, Shad_tr50567_c3_g1_i1.p1, Shad_tr28512_c2_g3_i1.p2	Neno_DN12603_c0_g2_i2.p1
OG0000020	Shad_tr20558_c0_g1_i2.p1, Shad_tr6108_c0_g1_i14.p1, Shad_tr4487_c0_g2_i2.p1, Shad_tr4487_c0_g1_i2.p1, Shad_tr30308_c0_g1_i14.p1, Shad_tr21849_c0_g1_i2.p1	Neno_DN11478_c0_g1_i2.p1, Neno_DN16062_c0_g1_i9.p1, Neno_DN3474_c0_g1_i1.p1, Neno_DN3876_c0_g1_i1.p1, Neno_DN10703_c0_g1_i2.p1
OG0000020	Shad_tr11067_c1_g1_i1.p1	Neno_DN5622_c0_g2_i1.p1
OG0000020	Shad_tr17595_c0_g1_i1.p1	Neno_DN12541_c0_g1_i1.p1
OG0000020	Shad_tr12863_c2_g1_i1.p1	Neno_DN17620_c0_g3_i1.p1
OG0000022	Shad_tr16040_c0_g1_i2.p1, Shad_tr33937_c0_g1_i2.p1	Neno_DN2404_c0_g1_i1.p1
OG0000022	Shad_tr51852_c1_g1_i1.p1, Shad_tr28775_c0_g1_i5.p1	Neno_DN1798_c0_g1_i1.p1
OG0000022	Shad_tr56942_c0_g3_i1.p1	Neno_DN5539_c0_g2_i2.p1, Neno_DN3540_c0_g1_i7.p1
OG0000024	Shad_tr57338_c0_g1_i1.p1	Neno_DN17405_c0_g1_i1.p1
OG0000024	Shad_tr15840_c0_g1_i2.p1, Shad_tr21228_c0_g1_i1.p1	Neno_DN6066_c0_g1_i4.p1
OG0000024	Shad_tr58302_c0_g1_i1.p1, Shad_tr58302_c0_g2_i1.p1	Neno_DN21383_c0_g1_i1.p1
OG0000026	Shad_tr30931_c0_g1_i2.p1	Neno_DN4547_c0_g1_i4.p1
OG0000026	Shad_tr53582_c0_g1_i1.p1, Shad_tr10368_c3_g1_i3.p1, Shad_tr29354_c0_g1_i1.p1, Shad_tr56943_c0_g1_i1.p1	Neno_DN1056_c0_g1_i2.p1
OG0000026	Shad_tr28250_c0_g1_i3.p1	Neno_DN6448_c0_g1_i3.p1
OG0000026	Shad_tr44288_c0_g1_i3.p1, Shad_tr17855_c0_g1_i1.p1, Shad_tr4067_c1_g1_i4.p1, Shad_tr11094_c0_g2_i7.p1, Shad_tr2382_c4_g1_i1.p1, Shad_tr12716_c0_g2_i3.p1, Shad_tr1062_c7_g1_i1.p1, Shad_tr112_c31_g1_i1.p1, Shad_tr35328_c0_g1_i2.p1	Neno_DN8879_c0_g1_i1.p1
OG0000027	Shad_tr103407_c0_g1_i1.p1	Neno_DN11394_c0_g1_i1.p1
OG0000028	Shad_tr8272_c3_g3_i1.p1, Shad_tr99432_c0_g1_i1.p1, Shad_tr16010_c0_g1_i12.p1, Shad_tr2614_c1_g1_i5.p1, Shad_tr25188_c0_g2_i3.p1, Shad_tr29221_c1_g1_i2.p1, Shad_tr11953_c0_g1_i5.p1, Shad_tr9089_c2_g1_i26.p1, Shad_tr11744_c2_g1_i2.p1, Shad_tr4266_c0_g1_i5.p1, Shad_tr25353_c0_g1_i2.p1, Shad_tr55101_c0_g1_i2.p1, Shad_tr305_c2_g1_i2.p1, Shad_tr26942_c0_g1_i2.p1, Shad_tr16418_c0_g1_i5.p1	Neno_DN8370_c0_g1_i2.p1
OG0000030	Shad_tr7909_c0_g1_i3.p1, Shad_tr19192_c0_g1_i1.p1, Shad_tr2911_c0_g1_i5.p1	Neno_DN12283_c0_g1_i7.p1
OG0000030	Shad_tr19344_c0_g1_i6.p1, Shad_tr3121_c0_g2_i1.p1, Shad_tr3121_c0_g1_i13.p1	Neno_DN4873_c0_g1_i4.p1, Neno_DN2780_c0_g1_i3.p1, Neno_DN1942_c0_g1_i3.p1
OG0000031	Shad_tr76797_c0_g1_i1.p1, Shad_tr19208_c0_g1_i1.p1, Shad_tr31074_c0_g1_i1.p1, Shad_tr99599_c0_g1_i1.p1	Neno_DN7600_c0_g2_i1.p1
OG0000031	Shad_tr19004_c0_g3_i1.p1, Shad_tr37005_c0_g1_i1.p1, Shad_tr35947_c0_g2_i1.p1, Shad_tr83062_c0_g1_i1.p1, Shad_tr30945_c4_g1_i1.p1, Shad_tr83610_c0_g1_i1.p1, Shad_tr16187_c3_g1_i1.p1, Shad_tr55087_c0_g1_i1.p1	Neno_DN7600_c0_g3_i1.p1
OG0000031	Shad_tr48816_c0_g1_i9.p1, Shad_tr67774_c0_g1_i1.p1, Shad_tr94731_c0_g1_i1.p1, Shad_tr91889_c0_g1_i1.p1, Shad_tr61595_c0_g1_i1.p1, Shad_tr28520_c0_g1_i5.p1	Neno_DN11195_c0_g1_i1.p1
OG0000031	Shad_tr20673_c0_g1_i4.p1, Shad_tr6959_c0_g2_i2.p1	Neno_DN7461_c0_g2_i1.p1
OG0000035	Shad_tr32243_c0_g2_i1.p1	Neno_DN1281_c0_g4_i3.p1
OG0000035	Shad_tr17341_c0_g1_i7.p1, Shad_tr12357_c0_g1_i18.p1	Neno_DN1281_c0_g3_i1.p1
OG0000036	Shad_tr48893_c0_g1_i1.p1, Shad_tr5679_c0_g1_i1.p1, Shad_tr27877_c0_g3_i1.p1	Neno_DN11114_c0_g1_i1.p1
OG0000037	Shad_tr101116_c0_g1_i1.p1	Neno_DN4761_c0_g3_i1.p1
OG0000037	Shad_tr23760_c1_g1_i2.p1, Shad_tr23760_c1_g2_i2.p2	Neno_DN9429_c0_g2_i3.p1
OG0000037	Shad_tr67088_c0_g1_i1.p1	Neno_DN1479_c1_g2_i1.p1
OG0000038	Shad_tr7481_c0_g1_i1.p1	Neno_DN8496_c0_g1_i3.p1
OG0000038	Shad_tr47243_c0_g2_i5.p1	Neno_DN21642_c0_g1_i4.p1
OG0000038	Shad_tr23754_c0_g1_i1.p1, Shad_tr90896_c0_g1_i1.p1	Neno_DN13194_c0_g1_i1.p1
OG0000038	Shad_tr14612_c0_g1_i1.p1, Shad_tr15939_c0_g1_i1.p1	Neno_DN9588_c0_g2_i1.p1
OG0000038	Shad_tr51955_c0_g1_i1.p1, Shad_tr42232_c0_g1_i1.p1	Neno_DN8479_c0_g1_i1.p1
OG0000038	Shad_tr31301_c1_g1_i2.p1	Neno_DN12861_c0_g1_i1.p1
OG0000038	Shad_tr11578_c0_g1_i2.p1	Neno_DN5562_c0_g1_i1.p1
OG0000042	Shad_tr93877_c0_g1_i1.p1	Neno_DN13533_c0_g1_i4.p1
OG0000045	Shad_tr20172_c0_g1_i1.p1	Neno_DN16018_c0_g1_i1.p1
OG0000045	Shad_tr44010_c1_g2_i1.p1, Shad_tr46214_c0_g1_i7.p1, Shad_tr15464_c1_g1_i1.p1	Neno_DN1305_c0_g1_i2.p1, Neno_DN16948_c0_g1_i11.p1, Neno_DN925_c0_g4_i1.p1, Neno_DN1022_c0_g2_i1.p1
OG0000045	Shad_tr6864_c4_g1_i2.p1	Neno_DN2261_c0_g1_i2.p1
OG0000047	Shad_tr5061_c2_g1_i1.p1, Shad_tr55873_c0_g1_i1.p1, Shad_tr55484_c0_g1_i1.p1, Shad_tr14771_c0_g4_i2.p1	Neno_DN7750_c0_g2_i1.p1
OG0000050	Shad_tr31247_c0_g1_i2.p1	Neno_DN21504_c0_g1_i1.p1
OG0000050	Shad_tr72683_c0_g1_i1.p1, Shad_tr33792_c2_g1_i2.p1	Neno_DN10696_c0_g1_i1.p1
OG0000050	Shad_tr108086_c0_g1_i1.p1, Shad_tr9225_c1_g4_i1.p1	Neno_DN10379_c0_g1_i2.p1
OG0000050	Shad_tr5253_c3_g1_i5.p1, Shad_tr15441_c0_g1_i4.p1	Neno_DN19895_c0_g1_i1.p1
OG0000050	Shad_tr38780_c0_g2_i1.p1	Neno_DN10462_c0_g1_i1.p1
OG0000051	Shad_tr112401_c0_g1_i1.p1	Neno_DN6124_c0_g1_i4.p1
OG0000055	Shad_tr26368_c0_g3_i1.p1, Shad_tr95212_c0_g1_i1.p1	Neno_DN12051_c0_g2_i1.p1
OG0000055	Shad_tr47990_c0_g1_i1.p1	Neno_DN14520_c0_g3_i1.p1
OG0000055	Shad_tr5823_c0_g1_i8.p1, Shad_tr6903_c0_g2_i1.p1	Neno_DN11052_c0_g1_i1.p1, Neno_DN13192_c1_g1_i1.p1
OG0000055	Shad_tr32353_c2_g1_i1.p1	Neno_DN9063_c0_g2_i1.p1
OG0000056	Shad_tr22093_c0_g1_i2.p1	Neno_DN11942_c0_g1_i1.p1
OG0000056	Shad_tr98391_c0_g1_i1.p1	Neno_DN2794_c0_g1_i6.p1, Neno_DN10525_c0_g1_i1.p1, Neno_DN5817_c0_g1_i5.p1, Neno_DN10565_c0_g3_i1.p1
OG0000056	Shad_tr2626_c0_g1_i6.p1, Shad_tr10502_c0_g5_i1.p1, Shad_tr15285_c0_g1_i1.p1, Shad_tr12463_c0_g2_i1.p1, Shad_tr5042_c0_g2_i12.p1	Neno_DN1628_c0_g1_i2.p1, Neno_DN163_c0_g1_i1.p1
OG0000059	Shad_tr12314_c0_g1_i1.p1, Shad_tr1473_c0_g3_i2.p1	Neno_DN2505_c0_g1_i4.p1
OG0000059	Shad_tr93714_c0_g1_i1.p1	Neno_DN536_c0_g1_i3.p1
OG0000059	Shad_tr6778_c1_g1_i29.p1	Neno_DN3510_c0_g1_i3.p1
OG0000059	Shad_tr11544_c0_g1_i7.p1	Neno_DN1375_c0_g1_i2.p1
OG0000059	Shad_tr9768_c0_g1_i4.p1	Neno_DN11585_c0_g1_i2.p1
OG0000059	Shad_tr10655_c3_g1_i2.p1	Neno_DN8071_c0_g1_i1.p1
OG0000059	Shad_tr80838_c0_g1_i1.p1, Shad_tr3907_c5_g1_i1.p1, Shad_tr31128_c0_g1_i6.p1	Neno_DN4569_c0_g2_i11.p1
OG0000060	Shad_tr19539_c1_g1_i1.p2, Shad_tr46670_c1_g1_i2.p1	Neno_DN7027_c0_g1_i2.p1
OG0000061	Shad_tr21739_c0_g1_i1.p1	Neno_DN11675_c0_g4_i1.p1
OG0000061	Shad_tr45066_c0_g1_i1.p1	Neno_DN11675_c0_g2_i1.p1
OG0000061	Shad_tr57450_c0_g1_i1.p1, Shad_tr7307_c0_g1_i2.p1	Neno_DN12611_c0_g2_i1.p1, Neno_DN7801_c0_g2_i2.p1, Neno_DN1035_c0_g1_i3.p1
OG0000063	Shad_tr75897_c0_g1_i1.p1, Shad_tr62115_c0_g1_i1.p1, Shad_tr105177_c0_g1_i1.p1, Shad_tr102598_c0_g1_i1.p1, Shad_tr106060_c0_g1_i1.p1, Shad_tr49683_c1_g1_i1.p1, Shad_tr98149_c0_g1_i1.p1, Shad_tr39729_c0_g2_i4.p1, Shad_tr30482_c1_g1_i1.p1, Shad_tr48159_c0_g1_i1.p1, Shad_tr20967_c0_g1_i1.p1	Neno_DN10395_c0_g1_i1.p1
OG0000064	Shad_tr38467_c0_g5_i1.p1, Shad_tr39013_c0_g2_i1.p1, Shad_tr84368_c0_g1_i1.p1, Shad_tr80725_c0_g1_i1.p1, Shad_tr31401_c5_g1_i1.p1, Shad_tr29576_c2_g1_i1.p1, Shad_tr30308_c5_g1_i1.p1, Shad_tr98785_c0_g1_i1.p1, Shad_tr52224_c0_g1_i1.p1, Shad_tr113762_c0_g1_i1.p1, Shad_tr11821_c0_g1_i4.p1, Shad_tr71229_c0_g1_i2.p1, Shad_tr4315_c0_g1_i3.p1, Shad_tr36557_c0_g1_i1.p1	Neno_DN18269_c0_g1_i1.p1
OG0000066	Shad_tr38427_c0_g5_i1.p2, Shad_tr38427_c0_g4_i1.p1, Shad_tr38427_c0_g2_i1.p1, Shad_tr29287_c0_g1_i1.p1, Shad_tr38427_c0_g1_i3.p1, Shad_tr29287_c1_g1_i1.p1, Shad_tr38427_c0_g3_i1.p1, Shad_tr16256_c0_g2_i1.p1, Shad_tr90326_c0_g1_i1.p1, Shad_tr87563_c0_g1_i2.p1, Shad_tr16256_c0_g3_i1.p1, Shad_tr11726_c0_g1_i4.p1, Shad_tr48792_c0_g1_i1.p1, Shad_tr21286_c0_g1_i6.p1, Shad_tr802_c1_g1_i30.p1, Shad_tr2647_c2_g1_i5.p1, Shad_tr19181_c1_g1_i1.p1, Shad_tr21528_c0_g1_i1.p1, Shad_tr65320_c0_g1_i1.p1, Shad_tr53649_c1_g1_i1.p1, Shad_tr29159_c0_g4_i1.p1, Shad_tr25822_c0_g1_i3.p1, Shad_tr19181_c0_g1_i1.p1, Shad_tr96623_c0_g1_i1.p1	Neno_DN6856_c0_g1_i1.p1, Neno_DN3848_c0_g1_i5.p1
OG0000071	Shad_tr67428_c0_g1_i1.p1, Shad_tr76521_c0_g1_i1.p1, Shad_tr105623_c0_g1_i1.p1, Shad_tr112699_c0_g1_i1.p1, Shad_tr15476_c1_g2_i1.p1, Shad_tr75103_c0_g1_i1.p1, Shad_tr35979_c0_g2_i2.p1, Shad_tr44137_c0_g3_i1.p1, Shad_tr19143_c0_g1_i6.p1, Shad_tr23568_c2_g1_i1.p1, Shad_tr18787_c1_g3_i1.p1, Shad_tr52273_c0_g1_i1.p1, Shad_tr54514_c0_g1_i2.p1	Neno_DN5161_c0_g2_i2.p1, Neno_DN19904_c0_g1_i2.p1, Neno_DN5139_c0_g1_i4.p1, Neno_DN18198_c0_g1_i1.p1
OG0000072	Shad_tr56213_c0_g3_i4.p1, Shad_tr7543_c0_g1_i8.p1, Shad_tr7543_c0_g4_i1.p1	Neno_DN8666_c0_g1_i2.p1
OG0000072	Shad_tr3797_c1_g1_i2.p1	Neno_DN2152_c0_g1_i4.p1, Neno_DN9511_c0_g1_i1.p1
OG0000072	Shad_tr4564_c0_g1_i2.p1	Neno_DN3456_c0_g1_i1.p1
OG0000072	Shad_tr50055_c0_g1_i8.p1	Neno_DN11386_c0_g1_i2.p1
OG0000074	Shad_tr11680_c1_g1_i1.p1, Shad_tr31007_c1_g1_i2.p1, Shad_tr23120_c0_g1_i1.p1, Shad_tr13098_c0_g1_i5.p1, Shad_tr11680_c0_g1_i15.p1, Shad_tr7195_c0_g1_i55.p1, Shad_tr16521_c0_g1_i1.p1, Shad_tr1233_c5_g1_i6.p1, Shad_tr47720_c0_g1_i1.p1, Shad_tr11680_c0_g2_i2.p1, Shad_tr86485_c0_g1_i1.p1	Neno_DN17058_c0_g2_i2.p1, Neno_DN5496_c0_g1_i2.p1, Neno_DN297_c1_g2_i6.p1, Neno_DN1243_c0_g1_i5.p1, Neno_DN17058_c0_g3_i2.p1, Neno_DN5818_c0_g2_i1.p1, Neno_DN5818_c0_g1_i2.p1
OG0000075	Shad_tr14455_c0_g1_i1.p2	Neno_DN1121_c2_g1_i2.p1, Neno_DN22779_c0_g2_i1.p1
OG0000076	Shad_tr20542_c0_g1_i5.p1	Neno_DN11579_c0_g1_i8.p1, Neno_DN19902_c0_g1_i1.p1
OG0000078	Shad_tr48869_c0_g1_i1.p1	Neno_DN18235_c0_g1_i2.p1
OG0000079	Shad_tr28433_c0_g1_i1.p1	Neno_DN7107_c0_g2_i1.p1
OG0000080	Shad_tr43662_c0_g2_i1.p1, Shad_tr11109_c0_g1_i1.p1, Shad_tr10910_c1_g2_i2.p1, Shad_tr16109_c3_g1_i1.p1, Shad_tr6780_c3_g1_i1.p1, Shad_tr47931_c0_g1_i1.p1, Shad_tr64098_c0_g1_i1.p1, Shad_tr22621_c5_g1_i5.p1, Shad_tr9680_c0_g1_i1.p1, Shad_tr50095_c1_g1_i1.p1	Neno_DN21792_c0_g2_i1.p1
OG0000080	Shad_tr50095_c0_g1_i1.p1, Shad_tr87258_c0_g1_i1.p1	Neno_DN21792_c0_g1_i1.p1
OG0000083	Shad_tr22764_c0_g1_i6.p1	Neno_DN17512_c0_g1_i3.p1
OG0000084	Shad_tr54236_c0_g1_i1.p1, Shad_tr54236_c0_g2_i1.p1, Shad_tr70562_c0_g1_i2.p1	Neno_DN1533_c0_g1_i2.p1
OG0000086	Shad_tr36911_c0_g1_i1.p1, Shad_tr77425_c0_g1_i1.p1, Shad_tr22397_c0_g1_i8.p1, Shad_tr58445_c0_g1_i1.p1, Shad_tr100204_c0_g1_i1.p1, Shad_tr16733_c0_g1_i4.p1, Shad_tr1443_c3_g1_i1.p1, Shad_tr91195_c0_g1_i1.p1, Shad_tr29896_c1_g2_i1.p1	Neno_DN2461_c0_g1_i1.p1
OG0000087	Shad_tr91217_c0_g1_i1.p1	Neno_DN16485_c0_g2_i1.p1, Neno_DN11643_c0_g1_i4.p1, Neno_DN2309_c0_g1_i1.p1, Neno_DN2095_c0_g1_i4.p1, Neno_DN768_c0_g1_i5.p1, Neno_DN11322_c0_g1_i1.p1
OG0000087	Shad_tr36807_c0_g2_i1.p1, Shad_tr99366_c0_g1_i1.p1, Shad_tr3984_c0_g2_i4.p1, Shad_tr8966_c1_g3_i1.p1, Shad_tr9142_c0_g1_i4.p1, Shad_tr53768_c0_g1_i5.p1, Shad_tr13703_c1_g1_i1.p1, Shad_tr38834_c1_g1_i1.p1	Neno_DN2842_c0_g1_i1.p1
OG0000089	Shad_tr8598_c2_g1_i2.p1	Neno_DN845_c0_g1_i1.p1
OG0000089	Shad_tr1453_c0_g1_i9.p1, Shad_tr32217_c0_g2_i1.p1, Shad_tr6460_c0_g1_i4.p1, Shad_tr6460_c0_g2_i5.p1	Neno_DN8119_c0_g1_i2.p1, Neno_DN5511_c0_g1_i4.p1, Neno_DN8023_c0_g1_i4.p1
OG0000092	Shad_tr462_c1_g2_i1.p1, Shad_tr2759_c1_g1_i3.p1, Shad_tr187_c17_g2_i1.p1, Shad_tr1757_c0_g2_i1.p1	Neno_DN5408_c0_g1_i1.p1, Neno_DN955_c0_g1_i1.p1
