Orthogroup	Stichodactyla_haddoni_longest_pep	Hydra_vulgaris_longest_pep
OG0000002	Shad_tr7064_c0_g1_i4.p1	Hyva_DN8802_c0_g1_i4.p1
OG0000002	Shad_tr48482_c0_g2_i1.p1, Shad_tr34416_c2_g1_i1.p1, Shad_tr32976_c0_g1_i4.p1, Shad_tr2725_c1_g1_i2.p1, Shad_tr24968_c2_g1_i4.p1, Shad_tr28069_c0_g1_i5.p1	Hyva_DN9549_c0_g1_i2.p1
OG0000003	Shad_tr36243_c0_g1_i1.p1	Hyva_DN29613_c0_g1_i1.p1
OG0000003	Shad_tr45996_c0_g1_i3.p1	Hyva_DN31977_c0_g1_i1.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Hyva_DN20155_c0_g1_i1.p1
OG0000003	Shad_tr3554_c0_g1_i19.p1, Shad_tr5139_c0_g1_i6.p1	Hyva_DN3049_c0_g1_i1.p1
OG0000003	Shad_tr931_c7_g1_i1.p1	Hyva_DN37561_c0_g1_i1.p1
OG0000004	Shad_tr97815_c0_g1_i1.p1, Shad_tr110442_c0_g1_i1.p1, Shad_tr35099_c0_g2_i1.p1, Shad_tr37267_c0_g1_i1.p1, Shad_tr12330_c2_g1_i14.p2, Shad_tr41384_c1_g1_i1.p1, Shad_tr101840_c0_g1_i1.p2, Shad_tr3168_c6_g1_i8.p1, Shad_tr52676_c0_g1_i1.p1, Shad_tr95332_c0_g1_i1.p1, Shad_tr103801_c0_g1_i1.p1, Shad_tr58881_c0_g1_i1.p1, Shad_tr100286_c0_g1_i1.p1, Shad_tr2118_c6_g1_i1.p1, Shad_tr42245_c0_g2_i1.p1, Shad_tr51188_c0_g1_i2.p1, Shad_tr16913_c2_g1_i1.p1, Shad_tr61488_c0_g1_i1.p1, Shad_tr8779_c1_g1_i6.p1, Shad_tr30202_c4_g1_i1.p1, Shad_tr65099_c0_g1_i1.p1, Shad_tr29184_c0_g1_i4.p1, Shad_tr13145_c0_g1_i5.p1, Shad_tr31569_c2_g1_i2.p1, Shad_tr5957_c5_g1_i1.p1, Shad_tr115020_c0_g1_i1.p1, Shad_tr108642_c0_g1_i1.p1, Shad_tr47398_c0_g1_i2.p1, Shad_tr14565_c0_g2_i2.p1, Shad_tr51462_c0_g1_i1.p1, Shad_tr81197_c0_g1_i1.p1, Shad_tr53128_c0_g1_i1.p1, Shad_tr25680_c0_g1_i1.p1, Shad_tr84438_c0_g1_i1.p1, Shad_tr34042_c0_g1_i1.p1, Shad_tr39747_c0_g1_i1.p1, Shad_tr30691_c2_g1_i1.p1, Shad_tr60448_c0_g1_i2.p1, Shad_tr33235_c0_g1_i1.p1, Shad_tr48353_c0_g2_i1.p1, Shad_tr5661_c3_g1_i1.p1, Shad_tr25380_c0_g1_i1.p1, Shad_tr52239_c0_g1_i3.p1, Shad_tr27205_c1_g1_i1.p1, Shad_tr13166_c1_g1_i1.p1, Shad_tr17085_c0_g1_i15.p1, Shad_tr24789_c1_g1_i10.p1, Shad_tr13166_c0_g1_i13.p1, Shad_tr38415_c0_g1_i1.p1, Shad_tr21522_c2_g1_i1.p1, Shad_tr6562_c1_g2_i2.p1, Shad_tr32115_c0_g1_i1.p1, Shad_tr53272_c0_g1_i1.p1, Shad_tr26996_c0_g1_i1.p2, Shad_tr32172_c0_g1_i2.p1, Shad_tr45077_c0_g1_i1.p1, Shad_tr10828_c1_g1_i3.p1, Shad_tr14565_c0_g1_i2.p1, Shad_tr8698_c1_g1_i2.p1, Shad_tr5965_c3_g1_i1.p1, Shad_tr26822_c2_g1_i1.p1, Shad_tr43473_c0_g1_i1.p1, Shad_tr32114_c1_g1_i7.p1, Shad_tr28510_c0_g1_i1.p1	Hyva_DN8411_c0_g4_i1.p1, Hyva_DN8411_c0_g3_i1.p1, Hyva_DN7702_c0_g1_i11.p1, Hyva_DN16443_c0_g1_i1.p1
OG0000006	Shad_tr31728_c0_g1_i2.p1, Shad_tr77124_c0_g1_i1.p1, Shad_tr18468_c0_g1_i1.p1, Shad_tr2850_c1_g1_i1.p1, Shad_tr109586_c0_g1_i1.p1, Shad_tr25557_c0_g2_i1.p1, Shad_tr39147_c1_g1_i1.p1, Shad_tr10663_c1_g2_i2.p1, Shad_tr43877_c1_g1_i3.p1, Shad_tr25563_c0_g1_i5.p1, Shad_tr25563_c0_g2_i5.p1, Shad_tr13578_c0_g1_i1.p1, Shad_tr9525_c1_g1_i1.p1, Shad_tr16953_c0_g1_i5.p1, Shad_tr10117_c0_g1_i6.p1, Shad_tr15712_c3_g1_i1.p1, Shad_tr6479_c0_g1_i4.p1, Shad_tr13326_c1_g2_i7.p1, Shad_tr17447_c1_g1_i11.p1, Shad_tr2839_c3_g1_i1.p1, Shad_tr17842_c1_g2_i1.p1, Shad_tr31511_c0_g1_i1.p1, Shad_tr16990_c1_g1_i14.p1, Shad_tr23838_c0_g2_i3.p3, Shad_tr53512_c0_g1_i2.p1, Shad_tr1209_c0_g4_i1.p1, Shad_tr33450_c0_g1_i11.p1, Shad_tr29428_c1_g2_i1.p1, Shad_tr78176_c0_g1_i1.p1, Shad_tr70926_c0_g1_i1.p1, Shad_tr39147_c0_g1_i1.p1, Shad_tr40187_c1_g2_i2.p1, Shad_tr19094_c1_g4_i1.p1, Shad_tr49712_c1_g2_i1.p1, Shad_tr49712_c1_g1_i1.p1, Shad_tr27316_c0_g2_i5.p1, Shad_tr22895_c0_g1_i2.p1, Shad_tr9360_c0_g2_i9.p1, Shad_tr20107_c1_g1_i9.p1, Shad_tr78274_c0_g1_i1.p1	Hyva_DN10739_c0_g2_i1.p1, Hyva_DN29145_c0_g1_i1.p1
OG0000007	Shad_tr114196_c0_g1_i1.p1, Shad_tr112002_c0_g1_i1.p1, Shad_tr16025_c0_g1_i1.p1, Shad_tr9482_c0_g1_i10.p1, Shad_tr57168_c0_g1_i1.p1, Shad_tr86959_c0_g1_i1.p1, Shad_tr27395_c0_g1_i1.p1, Shad_tr2749_c1_g2_i1.p1, Shad_tr2749_c1_g1_i1.p1, Shad_tr35237_c0_g2_i1.p1, Shad_tr87403_c0_g1_i1.p1, Shad_tr8688_c0_g2_i3.p1, Shad_tr51167_c0_g1_i1.p1, Shad_tr28462_c2_g1_i1.p1, Shad_tr11126_c0_g1_i4.p1, Shad_tr36106_c0_g2_i2.p1, Shad_tr36106_c5_g1_i1.p1, Shad_tr29986_c3_g1_i1.p1, Shad_tr100866_c0_g1_i1.p1, Shad_tr79679_c0_g1_i1.p1, Shad_tr17542_c0_g1_i1.p1, Shad_tr18436_c0_g1_i2.p1, Shad_tr36106_c0_g1_i2.p1, Shad_tr4677_c2_g1_i1.p1, Shad_tr36106_c2_g1_i2.p1, Shad_tr36106_c0_g3_i1.p1, Shad_tr85359_c0_g1_i1.p1, Shad_tr54756_c0_g1_i1.p1, Shad_tr69242_c0_g1_i1.p1, Shad_tr9775_c0_g1_i1.p1, Shad_tr64130_c0_g1_i1.p1, Shad_tr15166_c2_g1_i2.p1, Shad_tr87301_c0_g1_i1.p1, Shad_tr38195_c0_g1_i1.p1, Shad_tr36595_c0_g1_i1.p1, Shad_tr17402_c0_g1_i2.p1	Hyva_DN13456_c0_g1_i1.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Hyva_DN10619_c0_g2_i4.p1
OG0000008	Shad_tr15555_c1_g3_i1.p1	Hyva_DN27404_c0_g1_i1.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Hyva_DN37977_c0_g1_i1.p1
OG0000008	Shad_tr8884_c0_g3_i3.p1	Hyva_DN29502_c0_g4_i1.p1
OG0000008	Shad_tr29203_c2_g1_i1.p2	Hyva_DN27089_c0_g1_i1.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Hyva_DN17437_c0_g2_i1.p1, Hyva_DN16591_c0_g1_i1.p1, Hyva_DN17437_c0_g1_i1.p1
OG0000008	Shad_tr8884_c0_g2_i5.p1	Hyva_DN26664_c0_g1_i1.p1
OG0000008	Shad_tr6342_c0_g1_i3.p1	Hyva_DN18235_c0_g1_i1.p1
OG0000010	Shad_tr30253_c0_g1_i1.p1, Shad_tr50345_c0_g1_i2.p1, Shad_tr54979_c0_g1_i1.p1	Hyva_DN16521_c0_g1_i1.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Hyva_DN5041_c0_g1_i5.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Hyva_DN7395_c0_g1_i6.p1
OG0000010	Shad_tr31771_c0_g1_i3.p1, Shad_tr1427_c5_g1_i2.p1, Shad_tr51748_c0_g1_i1.p1, Shad_tr24708_c0_g3_i1.p1, Shad_tr22541_c3_g1_i3.p1, Shad_tr69948_c0_g1_i1.p1, Shad_tr10798_c4_g1_i7.p1, Shad_tr29233_c0_g1_i2.p1, Shad_tr91861_c0_g1_i1.p1, Shad_tr73_c19_g1_i3.p1	Hyva_DN2841_c0_g1_i2.p1, Hyva_DN10094_c0_g1_i3.p1, Hyva_DN8116_c0_g1_i5.p1, Hyva_DN6904_c0_g1_i3.p1, Hyva_DN18378_c0_g1_i1.p1, Hyva_DN14339_c0_g1_i4.p1
OG0000010	Shad_tr23864_c0_g1_i1.p1	Hyva_DN7116_c0_g1_i2.p1, Hyva_DN6927_c0_g1_i8.p1, Hyva_DN5621_c0_g1_i1.p1
OG0000011	Shad_tr21291_c0_g1_i1.p1	Hyva_DN11718_c0_g1_i6.p1
OG0000011	Shad_tr19076_c0_g2_i11.p1	Hyva_DN6200_c0_g1_i2.p1, Hyva_DN1334_c0_g2_i2.p1, Hyva_DN14295_c0_g1_i1.p1, Hyva_DN1334_c0_g1_i1.p1
OG0000011	Shad_tr32278_c0_g1_i2.p1	Hyva_DN5044_c0_g1_i3.p1
OG0000011	Shad_tr11490_c0_g1_i3.p1	Hyva_DN5151_c0_g1_i3.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Hyva_DN11423_c0_g1_i2.p1
OG0000011	Shad_tr40287_c0_g1_i1.p1, Shad_tr2992_c1_g5_i1.p1	Hyva_DN4910_c0_g1_i4.p1
OG0000011	Shad_tr6064_c1_g1_i1.p1, Shad_tr3847_c0_g1_i2.p1, Shad_tr12213_c0_g1_i1.p1, Shad_tr11801_c0_g1_i5.p1	Hyva_DN5863_c0_g1_i2.p1, Hyva_DN1430_c0_g1_i4.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1, Shad_tr216_c0_g1_i7.p1, Shad_tr6003_c0_g1_i16.p1, Shad_tr3827_c0_g1_i11.p1, Shad_tr28266_c0_g1_i1.p1, Shad_tr1481_c2_g1_i1.p1	Hyva_DN19017_c0_g1_i1.p1
OG0000012	Shad_tr33162_c0_g1_i1.p1, Shad_tr30303_c5_g1_i1.p1, Shad_tr53256_c0_g1_i1.p1, Shad_tr56723_c0_g2_i3.p1	Hyva_DN19944_c2_g1_i5.p1
OG0000012	Shad_tr34742_c0_g1_i2.p1, Shad_tr33830_c1_g1_i2.p2, Shad_tr41967_c2_g1_i1.p1	Hyva_DN7011_c0_g1_i1.p1
OG0000014	Shad_tr30525_c0_g1_i1.p1, Shad_tr4904_c3_g1_i1.p1	Hyva_DN3973_c0_g1_i4.p1
OG0000014	Shad_tr57926_c0_g1_i1.p1	Hyva_DN2963_c1_g1_i2.p1
OG0000014	Shad_tr86159_c0_g1_i1.p1	Hyva_DN18899_c0_g1_i1.p1
OG0000015	Shad_tr91068_c0_g1_i1.p1	Hyva_DN22589_c0_g1_i1.p1, Hyva_DN39378_c0_g1_i1.p1, Hyva_DN16716_c0_g1_i2.p1, Hyva_DN13798_c0_g1_i1.p1, Hyva_DN9877_c0_g1_i3.p1, Hyva_DN19880_c0_g2_i1.p1, Hyva_DN11148_c0_g1_i5.p1
OG0000016	Shad_tr36090_c0_g1_i7.p1	Hyva_DN2300_c0_g1_i16.p1
OG0000016	Shad_tr30195_c0_g1_i1.p1, Shad_tr14208_c0_g2_i2.p1	Hyva_DN19061_c0_g1_i1.p1, Hyva_DN17452_c0_g1_i1.p1, Hyva_DN17452_c0_g2_i1.p1, Hyva_DN33582_c0_g1_i1.p1, Hyva_DN3242_c0_g1_i1.p1
OG0000016	Shad_tr20659_c0_g1_i29.p1, Shad_tr56139_c0_g1_i5.p1	Hyva_DN8693_c0_g1_i4.p1
OG0000018	Shad_tr33408_c0_g1_i1.p1, Shad_tr4944_c1_g1_i16.p1, Shad_tr27589_c1_g1_i2.p1, Shad_tr27589_c0_g4_i1.p1, Shad_tr27589_c0_g1_i2.p1, Shad_tr22586_c2_g3_i1.p1, Shad_tr42991_c0_g1_i10.p1, Shad_tr28733_c0_g3_i3.p1, Shad_tr28733_c0_g1_i2.p1, Shad_tr41369_c0_g1_i3.p1, Shad_tr40675_c0_g1_i2.p1, Shad_tr40314_c0_g1_i1.p1, Shad_tr59276_c0_g1_i1.p1, Shad_tr36296_c0_g1_i3.p1, Shad_tr37725_c0_g2_i1.p1, Shad_tr21895_c0_g1_i19.p1, Shad_tr4352_c1_g1_i6.p1, Shad_tr108593_c0_g1_i1.p1, Shad_tr84814_c0_g1_i1.p1, Shad_tr34599_c1_g1_i2.p1, Shad_tr34599_c0_g1_i12.p1, Shad_tr97856_c0_g1_i1.p1, Shad_tr40347_c0_g1_i1.p1, Shad_tr44625_c0_g1_i1.p1, Shad_tr34599_c0_g2_i1.p1, Shad_tr177_c0_g1_i2.p1	Hyva_DN3311_c0_g1_i2.p1
OG0000019	Shad_tr4304_c2_g1_i1.p1, Shad_tr96670_c0_g1_i1.p1, Shad_tr10666_c4_g1_i1.p1	Hyva_DN11264_c0_g1_i4.p1
OG0000020	Shad_tr20558_c0_g1_i2.p1, Shad_tr6108_c0_g1_i14.p1, Shad_tr4487_c0_g2_i2.p1, Shad_tr4487_c0_g1_i2.p1, Shad_tr30308_c0_g1_i14.p1, Shad_tr21849_c0_g1_i2.p1	Hyva_DN5165_c0_g1_i1.p1, Hyva_DN10173_c0_g1_i2.p1
OG0000020	Shad_tr11067_c1_g1_i1.p1	Hyva_DN6330_c0_g1_i4.p1, Hyva_DN13889_c0_g1_i7.p1, Hyva_DN3770_c0_g1_i5.p1, Hyva_DN655_c0_g2_i2.p1
OG0000022	Shad_tr6315_c0_g1_i11.p1	Hyva_DN6859_c0_g1_i5.p1
OG0000022	Shad_tr16040_c0_g1_i2.p1, Shad_tr33937_c0_g1_i2.p1	Hyva_DN11624_c0_g3_i1.p1, Hyva_DN18011_c0_g3_i2.p1, Hyva_DN12394_c1_g2_i1.p1, Hyva_DN9812_c0_g1_i3.p1, Hyva_DN3694_c0_g3_i1.p1, Hyva_DN7306_c0_g1_i2.p1, Hyva_DN11031_c0_g1_i1.p1, Hyva_DN8795_c0_g1_i1.p1, Hyva_DN12394_c1_g1_i4.p1, Hyva_DN10508_c0_g1_i4.p1, Hyva_DN11624_c0_g2_i1.p1, Hyva_DN11624_c0_g1_i1.p1, Hyva_DN12394_c0_g2_i1.p1, Hyva_DN12394_c0_g3_i1.p1, Hyva_DN14778_c0_g1_i1.p1, Hyva_DN12394_c0_g1_i1.p1, Hyva_DN3272_c0_g1_i10.p1, Hyva_DN10508_c0_g3_i1.p1, Hyva_DN18011_c0_g2_i1.p1, Hyva_DN12602_c0_g1_i1.p1, Hyva_DN10508_c0_g2_i1.p1, Hyva_DN9064_c0_g1_i3.p1, Hyva_DN20095_c0_g2_i4.p1
OG0000022	Shad_tr51852_c1_g1_i1.p1, Shad_tr28775_c0_g1_i5.p1	Hyva_DN13410_c0_g1_i1.p1, Hyva_DN152_c0_g1_i2.p1, Hyva_DN13410_c0_g2_i1.p1
OG0000022	Shad_tr56942_c0_g3_i1.p1	Hyva_DN19603_c0_g1_i1.p1
OG0000024	Shad_tr57338_c0_g1_i1.p1	Hyva_DN4997_c0_g2_i1.p1, Hyva_DN8387_c0_g1_i1.p1
OG0000024	Shad_tr15840_c0_g1_i2.p1, Shad_tr21228_c0_g1_i1.p1	Hyva_DN460_c0_g1_i10.p1
OG0000024	Shad_tr57496_c0_g1_i1.p1, Shad_tr51654_c0_g1_i1.p1	Hyva_DN4997_c0_g1_i1.p1
OG0000025	Shad_tr19746_c0_g1_i16.p1, Shad_tr99116_c0_g1_i1.p1, Shad_tr16656_c0_g1_i2.p1, Shad_tr103313_c0_g1_i1.p1, Shad_tr30932_c0_g2_i1.p1, Shad_tr19062_c0_g1_i1.p1, Shad_tr114414_c0_g1_i1.p1, Shad_tr56931_c0_g1_i1.p1, Shad_tr18197_c1_g1_i7.p1, Shad_tr11987_c1_g1_i1.p1, Shad_tr43825_c0_g2_i1.p1, Shad_tr2775_c1_g1_i3.p1, Shad_tr54035_c4_g1_i1.p1, Shad_tr84240_c0_g1_i1.p1, Shad_tr18475_c0_g3_i2.p1, Shad_tr93606_c0_g1_i1.p1, Shad_tr31067_c0_g2_i4.p1, Shad_tr2428_c0_g1_i3.p1, Shad_tr85246_c0_g1_i1.p1, Shad_tr34050_c0_g1_i7.p2, Shad_tr35152_c0_g1_i1.p1, Shad_tr72593_c0_g1_i1.p1, Shad_tr55_c11_g1_i1.p1, Shad_tr62323_c0_g1_i1.p1, Shad_tr17481_c0_g2_i1.p1, Shad_tr25003_c2_g1_i1.p1, Shad_tr16009_c1_g1_i9.p1, Shad_tr32405_c1_g1_i3.p1	Hyva_DN2613_c0_g2_i1.p1
OG0000026	Shad_tr30931_c0_g1_i2.p1	Hyva_DN7423_c0_g1_i1.p1
OG0000026	Shad_tr28250_c0_g1_i3.p1	Hyva_DN2003_c0_g1_i3.p1
OG0000026	Shad_tr44288_c0_g1_i3.p1, Shad_tr17855_c0_g1_i1.p1, Shad_tr4067_c1_g1_i4.p1, Shad_tr11094_c0_g2_i7.p1, Shad_tr2382_c4_g1_i1.p1, Shad_tr12716_c0_g2_i3.p1, Shad_tr1062_c7_g1_i1.p1, Shad_tr112_c31_g1_i1.p1, Shad_tr35328_c0_g1_i2.p1	Hyva_DN10465_c0_g1_i1.p1
OG0000027	Shad_tr20640_c0_g3_i4.p1	Hyva_DN31355_c0_g1_i6.p1
OG0000027	Shad_tr77395_c0_g1_i1.p1, Shad_tr83383_c0_g1_i1.p1, Shad_tr44254_c1_g1_i1.p1	Hyva_DN19804_c0_g1_i1.p1
OG0000027	Shad_tr37659_c0_g1_i1.p1	Hyva_DN10323_c0_g1_i3.p1, Hyva_DN13249_c1_g1_i1.p1
OG0000027	Shad_tr46417_c0_g1_i3.p1, Shad_tr8439_c0_g3_i1.p1, Shad_tr80138_c0_g1_i1.p1, Shad_tr20774_c2_g1_i1.p1, Shad_tr21177_c0_g1_i1.p1	Hyva_DN13249_c0_g3_i2.p1, Hyva_DN1656_c1_g2_i5.p1, Hyva_DN15942_c0_g1_i7.p2
OG0000030	Shad_tr7909_c0_g1_i3.p1, Shad_tr19192_c0_g1_i1.p1, Shad_tr2911_c0_g1_i5.p1	Hyva_DN16106_c0_g1_i4.p1
OG0000030	Shad_tr40907_c0_g1_i4.p1	Hyva_DN3322_c0_g1_i2.p1
OG0000030	Shad_tr19344_c0_g1_i6.p1, Shad_tr3121_c0_g2_i1.p1, Shad_tr3121_c0_g1_i13.p1	Hyva_DN10388_c0_g3_i1.p1, Hyva_DN6440_c0_g3_i2.p1
OG0000031	Shad_tr48816_c0_g1_i9.p1, Shad_tr67774_c0_g1_i1.p1, Shad_tr94731_c0_g1_i1.p1, Shad_tr91889_c0_g1_i1.p1, Shad_tr61595_c0_g1_i1.p1, Shad_tr28520_c0_g1_i5.p1	Hyva_DN8035_c0_g2_i1.p1, Hyva_DN8035_c0_g1_i5.p1
OG0000033	Shad_tr12242_c0_g1_i3.p1, Shad_tr25242_c0_g1_i4.p1, Shad_tr2679_c0_g1_i16.p1, Shad_tr4204_c0_g1_i10.p1, Shad_tr30739_c0_g1_i2.p1, Shad_tr44173_c0_g1_i1.p1, Shad_tr3680_c2_g1_i3.p1, Shad_tr25393_c0_g2_i3.p1, Shad_tr80971_c0_g1_i1.p1, Shad_tr923_c0_g2_i1.p1, Shad_tr83240_c0_g1_i1.p1, Shad_tr22083_c0_g1_i5.p1, Shad_tr24409_c0_g1_i3.p1, Shad_tr8167_c0_g1_i8.p2, Shad_tr22829_c0_g1_i4.p1, Shad_tr1724_c1_g1_i5.p1, Shad_tr59393_c0_g1_i1.p1, Shad_tr33758_c0_g1_i1.p1, Shad_tr92341_c0_g1_i1.p1, Shad_tr61842_c0_g1_i1.p1	Hyva_DN17045_c0_g1_i5.p2, Hyva_DN16926_c0_g1_i2.p2, Hyva_DN8787_c0_g1_i2.p1, Hyva_DN10828_c0_g1_i1.p1, Hyva_DN14406_c0_g1_i1.p1, Hyva_DN13467_c0_g2_i6.p1, Hyva_DN24251_c0_g2_i2.p1, Hyva_DN13380_c0_g1_i5.p1, Hyva_DN2853_c0_g1_i3.p1, Hyva_DN30545_c0_g1_i1.p1, Hyva_DN24989_c0_g1_i1.p1, Hyva_DN5727_c0_g1_i7.p1, Hyva_DN8505_c0_g2_i2.p1, Hyva_DN5883_c0_g1_i4.p1, Hyva_DN11485_c0_g1_i2.p1, Hyva_DN35117_c0_g1_i1.p1, Hyva_DN22180_c0_g3_i1.p1, Hyva_DN6225_c0_g1_i1.p1, Hyva_DN18155_c0_g1_i2.p1
OG0000034	Shad_tr8232_c2_g1_i1.p1, Shad_tr3933_c0_g1_i6.p1, Shad_tr40984_c2_g1_i1.p1, Shad_tr5597_c0_g1_i34.p1, Shad_tr39406_c0_g1_i6.p1, Shad_tr419_c2_g1_i1.p1, Shad_tr472_c0_g3_i3.p1, Shad_tr16321_c0_g1_i1.p1, Shad_tr49991_c0_g1_i4.p1, Shad_tr3880_c1_g1_i4.p1, Shad_tr12634_c0_g1_i2.p1, Shad_tr104260_c0_g1_i1.p1, Shad_tr58980_c0_g1_i1.p1	Hyva_DN818_c0_g1_i3.p1, Hyva_DN16198_c0_g1_i5.p1, Hyva_DN470_c0_g1_i5.p1, Hyva_DN3611_c0_g2_i2.p1
OG0000035	Shad_tr26547_c0_g1_i1.p1, Shad_tr25847_c0_g1_i1.p1, Shad_tr77693_c0_g1_i1.p1, Shad_tr25443_c1_g1_i1.p1, Shad_tr12310_c0_g1_i2.p1	Hyva_DN9171_c0_g3_i1.p1, Hyva_DN5347_c0_g1_i3.p1, Hyva_DN4972_c0_g1_i1.p1, Hyva_DN6725_c0_g2_i3.p1, Hyva_DN3652_c0_g1_i11.p1, Hyva_DN9334_c0_g1_i2.p1, Hyva_DN8461_c0_g1_i5.p1, Hyva_DN17806_c0_g2_i3.p1, Hyva_DN19264_c0_g1_i1.p1, Hyva_DN2934_c1_g4_i1.p1, Hyva_DN22509_c0_g1_i2.p1, Hyva_DN16372_c0_g1_i4.p2
OG0000036	Shad_tr27184_c2_g2_i1.p1, Shad_tr722_c0_g1_i4.p1, Shad_tr15962_c0_g1_i8.p1, Shad_tr27413_c0_g1_i2.p1, Shad_tr52237_c0_g1_i1.p1, Shad_tr33512_c0_g1_i3.p1, Shad_tr29947_c0_g1_i15.p1	Hyva_DN17831_c0_g1_i1.p1, Hyva_DN1578_c0_g2_i1.p1, Hyva_DN1578_c0_g1_i1.p1, Hyva_DN37553_c0_g1_i1.p1, Hyva_DN5563_c0_g1_i1.p1, Hyva_DN3304_c0_g2_i1.p1, Hyva_DN3304_c0_g3_i1.p1, Hyva_DN37351_c0_g1_i1.p1, Hyva_DN10665_c0_g1_i1.p1, Hyva_DN2301_c0_g1_i2.p1, Hyva_DN3539_c0_g1_i1.p1, Hyva_DN5477_c0_g1_i1.p1, Hyva_DN2515_c0_g1_i1.p1
OG0000038	Shad_tr7481_c0_g1_i1.p1	Hyva_DN10078_c0_g2_i1.p1, Hyva_DN10078_c0_g1_i3.p1
OG0000038	Shad_tr47243_c0_g2_i5.p1	Hyva_DN5037_c0_g1_i1.p1
