Orthogroup,Stichodactyla_haddoni_longest_pep,Stichidactyla_gigantea_longest_pep,Heteractic_macgnifica_longest_pep,Heteractis_crispa_longest_pep,Stichodactyla_mertensi_longest_pep,Heteractis_aurelias_longest_pep,Entacmea_quadricolor_longest_pep,Heterodactyla_longest_pep,Macrodactyla_doreensis_longest_pep,Oulactis_longest_pep,Actinia_tenebrosa_longest_pep,Galaxea_fascicularis_longest_pep,Anthopleura_dowii_longest_pep,Nematostella_vectensis_longest_pep,Nemopilema_nomurai_longest_pep,Hydra_vulgaris_longest_pep,Sanderia_malayensis_longest_pep,Cyanea_capillata_longest_pep,Chironex_fleckeri_longest_pep,Chrysaora_fuscescens_longest_pep
OG0000147,Shad_tr1019_c3_g1_i8.p1,Sgig_tr10710_c0_g2_i2.p1,Hmag_tr3871_c3_g1_i3.p1,Hcri_tr8133_c0_g1_i1.p1,Smer_tr13472_c1_g2_i1.p1,Haur_tr14022_c1_g1_i1.p1,Equa_tr2912_c0_g2_i1.p1,Hetdac_DN26459_c0_g1_i2.p1,Macdac_DN3678_c0_g1_i2.p1,Oula_DN9170_c0_g1_i7.p1,Acte_DN22382_c0_g1_i1.p1,Gafa_DN78029_c0_g1_i6.p1,Ando_DN18749_c0_g1_i1.p1,Neva_DN2699_c1_g1_i2.p1,Neno_DN32_c0_g1_i3.p1,Hyva_DN13447_c0_g2_i2.p1,Sama_DN3719_c0_g1_i1.p1,Cyca_DN4579_c0_g1_i2.p1,"Chfl_DN3814_c0_g2_i1.p1, Chfl_DN3814_c0_g3_i1.p1",Chfu_DN9557_c0_g3_i1.p1
OG0000156,Shad_tr1090_c1_g1_i2.p1,Sgig_tr5185_c0_g1_i4.p1,Hmag_tr13108_c0_g1_i5.p1,Hcri_tr13787_c0_g1_i1.p1,Smer_tr19654_c0_g1_i4.p1,Haur_tr3096_c1_g1_i1.p1,Equa_tr15125_c0_g4_i1.p1,Hetdac_DN37392_c0_g1_i1.p1,Macdac_DN4515_c0_g2_i4.p1,Oula_DN4760_c0_g1_i1.p1,Acte_DN14410_c0_g1_i1.p1,Gafa_DN10996_c0_g1_i1.p1,Ando_DN1851_c0_g1_i3.p1,Neva_DN535_c0_g2_i7.p1,Neno_DN3567_c0_g1_i3.p1,"Hyva_DN1128_c0_g1_i7.p1, Hyva_DN6364_c0_g1_i5.p1","Sama_DN6037_c0_g1_i1.p1, Sama_DN6037_c0_g3_i1.p1, Sama_DN2239_c0_g1_i1.p1","Cyca_DN372_c0_g1_i1.p1, Cyca_DN372_c0_g2_i1.p1, Cyca_DN372_c0_g3_i1.p1",Chfl_DN3808_c0_g1_i2.p1,"Chfu_DN10307_c0_g3_i1.p1, Chfu_DN10307_c0_g1_i1.p1, Chfu_DN10307_c0_g2_i1.p1"
OG0000156,Shad_tr23275_c0_g1_i14.p1,Sgig_tr9991_c0_g1_i1.p1,Hmag_tr18656_c0_g3_i5.p1,Hcri_tr4486_c0_g2_i2.p1,Smer_tr8758_c0_g1_i1.p1,Haur_tr186_c0_g1_i1.p1,Equa_tr2998_c1_g2_i1.p1,Hetdac_DN1647_c1_g1_i1.p1,Macdac_DN4171_c0_g1_i4.p1,Oula_DN2891_c0_g1_i7.p1,Acte_DN1097_c1_g1_i1.p1,Gafa_DN5814_c0_g1_i2.p1,Ando_DN4870_c0_g1_i1.p1,Neva_DN243_c0_g2_i1.p1,Neno_DN5998_c0_g1_i1.p1,Hyva_DN8728_c0_g1_i3.p1,Sama_DN10248_c0_g1_i1.p1,Cyca_DN13739_c0_g3_i1.p1,Chfl_DN3144_c0_g1_i1.p1,Chfu_DN2491_c0_g1_i1.p1
OG0000163,Shad_tr4385_c0_g1_i4.p1,Sgig_tr15823_c0_g1_i4.p1,Hmag_tr7205_c0_g1_i8.p1,Hcri_tr25843_c0_g1_i8.p1,Smer_tr22801_c0_g1_i8.p1,Haur_tr15362_c0_g1_i1.p1,Equa_tr34221_c1_g2_i2.p1,Hetdac_DN848_c0_g1_i3.p1,Macdac_DN7008_c0_g1_i1.p1,Oula_DN4345_c0_g1_i6.p1,Acte_DN3522_c0_g1_i1.p1,Gafa_DN13106_c0_g1_i2.p1,Ando_DN3332_c0_g1_i1.p1,Neva_DN3975_c0_g1_i12.p1,Neno_DN242_c0_g1_i13.p1,Hyva_DN2721_c0_g2_i1.p1,Sama_DN341_c0_g1_i1.p1,Cyca_DN11008_c0_g1_i1.p1,Chfl_DN8688_c0_g1_i1.p1,Chfu_DN1969_c0_g2_i4.p1
OG0000195,Shad_tr11151_c1_g1_i11.p1,Sgig_tr5548_c0_g1_i8.p1,Hmag_tr7031_c0_g1_i1.p1,Hcri_tr30586_c0_g1_i1.p1,Smer_tr22695_c0_g1_i7.p1,Haur_tr6039_c0_g1_i3.p1,Equa_tr21227_c0_g1_i1.p1,Hetdac_DN3160_c0_g1_i2.p1,Macdac_DN54340_c0_g1_i1.p1,Oula_DN3843_c0_g1_i1.p1,Acte_DN7944_c0_g1_i2.p1,Gafa_DN9437_c0_g1_i1.p1,"Ando_DN26085_c0_g1_i1.p1, Ando_DN27484_c0_g1_i1.p1",Neva_DN2017_c1_g2_i1.p1,Neno_DN6729_c0_g1_i2.p1,Hyva_DN10324_c0_g1_i2.p1,Sama_DN2551_c0_g1_i1.p1,Cyca_DN6024_c0_g1_i2.p1,Chfl_DN1513_c0_g1_i1.p1,Chfu_DN2731_c0_g1_i1.p1
OG0000206,Shad_tr28399_c0_g1_i3.p1,Sgig_tr5979_c0_g1_i6.p1,Hmag_tr852_c0_g1_i13.p1,Hcri_tr9751_c0_g1_i3.p1,Smer_tr31838_c0_g2_i5.p1,Haur_tr10148_c0_g1_i2.p1,Equa_tr792_c1_g1_i3.p1,Hetdac_DN5023_c0_g1_i3.p1,Macdac_DN3576_c1_g1_i3.p1,Oula_DN13290_c0_g1_i3.p1,Acte_DN11077_c0_g1_i1.p1,Gafa_DN12424_c3_g2_i2.p1,"Ando_DN12705_c0_g2_i1.p1, Ando_DN12705_c0_g1_i1.p1",Neva_DN1734_c2_g1_i6.p1,"Neno_DN146_c0_g2_i1.p1, Neno_DN146_c0_g4_i1.p1",Hyva_DN241_c0_g2_i1.p1,"Sama_DN11544_c0_g1_i1.p1, Sama_DN12924_c0_g1_i1.p1",Cyca_DN23273_c0_g1_i1.p1,Chfl_DN3883_c0_g1_i5.p1,"Chfu_DN12222_c0_g1_i1.p1, Chfu_DN9761_c0_g1_i1.p1"
OG0000215,Shad_tr15621_c0_g1_i1.p1,Sgig_tr17195_c0_g1_i7.p1,Hmag_tr28169_c0_g1_i5.p1,Hcri_tr12507_c0_g3_i2.p1,Smer_tr10574_c2_g1_i1.p1,Haur_tr24567_c0_g2_i3.p1,Equa_tr53351_c0_g1_i1.p1,Hetdac_DN12283_c0_g1_i1.p1,Macdac_DN2342_c0_g1_i10.p1,Oula_DN18900_c0_g1_i3.p1,Acte_DN8805_c0_g1_i2.p2,Gafa_DN22214_c0_g1_i3.p1,Ando_DN11030_c0_g1_i1.p1,Neva_DN6901_c0_g2_i2.p1,Neno_DN2235_c0_g1_i4.p1,Hyva_DN6300_c0_g1_i6.p1,Sama_DN3307_c0_g1_i1.p1,Cyca_DN805_c0_g1_i2.p1,Chfl_DN8767_c0_g1_i1.p1,Chfu_DN3056_c0_g1_i1.p1
OG0000215,Shad_tr32033_c0_g1_i10.p1,Sgig_tr43812_c0_g1_i2.p1,Hmag_tr13570_c0_g1_i11.p1,Hcri_tr16587_c0_g1_i1.p1,Smer_tr1448_c2_g1_i1.p1,Haur_tr5264_c2_g1_i1.p1,Equa_tr18439_c1_g2_i3.p1,Hetdac_DN15582_c0_g1_i2.p1,Macdac_DN6571_c0_g1_i3.p1,Oula_DN5030_c0_g2_i1.p1,Acte_DN6276_c0_g2_i1.p1,Gafa_DN18800_c0_g1_i1.p1,Ando_DN8210_c0_g1_i1.p1,Neva_DN18928_c0_g1_i1.p1,Neno_DN2850_c0_g1_i1.p1,Hyva_DN1036_c0_g1_i3.p1,Sama_DN13313_c0_g1_i1.p1,Cyca_DN33369_c0_g1_i1.p1,Chfl_DN13633_c0_g1_i1.p1,Chfu_DN4823_c0_g2_i1.p1
OG0000216,Shad_tr88102_c0_g1_i1.p1,Sgig_tr299_c0_g1_i1.p1,Hmag_tr347_c0_g1_i1.p1,Hcri_tr2856_c0_g1_i1.p1,Smer_tr75281_c0_g1_i1.p1,Haur_tr231_c0_g1_i1.p1,Equa_tr21142_c0_g1_i1.p1,Hetdac_DN3661_c0_g1_i1.p1,Macdac_DN20717_c0_g1_i1.p1,Oula_DN9417_c0_g1_i1.p1,Acte_DN331_c0_g1_i1.p1,"Gafa_DN25359_c0_g2_i1.p1, Gafa_DN59572_c0_g1_i1.p1, Gafa_DN25359_c0_g1_i2.p1, Gafa_DN84054_c0_g1_i1.p1, Gafa_DN137368_c0_g1_i1.p2",Ando_DN25435_c0_g1_i1.p1,"Neva_DN7250_c0_g1_i4.p1, Neva_DN13280_c0_g2_i1.p1, Neva_DN13280_c0_g1_i1.p1, Neva_DN62162_c4_g1_i1.p1",Neno_DN5771_c0_g2_i1.p1,"Hyva_DN9200_c0_g1_i1.p1, Hyva_DN4444_c0_g1_i1.p1","Sama_DN11983_c0_g1_i1.p1, Sama_DN12414_c0_g1_i1.p1",Cyca_DN371_c0_g2_i2.p1,Chfl_DN3725_c0_g2_i1.p1,Chfu_DN326_c0_g1_i7.p1
OG0000237,Shad_tr8737_c2_g1_i1.p1,Sgig_tr865_c9_g1_i1.p1,Hmag_tr4837_c3_g1_i1.p1,Hcri_tr11497_c0_g1_i2.p1,Smer_tr3324_c3_g1_i1.p1,Haur_tr9939_c0_g2_i1.p1,Equa_tr27575_c0_g1_i2.p1,Hetdac_DN2881_c0_g1_i1.p1,Macdac_DN3807_c0_g1_i1.p1,Oula_DN3160_c1_g1_i1.p1,Acte_DN5714_c0_g1_i1.p1,Gafa_DN2454_c2_g1_i1.p1,Ando_DN5045_c0_g1_i2.p1,Neva_DN3343_c0_g2_i1.p1,Neno_DN8890_c0_g1_i2.p1,Hyva_DN5737_c0_g1_i6.p1,Sama_DN3405_c0_g1_i1.p1,Cyca_DN17015_c0_g1_i2.p1,Chfl_DN682_c0_g1_i2.p1,Chfu_DN9299_c0_g1_i1.p1
OG0000247,Shad_tr5388_c1_g1_i4.p1,Sgig_tr10152_c0_g1_i2.p1,Hmag_tr4208_c0_g2_i1.p1,Hcri_tr5681_c0_g1_i1.p1,Smer_tr3067_c2_g1_i2.p1,Haur_tr11548_c0_g2_i1.p1,Equa_tr9097_c0_g2_i2.p1,Hetdac_DN15784_c0_g1_i1.p1,"Macdac_DN10105_c1_g1_i1.p1, Macdac_DN3349_c0_g1_i2.p1",Oula_DN2560_c1_g4_i2.p1,Acte_DN514_c0_g1_i13.p1,Gafa_DN14046_c0_g2_i1.p1,Ando_DN3551_c0_g1_i1.p1,Neva_DN7358_c0_g1_i3.p1,Neno_DN6705_c0_g1_i1.p1,Hyva_DN15702_c0_g2_i2.p1,Sama_DN8320_c0_g1_i1.p1,"Cyca_DN13460_c0_g1_i2.p1, Cyca_DN30100_c0_g1_i1.p1",Chfl_DN17183_c0_g1_i1.p1,Chfu_DN14254_c0_g1_i1.p1
OG0000288,Shad_tr12222_c0_g1_i1.p1,Sgig_tr1067_c0_g1_i1.p1,Hmag_tr6078_c0_g2_i1.p1,Hcri_tr13845_c0_g3_i1.p1,Smer_tr6197_c5_g1_i1.p1,Haur_tr95302_c0_g1_i1.p1,Equa_tr349_c0_g1_i2.p1,Hetdac_DN3753_c0_g1_i5.p1,Macdac_DN427_c0_g1_i2.p1,Oula_DN2500_c0_g1_i4.p1,Acte_DN2123_c1_g1_i19.p1,Gafa_DN20077_c0_g2_i4.p1,Ando_DN9_c0_g1_i1.p1,Neva_DN3236_c7_g1_i3.p1,Neno_DN3102_c0_g1_i1.p1,Hyva_DN3774_c0_g2_i3.p1,Sama_DN949_c0_g1_i1.p1,Cyca_DN19531_c0_g2_i1.p1,Chfl_DN413_c0_g1_i4.p1,Chfu_DN2201_c0_g1_i1.p1
OG0000288,Shad_tr8595_c0_g1_i7.p1,Sgig_tr11648_c2_g1_i1.p1,Hmag_tr4885_c0_g1_i3.p1,Hcri_tr10091_c0_g1_i3.p1,Smer_tr4638_c1_g1_i2.p1,Haur_tr418_c0_g1_i1.p1,Equa_tr46995_c0_g1_i1.p1,Hetdac_DN41582_c0_g1_i1.p1,Macdac_DN6913_c0_g2_i1.p1,Oula_DN11564_c1_g1_i2.p1,Acte_DN699_c1_g4_i1.p1,Gafa_DN5117_c0_g1_i1.p1,Ando_DN3725_c0_g1_i3.p1,Neva_DN842_c0_g2_i2.p1,Neno_DN2949_c0_g1_i5.p1,Hyva_DN3855_c0_g1_i6.p1,Sama_DN5092_c0_g1_i1.p1,Cyca_DN17839_c0_g2_i1.p1,Chfl_DN681_c0_g1_i6.p1,Chfu_DN7520_c0_g1_i1.p1
OG0000289,Shad_tr10266_c4_g1_i1.p1,Sgig_tr5958_c0_g1_i1.p1,Hmag_tr41031_c0_g2_i3.p1,Hcri_tr3650_c1_g1_i1.p1,Smer_tr6374_c0_g1_i2.p1,Haur_tr2502_c0_g1_i1.p1,Equa_tr25207_c0_g1_i2.p1,Hetdac_DN57615_c0_g1_i1.p1,"Macdac_DN50418_c0_g1_i1.p1, Macdac_DN50418_c0_g2_i1.p1",Oula_DN14966_c0_g2_i10.p1,Acte_DN38416_c0_g1_i1.p1,Gafa_DN2785_c0_g1_i4.p1,Ando_DN14955_c0_g2_i1.p1,Neva_DN3033_c1_g4_i1.p1,Neno_DN5223_c0_g1_i4.p1,Hyva_DN1877_c0_g1_i1.p1,Sama_DN8001_c0_g1_i2.p1,Cyca_DN5962_c0_g3_i1.p1,Chfl_DN1435_c0_g1_i2.p1,Chfu_DN19092_c0_g1_i1.p1
OG0000293,Shad_tr1443_c1_g1_i1.p1,Sgig_tr19097_c0_g1_i1.p1,Hmag_tr19129_c0_g1_i1.p1,"Hcri_tr941_c1_g1_i2.p1, Hcri_tr39994_c0_g1_i1.p1",Smer_tr19384_c1_g1_i2.p1,Haur_tr23045_c0_g1_i2.p1,"Equa_tr8929_c0_g1_i7.p1, Equa_tr94831_c0_g1_i1.p1","Hetdac_DN4940_c0_g1_i2.p1, Hetdac_DN32068_c0_g1_i1.p1","Macdac_DN3134_c0_g1_i1.p1, Macdac_DN28885_c0_g1_i1.p1",Oula_DN1747_c0_g1_i12.p1,"Acte_DN449_c0_g1_i1.p1, Acte_DN27546_c0_g1_i1.p1",Gafa_DN12129_c0_g1_i1.p1,Ando_DN10648_c0_g1_i2.p1,Neva_DN15691_c0_g1_i2.p1,Neno_DN7817_c0_g1_i1.p1,Hyva_DN9825_c0_g3_i1.p1,Sama_DN6584_c0_g2_i1.p1,Cyca_DN5140_c0_g1_i1.p1,Chfl_DN1783_c3_g1_i1.p1,"Chfu_DN18519_c0_g1_i1.p1, Chfu_DN17239_c0_g1_i1.p1"
OG0000319,Shad_tr1572_c0_g1_i5.p1,Sgig_tr9623_c2_g1_i7.p1,Hmag_tr3646_c0_g1_i1.p1,Hcri_tr335_c1_g1_i2.p1,Smer_tr778_c0_g3_i2.p1,Haur_tr70134_c0_g1_i5.p1,"Equa_tr14999_c0_g1_i1.p1, Equa_tr1637_c0_g2_i1.p1",Hetdac_DN2087_c0_g1_i1.p1,Macdac_DN4077_c0_g1_i5.p1,Oula_DN728_c0_g1_i1.p1,Acte_DN16155_c0_g1_i2.p1,"Gafa_DN5123_c1_g1_i2.p1, Gafa_DN1994_c0_g2_i1.p1","Ando_DN668_c0_g1_i1.p1, Ando_DN505_c0_g1_i14.p1",Neva_DN23042_c0_g1_i2.p1,"Neno_DN54_c0_g1_i6.p1, Neno_DN385_c0_g1_i1.p1","Hyva_DN1567_c0_g1_i6.p1, Hyva_DN640_c0_g1_i3.p1, Hyva_DN39706_c0_g1_i1.p1","Sama_DN917_c0_g1_i1.p1, Sama_DN12987_c0_g1_i1.p1, Sama_DN138_c0_g1_i1.p1","Cyca_DN610_c0_g2_i1.p1, Cyca_DN2251_c0_g1_i1.p1","Chfl_DN349_c0_g2_i1.p1, Chfl_DN283_c0_g1_i4.p1","Chfu_DN2888_c0_g2_i1.p1, Chfu_DN2254_c0_g2_i2.p1, Chfu_DN2888_c0_g3_i1.p1"
OG0000344,Shad_tr8248_c2_g1_i5.p1,Sgig_tr11243_c1_g1_i4.p1,Hmag_tr1394_c4_g1_i3.p1,Hcri_tr6667_c3_g1_i1.p1,Smer_tr23471_c0_g1_i6.p1,Haur_tr3045_c1_g1_i2.p1,Equa_tr28082_c0_g1_i1.p1,Hetdac_DN6620_c0_g1_i1.p1,Macdac_DN5272_c0_g1_i3.p1,Oula_DN3570_c0_g1_i4.p1,Acte_DN23254_c0_g1_i1.p1,Gafa_DN10527_c0_g1_i7.p1,Ando_DN2500_c0_g2_i1.p1,Neva_DN11706_c1_g1_i2.p1,Neno_DN6261_c0_g1_i4.p1,Hyva_DN331_c0_g1_i3.p1,Sama_DN4292_c0_g1_i1.p1,Cyca_DN3381_c0_g1_i3.p1,Chfl_DN1298_c0_g1_i2.p1,Chfu_DN1206_c0_g2_i1.p1
