GOBPID,FDR,Term,Size
GO:0048523,0.007284591886687615,negative regulation of cellular process,682
GO:0044237,0.0076661236743693646,cellular metabolic process,5419
GO:0051173,0.008410645701655143,positive regulation of nitrogen compound metabolic process,382
GO:0060041,0.009346449524818374,retina development in camera-type eye,40
GO:0048589,0.009346449524818374,developmental growth,40
GO:0001822,0.009787310548181086,kidney development,41
GO:0001655,0.009787310548181086,urogenital system development,41
GO:0072001,0.009787310548181086,renal system development,41
GO:0031325,0.011371923298568652,positive regulation of cellular metabolic process,403
GO:0010604,0.01164993500605539,positive regulation of macromolecule metabolic process,405
GO:0001568,0.012433844450272357,blood vessel development,45
GO:0051603,0.013008053065183564,proteolysis involved in cellular protein catabolic process,413
GO:0034613,0.01302138447362666,cellular protein localization,571
GO:0070727,0.01309037497462977,cellular macromolecule localization,572
GO:0043170,0.013937352077384349,macromolecule metabolic process,4399
GO:0040007,0.014338860900031255,growth,48
GO:0044257,0.015255424137699248,cellular protein catabolic process,426
GO:0044249,0.015829311506010472,cellular biosynthetic process,2024
GO:0009893,0.016656470268550737,positive regulation of metabolic process,433
GO:1901576,0.018059104437731344,organic substance biosynthetic process,2047
GO:0070848,0.018059104437731344,response to growth factor,53
GO:0071363,0.018059104437731344,cellular response to growth factor stimulus,53
GO:0009058,0.018743580663920706,biosynthetic process,2056
GO:0001944,0.018743580663920706,vasculature development,54
GO:0034641,0.01881906332418521,cellular nitrogen compound metabolic process,2380
GO:0007420,0.019437110613624124,brain development,55
GO:0030163,0.022872806200485263,protein catabolic process,460
GO:0043010,0.023056000314575328,camera-type eye development,59
GO:0043547,0.023056000314575328,positive regulation of GTPase activity,59
GO:0009987,0.023176014050472853,cellular process,8729
GO:0043066,0.02364747538024097,negative regulation of apoptotic process,60
GO:0007178,0.02364747538024097,transmembrane receptor protein serine/threonine kinase signaling pathway,60
GO:0048732,0.02679354940846527,gland development,63
GO:0048519,0.02844680972200511,negative regulation of biological process,830
GO:0043069,0.02995017045239003,negative regulation of programmed cell death,66
GO:0007417,0.03200806683921382,central nervous system development,68
GO:0060322,0.03200806683921382,head development,68
GO:0001654,0.0328475518603491,eye development,69
GO:0150063,0.0328475518603491,visual system development,69
GO:0035239,0.03519927092256276,tube morphogenesis,71
GO:0051345,0.04180701101790001,positive regulation of hydrolase activity,76
GO:0071495,0.04298321273478499,cellular response to endogenous stimulus,77
GO:0048646,0.04565304771384361,anatomical structure formation involved in morphogenesis,79
GO:0009719,0.04839538411349382,response to endogenous stimulus,81
