GOBPID,FDR,Term,Size
GO:0006753,3.118948080091952e-4,nucleoside phosphate metabolic process,206
GO:1902600,3.118948080091952e-4,proton transmembrane transport,72
GO:0009063,3.4398505448234766e-4,cellular amino acid catabolic process,73
GO:1901606,3.4398505448234766e-4,alpha-amino acid catabolic process,73
GO:0032101,4.707153004974414e-4,regulation of response to external stimulus,60
GO:0050776,5.913090303960897e-4,regulation of immune response,62
GO:0007399,6.87148632037064e-4,nervous system development,267
GO:0032879,9.695648170770512e-4,regulation of localization,228
GO:0044419,9.835121864976628e-4,biological process involved in interspecies interaction between organisms,84
GO:0034330,9.835121864976628e-4,cell junction organization,51
GO:0006950,9.835121864976628e-4,response to stress,505
GO:0005975,9.884664597973516e-4,carbohydrate metabolic process,252
GO:0007417,0.0010826914589066035,central nervous system development,68
GO:0060322,0.0010826914589066035,head development,68
GO:0006955,0.001143288730051149,immune response,86
GO:0034504,0.001185254917313486,protein localization to nucleus,69
GO:0006575,0.001358446389361719,cellular modified amino acid metabolic process,54
GO:0009132,0.0014270876806414812,nucleoside diphosphate metabolic process,71
GO:0033306,0.0018204149352333387,phytol metabolic process,2
GO:1903173,0.0018204149352333387,fatty alcohol metabolic process,2
GO:1903725,0.0018204149352333387,regulation of phospholipid metabolic process,2
GO:0060012,0.0018204149352333387,"synaptic transmission, glycinergic",2
GO:0010922,0.0018204149352333387,positive regulation of phosphatase activity,2
GO:0060304,0.0018204149352333387,regulation of phosphatidylinositol dephosphorylation,2
GO:0042073,0.0018235798780284617,intraciliary transport,57
GO:0030258,0.0019311959567846011,lipid modification,93
GO:0120036,0.0023121689100872775,plasma membrane bounded cell projection organization,249
GO:0048519,0.0025867331864485687,negative regulation of biological process,830
GO:0051726,0.0029888887221846804,regulation of cell cycle,99
GO:0002682,0.003519575971867142,regulation of immune system process,82
GO:0030030,0.0035775587294221193,cell projection organization,260
GO:0009799,0.0040394892334216,specification of symmetry,84
GO:0009855,0.0040394892334216,determination of bilateral symmetry,84
GO:0007368,0.0040394892334216,determination of left/right symmetry,84
GO:0031647,0.004725634464737858,regulation of protein stability,10
GO:0060341,0.004981060255883159,regulation of cellular localization,87
GO:0034308,0.004981060255883159,primary alcohol metabolic process,3
GO:0006721,0.004981060255883159,terpenoid metabolic process,3
GO:0016101,0.004981060255883159,diterpenoid metabolic process,3
GO:0043928,0.004981060255883159,exonucleolytic catabolism of deadenylated mRNA,3
GO:0031329,0.00498646564448033,regulation of cellular catabolic process,173
GO:0016054,0.005140637656936174,organic acid catabolic process,108
GO:0007167,0.005140637656936174,enzyme linked receptor protein signaling pathway,108
GO:0046395,0.005140637656936174,carboxylic acid catabolic process,108
GO:0048583,0.005225549834170465,regulation of response to stimulus,542
GO:0031503,0.0061002950178771775,protein-containing complex localization,71
GO:0048598,0.007782575352133296,embryonic morphogenesis,115
GO:1901565,0.00785376882911595,organonitrogen compound catabolic process,559
GO:0007507,0.00822669208805706,heart development,95
GO:0035306,0.009368754853788862,positive regulation of dephosphorylation,4
GO:0032501,0.009830534708080976,multicellular organismal process,809
GO:0044092,0.009830534708080976,negative regulation of molecular function,98
GO:0016310,0.010134645207293971,phosphorylation,1061
GO:0000165,0.010547609669318524,MAPK cascade,121
GO:0016579,0.010547609669318524,protein deubiquitination,121
GO:0050896,0.011105923873605955,response to stimulus,1996
GO:0090305,0.01155807923531503,nucleic acid phosphodiester bond hydrolysis,101
GO:0042221,0.012306634899492295,response to chemical,352
GO:0007389,0.014460079448621767,pattern specification process,105
GO:0009894,0.01483154048774365,regulation of catabolic process,200
GO:0010970,0.015585352853343388,transport along microtubule,85
GO:0044255,0.018676762789295632,cellular lipid metabolic process,396
GO:0009605,0.018676762789295632,response to external stimulus,133
GO:0045893,0.018676762789295632,"positive regulation of transcription, DNA-templated",157
GO:1903508,0.018676762789295632,positive regulation of nucleic acid-templated transcription,157
GO:1902680,0.018676762789295632,positive regulation of RNA biosynthetic process,157
GO:0046488,0.019333944503669806,phosphatidylinositol metabolic process,134
GO:0070646,0.020138101686007537,protein modification by small protein removal,135
GO:0006412,0.020138101686007537,translation,372
GO:0009152,0.020138101686007537,purine ribonucleotide biosynthetic process,90
GO:0009260,0.020138101686007537,ribonucleotide biosynthetic process,90
GO:0006164,0.020138101686007537,purine nucleotide biosynthetic process,90
GO:0046390,0.020138101686007537,ribose phosphate biosynthetic process,90
GO:0050821,0.02050485235817961,protein stabilization,6
GO:0030705,0.021175623406754253,cytoskeleton-dependent intracellular transport,91
GO:0055085,0.02237053891115328,transmembrane transport,582
GO:0007017,0.023675337076126644,microtubule-based process,295
GO:0060271,0.024287462826696502,cilium assembly,140
GO:0034655,0.025682032831697867,nucleobase-containing compound catabolic process,166
GO:0099111,0.0259709193675565,microtubule-based transport,95
GO:0043043,0.02707201578753853,peptide biosynthetic process,385
GO:0015980,0.028383779010864647,energy derivation by oxidation of organic compounds,144
GO:0006928,0.030624955867236174,movement of cell or subcellular component,305
GO:0072522,0.031566643812152954,purine-containing compound biosynthetic process,99
GO:0009124,0.034411127908730264,nucleoside monophosphate biosynthetic process,21
GO:0046700,0.034840518347110216,heterocycle catabolic process,175
GO:0044270,0.034840518347110216,cellular nitrogen compound catabolic process,175
GO:0010557,0.034840518347110216,positive regulation of macromolecule biosynthetic process,175
GO:0051716,0.03568400084776698,cellular response to stimulus,1797
GO:0051254,0.03584924190465158,positive regulation of RNA metabolic process,176
GO:0010629,0.03673486817003329,negative regulation of gene expression,203
GO:0045935,0.03819918783085834,positive regulation of nucleobase-containing compound metabolic process,178
GO:0031328,0.03941274070185834,positive regulation of cellular biosynthetic process,179
GO:0120031,0.04334830705898027,plasma membrane bounded cell projection assembly,156
GO:0030031,0.04334830705898027,cell projection assembly,156
GO:0019941,0.04418406424072971,modification-dependent protein catabolic process,321
GO:0006518,0.0483201600166911,peptide metabolic process,413
GO:0043632,0.048360028170453345,modification-dependent macromolecule catabolic process,325
GO:0034381,0.04867366495728343,plasma lipoprotein particle clearance,1
GO:0034383,0.04867366495728343,low-density lipoprotein particle clearance,1
GO:0009134,0.04867366495728343,nucleoside diphosphate catabolic process,1
GO:0097006,0.04867366495728343,regulation of plasma lipoprotein particle levels,1
GO:0032799,0.04867366495728343,low-density lipoprotein receptor particle metabolic process,1
GO:2000644,0.04867366495728343,regulation of receptor catabolic process,1
GO:0032801,0.04867366495728343,receptor catabolic process,1
GO:0032802,0.04867366495728343,low-density lipoprotein particle receptor catabolic process,1
GO:0032803,0.04867366495728343,regulation of low-density lipoprotein particle receptor catabolic process,1
GO:0031648,0.04867366495728343,protein destabilization,1
GO:0010984,0.04867366495728343,regulation of lipoprotein particle clearance,1
GO:0010985,0.04867366495728343,negative regulation of lipoprotein particle clearance,1
GO:0010988,0.04867366495728343,regulation of low-density lipoprotein particle clearance,1
GO:0010989,0.04867366495728343,negative regulation of low-density lipoprotein particle clearance,1
GO:0006281,0.04872164960919264,DNA repair,161
GO:0000291,0.049656833643292805,"nuclear-transcribed mRNA catabolic process, exonucleolytic",10
GO:0009892,0.04988209549666868,negative regulation of metabolic process,478
