GOBPID,FDR,Term,Size
GO:0072595,2.4618867196640764e-7,maintenance of protein localization in organelle,9
GO:0034316,2.4618867196640764e-7,negative regulation of Arp2/3 complex-mediated actin nucleation,9
GO:0019320,2.4618867196640764e-7,hexose catabolic process,9
GO:0046710,2.4618867196640764e-7,GDP metabolic process,9
GO:0043094,2.4618867196640764e-7,cellular metabolic compound salvage,9
GO:0019427,2.4618867196640764e-7,acetyl-CoA biosynthetic process from acetate,9
GO:0000393,2.4618867196640764e-7,spliceosomal conformational changes to generate catalytic conformation,9
GO:0000350,2.4618867196640764e-7,generation of catalytic spliceosome for second transesterification step,9
GO:0006083,2.4618867196640764e-7,acetate metabolic process,9
GO:0006007,2.4618867196640764e-7,glucose catabolic process,9
GO:0001754,2.4618867196640764e-7,eye photoreceptor cell differentiation,9
GO:0033157,2.4618867196640764e-7,regulation of intracellular protein transport,9
GO:0032388,2.4618867196640764e-7,positive regulation of intracellular transport,9
GO:0106380,2.4618867196640764e-7,purine ribonucleotide salvage,9
GO:0090313,2.4618867196640764e-7,regulation of protein targeting to membrane,9
GO:0090314,2.4618867196640764e-7,positive regulation of protein targeting to membrane,9
GO:0090316,2.4618867196640764e-7,positive regulation of intracellular protein transport,9
GO:0043173,2.4618867196640764e-7,nucleotide salvage,9
GO:0006422,2.4618867196640764e-7,aspartyl-tRNA aminoacylation,9
GO:0043101,2.4618867196640764e-7,purine-containing compound salvage,9
GO:0090140,2.4618867196640764e-7,regulation of mitochondrial fission,9
GO:0090141,2.4618867196640764e-7,positive regulation of mitochondrial fission,9
GO:0006435,2.4618867196640764e-7,threonyl-tRNA aminoacylation,9
GO:0032261,2.4618867196640764e-7,purine nucleotide salvage,9
GO:0032264,2.4618867196640764e-7,IMP salvage,9
GO:0060993,2.4618867196640764e-7,kidney morphogenesis,9
GO:0042462,2.4618867196640764e-7,eye photoreceptor cell development,9
GO:1904691,2.4618867196640764e-7,negative regulation of type B pancreatic cell proliferation,9
GO:0006104,2.4618867196640764e-7,succinyl-CoA metabolic process,9
GO:0006106,2.4618867196640764e-7,fumarate metabolic process,9
GO:0042135,2.4618867196640764e-7,neurotransmitter catabolic process,9
GO:1903533,2.4618867196640764e-7,regulation of protein targeting,9
GO:0072003,2.4618867196640764e-7,kidney rudiment formation,9
GO:0010822,2.4618867196640764e-7,positive regulation of mitochondrion organization,9
GO:0006851,2.4618867196640764e-7,mitochondrial calcium ion transmembrane transport,9
GO:0014065,2.4618867196640764e-7,phosphatidylinositol 3-kinase signaling,9
GO:0014066,2.4618867196640764e-7,regulation of phosphatidylinositol 3-kinase signaling,9
GO:0014068,2.4618867196640764e-7,positive regulation of phosphatidylinositol 3-kinase signaling,9
GO:0006566,2.4618867196640764e-7,threonine metabolic process,9
GO:0006567,2.4618867196640764e-7,threonine catabolic process,9
GO:0010669,2.4618867196640764e-7,epithelial structure maintenance,9
GO:0046037,2.4618867196640764e-7,GMP metabolic process,9
GO:0051126,2.4618867196640764e-7,negative regulation of actin nucleation,9
GO:0006658,2.4618867196640764e-7,phosphatidylserine metabolic process,9
GO:0062139,2.4618867196640764e-7,camera-type eye photoreceptor cell development,9
GO:0030277,2.4618867196640764e-7,maintenance of gastrointestinal epithelium,9
GO:0006621,2.4618867196640764e-7,protein retention in ER lumen,9
GO:0021987,2.4618867196640764e-7,cerebral cortex development,9
GO:0072114,2.4618867196640764e-7,pronephros morphogenesis,9
GO:0072116,2.4618867196640764e-7,pronephros formation,9
GO:0046365,2.4618867196640764e-7,monosaccharide catabolic process,9
GO:0034058,2.4618867196640764e-7,endosomal vesicle fusion,9
GO:0051877,2.4618867196640764e-7,pigment granule aggregation in cell center,9
GO:0010976,2.4618867196640764e-7,positive regulation of neuron projection development,9
GO:0030512,2.4618867196640764e-7,negative regulation of transforming growth factor beta receptor signaling pathway,9
GO:0035437,2.4618867196640764e-7,maintenance of protein localization in endoplasmic reticulum,9
GO:0009448,2.4618867196640764e-7,gamma-aminobutyric acid metabolic process,9
GO:0070374,2.4618867196640764e-7,positive regulation of ERK1 and ERK2 cascade,9
GO:0048871,6.412491213746599e-7,multicellular organismal homeostasis,24
GO:0006520,9.019828597960152e-7,cellular amino acid metabolic process,274
GO:0030097,1.1907417070810387e-6,hemopoiesis,92
GO:0060249,1.287297076376388e-6,anatomical structure homeostasis,28
GO:0071786,1.287297076376388e-6,endoplasmic reticulum tubular network organization,8
GO:0060216,1.287297076376388e-6,definitive hemopoiesis,8
GO:0014846,1.287297076376388e-6,esophagus smooth muscle contraction,8
GO:0014831,1.287297076376388e-6,gastro-intestinal system smooth muscle contraction,8
GO:0007007,1.287297076376388e-6,inner mitochondrial membrane organization,8
GO:0035860,1.287297076376388e-6,glial cell-derived neurotrophic factor receptor signaling pathway,8
GO:1902038,1.287297076376388e-6,positive regulation of hematopoietic stem cell differentiation,8
GO:0046579,1.287297076376388e-6,positive regulation of Ras protein signal transduction,8
GO:0071501,1.287297076376388e-6,cellular response to sterol depletion,8
GO:1903371,1.287297076376388e-6,regulation of endoplasmic reticulum tubular network organization,8
GO:1903373,1.287297076376388e-6,positive regulation of endoplasmic reticulum tubular network organization,8
GO:0045541,1.287297076376388e-6,negative regulation of cholesterol biosynthetic process,8
GO:0106119,1.287297076376388e-6,negative regulation of sterol biosynthetic process,8
GO:2000738,1.287297076376388e-6,positive regulation of stem cell differentiation,8
GO:0051057,1.287297076376388e-6,positive regulation of small GTPase mediated signal transduction,8
GO:0046900,1.287297076376388e-6,tetrahydrofolylpolyglutamate metabolic process,8
GO:0046901,1.287297076376388e-6,tetrahydrofolylpolyglutamate biosynthetic process,8
GO:0042407,1.287297076376388e-6,cristae formation,8
GO:0090206,1.287297076376388e-6,negative regulation of cholesterol metabolic process,8
GO:0040037,1.287297076376388e-6,negative regulation of fibroblast growth factor receptor signaling pathway,8
GO:0045939,1.287297076376388e-6,negative regulation of steroid metabolic process,8
GO:0010894,1.287297076376388e-6,negative regulation of steroid biosynthetic process,8
GO:0010573,1.287297076376388e-6,vascular endothelial growth factor production,8
GO:0010574,1.287297076376388e-6,regulation of vascular endothelial growth factor production,8
GO:0010575,1.287297076376388e-6,positive regulation of vascular endothelial growth factor production,8
GO:0002062,1.287297076376388e-6,chondrocyte differentiation,8
GO:0002063,1.287297076376388e-6,chondrocyte development,8
GO:0072393,1.287297076376388e-6,microtubule anchoring at microtubule organizing center,8
GO:0042559,1.287297076376388e-6,pteridine-containing compound biosynthetic process,8
GO:1901533,1.287297076376388e-6,negative regulation of hematopoietic progenitor cell differentiation,8
GO:1901534,1.287297076376388e-6,positive regulation of hematopoietic progenitor cell differentiation,8
GO:0043954,1.287297076376388e-6,cellular component maintenance,8
GO:0030851,1.287297076376388e-6,granulocyte differentiation,8
GO:0032933,1.287297076376388e-6,SREBP signaling pathway,8
GO:0006991,1.287297076376388e-6,response to sterol depletion,8
GO:1902931,1.287297076376388e-6,negative regulation of alcohol biosynthetic process,8
GO:0002320,1.287297076376388e-6,lymphoid progenitor cell differentiation,8
GO:0002318,1.287297076376388e-6,myeloid progenitor cell differentiation,8
GO:0036265,1.287297076376388e-6,RNA (guanine-N7)-methylation,8
GO:0009396,1.287297076376388e-6,folic acid-containing compound biosynthetic process,8
GO:1905453,1.287297076376388e-6,regulation of myeloid progenitor cell differentiation,8
GO:1905455,1.287297076376388e-6,positive regulation of myeloid progenitor cell differentiation,8
GO:1905456,1.287297076376388e-6,regulation of lymphoid progenitor cell differentiation,8
GO:1905457,1.287297076376388e-6,negative regulation of lymphoid progenitor cell differentiation,8
GO:0048592,1.4689314484956093e-6,eye morphogenesis,17
GO:0017015,1.5170974313717458e-6,regulation of transforming growth factor beta receptor signaling pathway,10
GO:1903844,1.5170974313717458e-6,regulation of cellular response to transforming growth factor beta stimulus,10
GO:0042133,1.5170974313717458e-6,neurotransmitter metabolic process,10
GO:0010821,1.5170974313717458e-6,regulation of mitochondrion organization,10
GO:0061640,1.8624449587158307e-6,cytoskeleton-dependent cytokinesis,20
GO:0000910,1.8624449587158307e-6,cytokinesis,20
GO:0006084,2.271503773828836e-6,acetyl-CoA metabolic process,36
GO:0016052,2.271503773828836e-6,carbohydrate catabolic process,36
GO:0009066,2.271503773828836e-6,aspartate family amino acid metabolic process,36
GO:0009132,3.1217392890374073e-6,nucleoside diphosphate metabolic process,71
GO:0007169,4.015150214385247e-6,transmembrane receptor protein tyrosine kinase signaling pathway,48
GO:0043410,4.340330482287647e-6,positive regulation of MAPK cascade,52
GO:0001822,4.647881969234324e-6,kidney development,41
GO:0001655,4.647881969234324e-6,urogenital system development,41
GO:0072001,4.647881969234324e-6,renal system development,41
GO:0019637,4.704816344105807e-6,organophosphate metabolic process,437
GO:0090287,4.704816344105807e-6,regulation of cellular response to growth factor stimulus,34
GO:0005975,5.6786048257607095e-6,carbohydrate metabolic process,252
GO:0009063,5.6786048257607095e-6,cellular amino acid catabolic process,73
GO:1901606,5.6786048257607095e-6,alpha-amino acid catabolic process,73
GO:0010257,6.571839878852268e-6,"NADH dehydrogenase complex assembly",11
GO:0007586,6.571839878852268e-6,digestion,11
GO:0022600,6.571839878852268e-6,digestive system process,11
GO:0032981,6.571839878852268e-6,mitochondrial respiratory chain complex I assembly,11
GO:0002244,7.0582515895560715e-6,hematopoietic progenitor cell differentiation,19
GO:0060218,7.0582515895560715e-6,hematopoietic stem cell differentiation,19
GO:1902036,7.0582515895560715e-6,regulation of hematopoietic stem cell differentiation,19
GO:0046530,7.0582515895560715e-6,photoreceptor cell differentiation,19
GO:2000736,7.0582515895560715e-6,regulation of stem cell differentiation,19
GO:0042461,7.0582515895560715e-6,photoreceptor cell development,19
GO:1901532,7.0582515895560715e-6,regulation of hematopoietic progenitor cell differentiation,19
GO:0035794,7.0582515895560715e-6,positive regulation of mitochondrial membrane permeability,7
GO:0071788,7.0582515895560715e-6,endoplasmic reticulum tubular network maintenance,7
GO:0002534,7.0582515895560715e-6,cytokine production involved in inflammatory response,7
GO:0097345,7.0582515895560715e-6,mitochondrial outer membrane permeabilization,7
GO:0071921,7.0582515895560715e-6,cohesin loading,7
GO:1902110,7.0582515895560715e-6,positive regulation of mitochondrial membrane permeability involved in apoptotic process,7
GO:0046902,7.0582515895560715e-6,regulation of mitochondrial membrane permeability,7
GO:0097191,7.0582515895560715e-6,extrinsic apoptotic signaling pathway,7
GO:1902108,7.0582515895560715e-6,regulation of mitochondrial membrane permeability involved in apoptotic process,7
GO:1900015,7.0582515895560715e-6,regulation of cytokine production involved in inflammatory response,7
GO:1900016,7.0582515895560715e-6,negative regulation of cytokine production involved in inflammatory response,7
GO:0008625,7.0582515895560715e-6,extrinsic apoptotic signaling pathway via death domain receptors,7
GO:0008637,7.0582515895560715e-6,apoptotic mitochondrial changes,7
GO:0021895,7.0582515895560715e-6,cerebral cortex neuron differentiation,7
GO:2000601,7.0582515895560715e-6,positive regulation of Arp2/3 complex-mediated actin nucleation,7
GO:1900383,7.0582515895560715e-6,regulation of synaptic plasticity by receptor localization to synapse,7
GO:1902686,7.0582515895560715e-6,mitochondrial outer membrane permeabilization involved in programmed cell death,7
GO:0051127,7.0582515895560715e-6,positive regulation of actin nucleation,7
GO:1990403,7.0582515895560715e-6,embryonic brain development,7
GO:0034085,7.0582515895560715e-6,establishment of sister chromatid cohesion,7
GO:0034087,7.0582515895560715e-6,establishment of mitotic sister chromatid cohesion,7
GO:0061780,7.0582515895560715e-6,mitotic cohesin loading,7
GO:0008053,7.0582515895560715e-6,mitochondrial fusion,7
GO:0043648,7.159371701693346e-6,dicarboxylic acid metabolic process,22
GO:0030308,7.554483078048237e-6,negative regulation of cell growth,9
GO:0006984,7.554483078048237e-6,ER-nucleus signaling pathway,9
GO:0060384,7.554483078048237e-6,innervation,9
GO:0060348,7.554483078048237e-6,bone development,9
GO:0044089,7.716230163634815e-6,positive regulation of cellular component biogenesis,92
GO:0002520,7.716230163634815e-6,immune system development,101
GO:0048534,7.716230163634815e-6,hematopoietic or lymphoid organ development,101
GO:0009123,7.962417878233079e-6,nucleoside monophosphate metabolic process,39
GO:1905475,1.0470892466775493e-5,regulation of protein localization to membrane,14
GO:1905477,1.0470892466775493e-5,positive regulation of protein localization to membrane,14
GO:0002532,1.3497452562168182e-5,production of molecular mediator involved in inflammatory response,17
GO:0032418,1.3497452562168182e-5,lysosome localization,17
GO:0055123,1.3600756077039866e-5,digestive system development,23
GO:0051128,1.3776617836941886e-5,regulation of cellular component organization,325
GO:0002521,1.4217345730672408e-5,leukocyte differentiation,20
GO:0045185,1.8473281493949245e-5,maintenance of protein location,12
GO:0032507,1.8473281493949245e-5,maintenance of protein location in cell,12
GO:0006623,1.8473281493949245e-5,protein targeting to vacuole,12
GO:1902533,1.9420867009472304e-5,positive regulation of intracellular signal transduction,105
GO:0048729,2.735013022682534e-5,tissue morphogenesis,155
GO:0035268,2.7945717862056316e-5,protein mannosylation,42
GO:0035269,2.7945717862056316e-5,protein O-linked mannosylation,42
GO:0045597,2.7945717862056316e-5,positive regulation of cell differentiation,21
GO:0042742,2.7945717862056316e-5,defense response to bacterium,21
GO:0000278,2.9319524395761364e-5,mitotic cell cycle,93
GO:0045926,3.0283216564274426e-5,negative regulation of growth,10
GO:0006839,3.942855392416017e-5,mitochondrial transport,59
GO:0001816,4.228269696292095e-5,cytokine production,47
GO:0001817,4.228269696292095e-5,regulation of cytokine production,47
GO:0099514,4.239846669044876e-5,synaptic vesicle cytoskeletal transport,8
GO:0099517,4.239846669044876e-5,synaptic vesicle transport along microtubule,8
GO:0097479,4.239846669044876e-5,synaptic vesicle localization,8
GO:0048490,4.239846669044876e-5,anterograde synaptic vesicle transport,8
GO:0048489,4.239846669044876e-5,synaptic vesicle transport,8
GO:0098930,4.239846669044876e-5,axonal transport,8
GO:0021953,4.239846669044876e-5,central nervous system neuron differentiation,8
GO:0008088,4.239846669044876e-5,axo-dendritic transport,8
GO:0008089,4.239846669044876e-5,anterograde axonal transport,8
GO:0034755,4.285324468698576e-5,iron ion transmembrane transport,6
GO:0002934,4.285324468698576e-5,desmosome organization,6
GO:0040034,4.285324468698576e-5,"regulation of development, heterochronic",6
GO:0048250,4.285324468698576e-5,iron import into the mitochondrion,6
GO:0006955,4.6285874367436976e-5,immune response,86
GO:0090101,4.6915540593781823e-5,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,13
GO:0061077,4.6915540593781823e-5,chaperone-mediated protein folding,13
GO:0021543,4.6915540593781823e-5,pallium development,13
GO:0021537,4.6915540593781823e-5,telencephalon development,13
GO:0048645,4.6915540593781823e-5,animal organ formation,13
GO:0009617,4.8889177604479015e-5,response to bacterium,22
GO:0098542,5.5959703392340634e-5,defense response to other organism,44
GO:0006796,5.974568560747678e-5,phosphate-containing compound metabolic process,1618
GO:0090288,8.843400562395246e-5,negative regulation of cellular response to growth factor stimulus,11
GO:0002376,9.653522775096586e-5,immune system process,221
GO:0002009,1.0158472566492178e-4,morphogenesis of an epithelium,148
GO:0090382,1.1109594184914108e-4,phagosome maturation,14
GO:0032873,1.1109594184914108e-4,negative regulation of stress-activated MAPK cascade,14
GO:0051222,1.1109594184914108e-4,positive regulation of protein transport,14
GO:0046329,1.1109594184914108e-4,negative regulation of JNK cascade,14
GO:0016051,1.4143835312263858e-4,carbohydrate biosynthetic process,55
GO:1905710,1.5445164669333208e-4,positive regulation of membrane permeability,9
GO:0090559,1.5445164669333208e-4,regulation of membrane permeability,9
GO:0016310,1.7706112462952112e-4,phosphorylation,1061
GO:0008283,2.3601308092909858e-4,cell population proliferation,103
GO:0070303,2.3601308092909858e-4,negative regulation of stress-activated protein kinase signaling cascade,15
GO:0090092,2.3601308092909858e-4,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,15
GO:0090174,2.3601308092909858e-4,organelle membrane fusion,15
GO:0006906,2.3601308092909858e-4,vesicle fusion,15
GO:0008218,2.754155337841786e-4,bioluminescence,5
GO:2000116,2.754155337841786e-4,regulation of cysteine-type endopeptidase activity,5
GO:0043280,2.754155337841786e-4,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,5
GO:0043281,2.754155337841786e-4,regulation of cysteine-type endopeptidase activity involved in apoptotic process,5
GO:0097205,2.754155337841786e-4,renal filtration,5
GO:0003094,2.754155337841786e-4,glomerular filtration,5
GO:2001056,2.754155337841786e-4,positive regulation of cysteine-type endopeptidase activity,5
GO:0010950,2.754155337841786e-4,positive regulation of endopeptidase activity,5
GO:0019216,3.064055072364749e-4,regulation of lipid metabolic process,45
GO:0048584,3.0882727102582647e-4,positive regulation of response to stimulus,225
GO:0001947,3.0882727102582647e-4,heart looping,22
GO:0006793,3.1216413850050737e-4,phosphorus metabolic process,1654
GO:0001819,3.828085143059716e-4,positive regulation of cytokine production,26
GO:0046364,3.828085143059716e-4,monosaccharide biosynthetic process,19
GO:0008285,3.8502223577081e-4,negative regulation of cell population proliferation,50
GO:0070121,4.456258510567381e-4,Kupffer's vesicle development,16
GO:0030900,4.456258510567381e-4,forebrain development,16
GO:0061025,4.456258510567381e-4,membrane fusion,16
GO:0001736,4.456258510567381e-4,establishment of planar polarity,34
GO:0002573,4.726443611979022e-4,myeloid leukocyte differentiation,13
GO:0003143,5.014859381498073e-4,embryonic heart tube morphogenesis,23
GO:0007167,5.729154584144765e-4,enzyme linked receptor protein signaling pathway,108
GO:0007164,6.382888773211812e-4,establishment of tissue polarity,35
GO:0003007,6.382888773211812e-4,heart morphogenesis,35
GO:0006399,6.509198876025821e-4,tRNA metabolic process,89
GO:0009967,7.004848256584868e-4,positive regulation of signal transduction,188
GO:0033043,7.498681954732614e-4,regulation of organelle organization,244
GO:0009968,7.498681954732614e-4,negative regulation of signal transduction,151
GO:0010648,7.498681954732614e-4,negative regulation of cell communication,151
GO:0023057,7.498681954732614e-4,negative regulation of signaling,151
GO:0022613,7.833050699005581e-4,ribonucleoprotein complex biogenesis,239
GO:0033559,7.833050699005581e-4,unsaturated fatty acid metabolic process,17
GO:0006895,7.833050699005581e-4,Golgi to endosome transport,17
GO:0006546,7.833050699005581e-4,glycine catabolic process,17
GO:0006692,7.833050699005581e-4,prostanoid metabolic process,17
GO:0061469,7.833050699005581e-4,regulation of type B pancreatic cell proliferation,17
GO:0009071,7.833050699005581e-4,serine family amino acid catabolic process,17
GO:0043038,8.445409095888291e-4,amino acid activation,53
GO:0043039,8.445409095888291e-4,tRNA aminoacylation,53
GO:0006418,8.445409095888291e-4,tRNA aminoacylation for protein translation,53
GO:0006954,8.45607601596858e-4,inflammatory response,28
GO:0030154,8.885135338265747e-4,cell differentiation,433
GO:0042254,9.09827045650051e-4,ribosome biogenesis,142
GO:0010647,9.182199984272828e-4,positive regulation of cell communication,196
GO:0090305,9.261987074693671e-4,nucleic acid phosphodiester bond hydrolysis,101
GO:0061351,9.261987074693671e-4,neural precursor cell proliferation,11
GO:1905146,9.261987074693671e-4,lysosomal protein catabolic process,11
GO:0033108,0.001007508060399894,mitochondrial respiratory chain complex assembly,21
GO:0031532,0.001007508060399894,actin cytoskeleton reorganization,21
GO:0023056,0.001022233190315209,positive regulation of signaling,197
GO:0046939,0.0010632200815351473,nucleotide phosphorylation,54
GO:0006165,0.0010632200815351473,nucleoside diphosphate phosphorylation,54
GO:0070972,0.0010632200815351473,protein localization to endoplasmic reticulum,54
GO:0015980,0.0011734836680975472,energy derivation by oxidation of organic compounds,144
GO:1903829,0.0011734836680975472,positive regulation of cellular protein localization,29
GO:0090596,0.0011734836680975472,sensory organ morphogenesis,29
GO:0009607,0.0011734836680975472,response to biotic stimulus,64
GO:0043207,0.0011734836680975472,response to external biotic stimulus,64
GO:0051707,0.0011734836680975472,response to other organism,64
GO:0009168,0.0011734836680975472,purine ribonucleoside monophosphate biosynthetic process,18
GO:0009156,0.0011734836680975472,ribonucleoside monophosphate biosynthetic process,18
GO:0009127,0.0011734836680975472,purine nucleoside monophosphate biosynthetic process,18
GO:0007064,0.0011734836680975472,mitotic sister chromatid cohesion,18
GO:0019319,0.0011734836680975472,hexose biosynthetic process,18
GO:0019474,0.0011734836680975472,L-lysine catabolic process to acetyl-CoA,18
GO:0019477,0.0011734836680975472,L-lysine catabolic process,18
GO:0006094,0.0011734836680975472,gluconeogenesis,18
GO:0006098,0.0011734836680975472,pentose-phosphate shunt,18
GO:0000387,0.0011734836680975472,spliceosomal snRNP assembly,18
GO:0051904,0.0011734836680975472,pigment granule transport,18
GO:0051905,0.0011734836680975472,establishment of pigment granule localization,18
GO:0006085,0.0011734836680975472,acetyl-CoA biosynthetic process,18
GO:0055129,0.0011734836680975472,L-proline biosynthetic process,18
GO:0061966,0.0011734836680975472,establishment of left/right asymmetry,18
GO:0000266,0.0011734836680975472,mitochondrial fission,18
GO:0032400,0.0011734836680975472,melanosome localization,18
GO:0032401,0.0011734836680975472,establishment of melanosome localization,18
GO:0032402,0.0011734836680975472,melanosome transport,18
GO:0006474,0.0011734836680975472,N-terminal protein amino acid acetylation,18
GO:0006188,0.0011734836680975472,IMP biosynthetic process,18
GO:0033512,0.0011734836680975472,L-lysine catabolic process to acetyl-CoA via saccharopine,18
GO:0006740,0.0011734836680975472,"NADPH regeneration",18
GO:0006739,0.0011734836680975472,"NADP metabolic process",18
GO:1904951,0.0011734836680975472,positive regulation of establishment of protein localization,18
GO:0090502,0.0011734836680975472,"RNA phosphodiester bond hydrolysis, endonucleolytic",18
GO:0006560,0.0011734836680975472,proline metabolic process,18
GO:0006561,0.0011734836680975472,proline biosynthetic process,18
GO:0006553,0.0011734836680975472,lysine metabolic process,18
GO:0006554,0.0011734836680975472,lysine catabolic process,18
GO:0051156,0.0011734836680975472,glucose 6-phosphate metabolic process,18
GO:0046040,0.0011734836680975472,IMP metabolic process,18
GO:0051223,0.0011734836680975472,regulation of protein transport,18
GO:0051875,0.0011734836680975472,pigment granule localization,18
GO:0046440,0.0011734836680975472,L-lysine metabolic process,18
GO:0090501,0.0011792950235007408,RNA phosphodiester bond hydrolysis,55
GO:0034502,0.0011792950235007408,protein localization to chromosome,22
GO:0031017,0.0011792950235007408,exocrine pancreas development,15
GO:0033209,0.0011792950235007408,tumor necrosis factor-mediated signaling pathway,15
GO:0035272,0.0011792950235007408,exocrine system development,15
GO:0045453,0.0011792950235007408,bone resorption,4
GO:0002283,0.0011792950235007408,neutrophil activation involved in immune response,4
GO:0050864,0.0011792950235007408,regulation of B cell activation,4
GO:0002220,0.0011792950235007408,innate immune response activating cell surface receptor signaling pathway,4
GO:0002223,0.0011792950235007408,stimulatory C-type lectin receptor signaling pathway,4
GO:0050850,0.0011792950235007408,positive regulation of calcium-mediated signaling,4
GO:0002218,0.0011792950235007408,activation of innate immune response,4
GO:0002238,0.0011792950235007408,response to molecule of fungal origin,4
GO:0050848,0.0011792950235007408,regulation of calcium-mediated signaling,4
GO:0071715,0.0011792950235007408,icosanoid transport,4
GO:0002758,0.0011792950235007408,innate immune response-activating signal transduction,4
GO:0045124,0.0011792950235007408,regulation of bone resorption,4
GO:0046850,0.0011792950235007408,regulation of bone remodeling,4
GO:0046849,0.0011792950235007408,bone remodeling,4
GO:0034110,0.0011792950235007408,regulation of homotypic cell-cell adhesion,4
GO:0050670,0.0011792950235007408,regulation of lymphocyte proliferation,4
